Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 22 Sep 1923 (38),Aberdare Athletic FC (1893-1928) (1),1-0,?,AFC Bournemouth (1)
?,(Mon) 10 Sep 1923 (37),Aberdare Athletic FC (1893-1928) (2),1-2,?,Brentford FC (1)
?,(Sat) 10 Nov 1923 (45),Aberdare Athletic FC (1893-1928) (3),3-1,?,Brighton & Hove Albion FC (1)
?,(Mon) 31 Mar 1924 (13),Aberdare Athletic FC (1893-1928) (4),2-0,?,Bristol Rovers FC (1)
?,(Sat) 1 Sep 1923 (35),Aberdare Athletic FC (1893-1928) (5),4-1,?,Charlton Athletic FC (1)
?,(Sat) 29 Dec 1923 (52),Aberdare Athletic FC (1893-1928) (6),0-0,?,Exeter City FC (1)
?,(Sat) 15 Mar 1924 (10),Aberdare Athletic FC (1893-1928) (7),1-1,?,Gillingham FC (1)
?,(Sat) 20 Oct 1923 (42),Aberdare Athletic FC (1893-1928) (8),0-1,?,Luton Town FC (1)
?,(Tue) 22 Apr 1924 (16),Aberdare Athletic FC (1893-1928) (9),0-0,?,Merthyr Town FC (1)
?,(Sat) 8 Sep 1923 (36),Aberdare Athletic FC (1893-1928) (10),1-1,?,Millwall FC (1)
?,(Sat) 26 Apr 1924 (16),Aberdare Athletic FC (1893-1928) (11),2-0,?,Newport County AFC (1)
?,(Sat) 8 Mar 1924 (9),Aberdare Athletic FC (1893-1928) (12),2-2,?,Northampton Town FC (1)
?,(Mon) 27 Aug 1923 (35),Aberdare Athletic FC (1893-1928) (13),0-0,?,Norwich City FC (1)
?,(Sat) 12 Apr 1924 (14),Aberdare Athletic FC (1893-1928) (14),1-2,?,Plymouth Argyle FC (1)
?,(Mon) 17 Mar 1924 (11),Aberdare Athletic FC (1893-1928) (15),0-0,?,Portsmouth FC (1)
?,(Sat) 29 Mar 1924 (12),Aberdare Athletic FC (1893-1928) (16),1-1,?,Queens Park Rangers FC (1)
?,(Sat) 6 Oct 1923 (40),Aberdare Athletic FC (1893-1928) (17),1-0,?,Reading FC (1)
?,(Wed) 26 Dec 1923 (52),Aberdare Athletic FC (1893-1928) (18),5-2,?,Southend United FC (1)
?,(Sat) 23 Feb 1924 (7),Aberdare Athletic FC (1893-1928) (19),4-2,?,Swansea City AFC (1)
?,(Sat) 26 Jan 1924 (3),Aberdare Athletic FC (1893-1928) (20),2-2,?,Swindon Town FC (1)
?,(Sat) 9 Feb 1924 (5),Aberdare Athletic FC (1893-1928) (21),4-0,?,Watford FC (1)
?,(Sat) 29 Sep 1923 (39),AFC Bournemouth (2),0-1,?,Aberdare Athletic FC (1893-1928) (22)
?,(Tue) 25 Dec 1923 (52),AFC Bournemouth (3),2-4,?,Brentford FC (2)
?,(Sat) 15 Dec 1923 (50),AFC Bournemouth (4),1-0,?,Brighton & Hove Albion FC (2)
?,(Sat) 29 Dec 1923 (52),AFC Bournemouth (5),0-1,?,Bristol Rovers FC (2)
?,(Sat) 26 Apr 1924 (16),AFC Bournemouth (6),1-0,?,Charlton Athletic FC (2)
?,(Sat) 15 Sep 1923 (37),AFC Bournemouth (7),1-0,?,Exeter City FC (2)
?,(Sat) 23 Feb 1924 (7),AFC Bournemouth (8),0-0,?,Gillingham FC (2)
?,(Sat) 8 Dec 1923 (49),AFC Bournemouth (9),2-3,?,Luton Town FC (2)
?,(Sat) 12 Apr 1924 (14),AFC Bournemouth (10),3-3,?,Merthyr Town FC (2)
?,(Sat) 20 Oct 1923 (42),AFC Bournemouth (11),2-0,?,Millwall FC (2)
?,(Sat) 5 Apr 1924 (13),AFC Bournemouth (12),0-1,?,Newport County AFC (2)
?,(Sat) 9 Feb 1924 (5),AFC Bournemouth (13),2-1,?,Northampton Town FC (2)
?,(Sat) 13 Oct 1923 (41),AFC Bournemouth (14),1-2,?,Norwich City FC (2)
?,(Sat) 15 Mar 1924 (10),AFC Bournemouth (15),0-0,?,Plymouth Argyle FC (2)
?,(Mon) 21 Apr 1924 (16),AFC Bournemouth (16),0-0,?,Portsmouth FC (2)
?,(Sat) 8 Mar 1924 (9),AFC Bournemouth (17),3-1,?,Queens Park Rangers FC (2)
?,(Sat) 24 Nov 1923 (47),AFC Bournemouth (18),0-0,?,Reading FC (2)
?,(Sat) 10 Nov 1923 (45),AFC Bournemouth (19),0-1,?,Southend United FC (2)
?,(Sat) 19 Jan 1924 (2),AFC Bournemouth (20),0-0,?,Swansea City AFC (2)
?,(Sat) 1 Sep 1923 (35),AFC Bournemouth (21),0-0,?,Swindon Town FC (2)
?,(Wed) 19 Sep 1923 (38),AFC Bournemouth (22),1-1,?,Watford FC (2)
?,(Sat) 8 Dec 1923 (49),Brentford FC (3),1-1,?,Aberdare Athletic FC (1893-1928) (23)
?,(Wed) 26 Dec 1923 (52),Brentford FC (4),2-0,?,AFC Bournemouth (23)
?,(Sat) 22 Sep 1923 (38),Brentford FC (5),1-2,?,Brighton & Hove Albion FC (3)
?,(Sat) 13 Oct 1923 (41),Brentford FC (6),1-2,?,Bristol Rovers FC (3)
?,(Sat) 23 Feb 1924 (7),Brentford FC (7),0-0,?,Charlton Athletic FC (3)
?,(Sat) 24 Nov 1923 (47),Brentford FC (8),1-0,?,Exeter City FC (3)
?,(Sat) 22 Dec 1923 (51),Brentford FC (9),3-2,?,Gillingham FC (3)
?,(Sat) 8 Sep 1923 (36),Brentford FC (10),2-1,?,Luton Town FC (3)
?,(Sat) 9 Feb 1924 (5),Brentford FC (11),0-0,?,Merthyr Town FC (3)
?,(Sat) 5 Jan 1924 (0),Brentford FC (12),1-3,?,Millwall FC (3)
?,(Sat) 26 Jan 1924 (3),Brentford FC (13),0-0,?,Newport County AFC (3)
?,(Sat) 26 Apr 1924 (16),Brentford FC (14),1-0,?,Northampton Town FC (3)
?,(Sat) 8 Mar 1924 (9),Brentford FC (15),3-0,?,Norwich City FC (3)
?,(Mon) 27 Aug 1923 (35),Brentford FC (16),1-1,?,Plymouth Argyle FC (3)
?,(Sat) 10 Nov 1923 (45),Brentford FC (17),1-1,?,Portsmouth FC (3)
?,(Sat) 1 Sep 1923 (35),Brentford FC (18),0-1,?,Queens Park Rangers FC (3)
?,(Mon) 21 Apr 1924 (16),Brentford FC (19),4-1,?,Reading FC (3)
?,(Sat) 27 Oct 1923 (43),Brentford FC (20),3-1,?,Southend United FC (3)
?,(Sat) 12 Apr 1924 (14),Brentford FC (21),2-2,?,Swansea City AFC (3)
?,(Sat) 15 Mar 1924 (10),Brentford FC (22),2-2,?,Swindon Town FC (3)
?,(Sat) 29 Mar 1924 (12),Brentford FC (23),4-1,?,Watford FC (3)
?,(Sat) 3 Nov 1923 (44),Brighton & Hove Albion FC (4),5-0,?,Aberdare Athletic FC (1893-1928) (24)
?,(Sat) 22 Dec 1923 (51),Brighton & Hove Albion FC (5),5-0,?,AFC Bournemouth (24)
?,(Sat) 29 Sep 1923 (39),Brighton & Hove Albion FC (6),2-0,?,Brentford FC (24)
?,(Sat) 15 Sep 1923 (37),Brighton & Hove Albion FC (7),2-1,?,Bristol Rovers FC (4)
?,(Sat) 15 Mar 1924 (10),Brighton & Hove Albion FC (8),3-0,?,Charlton Athletic FC (4)
?,(Sat) 20 Oct 1923 (42),Brighton & Hove Albion FC (9),1-0,?,Exeter City FC (4)
?,(Wed) 29 Aug 1923 (35),Brighton & Hove Albion FC (10),2-2,?,Gillingham FC (4)
?,(Wed) 26 Dec 1923 (52),Brighton & Hove Albion FC (11),4-0,?,Luton Town FC (4)
?,(Sat) 8 Mar 1924 (9),Brighton & Hove Albion FC (12),0-0,?,Merthyr Town FC (4)
?,(Sat) 8 Dec 1923 (49),Brighton & Hove Albion FC (13),2-2,?,Millwall FC (4)
?,(Wed) 26 Mar 1924 (12),Brighton & Hove Albion FC (14),4-0,?,Newport County AFC (4)
?,(Sat) 1 Sep 1923 (35),Brighton & Hove Albion FC (15),2-0,?,Northampton Town FC (4)
?,(Sat) 29 Mar 1924 (12),Brighton & Hove Albion FC (16),3-0,?,Norwich City FC (4)
?,(Sat) 9 Feb 1924 (5),Brighton & Hove Albion FC (17),4-1,?,Plymouth Argyle FC (4)
?,(Sat) 13 Oct 1923 (41),Brighton & Hove Albion FC (18),0-4,?,Portsmouth FC (4)
?,(Sat) 26 Jan 1924 (3),Brighton & Hove Albion FC (19),3-0,?,Queens Park Rangers FC (4)
?,(Sat) 5 Jan 1924 (0),Brighton & Hove Albion FC (20),4-0,?,Reading FC (4)
?,(Fri) 18 Apr 1924 (15),Brighton & Hove Albion FC (21),2-0,?,Southend United FC (4)
?,(Sat) 24 Nov 1923 (47),Brighton & Hove Albion FC (22),4-1,?,Swansea City AFC (4)
?,(Sat) 12 Apr 1924 (14),Brighton & Hove Albion FC (23),1-1,?,Swindon Town FC (4)
?,(Sat) 26 Apr 1924 (16),Brighton & Hove Albion FC (24),3-0,?,Watford FC (4)
?,(Sat) 24 Nov 1923 (47),Bristol Rovers FC (5),2-0,?,Aberdare Athletic FC (1893-1928) (25)
?,(Sat) 5 Jan 1924 (0),Bristol Rovers FC (6),3-4,?,AFC Bournemouth (25)
?,(Sat) 6 Oct 1923 (40),Bristol Rovers FC (7),2-0,?,Brentford FC (25)
?,(Sat) 8 Sep 1923 (36),Bristol Rovers FC (8),2-0,?,Brighton & Hove Albion FC (25)
?,(Sat) 8 Mar 1924 (9),Bristol Rovers FC (9),2-0,?,Charlton Athletic FC (5)
?,(Sat) 3 Nov 1923 (44),Bristol Rovers FC (10),0-0,?,Exeter City FC (5)
?,(Sat) 1 Sep 1923 (35),Bristol Rovers FC (11),2-0,?,Gillingham FC (5)
?,(Mon) 21 Apr 1924 (16),Bristol Rovers FC (12),1-1,?,Luton Town FC (5)
?,(Sat) 23 Feb 1924 (7),Bristol Rovers FC (13),0-0,?,Merthyr Town FC (5)
?,(Sat) 22 Dec 1923 (51),Bristol Rovers FC (14),4-1,?,Millwall FC (5)
?,(Sat) 9 Feb 1924 (5),Bristol Rovers FC (15),0-0,?,Newport County AFC (5)
?,(Sat) 8 Dec 1923 (49),Bristol Rovers FC (16),1-1,?,Northampton Town FC (5)
?,(Sat) 15 Mar 1924 (10),Bristol Rovers FC (17),3-1,?,Norwich City FC (5)
?,(Sat) 26 Jan 1924 (3),Bristol Rovers FC (18),1-1,?,Plymouth Argyle FC (5)
?,(Sat) 27 Oct 1923 (43),Bristol Rovers FC (19),0-1,?,Portsmouth FC (5)
?,(Mon) 27 Aug 1923 (35),Bristol Rovers FC (20),2-1,?,Queens Park Rangers FC (5)
?,(Wed) 26 Dec 1923 (52),Bristol Rovers FC (21),0-0,?,Reading FC (5)
?,(Sat) 22 Sep 1923 (38),Bristol Rovers FC (22),3-1,?,Southend United FC (5)
?,(Sat) 26 Apr 1924 (16),Bristol Rovers FC (23),2-0,?,Swansea City AFC (5)
?,(Sat) 29 Mar 1924 (12),Bristol Rovers FC (24),0-1,?,Swindon Town FC (5)
?,(Sat) 12 Apr 1924 (14),Bristol Rovers FC (25),4-2,?,Watford FC (5)
?,(Sat) 25 Aug 1923 (34),Charlton Athletic FC (6),3-1,?,Aberdare Athletic FC (1893-1928) (26)
?,(Sat) 3 May 1924 (17),Charlton Athletic FC (7),1-2,?,AFC Bournemouth (26)
?,(Sat) 16 Feb 1924 (6),Charlton Athletic FC (8),3-1,?,Brentford FC (26)
?,(Sat) 22 Mar 1924 (11),Charlton Athletic FC (9),0-2,?,Brighton & Hove Albion FC (26)
?,(Sat) 1 Mar 1924 (8),Charlton Athletic FC (10),1-3,?,Bristol Rovers FC (26)
?,(Mon) 7 Apr 1924 (14),Charlton Athletic FC (11),1-0,?,Exeter City FC (6)
?,(Sat) 5 Jan 1924 (0),Charlton Athletic FC (12),0-0,?,Gillingham FC (6)
?,(Sat) 5 Apr 1924 (13),Charlton Athletic FC (13),1-1,?,Luton Town FC (6)
?,(Sat) 8 Sep 1923 (36),Charlton Athletic FC (14),1-0,?,Merthyr Town FC (6)
?,(Sat) 22 Sep 1923 (38),Charlton Athletic FC (15),0-1,?,Millwall FC (6)
?,(Sat) 6 Oct 1923 (40),Charlton Athletic FC (16),2-1,?,Newport County AFC (6)
?,(Sat) 22 Dec 1923 (51),Charlton Athletic FC (17),0-0,?,Northampton Town FC (6)
?,(Sat) 20 Oct 1923 (42),Charlton Athletic FC (18),0-0,?,Norwich City FC (6)
?,(Mon) 21 Apr 1924 (16),Charlton Athletic FC (19),0-1,?,Plymouth Argyle FC (6)
?,(Mon) 10 Mar 1924 (10),Charlton Athletic FC (20),1-1,?,Portsmouth FC (6)
?,(Wed) 26 Dec 1923 (52),Charlton Athletic FC (21),3-0,?,Queens Park Rangers FC (6)
?,(Sat) 19 Apr 1924 (15),Charlton Athletic FC (22),0-0,?,Reading FC (6)
?,(Mon) 3 Sep 1923 (36),Charlton Athletic FC (23),4-1,?,Southend United FC (6)
?,(Sat) 8 Dec 1923 (49),Charlton Athletic FC (24),1-3,?,Swansea City AFC (6)
?,(Sat) 3 Nov 1923 (44),Charlton Athletic FC (25),3-1,?,Swindon Town FC (6)
?,(Sat) 24 Nov 1923 (47),Charlton Athletic FC (26),1-1,?,Watford FC (6)
?,(Sat) 5 Jan 1924 (0),Exeter City FC (7),1-1,?,Aberdare Athletic FC (1893-1928) (27)
?,(Sat) 8 Sep 1923 (36),Exeter City FC (8),0-2,?,AFC Bournemouth (27)
?,(Wed) 2 Apr 1924 (13),Exeter City FC (9),1-0,?,Brentford FC (27)
?,(Sat) 27 Oct 1923 (43),Exeter City FC (10),0-1,?,Brighton & Hove Albion FC (27)
?,(Sat) 10 Nov 1923 (45),Exeter City FC (11),3-1,?,Bristol Rovers FC (27)
?,(Sat) 26 Jan 1924 (3),Exeter City FC (12),0-0,?,Charlton Athletic FC (27)
?,(Sat) 12 Apr 1924 (14),Exeter City FC (13),2-1,?,Gillingham FC (7)
?,(Sat) 6 Oct 1923 (40),Exeter City FC (14),2-1,?,Luton Town FC (7)
?,(Wed) 29 Aug 1923 (35),Exeter City FC (15),1-0,?,Merthyr Town FC (7)
?,(Mon) 21 Apr 1924 (16),Exeter City FC (16),2-0,?,Millwall FC (7)
?,(Sat) 1 Sep 1923 (35),Exeter City FC (17),5-0,?,Newport County AFC (7)
?,(Sat) 29 Mar 1924 (12),Exeter City FC (18),2-1,?,Northampton Town FC (7)
?,(Sat) 9 Feb 1924 (5),Exeter City FC (19),1-2,?,Norwich City FC (7)
?,(Wed) 26 Dec 1923 (52),Exeter City FC (20),0-4,?,Plymouth Argyle FC (7)
?,(Wed) 12 Sep 1923 (37),Exeter City FC (21),0-0,?,Portsmouth FC (7)
?,(Sat) 26 Apr 1924 (16),Exeter City FC (22),3-0,?,Queens Park Rangers FC (7)
?,(Sat) 22 Sep 1923 (38),Exeter City FC (23),3-2,?,Reading FC (7)
?,(Sat) 23 Feb 1924 (7),Exeter City FC (24),2-0,?,Southend United FC (7)
?,(Sat) 15 Mar 1924 (10),Exeter City FC (25),1-0,?,Swansea City AFC (7)
?,(Wed) 19 Mar 1924 (11),Exeter City FC (26),3-1,?,Swindon Town FC (7)
?,(Sat) 8 Mar 1924 (9),Exeter City FC (27),1-0,?,Watford FC (7)
?,(Sat) 22 Mar 1924 (11),Gillingham FC (8),3-1,?,Aberdare Athletic FC (1893-1928) (28)
?,(Sat) 16 Feb 1924 (6),Gillingham FC (9),1-0,?,AFC Bournemouth (28)
?,(Wed) 19 Mar 1924 (11),Gillingham FC (10),6-0,?,Brentford FC (28)
?,(Wed) 5 Sep 1923 (36),Gillingham FC (11),1-1,?,Brighton & Hove Albion FC (28)
?,(Sat) 25 Aug 1923 (34),Gillingham FC (12),1-0,?,Bristol Rovers FC (28)
?,(Sat) 29 Dec 1923 (52),Gillingham FC (13),0-1,?,Charlton Athletic FC (28)
?,(Sat) 19 Apr 1924 (15),Gillingham FC (14),1-1,?,Exeter City FC (28)
?,(Sat) 19 Jan 1924 (2),Gillingham FC (15),0-0,?,Luton Town FC (8)
?,(Wed) 12 Mar 1924 (10),Gillingham FC (16),2-1,?,Merthyr Town FC (8)
?,(Sat) 1 Mar 1924 (8),Gillingham FC (17),0-2,?,Millwall FC (8)
?,(Sat) 20 Oct 1923 (42),Gillingham FC (18),2-1,?,Newport County AFC (8)
?,(Sat) 6 Oct 1923 (40),Gillingham FC (19),1-1,?,Northampton Town FC (8)
?,(Tue) 25 Dec 1923 (52),Gillingham FC (20),3-1,?,Norwich City FC (8)
?,(Sat) 17 Nov 1923 (46),Gillingham FC (21),1-0,?,Plymouth Argyle FC (8)
?,(Sat) 3 May 1924 (17),Gillingham FC (22),0-2,?,Portsmouth FC (8)
?,(Sat) 3 Nov 1923 (44),Gillingham FC (23),0-0,?,Queens Park Rangers FC (8)
?,(Sat) 2 Feb 1924 (4),Gillingham FC (24),1-0,?,Reading FC (8)
?,(Sat) 5 Apr 1924 (13),Gillingham FC (25),3-2,?,Southend United FC (8)
?,(Sat) 29 Sep 1923 (39),Gillingham FC (26),0-1,?,Swansea City AFC (8)
?,(Fri) 18 Apr 1924 (15),Gillingham FC (27),1-0,?,Swindon Town FC (8)
?,(Sat) 15 Sep 1923 (37),Gillingham FC (28),0-0,?,Watford FC (8)
?,(Sat) 27 Oct 1923 (43),Luton Town FC (9),1-0,?,Aberdare Athletic FC (1893-1928) (29)
?,(Sat) 1 Dec 1923 (48),Luton Town FC (10),6-2,?,AFC Bournemouth (29)
?,(Sat) 15 Sep 1923 (37),Luton Town FC (11),2-1,?,Brentford FC (29)
?,(Tue) 25 Dec 1923 (52),Luton Town FC (12),0-0,?,Brighton & Hove Albion FC (29)
?,(Fri) 18 Apr 1924 (15),Luton Town FC (13),0-0,?,Bristol Rovers FC (29)
?,(Sat) 29 Mar 1924 (12),Luton Town FC (14),0-1,?,Charlton Athletic FC (29)
?,(Sat) 13 Oct 1923 (41),Luton Town FC (15),1-0,?,Exeter City FC (29)
?,(Sat) 26 Jan 1924 (3),Luton Town FC (16),1-1,?,Gillingham FC (29)
?,(Sat) 15 Mar 1924 (10),Luton Town FC (17),1-1,?,Merthyr Town FC (9)
?,(Sat) 24 Nov 1923 (47),Luton Town FC (18),2-0,?,Millwall FC (9)
?,(Sat) 8 Mar 1924 (9),Luton Town FC (19),2-0,?,Newport County AFC (9)
?,(Mon) 27 Aug 1923 (35),Luton Town FC (20),1-1,?,Northampton Town FC (9)
?,(Sat) 12 Apr 1924 (14),Luton Town FC (21),2-1,?,Norwich City FC (9)
?,(Sat) 23 Feb 1924 (7),Luton Town FC (22),0-2,?,Plymouth Argyle FC (9)
?,(Sat) 29 Sep 1923 (39),Luton Town FC (23),4-1,?,Portsmouth FC (9)
?,(Sat) 9 Feb 1924 (5),Luton Town FC (24),2-0,?,Queens Park Rangers FC (9)
?,(Sat) 15 Dec 1923 (50),Luton Town FC (25),2-0,?,Reading FC (9)
?,(Sat) 29 Dec 1923 (52),Luton Town FC (26),4-4,?,Southend United FC (9)
?,(Sat) 1 Sep 1923 (35),Luton Town FC (27),1-2,?,Swansea City AFC (9)
?,(Sat) 26 Apr 1924 (16),Luton Town FC (28),3-2,?,Swindon Town FC (9)
?,(Sat) 3 Nov 1923 (44),Luton Town FC (29),0-0,?,Watford FC (9)
?,(Mon) 21 Apr 1924 (16),Merthyr Town FC (10),0-0,?,Aberdare Athletic FC (1893-1928) (30)
?,(Sat) 19 Apr 1924 (15),Merthyr Town FC (11),4-2,?,AFC Bournemouth (30)
?,(Sat) 2 Feb 1924 (4),Merthyr Town FC (12),2-0,?,Brentford FC (30)
?,(Sat) 1 Mar 1924 (8),Merthyr Town FC (13),2-1,?,Brighton & Hove Albion FC (30)
?,(Sat) 16 Feb 1924 (6),Merthyr Town FC (14),1-1,?,Bristol Rovers FC (30)
?,(Sat) 15 Sep 1923 (37),Merthyr Town FC (15),2-1,?,Charlton Athletic FC (30)
?,(Thu) 6 Sep 1923 (36),Merthyr Town FC (16),3-0,?,Exeter City FC (30)
?,(Sat) 8 Dec 1923 (49),Merthyr Town FC (17),0-2,?,Gillingham FC (30)
?,(Sat) 22 Mar 1924 (11),Merthyr Town FC (18),0-0,?,Luton Town FC (30)
?,(Sat) 3 May 1924 (17),Merthyr Town FC (19),1-0,?,Millwall FC (10)
?,(Tue) 25 Dec 1923 (52),Merthyr Town FC (20),3-3,?,Newport County AFC (10)
?,(Sat) 24 Nov 1923 (47),Merthyr Town FC (21),0-0,?,Northampton Town FC (10)
?,(Sat) 29 Sep 1923 (39),Merthyr Town FC (22),2-3,?,Norwich City FC (10)
?,(Sat) 5 Jan 1924 (0),Merthyr Town FC (23),1-0,?,Plymouth Argyle FC (10)
?,(Sat) 19 Jan 1924 (2),Merthyr Town FC (24),2-2,?,Portsmouth FC (10)
?,(Sat) 22 Dec 1923 (51),Merthyr Town FC (25),2-0,?,Queens Park Rangers FC (10)
?,(Sat) 5 Apr 1924 (13),Merthyr Town FC (26),1-1,?,Reading FC (10)
?,(Sat) 25 Aug 1923 (34),Merthyr Town FC (27),3-2,?,Southend United FC (10)
?,(Sat) 3 Nov 1923 (44),Merthyr Town FC (28),0-0,?,Swansea City AFC (10)
?,(Sat) 13 Oct 1923 (41),Merthyr Town FC (29),2-0,?,Swindon Town FC (10)
?,(Sat) 27 Oct 1923 (43),Merthyr Town FC (30),2-1,?,Watford FC (10)
?,(Sat) 15 Sep 1923 (37),Millwall FC (11),2-0,?,Aberdare Athletic FC (1893-1928) (31)
?,(Sat) 27 Oct 1923 (43),Millwall FC (12),4-2,?,AFC Bournemouth (31)
?,(Sat) 29 Dec 1923 (52),Millwall FC (13),4-1,?,Brentford FC (31)
