Round,Date,Team 1,Team 2,FT,HT
-,-,Wolverhampton Wanderers FC,Arsenal FC,2-2,-
-,-,Derby County FC,Aston Villa FC,1-0,-
-,-,Arsenal FC,Blackburn Rovers FC,1-0,-
-,-,Portsmouth FC,Blackburn Rovers FC,2-1,-
-,-,Huddersfield Town AFC,Blackpool FC,0-1,-
-,-,Chelsea FC,Bolton Wanderers FC,3-2,-
-,-,Stoke City FC,Bolton Wanderers FC,1-2,-
-,-,Blackpool FC,Brentford FC,2-1,-
-,-,Everton FC,Brentford FC,1-1,-
-,-,Leeds United FC,Charlton Athletic FC,0-1,-
-,-,Stoke City FC,Charlton Athletic FC,4-0,-
-,-,Liverpool FC,Chelsea FC,1-0,-
-,-,Sunderland AFC,Derby County FC,3-0,-
-,-,Aston Villa FC,Everton FC,1-2,-
-,-,Blackburn Rovers FC,Everton FC,2-2,-
-,-,Manchester United FC,Grimsby Town FC,4-0,-
-,-,Brentford FC,Huddersfield Town AFC,1-0,-
-,-,Sunderland AFC,Huddersfield Town AFC,1-2,-
-,-,Preston North End FC,Leeds United FC,0-0,-
-,-,Sheffield United FC,Liverpool FC,2-1,-
-,-,Charlton Athletic FC,Manchester United FC,2-0,-
-,-,Chelsea FC,Manchester United FC,1-1,-
-,-,Aston Villa FC,Middlesbrough FC,2-0,-
-,-,Liverpool FC,Middlesbrough FC,4-1,-
-,-,Bolton Wanderers FC,Portsmouth FC,2-1,-
-,-,Derby County FC,Portsmouth FC,2-0,-
-,-,Grimsby Town FC,Preston North End FC,2-0,-
-,-,Leeds United FC,Sheffield United FC,0-1,-
-,-,Preston North End FC,Sheffield United FC,0-0,-
-,-,Middlesbrough FC,Stoke City FC,2-2,-
-,-,Arsenal FC,Sunderland AFC,5-2,-
-,-,Blackpool FC,Wolverhampton Wanderers FC,2-1,-
-,-,Grimsby Town FC,Wolverhampton Wanderers FC,0-0,-
