Round,Date,Team 1,Team 2,FT,HT
-,-,Notts County FC,AFC Bournemouth,2-1,-
-,-,Brighton & Hove Albion,Aldershot Town FC,2-1,-
-,-,Swindon Town FC,Aldershot Town FC,2-2,-
-,-,Bristol City FC,Brighton & Hove Albion,3-3,-
-,-,Aldershot Town FC,Bristol City FC,0-1,-
-,-,Crystal Palace FC,Bristol Rovers FC,3-0,-
-,-,Ipswich Town FC,Bristol Rovers FC,2-0,-
-,-,Norwich City FC,Cardiff City FC,1-2,-
-,-,Swindon Town FC,Cardiff City FC,0-1,-
-,-,Mansfield Town FC,Crystal Palace FC,4-5,-
-,-,Reading FC,Crystal Palace FC,5-0,-
-,-,Northampton Town FC,Exeter City FC,1-2,-
-,-,Port Vale FC,Exeter City FC,0-1,-
-,-,Leyton Orient FC,Ipswich Town FC,2-2,-
-,-,Watford FC,Leyton Orient FC,1-1,-
-,-,Torquay United FC,Mansfield Town FC,2-2,-
-,-,Watford FC,Mansfield Town FC,1-2,-
-,-,AFC Bournemouth,Northampton Town FC,10-0,-
-,-,Bristol City FC,Norwich City FC,1-2,-
-,-,Ipswich Town FC,Norwich City FC,1-1,-
-,-,Cardiff City FC,Notts County FC,2-4,-
-,-,Brighton & Hove Albion,Port Vale FC,0-0,-
-,-,AFC Bournemouth,Queens Park Rangers FC,2-2,-
-,-,Walsall FC,Queens Park Rangers FC,1-0,-
-,-,Bristol Rovers FC,Reading FC,2-2,-
-,-,Leyton Orient FC,Southend United FC,0-0,-
-,-,Reading FC,Southend United FC,1-0,-
-,-,Northampton Town FC,Swindon Town FC,1-0,-
-,-,Exeter City FC,Torquay United FC,2-2,-
-,-,Southend United FC,Walsall FC,3-2,-
-,-,Torquay United FC,Walsall FC,0-0,-
-,-,Queens Park Rangers FC,Watford FC,2-2,-
