Round,Date,Team 1,Team 2,FT,HT
-,-,Coventry City,Barnsley,4-2,-
-,-,Sheffield Wednesday,Barnsley,3-1,-
-,-,Tottenham Hotspur,Birmingham City,1-1,-
-,-,Chesterfield,Bradford Park Avenue,2-0,-
-,-,Birmingham City,Burnley,2-0,-
-,-,Manchester City,Bury,1-1,-
-,-,Southampton,Bury,3-0,-
-,-,Manchester City,Chesterfield,2-0,-
-,-,Burnley,Coventry City,1-1,-
-,-,Bury,Fulham,3-1,-
-,-,West Ham United,Fulham,2-1,-
-,-,Birmingham City,Leicester City,2-0,-
-,-,West Ham United,Leicester City,0-2,-
-,-,Bradford Park Avenue,Luton Town,0-3,-
-,-,Fulham,Luton Town,1-1,-
-,-,Leicester City,Manchester City,4-3,-
-,-,Bradford Park Avenue,Millwall,2-2,-
-,-,Millwall,Newcastle United,3-0,-
-,-,Nottingham Forest,Newcastle United,2-0,-
-,-,Nottingham Forest,Newport County,2-1,-
-,-,Barnsley,Nottingham Forest,4-1,-
-,-,Millwall,Plymouth Argyle,0-2,-
-,-,Sheffield Wednesday,Plymouth Argyle,0-1,-
-,-,Luton Town,Sheffield Wednesday,3-0,-
-,-,Newport County,Southampton,3-1,-
-,-,Newcastle United,Swansea City,8-1,-
-,-,Southampton,Swansea City,1-3,-
-,-,Newport County,Tottenham Hotspur,1-1,-
-,-,West Bromwich Albion,Tottenham Hotspur,3-4,-
-,-,Coventry City,West Bromwich Albion,3-3,-
-,-,Swansea City,West Bromwich Albion,1-2,-
-,-,Plymouth Argyle,West Ham United,1-3,-
