Matchday,Date,Team 1,FT,Team 2
1,Sat Aug 7 2004,Wycombe Wanderers FC,2-1,Cambridge United FC
1,Sat Aug 7 2004,Swansea City FC,0-2,Northampton Town FC
1,Sat Aug 7 2004,Southend United FC,0-2,Cheltenham Town FC
1,Sat Aug 7 2004,Shrewsbury Town FC,0-1,Lincoln City FC
1,Sat Aug 7 2004,Scunthorpe United FC,3-1,Rochdale AFC
1,Sat Aug 7 2004,Rushden & Diamonds (1992-2011),0-0,Kidderminster Harriers FC
1,Sat Aug 7 2004,Notts County FC,1-1,Chester FC
1,Sat Aug 7 2004,Mansfield Town FC,0-2,Bristol Rovers FC
1,Sat Aug 7 2004,Leyton Orient FC,1-3,Macclesfield Town FC
1,Sat Aug 7 2004,Darlington FC,1-0,Grimsby Town FC
1,Sat Aug 7 2004,Bury FC,3-1,Yeovil Town FC
1,Sat Aug 7 2004,Boston United FC,1-0,Oxford United FC
2,Tue Aug 10 2004,Yeovil Town FC,1-1,Darlington FC
2,Tue Aug 10 2004,Rochdale AFC,0-2,Swansea City FC
2,Tue Aug 10 2004,Northampton Town FC,1-0,Rushden & Diamonds (1992-2011)
2,Tue Aug 10 2004,Macclesfield Town FC,2-1,Shrewsbury Town FC
2,Tue Aug 10 2004,Lincoln City FC,1-1,Southend United FC
2,Tue Aug 10 2004,Kidderminster Harriers FC,0-0,Notts County FC
2,Tue Aug 10 2004,Grimsby Town FC,1-1,Boston United FC
2,Tue Aug 10 2004,Chester FC,0-2,Wycombe Wanderers FC
2,Tue Aug 10 2004,Cheltenham Town FC,0-2,Scunthorpe United FC
2,Tue Aug 10 2004,Cambridge United FC,1-1,Leyton Orient FC
2,Tue Aug 10 2004,Bristol Rovers FC,2-2,Bury FC
2,Wed Aug 11 2004,Oxford United FC,1-0,Mansfield Town FC
3,Sat Aug 14 2004,Yeovil Town FC,2-0,Boston United FC
3,Sat Aug 14 2004,Rochdale AFC,2-0,Southend United FC
3,Sat Aug 14 2004,Oxford United FC,1-1,Scunthorpe United FC
3,Sat Aug 14 2004,Northampton Town FC,1-1,Wycombe Wanderers FC
3,Sat Aug 14 2004,Macclesfield Town FC,1-0,Swansea City FC
3,Sat Aug 14 2004,Lincoln City FC,1-3,Rushden & Diamonds (1992-2011)
3,Sat Aug 14 2004,Kidderminster Harriers FC,1-0,Darlington FC
3,Sat Aug 14 2004,Grimsby Town FC,5-1,Bury FC
3,Sat Aug 14 2004,Chester FC,0-3,Mansfield Town FC
3,Sat Aug 14 2004,Cheltenham Town FC,1-2,Leyton Orient FC
3,Sat Aug 14 2004,Cambridge United FC,1-0,Shrewsbury Town FC
3,Sat Aug 14 2004,Bristol Rovers FC,2-1,Notts County FC
4,Sat Aug 21 2004,Wycombe Wanderers FC,0-3,Rochdale AFC
4,Sat Aug 21 2004,Swansea City FC,1-1,Cheltenham Town FC
4,Sat Aug 21 2004,Southend United FC,0-0,Cambridge United FC
4,Sat Aug 21 2004,Shrewsbury Town FC,2-0,Northampton Town FC
4,Sat Aug 21 2004,Scunthorpe United FC,3-2,Lincoln City FC
4,Sat Aug 21 2004,Rushden & Diamonds (1992-2011),1-0,Grimsby Town FC
4,Sat Aug 21 2004,Notts County FC,1-2,Yeovil Town FC
4,Sat Aug 21 2004,Mansfield Town FC,2-1,Kidderminster Harriers FC
4,Sat Aug 21 2004,Leyton Orient FC,0-0,Oxford United FC
4,Sat Aug 21 2004,Darlington FC,0-1,Bristol Rovers FC
4,Sat Aug 21 2004,Bury FC,1-1,Chester FC
4,Sat Aug 21 2004,Boston United FC,1-1,Macclesfield Town FC
5,Fri Aug 27 2004,Bristol Rovers FC,2-1,Southend United FC
5,Sat Aug 28 2004,Macclesfield Town FC,2-2,Scunthorpe United FC
5,Sat Aug 28 2004,Rochdale AFC,0-3,Bury FC
5,Sat Aug 28 2004,Oxford United FC,2-0,Shrewsbury Town FC
5,Sat Aug 28 2004,Northampton Town FC,2-2,Leyton Orient FC
5,Sat Aug 28 2004,Cambridge United FC,0-1,Swansea City FC
5,Sat Aug 28 2004,Lincoln City FC,1-2,Notts County FC
5,Sat Aug 28 2004,Kidderminster Harriers FC,0-2,Wycombe Wanderers FC
