Round,Date,Team 1,FT,Team 2
1,Sat Aug 7 2004,Wrexham AFC,2-1,Swindon Town FC
1,Sat Aug 7 2004,Walsall FC,3-2,Port Vale FC
1,Sat Aug 7 2004,Stockport County FC,2-3,Huddersfield Town AFC
1,Sat Aug 7 2004,Sheffield Wednesday FC,0-3,Colchester United FC
1,Sat Aug 7 2004,Peterborough United FC,1-0,Tranmere Rovers FC
1,Sat Aug 7 2004,Milton Keynes Dons FC,1-1,Barnsley FC
1,Sat Aug 7 2004,Luton Town FC,2-1,Oldham Athletic AFC
1,Sat Aug 7 2004,Hull City AFC,1-0,AFC Bournemouth
1,Sat Aug 7 2004,Hartlepool United FC,2-1,Bradford City AFC
1,Sat Aug 7 2004,Doncaster Rovers FC,2-0,Blackpool FC
1,Sat Aug 7 2004,Chesterfield FC,3-1,Brentford FC
1,Sat Aug 7 2004,Bristol City FC,1-1,Torquay United FC
2,Tue Aug 10 2004,Tranmere Rovers FC,2-1,Hartlepool United FC
2,Tue Aug 10 2004,Torquay United FC,0-3,Hull City AFC
2,Tue Aug 10 2004,Port Vale FC,3-2,Milton Keynes Dons FC
2,Tue Aug 10 2004,Oldham Athletic AFC,2-3,Wrexham AFC
2,Tue Aug 10 2004,Huddersfield Town AFC,0-0,Chesterfield FC
2,Tue Aug 10 2004,Colchester United FC,3-2,Stockport County FC
2,Tue Aug 10 2004,Brentford FC,4-3,Doncaster Rovers FC
2,Tue Aug 10 2004,Bradford City AFC,2-2,Peterborough United FC
2,Tue Aug 10 2004,AFC Bournemouth,2-2,Walsall FC
2,Tue Aug 10 2004,Blackpool FC,1-2,Sheffield Wednesday FC
2,Tue Aug 10 2004,Barnsley FC,2-1,Bristol City FC
2,Wed Aug 11 2004,Swindon Town FC,2-3,Luton Town FC
3,Sat Aug 14 2004,Tranmere Rovers FC,1-0,Chesterfield FC
3,Sat Aug 14 2004,Torquay United FC,2-4,Sheffield Wednesday FC
3,Sat Aug 14 2004,Swindon Town FC,2-1,Milton Keynes Dons FC
3,Sat Aug 14 2004,Port Vale FC,3-2,Hull City AFC
3,Sat Aug 14 2004,Oldham Athletic AFC,5-3,Walsall FC
3,Sat Aug 14 2004,Colchester United FC,2-1,Peterborough United FC
3,Sat Aug 14 2004,Brentford FC,1-0,Wrexham AFC
3,Sat Aug 14 2004,Bradford City AFC,2-0,Doncaster Rovers FC
3,Sat Aug 14 2004,AFC Bournemouth,2-2,Bristol City FC
3,Sat Aug 14 2004,Blackpool FC,0-4,Stockport County FC
3,Sat Aug 14 2004,Barnsley FC,3-4,Luton Town FC
3,Mon Aug 16 2004,Huddersfield Town AFC,0-2,Hartlepool United FC
4,Sat Aug 21 2004,Wrexham AFC,1-1,Port Vale FC
4,Sat Aug 21 2004,Walsall FC,2-2,Barnsley FC
4,Sat Aug 21 2004,Stockport County FC,0-1,Bradford City AFC
4,Sat Aug 21 2004,Sheffield Wednesday FC,1-0,Huddersfield Town AFC
4,Sat Aug 21 2004,Bristol City FC,1-2,Swindon Town FC
4,Sat Aug 21 2004,Milton Keynes Dons FC,1-3,AFC Bournemouth
4,Sat Aug 21 2004,Luton Town FC,1-0,Torquay United FC
4,Sat Aug 21 2004,Hull City AFC,2-0,Oldham Athletic AFC
4,Sat Aug 21 2004,Hartlepool United FC,1-1,Blackpool FC
4,Sat Aug 21 2004,Doncaster Rovers FC,0-0,Tranmere Rovers FC
4,Sat Aug 21 2004,Chesterfield FC,2-1,Colchester United FC
4,Sat Aug 21 2004,Peterborough United FC,3-0,Brentford FC
5,Fri Aug 27 2004,Tranmere Rovers FC,4-2,Sheffield Wednesday FC
5,Sat Aug 28 2004,Torquay United FC,0-0,Walsall FC
5,Sat Aug 28 2004,Swindon Town FC,3-0,Hartlepool United FC
5,Sat Aug 28 2004,Port Vale FC,3-0,Bristol City FC
5,Sat Aug 28 2004,Oldham Athletic AFC,3-0,Milton Keynes Dons FC
5,Sat Aug 28 2004,Huddersfield Town AFC,2-1,Peterborough United FC
5,Sat Aug 28 2004,Colchester United FC,4-1,Doncaster Rovers FC
5,Sat Aug 28 2004,Brentford FC,3-0,Stockport County FC
5,Sat Aug 28 2004,Bradford City AFC,2-3,Chesterfield FC
5,Sat Aug 28 2004,AFC Bournemouth,1-0,Wrexham AFC
5,Sat Aug 28 2004,Barnsley FC,1-2,Hull City AFC
5,Sat Aug 28 2004,Blackpool FC,1-3,Luton Town FC
6,Mon Aug 30 2004,Wrexham AFC,2-1,Barnsley FC
6,Mon Aug 30 2004,Walsall FC,3-2,Swindon Town FC
6,Mon Aug 30 2004,Stockport County FC,1-1,Tranmere Rovers FC
6,Mon Aug 30 2004,Sheffield Wednesday FC,1-1,Oldham Athletic AFC
6,Mon Aug 30 2004,Bristol City FC,4-1,Brentford FC
6,Mon Aug 30 2004,Milton Keynes Dons FC,1-0,Torquay United FC
6,Mon Aug 30 2004,Luton Town FC,1-0,AFC Bournemouth
6,Mon Aug 30 2004,Hartlepool United FC,2-1,Colchester United FC
6,Mon Aug 30 2004,Doncaster Rovers FC,2-1,Huddersfield Town AFC
6,Mon Aug 30 2004,Peterborough United FC,0-0,Blackpool FC
6,Tue Aug 31 2004,Chesterfield FC,1-0,Port Vale FC
6,Tue Aug 31 2004,Hull City AFC,0-1,Bradford City AFC
7,Sat Sep 4 2004,Bradford City AFC,0-2,Port Vale FC
7,Sat Sep 4 2004,Sheffield Wednesday FC,0-0,Luton Town FC
7,Sat Sep 4 2004,Peterborough United FC,0-1,Bristol City FC
7,Sat Sep 4 2004,Stockport County FC,0-2,Torquay United FC
7,Sat Sep 4 2004,Doncaster Rovers FC,3-1,Walsall FC
7,Sat Sep 4 2004,Colchester United FC,0-1,Swindon Town FC
7,Sat Sep 4 2004,Chesterfield FC,2-2,Milton Keynes Dons FC
7,Sat Sep 4 2004,Brentford FC,2-1,AFC Bournemouth
7,Sat Sep 4 2004,Hartlepool United FC,1-1,Barnsley FC
7,Sun Sep 5 2004,Huddersfield Town AFC,4-0,Hull City AFC
8,Sat Sep 11 2004,Wrexham AFC,1-0,Bradford City AFC
8,Sat Sep 11 2004,Walsall FC,1-1,Sheffield Wednesday FC
8,Sat Sep 11 2004,Torquay United FC,2-2,Brentford FC
8,Sat Sep 11 2004,Swindon Town FC,0-1,Peterborough United FC
8,Sat Sep 11 2004,Port Vale FC,0-3,Huddersfield Town AFC
8,Sat Sep 11 2004,Oldham Athletic AFC,3-2,Hartlepool United FC
8,Sat Sep 11 2004,Milton Keynes Dons FC,0-1,Doncaster Rovers FC
8,Sat Sep 11 2004,Luton Town FC,1-0,Chesterfield FC
8,Sat Sep 11 2004,Hull City AFC,2-1,Blackpool FC
8,Sat Sep 11 2004,Bristol City FC,5-0,Stockport County FC
8,Sat Sep 11 2004,AFC Bournemouth,1-3,Colchester United FC
8,Sat Sep 11 2004,Barnsley FC,0-0,Tranmere Rovers FC
7,Tue Sep 14 2004,Tranmere Rovers FC,2-0,Oldham Athletic AFC
9,Sat Sep 18 2004,Hartlepool United FC,4-1,Torquay United FC
9,Sat Sep 18 2004,Stockport County FC,1-3,Luton Town FC
9,Sat Sep 18 2004,Sheffield Wednesday FC,0-1,AFC Bournemouth
9,Sat Sep 18 2004,Peterborough United FC,2-3,Hull City AFC
9,Sat Sep 18 2004,Blackpool FC,1-1,Swindon Town FC
9,Sat Sep 18 2004,Tranmere Rovers FC,1-1,Wrexham AFC
9,Sat Sep 18 2004,Doncaster Rovers FC,1-1,Oldham Athletic AFC
9,Sat Sep 18 2004,Colchester United FC,0-1,Milton Keynes Dons FC
9,Sat Sep 18 2004,Chesterfield FC,1-0,Walsall FC
9,Sat Sep 18 2004,Brentford FC,1-0,Port Vale FC
9,Sat Sep 18 2004,Bradford City AFC,4-1,Bristol City FC
9,Sat Sep 18 2004,Huddersfield Town AFC,0-2,Barnsley FC
10,Sat Sep 25 2004,Wrexham AFC,0-3,Sheffield Wednesday FC
10,Sat Sep 25 2004,Walsall FC,0-1,Brentford FC
10,Sat Sep 25 2004,Torquay United FC,1-2,Tranmere Rovers FC
10,Sat Sep 25 2004,Swindon Town FC,1-0,Bradford City AFC
10,Sat Sep 25 2004,Port Vale FC,0-3,Blackpool FC
10,Sat Sep 25 2004,Oldham Athletic AFC,1-1,Colchester United FC
10,Sat Sep 25 2004,Milton Keynes Dons FC,4-2,Hartlepool United FC
10,Sat Sep 25 2004,Luton Town FC,2-1,Peterborough United FC
10,Sat Sep 25 2004,Barnsley FC,1-0,Chesterfield FC
10,Sat Sep 25 2004,Bristol City FC,3-3,Huddersfield Town AFC
10,Sat Sep 25 2004,AFC Bournemouth,5-0,Doncaster Rovers FC
10,Sat Sep 25 2004,Hull City AFC,0-0,Stockport County FC
11,Sat Oct 2 2004,Tranmere Rovers FC,1-1,Luton Town FC
11,Sat Oct 2 2004,Stockport County FC,3-3,Swindon Town FC
11,Sat Oct 2 2004,Sheffield Wednesday FC,1-1,Milton Keynes Dons FC
11,Sat Oct 2 2004,Peterborough United FC,1-1,Torquay United FC
11,Sat Oct 2 2004,Huddersfield Town AFC,3-1,Walsall FC
11,Sat Oct 2 2004,Hartlepool United FC,2-0,Hull City AFC
11,Sat Oct 2 2004,Doncaster Rovers FC,0-0,Wrexham AFC
11,Sat Oct 2 2004,Blackpool FC,3-3,AFC Bournemouth
11,Sat Oct 2 2004,Chesterfield FC,2-2,Bristol City FC
11,Sat Oct 2 2004,Brentford FC,2-0,Oldham Athletic AFC
11,Sat Oct 2 2004,Bradford City AFC,1-0,Barnsley FC
11,Sat Oct 2 2004,Colchester United FC,2-1,Port Vale FC
12,Fri Oct 8 2004,Port Vale FC,2-0,Doncaster Rovers FC
12,Fri Oct 8 2004,Milton Keynes Dons FC,1-2,Bradford City AFC
12,Fri Oct 8 2004,Luton Town FC,3-0,Hartlepool United FC
12,Fri Oct 8 2004,AFC Bournemouth,2-1,Stockport County FC
12,Sat Oct 9 2004,Barnsley FC,0-0,Brentford FC
12,Sat Oct 9 2004,Walsall FC,2-1,Colchester United FC
12,Sat Oct 9 2004,Torquay United FC,2-1,Huddersfield Town AFC
12,Sun Oct 10 2004,Hull City AFC,1-0,Chesterfield FC
12,Sun Oct 10 2004,Oldham Athletic AFC,1-2,Blackpool FC
13,Sat Oct 16 2004,Blackpool FC,1-1,Colchester United FC
13,Sat Oct 16 2004,Tranmere Rovers FC,4-5,Bradford City AFC
13,Sat Oct 16 2004,Wrexham AFC,1-1,Walsall FC
13,Sat Oct 16 2004,Stockport County FC,1-0,Peterborough United FC
13,Sat Oct 16 2004,Milton Keynes Dons FC,0-0,Brentford FC
13,Sat Oct 16 2004,Luton Town FC,1-2,Huddersfield Town AFC
13,Sat Oct 16 2004,Hartlepool United FC,3-2,Chesterfield FC
13,Sat Oct 16 2004,Doncaster Rovers FC,2-2,Torquay United FC
