Matchday,Date,Team 1,FT,Team 2
1,Sat Aug 10 2002,Torquay United FC,2-1,Bristol Rovers FC
1,Sat Aug 10 2002,Swansea City FC,2-2,Rushden & Diamonds (1992-2011)
1,Sat Aug 10 2002,Shrewsbury Town FC,1-0,Exeter City FC
1,Sat Aug 10 2002,Scunthorpe United FC,1-1,Wrexham AFC
1,Sat Aug 10 2002,Rochdale AFC,1-0,Leyton Orient FC
1,Sat Aug 10 2002,Oxford United FC,2-1,Bury FC
1,Sat Aug 10 2002,Macclesfield Town FC,1-1,York City FC
1,Sat Aug 10 2002,Kidderminster Harriers FC,1-1,Lincoln City FC
1,Sat Aug 10 2002,Hull City AFC,2-2,Southend United FC
1,Sat Aug 10 2002,Carlisle United FC,1-3,Hartlepool United FC
1,Sat Aug 10 2002,Cambridge United FC,1-2,Darlington FC
1,Sat Aug 10 2002,Boston United FC,2-2,AFC Bournemouth
2,Tue Aug 13 2002,Darlington FC,2-2,Swansea City FC
2,Tue Aug 13 2002,York City FC,2-1,Shrewsbury Town FC
2,Tue Aug 13 2002,Wrexham AFC,1-0,Oxford United FC
2,Tue Aug 13 2002,Southend United FC,0-1,Carlisle United FC
2,Tue Aug 13 2002,Rushden & Diamonds (1992-2011),3-0,Torquay United FC
2,Tue Aug 13 2002,Lincoln City FC,2-0,Rochdale AFC
2,Tue Aug 13 2002,Leyton Orient FC,3-2,Macclesfield Town FC
2,Tue Aug 13 2002,Hartlepool United FC,2-0,Boston United FC
2,Tue Aug 13 2002,Exeter City FC,1-1,Scunthorpe United FC
2,Tue Aug 13 2002,Bury FC,0-1,Cambridge United FC
2,Tue Aug 13 2002,Bristol Rovers FC,1-1,Hull City AFC
2,Tue Aug 13 2002,AFC Bournemouth,0-0,Kidderminster Harriers FC
3,Sat Aug 17 2002,York City FC,4-3,Torquay United FC
3,Sat Aug 17 2002,Wrexham AFC,1-1,Boston United FC
3,Sat Aug 17 2002,Southend United FC,2-3,Shrewsbury Town FC
3,Sat Aug 17 2002,Rushden & Diamonds (1992-2011),3-1,Kidderminster Harriers FC
3,Sat Aug 17 2002,Lincoln City FC,0-1,Carlisle United FC
3,Sat Aug 17 2002,Leyton Orient FC,2-0,Scunthorpe United FC
3,Sat Aug 17 2002,Hartlepool United FC,0-2,Macclesfield Town FC
3,Sat Aug 17 2002,Exeter City FC,3-1,Hull City AFC
3,Sat Aug 17 2002,Darlington FC,0-1,Oxford United FC
3,Sat Aug 17 2002,Bury FC,3-2,Swansea City FC
3,Sat Aug 17 2002,Bristol Rovers FC,1-2,Rochdale AFC
3,Sat Aug 17 2002,AFC Bournemouth,1-1,Cambridge United FC
4,Sat Aug 24 2002,Torquay United FC,1-1,Hartlepool United FC
4,Sat Aug 24 2002,Swansea City FC,2-0,AFC Bournemouth
4,Sat Aug 24 2002,Shrewsbury Town FC,1-1,Rushden & Diamonds (1992-2011)
4,Sat Aug 24 2002,Scunthorpe United FC,2-1,York City FC
4,Sat Aug 24 2002,Rochdale AFC,1-1,Darlington FC
4,Sat Aug 24 2002,Oxford United FC,0-1,Southend United FC
4,Sat Aug 24 2002,Macclesfield Town FC,0-1,Wrexham AFC
4,Sat Aug 24 2002,Kidderminster Harriers FC,4-3,Exeter City FC
4,Sat Aug 24 2002,Hull City AFC,1-1,Bury FC
4,Sat Aug 24 2002,Carlisle United FC,0-0,Bristol Rovers FC
4,Sat Aug 24 2002,Cambridge United FC,2-1,Leyton Orient FC
4,Sat Aug 24 2002,Boston United FC,2-0,Lincoln City FC
5,Mon Aug 26 2002,York City FC,2-0,Boston United FC
5,Mon Aug 26 2002,Wrexham AFC,2-5,Rochdale AFC
5,Mon Aug 26 2002,Southend United FC,2-1,Cambridge United FC
5,Mon Aug 26 2002,Rushden & Diamonds (1992-2011),2-0,Scunthorpe United FC
5,Mon Aug 26 2002,Lincoln City FC,3-0,Macclesfield Town FC
5,Mon Aug 26 2002,Leyton Orient FC,0-0,Kidderminster Harriers FC
5,Mon Aug 26 2002,Hartlepool United FC,2-0,Hull City AFC
5,Mon Aug 26 2002,Exeter City FC,1-2,Torquay United FC
5,Mon Aug 26 2002,Bury FC,4-3,Shrewsbury Town FC
