Round,Date,Team 1,FT,Team 2
1,Sat Aug 10 2002,Swindon Town FC,3-1,Barnsley FC
1,Sat Aug 10 2002,Queens Park Rangers FC,3-1,Chesterfield FC
1,Sat Aug 10 2002,Port Vale FC,1-4,Tranmere Rovers FC
1,Sat Aug 10 2002,Oldham Athletic AFC,1-2,Cardiff City FC
1,Sat Aug 10 2002,Notts County FC,1-1,Wycombe Wanderers FC
1,Sat Aug 10 2002,Northampton Town FC,1-1,Crewe Alexandra FC
1,Sat Aug 10 2002,Mansfield Town FC,4-3,Plymouth Argyle FC
1,Sat Aug 10 2002,Luton Town FC,2-3,Peterborough United FC
1,Sat Aug 10 2002,Huddersfield Town AFC,0-2,Brentford FC
1,Sat Aug 10 2002,Colchester United FC,1-0,Stockport County FC
1,Sat Aug 10 2002,Cheltenham Town FC,0-2,Wigan Athletic FC
1,Sat Aug 10 2002,Bristol City FC,2-0,Blackpool FC
2,Tue Aug 13 2002,Wycombe Wanderers FC,1-1,Northampton Town FC
2,Tue Aug 13 2002,Wigan Athletic FC,3-2,Mansfield Town FC
2,Tue Aug 13 2002,Tranmere Rovers FC,1-1,Colchester United FC
2,Tue Aug 13 2002,Stockport County FC,1-1,Queens Park Rangers FC
2,Tue Aug 13 2002,Plymouth Argyle FC,2-1,Huddersfield Town AFC
2,Tue Aug 13 2002,Barnsley FC,1-1,Cheltenham Town FC
2,Tue Aug 13 2002,Crewe Alexandra FC,0-3,Notts County FC
2,Tue Aug 13 2002,Chesterfield FC,2-4,Swindon Town FC
2,Tue Aug 13 2002,Cardiff City FC,3-1,Port Vale FC
2,Tue Aug 13 2002,Brentford FC,1-0,Bristol City FC
2,Tue Aug 13 2002,Blackpool FC,5-2,Luton Town FC
2,Tue Aug 13 2002,Peterborough United FC,0-1,Oldham Athletic AFC
3,Sat Aug 17 2002,Wycombe Wanderers FC,3-3,Mansfield Town FC
3,Sat Aug 17 2002,Wigan Athletic FC,2-0,Bristol City FC
3,Sat Aug 17 2002,Tranmere Rovers FC,1-0,Cheltenham Town FC
3,Sat Aug 17 2002,Stockport County FC,0-0,Notts County FC
3,Sat Aug 17 2002,Plymouth Argyle FC,2-1,Luton Town FC
3,Sat Aug 17 2002,Peterborough United FC,0-1,Huddersfield Town AFC
3,Sat Aug 17 2002,Crewe Alexandra FC,2-0,Colchester United FC
3,Sat Aug 17 2002,Chesterfield FC,2-1,Port Vale FC
3,Sat Aug 17 2002,Cardiff City FC,1-2,Northampton Town FC
3,Sat Aug 17 2002,Brentford FC,0-0,Oldham Athletic AFC
3,Sat Aug 17 2002,Blackpool FC,0-0,Swindon Town FC
3,Sat Aug 17 2002,Barnsley FC,1-0,Queens Park Rangers FC
4,Fri Aug 23 2002,Northampton Town FC,0-1,Blackpool FC
4,Sat Aug 24 2002,Mansfield Town FC,0-2,Chesterfield FC
4,Sat Aug 24 2002,Swindon Town FC,0-1,Cardiff City FC
4,Sat Aug 24 2002,Queens Park Rangers FC,2-0,Peterborough United FC
4,Sat Aug 24 2002,Port Vale FC,0-1,Stockport County FC
4,Sat Aug 24 2002,Oldham Athletic AFC,2-0,Tranmere Rovers FC
4,Sat Aug 24 2002,Notts County FC,0-2,Wigan Athletic FC
4,Sat Aug 24 2002,Luton Town FC,2-3,Barnsley FC
4,Sat Aug 24 2002,Huddersfield Town AFC,1-1,Crewe Alexandra FC
4,Sat Aug 24 2002,Colchester United FC,0-1,Brentford FC
4,Sat Aug 24 2002,Bristol City FC,3-0,Wycombe Wanderers FC
4,Sat Aug 24 2002,Cheltenham Town FC,1-2,Plymouth Argyle FC
5,Mon Aug 26 2002,Plymouth Argyle FC,2-0,Bristol City FC
5,Mon Aug 26 2002,Wycombe Wanderers FC,4-1,Queens Park Rangers FC
5,Mon Aug 26 2002,Wigan Athletic FC,0-1,Port Vale FC
5,Mon Aug 26 2002,Tranmere Rovers FC,2-1,Huddersfield Town AFC
5,Mon Aug 26 2002,Stockport County FC,2-0,Mansfield Town FC
5,Mon Aug 26 2002,Barnsley FC,0-0,Notts County FC
5,Mon Aug 26 2002,Cardiff City FC,0-0,Luton Town FC
5,Mon Aug 26 2002,Brentford FC,3-1,Swindon Town FC
5,Mon Aug 26 2002,Blackpool FC,0-0,Oldham Athletic AFC
5,Mon Aug 26 2002,Peterborough United FC,0-1,Colchester United FC
5,Tue Aug 27 2002,Crewe Alexandra FC,1-0,Cheltenham Town FC
5,Tue Aug 27 2002,Chesterfield FC,4-0,Northampton Town FC
6,Sat Aug 31 2002,Notts County FC,2-2,Brentford FC
6,Sat Aug 31 2002,Queens Park Rangers FC,2-2,Plymouth Argyle FC
6,Sat Aug 31 2002,Port Vale FC,1-0,Peterborough United FC
6,Sat Aug 31 2002,Oldham Athletic AFC,0-2,Wycombe Wanderers FC
6,Sat Aug 31 2002,Swindon Town FC,0-1,Stockport County FC
6,Sat Aug 31 2002,Northampton Town FC,1-0,Barnsley FC
6,Sat Aug 31 2002,Mansfield Town FC,0-5,Crewe Alexandra FC
6,Sat Aug 31 2002,Luton Town FC,3-0,Chesterfield FC
6,Sat Aug 31 2002,Huddersfield Town AFC,0-0,Blackpool FC
6,Sat Aug 31 2002,Colchester United FC,1-0,Wigan Athletic FC
6,Sat Aug 31 2002,Cheltenham Town FC,1-1,Cardiff City FC
6,Sat Aug 31 2002,Bristol City FC,2-0,Tranmere Rovers FC
7,Fri Sep 6 2002,Bristol City FC,3-0,Northampton Town FC
7,Sat Sep 7 2002,Notts County FC,1-3,Oldham Athletic AFC
7,Sat Sep 7 2002,Swindon Town FC,1-2,Port Vale FC
7,Sat Sep 7 2002,Wigan Athletic FC,3-0,Wycombe Wanderers FC
7,Sat Sep 7 2002,Colchester United FC,1-1,Cheltenham Town FC
7,Sat Sep 7 2002,Mansfield Town FC,0-4,Queens Park Rangers FC
7,Sat Sep 7 2002,Huddersfield Town AFC,1-0,Barnsley FC
7,Sat Sep 7 2002,Crewe Alexandra FC,0-0,Chesterfield FC
7,Sat Sep 7 2002,Brentford FC,0-0,Luton Town FC
7,Sat Sep 7 2002,Blackpool FC,3-0,Tranmere Rovers FC
8,Sat Sep 14 2002,Wycombe Wanderers FC,1-2,Blackpool FC
8,Sat Sep 14 2002,Tranmere Rovers FC,3-1,Brentford FC
8,Sat Sep 14 2002,Queens Park Rangers FC,2-0,Swindon Town FC
8,Sat Sep 14 2002,Port Vale FC,1-0,Colchester United FC
8,Sat Sep 14 2002,Peterborough United FC,0-0,Crewe Alexandra FC
8,Sat Sep 14 2002,Oldham Athletic AFC,6-1,Mansfield Town FC
8,Sat Sep 14 2002,Barnsley FC,1-1,Plymouth Argyle FC
8,Sat Sep 14 2002,Luton Town FC,2-2,Notts County FC
8,Sat Sep 14 2002,Chesterfield FC,0-0,Wigan Athletic FC
8,Sat Sep 14 2002,Cheltenham Town FC,2-3,Bristol City FC
8,Sat Sep 14 2002,Cardiff City FC,2-1,Stockport County FC
8,Sat Sep 14 2002,Northampton Town FC,0-0,Huddersfield Town AFC
9,Tue Sep 17 2002,Barnsley FC,2-1,Blackpool FC
9,Tue Sep 17 2002,Tranmere Rovers FC,0-2,Wigan Athletic FC
9,Tue Sep 17 2002,Queens Park Rangers FC,3-0,Huddersfield Town AFC
9,Tue Sep 17 2002,Port Vale FC,3-2,Notts County FC
9,Tue Sep 17 2002,Peterborough United FC,2-0,Plymouth Argyle FC
9,Tue Sep 17 2002,Oldham Athletic AFC,1-0,Bristol City FC
9,Tue Sep 17 2002,Northampton Town FC,4-1,Colchester United FC
9,Tue Sep 17 2002,Luton Town FC,2-3,Mansfield Town FC
9,Tue Sep 17 2002,Chesterfield FC,1-0,Stockport County FC
9,Tue Sep 17 2002,Cheltenham Town FC,2-0,Swindon Town FC
9,Tue Sep 17 2002,Cardiff City FC,2-0,Brentford FC
9,Tue Sep 17 2002,Wycombe Wanderers FC,1-2,Crewe Alexandra FC
10,Sat Sep 21 2002,Wigan Athletic FC,2-2,Peterborough United FC
10,Sat Sep 21 2002,Blackpool FC,3-2,Port Vale FC
10,Sat Sep 21 2002,Stockport County FC,4-1,Barnsley FC
10,Sat Sep 21 2002,Plymouth Argyle FC,0-1,Chesterfield FC
10,Sat Sep 21 2002,Notts County FC,0-1,Cardiff City FC
10,Sat Sep 21 2002,Mansfield Town FC,0-2,Cheltenham Town FC
10,Sat Sep 21 2002,Huddersfield Town AFC,0-1,Luton Town FC
10,Sat Sep 21 2002,Crewe Alexandra FC,2-0,Tranmere Rovers FC
10,Sat Sep 21 2002,Colchester United FC,0-1,Oldham Athletic AFC
10,Sat Sep 21 2002,Bristol City FC,1-3,Queens Park Rangers FC
10,Sat Sep 21 2002,Brentford FC,1-0,Wycombe Wanderers FC
10,Sat Sep 21 2002,Swindon Town FC,2-0,Northampton Town FC
7,Tue Sep 24 2002,Plymouth Argyle FC,2-2,Cardiff City FC
11,Sat Sep 28 2002,Wycombe Wanderers FC,2-1,Plymouth Argyle FC
11,Sat Sep 28 2002,Tranmere Rovers FC,1-0,Stockport County FC
11,Sat Sep 28 2002,Queens Park Rangers FC,2-0,Colchester United FC
11,Sat Sep 28 2002,Port Vale FC,2-3,Bristol City FC
11,Sat Sep 28 2002,Peterborough United FC,5-1,Brentford FC
11,Sat Sep 28 2002,Oldham Athletic AFC,4-0,Huddersfield Town AFC
11,Sat Sep 28 2002,Northampton Town FC,2-0,Mansfield Town FC
11,Sat Sep 28 2002,Luton Town FC,3-0,Swindon Town FC
11,Sat Sep 28 2002,Chesterfield FC,1-0,Blackpool FC
11,Sat Sep 28 2002,Cheltenham Town FC,1-4,Notts County FC
11,Sat Sep 28 2002,Cardiff City FC,2-1,Crewe Alexandra FC
11,Sat Sep 28 2002,Barnsley FC,1-3,Wigan Athletic FC
12,Sat Oct 5 2002,Wigan Athletic FC,2-2,Cardiff City FC
12,Sat Oct 5 2002,Swindon Town FC,0-1,Oldham Athletic AFC
