Matchday,Date,Team 1,FT,Team 2
1,Sat Aug 9 2014,Sheffield United FC,1-2,Bristol City FC
1,Sat Aug 9 2014,Yeovil Town FC,0-3,Doncaster Rovers FC
1,Sat Aug 9 2014,Swindon Town FC,3-1,Scunthorpe United FC
1,Sat Aug 9 2014,Rochdale AFC,0-1,Peterborough United FC
1,Sat Aug 9 2014,Preston North End FC,1-1,Notts County FC
1,Sat Aug 9 2014,Port Vale FC,1-1,Walsall FC
1,Sat Aug 9 2014,Milton Keynes Dons FC,4-2,Gillingham FC
1,Sat Aug 9 2014,Leyton Orient FC,1-2,Chesterfield FC
1,Sat Aug 9 2014,Fleetwood Town FC,2-1,Crewe Alexandra FC
1,Sat Aug 9 2014,Colchester United FC,2-2,Oldham Athletic AFC
1,Sat Aug 9 2014,Bradford City AFC,3-2,Coventry City FC
1,Sat Aug 9 2014,Barnsley FC,0-1,Crawley Town FC
2,Sat Aug 16 2014,Walsall FC,0-0,Bradford City AFC
2,Sat Aug 16 2014,Scunthorpe United FC,0-4,Preston North End FC
2,Sat Aug 16 2014,Peterborough United FC,3-2,Milton Keynes Dons FC
2,Sat Aug 16 2014,Oldham Athletic AFC,1-3,Leyton Orient FC
2,Sat Aug 16 2014,Notts County FC,0-1,Fleetwood Town FC
2,Sat Aug 16 2014,Bristol City FC,2-1,Colchester United FC
2,Sat Aug 16 2014,Doncaster Rovers FC,1-3,Port Vale FC
2,Sat Aug 16 2014,Crewe Alexandra FC,1-2,Barnsley FC
2,Sat Aug 16 2014,Crawley Town FC,1-0,Swindon Town FC
2,Sat Aug 16 2014,Coventry City FC,1-0,Sheffield United FC
2,Sat Aug 16 2014,Chesterfield FC,2-1,Rochdale AFC
2,Sat Aug 16 2014,Gillingham FC,2-0,Yeovil Town FC
3,Tue Aug 19 2014,Peterborough United FC,1-2,Sheffield United FC
3,Tue Aug 19 2014,Walsall FC,1-2,Yeovil Town FC
3,Tue Aug 19 2014,Scunthorpe United FC,0-2,Fleetwood Town FC
3,Tue Aug 19 2014,Oldham Athletic AFC,1-1,Port Vale FC
3,Tue Aug 19 2014,Notts County FC,2-1,Colchester United FC
3,Tue Aug 19 2014,Bristol City FC,0-0,Leyton Orient FC
3,Tue Aug 19 2014,Doncaster Rovers FC,1-1,Preston North End FC
3,Tue Aug 19 2014,Crewe Alexandra FC,2-5,Rochdale AFC
3,Tue Aug 19 2014,Crawley Town FC,1-3,Bradford City AFC
3,Tue Aug 19 2014,Coventry City FC,2-2,Barnsley FC
3,Tue Aug 19 2014,Chesterfield FC,0-1,Milton Keynes Dons FC
3,Tue Aug 19 2014,Gillingham FC,2-2,Swindon Town FC
4,Sat Aug 23 2014,Yeovil Town FC,1-1,Scunthorpe United FC
4,Sat Aug 23 2014,Swindon Town FC,2-0,Crewe Alexandra FC
4,Sat Aug 23 2014,Sheffield United FC,1-0,Crawley Town FC
4,Sat Aug 23 2014,Barnsley FC,4-1,Gillingham FC
4,Sat Aug 23 2014,Preston North End FC,1-0,Oldham Athletic AFC
4,Sat Aug 23 2014,Port Vale FC,0-2,Notts County FC
4,Sat Aug 23 2014,Milton Keynes Dons FC,0-0,Coventry City FC
4,Sat Aug 23 2014,Leyton Orient FC,0-0,Walsall FC
4,Sat Aug 23 2014,Fleetwood Town FC,0-0,Chesterfield FC
4,Sat Aug 23 2014,Colchester United FC,0-1,Doncaster Rovers FC
4,Sat Aug 23 2014,Bradford City AFC,0-1,Peterborough United FC
4,Sat Aug 23 2014,Rochdale AFC,1-1,Bristol City FC
5,Sat Aug 30 2014,Yeovil Town FC,1-1,Barnsley FC
5,Sat Aug 30 2014,Swindon Town FC,1-1,Coventry City FC
