Matchday,Date,Team 1,FT,Team 2
1,Sat Aug 18 2012,Yeovil Town FC,1-1,Coventry City FC
1,Sat Aug 18 2012,Walsall FC,0-3,Doncaster Rovers FC
1,Sat Aug 18 2012,Tranmere Rovers FC,3-1,Leyton Orient FC
1,Sat Aug 18 2012,Stevenage FC,1-1,Carlisle United FC
1,Sat Aug 18 2012,Sheffield United FC,1-0,Shrewsbury Town FC
1,Sat Aug 18 2012,Preston North End FC,0-0,Colchester United FC
1,Sat Aug 18 2012,Portsmouth FC,1-1,AFC Bournemouth
1,Sat Aug 18 2012,Milton Keynes Dons FC,2-0,Oldham Athletic AFC
1,Sat Aug 18 2012,Hartlepool United FC,0-0,Swindon Town FC
1,Sat Aug 18 2012,Crewe Alexandra FC,1-2,Notts County FC
1,Sat Aug 18 2012,Crawley Town FC,3-0,Scunthorpe United FC
1,Sat Aug 18 2012,Bury FC,0-0,Brentford FC
2,Tue Aug 21 2012,Swindon Town FC,3-0,Crawley Town FC
2,Tue Aug 21 2012,Shrewsbury Town FC,1-0,Preston North End FC
2,Tue Aug 21 2012,Scunthorpe United FC,1-2,Crewe Alexandra FC
2,Tue Aug 21 2012,Oldham Athletic AFC,1-1,Walsall FC
2,Tue Aug 21 2012,Notts County FC,2-0,Hartlepool United FC
2,Tue Aug 21 2012,Brentford FC,1-3,Yeovil Town FC
2,Tue Aug 21 2012,Doncaster Rovers FC,2-1,Bury FC
2,Tue Aug 21 2012,Coventry City FC,1-1,Sheffield United FC
2,Tue Aug 21 2012,Colchester United FC,2-2,Portsmouth FC
2,Tue Aug 21 2012,Carlisle United FC,0-3,Tranmere Rovers FC
2,Tue Aug 21 2012,AFC Bournemouth,1-1,Milton Keynes Dons FC
2,Tue Aug 21 2012,Leyton Orient FC,0-1,Stevenage FC
3,Sat Aug 25 2012,Swindon Town FC,1-0,Milton Keynes Dons FC
3,Sat Aug 25 2012,Shrewsbury Town FC,1-1,Tranmere Rovers FC
3,Sat Aug 25 2012,Scunthorpe United FC,0-4,Yeovil Town FC
3,Sat Aug 25 2012,Oldham Athletic AFC,0-1,Stevenage FC
3,Sat Aug 25 2012,Notts County FC,0-1,Walsall FC
3,Sat Aug 25 2012,Doncaster Rovers FC,0-1,Crawley Town FC
3,Sat Aug 25 2012,Coventry City FC,2-2,Bury FC
3,Sat Aug 25 2012,Colchester United FC,1-1,Sheffield United FC
3,Sat Aug 25 2012,Carlisle United FC,4-2,Portsmouth FC
3,Sat Aug 25 2012,Brentford FC,5-1,Crewe Alexandra FC
3,Sat Aug 25 2012,AFC Bournemouth,1-1,Preston North End FC
4,Sat Sep 1 2012,Portsmouth FC,0-1,Oldham Athletic AFC
4,Sat Sep 1 2012,Yeovil Town FC,2-1,Doncaster Rovers FC
4,Sat Sep 1 2012,Walsall FC,2-2,Brentford FC
4,Sat Sep 1 2012,Tranmere Rovers FC,4-0,Colchester United FC
4,Sat Sep 1 2012,Stevenage FC,1-1,Shrewsbury Town FC
4,Sat Sep 1 2012,Sheffield United FC,5-3,AFC Bournemouth
