Matchday,Date,Team 1,FT,Team 2
1,Sat Aug 18 2012,West Ham United FC,1-0,Aston Villa FC
1,Sat Aug 18 2012,West Bromwich Albion FC,3-0,Liverpool FC
1,Sat Aug 18 2012,Arsenal FC,0-0,Sunderland AFC
1,Sat Aug 18 2012,Fulham FC,5-0,Norwich City FC
1,Sat Aug 18 2012,Queens Park Rangers FC,0-5,Swansea City FC
1,Sat Aug 18 2012,Reading FC,1-1,Stoke City FC
1,Sat Aug 18 2012,Newcastle United FC,2-1,Tottenham Hotspur FC
1,Sun Aug 19 2012,Wigan Athletic FC,0-2,Chelsea FC
1,Sun Aug 19 2012,Manchester City FC,3-2,Southampton FC
1,Mon Aug 20 2012,Everton FC,1-0,Manchester United FC
3,Wed Aug 22 2012,Chelsea FC,4-2,Reading FC
2,Sat Aug 25 2012,Tottenham Hotspur FC,1-1,West Bromwich Albion FC
2,Sat Aug 25 2012,Aston Villa FC,1-3,Everton FC
2,Sat Aug 25 2012,Southampton FC,0-2,Wigan Athletic FC
2,Sat Aug 25 2012,Manchester United FC,3-2,Fulham FC
2,Sat Aug 25 2012,Norwich City FC,1-1,Queens Park Rangers FC
2,Sat Aug 25 2012,Swansea City FC,3-0,West Ham United FC
2,Sat Aug 25 2012,Chelsea FC,2-0,Newcastle United FC
2,Sun Aug 26 2012,Liverpool FC,2-2,Manchester City FC
2,Sun Aug 26 2012,Stoke City FC,0-0,Arsenal FC
3,Sat Sep 1 2012,Wigan Athletic FC,2-2,Stoke City FC
3,Sat Sep 1 2012,West Bromwich Albion FC,2-0,Everton FC
3,Sat Sep 1 2012,Swansea City FC,2-2,Sunderland AFC
3,Sat Sep 1 2012,Manchester City FC,3-1,Queens Park Rangers FC
3,Sat Sep 1 2012,Tottenham Hotspur FC,1-1,Norwich City FC
3,Sat Sep 1 2012,West Ham United FC,3-0,Fulham FC
3,Sun Sep 2 2012,Newcastle United FC,1-1,Aston Villa FC
3,Sun Sep 2 2012,Liverpool FC,0-2,Arsenal FC
3,Sun Sep 2 2012,Southampton FC,2-3,Manchester United FC
4,Sat Sep 15 2012,Manchester United FC,4-0,Wigan Athletic FC
4,Sat Sep 15 2012,Sunderland AFC,1-1,Liverpool FC
4,Sat Sep 15 2012,Fulham FC,3-0,West Bromwich Albion FC
4,Sat Sep 15 2012,Norwich City FC,0-0,West Ham United FC
4,Sat Sep 15 2012,Aston Villa FC,2-0,Swansea City FC
4,Sat Sep 15 2012,Queens Park Rangers FC,0-0,Chelsea FC
4,Sat Sep 15 2012,Stoke City FC,1-1,Manchester City FC
4,Sat Sep 15 2012,Arsenal FC,6-1,Southampton FC
4,Sun Sep 16 2012,Reading FC,1-3,Tottenham Hotspur FC
4,Mon Sep 17 2012,Everton FC,2-2,Newcastle United FC
5,Sat Sep 22 2012,West Ham United FC,1-1,Sunderland AFC
5,Sat Sep 22 2012,Chelsea FC,1-0,Stoke City FC
5,Sat Sep 22 2012,Wigan Athletic FC,1-2,Fulham FC
5,Sat Sep 22 2012,Southampton FC,4-1,Aston Villa FC
5,Sat Sep 22 2012,Swansea City FC,0-3,Everton FC
5,Sat Sep 22 2012,West Bromwich Albion FC,1-0,Reading FC
5,Sun Sep 23 2012,Tottenham Hotspur FC,2-1,Queens Park Rangers FC
5,Sun Sep 23 2012,Liverpool FC,1-2,Manchester United FC
5,Sun Sep 23 2012,Newcastle United FC,1-0,Norwich City FC
5,Sun Sep 23 2012,Manchester City FC,1-1,Arsenal FC
6,Sat Sep 29 2012,Fulham FC,1-2,Manchester City FC
6,Sat Sep 29 2012,Stoke City FC,2-0,Swansea City FC
6,Sat Sep 29 2012,Everton FC,3-1,Southampton FC
6,Sat Sep 29 2012,Norwich City FC,2-5,Liverpool FC
6,Sat Sep 29 2012,Sunderland AFC,1-0,Wigan Athletic FC
6,Sat Sep 29 2012,Reading FC,2-2,Newcastle United FC
6,Sat Sep 29 2012,Arsenal FC,1-2,Chelsea FC
6,Sat Sep 29 2012,Manchester United FC,2-3,Tottenham Hotspur FC
6,Sun Sep 30 2012,Aston Villa FC,1-1,West Bromwich Albion FC
6,Mon Oct 1 2012,Queens Park Rangers FC,1-2,West Ham United FC
7,Sat Oct 6 2012,West Bromwich Albion FC,3-2,Queens Park Rangers FC
7,Sat Oct 6 2012,Chelsea FC,4-1,Norwich City FC
7,Sat Oct 6 2012,Manchester City FC,3-0,Sunderland AFC
7,Sat Oct 6 2012,West Ham United FC,1-3,Arsenal FC
7,Sat Oct 6 2012,Wigan Athletic FC,2-2,Everton FC
7,Sat Oct 6 2012,Swansea City FC,2-2,Reading FC
7,Sun Oct 7 2012,Newcastle United FC,0-3,Manchester United FC
7,Sun Oct 7 2012,Southampton FC,2-2,Fulham FC
7,Sun Oct 7 2012,Tottenham Hotspur FC,2-0,Aston Villa FC
7,Sun Oct 7 2012,Liverpool FC,0-0,Stoke City FC
8,Sat Oct 20 2012,West Ham United FC,4-1,Southampton FC
8,Sat Oct 20 2012,Tottenham Hotspur FC,2-4,Chelsea FC
8,Sat Oct 20 2012,Liverpool FC,1-0,Reading FC
8,Sat Oct 20 2012,Manchester United FC,4-2,Stoke City FC
8,Sat Oct 20 2012,Norwich City FC,1-0,Arsenal FC
8,Sat Oct 20 2012,Fulham FC,1-0,Aston Villa FC
8,Sat Oct 20 2012,Swansea City FC,2-1,Wigan Athletic FC
8,Sat Oct 20 2012,West Bromwich Albion FC,1-2,Manchester City FC
8,Sun Oct 21 2012,Sunderland AFC,1-1,Newcastle United FC
8,Sun Oct 21 2012,Queens Park Rangers FC,1-1,Everton FC
9,Sat Oct 27 2012,Wigan Athletic FC,2-1,West Ham United FC
9,Sat Oct 27 2012,Arsenal FC,1-0,Queens Park Rangers FC
9,Sat Oct 27 2012,Stoke City FC,0-0,Sunderland AFC
9,Sat Oct 27 2012,Manchester City FC,1-0,Swansea City FC
9,Sat Oct 27 2012,Aston Villa FC,1-1,Norwich City FC
9,Sat Oct 27 2012,Reading FC,3-3,Fulham FC
9,Sun Oct 28 2012,Southampton FC,1-2,Tottenham Hotspur FC
9,Sun Oct 28 2012,Chelsea FC,2-3,Manchester United FC
9,Sun Oct 28 2012,Newcastle United FC,2-1,West Bromwich Albion FC
9,Sun Oct 28 2012,Everton FC,2-2,Liverpool FC
10,Sat Nov 3 2012,Norwich City FC,1-0,Stoke City FC
10,Sat Nov 3 2012,Sunderland AFC,0-1,Aston Villa FC
10,Sat Nov 3 2012,Tottenham Hotspur FC,0-1,Wigan Athletic FC
10,Sat Nov 3 2012,Fulham FC,2-2,Everton FC
10,Sat Nov 3 2012,Manchester United FC,2-1,Arsenal FC
10,Sat Nov 3 2012,West Ham United FC,0-0,Manchester City FC
10,Sat Nov 3 2012,Swansea City FC,1-1,Chelsea FC
10,Sun Nov 4 2012,Liverpool FC,1-1,Newcastle United FC
10,Sun Nov 4 2012,Queens Park Rangers FC,1-1,Reading FC
10,Mon Nov 5 2012,West Bromwich Albion FC,2-0,Southampton FC
11,Sat Nov 10 2012,Wigan Athletic FC,1-2,West Bromwich Albion FC
11,Sat Nov 10 2012,Southampton FC,1-1,Swansea City FC
11,Sat Nov 10 2012,Arsenal FC,3-3,Fulham FC
11,Sat Nov 10 2012,Reading FC,0-0,Norwich City FC
11,Sat Nov 10 2012,Stoke City FC,1-0,Queens Park Rangers FC
11,Sat Nov 10 2012,Everton FC,2-1,Sunderland AFC
11,Sat Nov 10 2012,Aston Villa FC,2-3,Manchester United FC
11,Sun Nov 11 2012,Newcastle United FC,0-1,West Ham United FC
11,Sun Nov 11 2012,Chelsea FC,1-1,Liverpool FC
11,Sun Nov 11 2012,Manchester City FC,2-1,Tottenham Hotspur FC
12,Sat Nov 17 2012,Queens Park Rangers FC,1-3,Southampton FC
12,Sat Nov 17 2012,Norwich City FC,1-0,Manchester United FC
12,Sat Nov 17 2012,Newcastle United FC,1-2,Swansea City FC
12,Sat Nov 17 2012,Reading FC,2-1,Everton FC
12,Sat Nov 17 2012,West Bromwich Albion FC,2-1,Chelsea FC
12,Sat Nov 17 2012,Arsenal FC,5-2,Tottenham Hotspur FC
12,Sat Nov 17 2012,Manchester City FC,5-0,Aston Villa FC
12,Sat Nov 17 2012,Liverpool FC,3-0,Wigan Athletic FC
12,Sun Nov 18 2012,Fulham FC,1-3,Sunderland AFC
12,Mon Nov 19 2012,West Ham United FC,1-1,Stoke City FC
13,Sat Nov 24 2012,Wigan Athletic FC,3-2,Reading FC
13,Sat Nov 24 2012,Manchester United FC,3-1,Queens Park Rangers FC
13,Sat Nov 24 2012,Aston Villa FC,0-0,Arsenal FC
13,Sat Nov 24 2012,Everton FC,1-1,Norwich City FC
13,Sat Nov 24 2012,Sunderland AFC,2-4,West Bromwich Albion FC
13,Sat Nov 24 2012,Stoke City FC,1-0,Fulham FC
13,Sun Nov 25 2012,Chelsea FC,0-0,Manchester City FC
13,Sun Nov 25 2012,Southampton FC,2-0,Newcastle United FC
13,Sun Nov 25 2012,Tottenham Hotspur FC,3-1,West Ham United FC
13,Sun Nov 25 2012,Swansea City FC,0-0,Liverpool FC
14,Tue Nov 27 2012,Aston Villa FC,1-0,Reading FC
14,Tue Nov 27 2012,Sunderland AFC,0-0,Queens Park Rangers FC
14,Wed Nov 28 2012,Swansea City FC,3-1,West Bromwich Albion FC
14,Wed Nov 28 2012,Manchester United FC,1-0,West Ham United FC
14,Wed Nov 28 2012,Chelsea FC,0-0,Fulham FC
