Date,Team 1,Team 2,FT,HT
2001-08-11,Blackpool,Reading,0-2,0-1
2001-08-11,Cambridge,Brighton,0-0,0-0
2001-08-11,Cardiff,Wycombe,1-0,1-0
2001-08-11,Chesterfield,Colchester,3-6,1-3
2001-08-11,Huddersfield,Bournemouth,1-0,0-0
2001-08-11,Northampton,Bristol City,0-3,0-3
2001-08-11,Port Vale,Notts County,4-2,1-1
2001-08-11,QPR,Stoke,1-0,1-0
2001-08-11,Swindon,Peterboro,0-0,0-0
2001-08-11,Tranmere,Bury,1-2,0-1
2001-08-11,Wigan,Brentford,1-1,0-1
2001-08-11,Wrexham,Oldham,3-3,0-1
2001-08-18,Bournemouth,Blackpool,0-1,0-1
2001-08-18,Brentford,Port Vale,2-0,0-0
2001-08-18,Brighton,Wigan,2-1,1-1
2001-08-18,Bristol City,Swindon,3-1,1-0
2001-08-18,Bury,QPR,1-2,1-1
2001-08-18,Colchester,Tranmere,2-1,0-0
2001-08-18,Notts County,Cambridge,2-1,1-0
2001-08-18,Oldham,Chesterfield,1-1,1-0
2001-08-18,Peterboro,Cardiff,1-1,1-1
2001-08-18,Reading,Huddersfield,1-0,1-0
2001-08-18,Stoke,Northampton,2-0,0-0
2001-08-18,Wycombe,Wrexham,5-2,4-0
2001-08-25,Blackpool,Wycombe,2-2,2-1
2001-08-25,Cambridge,Stoke,0-2,0-0
2001-08-25,Cardiff,Bournemouth,2-2,1-0
2001-08-25,Chesterfield,Brentford,0-1,0-1
2001-08-25,Huddersfield,Bury,2-0,0-0
2001-08-25,Northampton,Notts County,0-2,0-1
2001-08-25,Port Vale,Peterboro,4-1,1-0
2001-08-25,QPR,Reading,0-0,0-0
2001-08-25,Swindon,Oldham,0-2,0-2
2001-08-25,Tranmere,Brighton,0-0,0-0
2001-08-25,Wigan,Bristol City,1-2,0-0
2001-08-25,Wrexham,Colchester,1-1,0-1
2001-08-27,Brentford,Cambridge,2-1,1-0
2001-08-27,Brighton,Blackpool,4-0,1-0
2001-08-27,Bury,Swindon,0-3,0-0
2001-08-27,Colchester,Port Vale,2-0,1-0
2001-08-27,Notts County,Chesterfield,1-1,0-0
2001-08-27,Peterboro,Huddersfield,1-2,0-0
2001-08-27,Stoke,Tranmere,1-2,0-1
2001-08-27,Wycombe,QPR,1-0,0-0
2001-08-28,Oldham,Northampton,4-2,2-0
2001-08-30,QPR,Bristol City,0-0,0-0
2001-08-31,Northampton,Brighton,2-0,1-0
2001-09-01,Cambridge,Bournemouth,2-2,0-0
2001-09-01,Chesterfield,Peterboro,0-1,0-0
2001-09-01,Port Vale,Reading,0-2,0-1
2001-09-01,Swindon,Colchester,1-0,0-0
2001-09-01,Tranmere,Oldham,2-2,1-1
2001-09-02,Huddersfield,Wycombe,2-1,1-1
