Date,Team 1,Team 2,FT,HT
2001-08-11,Bradford,Barnsley,4-0,2-0
2001-08-11,Gillingham,Preston,5-0,2-0
2001-08-11,Grimsby,Crewe,1-0,0-0
2001-08-11,Man City,Watford,3-0,0-0
2001-08-11,Millwall,Norwich,4-0,2-0
2001-08-11,Nott'm Forest,Sheffield United,1-1,1-0
2001-08-11,Rotherham,Crystal Palace,2-3,2-0
2001-08-11,Stockport,Coventry,0-2,0-1
2001-08-11,Walsall,West Brom,2-1,1-0
2001-08-11,Wimbledon,Birmingham,3-1,1-0
2001-08-11,Wolves,Portsmouth,2-2,1-2
2001-08-12,Sheffield Weds,Burnley,0-2,0-2
2001-08-18,Barnsley,Nott'm Forest,2-1,1-0
2001-08-18,Burnley,Wimbledon,3-2,3-1
2001-08-18,Crewe,Sheffield Weds,0-2,0-1
2001-08-18,Crystal Palace,Stockport,4-1,0-0
2001-08-18,Norwich,Man City,2-0,0-0
2001-08-18,Portsmouth,Bradford,0-1,0-0
2001-08-18,Preston,Walsall,1-1,0-1
2001-08-18,Sheffield United,Gillingham,0-0,0-0
2001-08-18,Watford,Rotherham,3-2,2-1
2001-08-18,West Brom,Grimsby,0-1,0-0
2001-08-19,Birmingham,Millwall,4-0,4-0
2001-08-19,Coventry,Wolves,0-1,0-1
2001-08-23,Rotherham,Sheffield United,1-1,1-0
2001-08-24,Bradford,Coventry,2-1,0-0
2001-08-25,Gillingham,Barnsley,3-0,1-0
2001-08-25,Grimsby,Preston,2-2,1-1
2001-08-25,Man City,Crewe,5-2,2-2
2001-08-25,Millwall,Burnley,0-2,0-0
2001-08-25,Nott'm Forest,Crystal Palace,4-2,2-1
2001-08-25,Sheffield Weds,West Brom,1-1,1-1
2001-08-25,Stockport,Portsmouth,0-1,0-0
2001-08-25,Walsall,Birmingham,1-2,0-2
2001-08-25,Wimbledon,Norwich,0-1,0-0
2001-08-25,Wolves,Watford,1-0,1-0
2001-08-27,Barnsley,Rotherham,1-1,0-1
2001-08-27,Birmingham,Stockport,2-1,2-0
2001-08-27,Burnley,Man City,2-4,1-1
2001-08-27,Coventry,Nott'm Forest,0-0,0-0
2001-08-27,Norwich,Sheffield Weds,2-0,1-0
2001-08-27,Portsmouth,Grimsby,4-2,1-0
2001-08-27,Preston,Wimbledon,1-1,0-1
2001-08-27,Sheffield United,Wolves,2-2,0-1
2001-08-27,Watford,Walsall,2-1,0-0
2001-08-27,West Brom,Gillingham,1-0,1-0
2001-08-28,Crewe,Millwall,1-0,0-0
2001-09-01,Grimsby,Barnsley,1-0,1-0
2001-09-02,Bradford,Burnley,2-3,0-0
2001-09-08,Barnsley,Stockport,2-2,0-0
2001-09-08,Birmingham,Sheffield Weds,2-0,1-0
2001-09-08,Burnley,Rotherham,3-0,0-0
2001-09-08,Coventry,Grimsby,0-1,0-0
2001-09-08,Crewe,Walsall,2-1,1-0
2001-09-08,Crystal Palace,Millwall,1-3,1-1
2001-09-08,Norwich,Nott'm Forest,1-0,1-0
2001-09-08,Portsmouth,Gillingham,2-1,0-1
2001-09-08,Preston,Wolves,1-2,1-0
2001-09-08,Sheffield United,Bradford,2-2,2-2
2001-09-08,West Brom,Man City,4-0,1-0
2001-09-09,Watford,Wimbledon,3-0,1-0
2001-09-12,Wimbledon,Portsmouth,3-3,1-0
2001-09-14,Bradford,Gillingham,5-1,1-0
2001-09-15,Barnsley,Crewe,2-0,0-0
2001-09-15,Burnley,Walsall,5-2,2-0
2001-09-15,Grimsby,Nott'm Forest,0-0,0-0
2001-09-15,Man City,Birmingham,3-0,3-0
