Date,Team 1,Team 2,FT,HT
2000-08-19,Charlton,Man City,4-0,2-0
2000-08-19,Chelsea,West Ham,4-2,1-0
2000-08-19,Coventry,Middlesbrough,1-3,1-1
2000-08-19,Derby,Southampton,2-2,1-2
2000-08-19,Leeds,Everton,2-0,2-0
2000-08-19,Leicester,Aston Villa,0-0,0-0
2000-08-19,Liverpool,Bradford,1-0,0-0
2000-08-19,Sunderland,Arsenal,1-0,0-0
2000-08-19,Tottenham,Ipswich,3-1,2-1
2000-08-20,Man United,Newcastle,2-0,1-0
2000-08-21,Arsenal,Liverpool,2-0,1-0
2000-08-22,Bradford,Chelsea,2-0,1-0
2000-08-22,Ipswich,Man United,1-1,1-1
2000-08-22,Middlesbrough,Tottenham,1-1,0-1
2000-08-23,Everton,Charlton,3-0,0-0
2000-08-23,Man City,Sunderland,4-2,2-0
2000-08-23,Newcastle,Derby,3-2,1-1
2000-08-23,Southampton,Coventry,1-2,0-1
2000-08-23,West Ham,Leicester,0-1,0-0
2000-08-26,Arsenal,Charlton,5-3,1-2
2000-08-26,Bradford,Leicester,0-0,0-0
2000-08-26,Everton,Derby,2-2,2-0
2000-08-26,Ipswich,Sunderland,1-0,0-0
2000-08-26,Man City,Coventry,1-2,0-2
2000-08-26,Middlesbrough,Leeds,1-2,0-2
2000-08-26,Newcastle,Tottenham,2-0,1-0
2000-08-26,Southampton,Liverpool,3-3,0-1
2000-08-26,West Ham,Man United,2-2,0-1
2000-08-27,Aston Villa,Chelsea,1-1,1-1
2000-09-05,Leeds,Man City,1-2,0-2
2000-09-05,Man United,Bradford,6-0,2-0
2000-09-05,Sunderland,West Ham,1-1,1-1
2000-09-05,Tottenham,Everton,3-2,1-2
2000-09-06,Charlton,Southampton,1-1,0-0
2000-09-06,Chelsea,Arsenal,2-2,1-0
2000-09-06,Coventry,Newcastle,0-2,0-1
2000-09-06,Derby,Middlesbrough,3-3,0-1
2000-09-06,Leicester,Ipswich,2-1,0-0
2000-09-06,Liverpool,Aston Villa,3-1,3-0
2000-09-09,Bradford,Arsenal,1-1,1-0
2000-09-09,Coventry,Leeds,0-0,0-0
2000-09-09,Ipswich,Aston Villa,1-2,0-1
2000-09-09,Leicester,Southampton,1-0,0-0
2000-09-09,Liverpool,Man City,3-2,1-0
2000-09-09,Man United,Sunderland,3-0,1-0
2000-09-09,Middlesbrough,Everton,1-2,1-0
2000-09-09,Newcastle,Chelsea,0-0,0-0
2000-09-10,Derby,Charlton,2-2,2-0
2000-09-11,Tottenham,West Ham,1-0,0-0
2000-09-16,Arsenal,Coventry,2-1,1-0
2000-09-16,Aston Villa,Bradford,2-0,1-0
2000-09-16,Charlton,Tottenham,1-0,1-0
2000-09-16,Everton,Man United,1-3,0-3
2000-09-16,Leeds,Ipswich,1-2,1-1
2000-09-16,Southampton,Newcastle,2-0,0-0
2000-09-16,Sunderland,Derby,2-1,1-0
2000-09-17,Chelsea,Leicester,0-2,0-1
2000-09-17,Man City,Middlesbrough,1-1,0-0
2000-09-17,West Ham,Liverpool,1-1,0-1
2000-09-23,Bradford,Southampton,0-1,0-1
2000-09-23,Coventry,West Ham,0-3,0-2
2000-09-23,Derby,Leeds,1-1,0-1
2000-09-23,Ipswich,Arsenal,1-1,0-0
2000-09-23,Liverpool,Sunderland,1-1,1-1
2000-09-23,Man United,Chelsea,3-3,3-2
2000-09-23,Middlesbrough,Aston Villa,1-1,0-0
2000-09-23,Newcastle,Charlton,0-1,0-1
2000-09-23,Tottenham,Man City,0-0,0-0
2000-09-24,Leicester,Everton,1-1,1-0
2000-09-30,Aston Villa,Derby,4-1,2-0
2000-09-30,Charlton,Coventry,2-2,0-1
2000-09-30,Everton,Ipswich,0-3,0-1
2000-09-30,Leeds,Tottenham,4-3,0-1
2000-09-30,Man City,Newcastle,0-1,0-0
2000-09-30,Southampton,Middlesbrough,1-3,0-2
2000-09-30,West Ham,Bradford,1-1,1-0
2000-10-01,Arsenal,Man United,1-0,1-0
2000-10-01,Chelsea,Liverpool,3-0,2-0
2000-10-01,Sunderland,Leicester,0-0,0-0
2000-10-14,Arsenal,Aston Villa,1-0,0-0
2000-10-14,Coventry,Tottenham,2-1,2-0
2000-10-14,Everton,Southampton,1-1,0-0
2000-10-14,Ipswich,West Ham,1-1,1-0
2000-10-14,Leeds,Charlton,3-1,1-0
2000-10-14,Leicester,Man United,0-3,0-1
2000-10-14,Man City,Bradford,2-0,2-0
2000-10-14,Sunderland,Chelsea,1-0,0-0
2000-10-15,Derby,Liverpool,0-4,0-1
2000-10-16,Middlesbrough,Newcastle,1-3,0-1
2000-10-21,Bradford,Ipswich,0-2,0-1
2000-10-21,Charlton,Middlesbrough,1-0,0-0
