Matchday,Date,Team 1,FT,Team 2
1,Fri Aug 7 1998,Torquay United FC,0-1,Cambridge United FC
1,Fri Aug 7 1998,Swansea City FC,2-0,Exeter City FC
1,Fri Aug 7 1998,Shrewsbury Town FC,2-1,Scunthorpe United FC
1,Fri Aug 7 1998,Scarborough FC (1879-2007),1-2,Southend United FC
1,Fri Aug 7 1998,Rotherham United FC,3-1,Hull City AFC
1,Fri Aug 7 1998,Plymouth Argyle FC,2-1,Rochdale AFC
1,Fri Aug 7 1998,Peterborough United FC,0-2,FC Halifax Town
1,Fri Aug 7 1998,Hartlepool United FC,1-1,Cardiff City FC
1,Fri Aug 7 1998,Darlington FC,0-2,Barnet FC
1,Fri Aug 7 1998,Chester FC,0-2,Leyton Orient FC
1,Fri Aug 7 1998,Carlisle United FC,1-0,Brighton & Hove Albion FC
1,Fri Aug 7 1998,Brentford FC,3-0,Mansfield Town FC
2,Fri Aug 14 1998,Southend United FC,2-1,Shrewsbury Town FC
2,Fri Aug 14 1998,Scunthorpe United FC,3-1,Carlisle United FC
2,Fri Aug 14 1998,Rochdale AFC,0-2,Torquay United FC
2,Fri Aug 14 1998,Mansfield Town FC,2-0,Plymouth Argyle FC
2,Fri Aug 14 1998,Leyton Orient FC,1-4,Rotherham United FC
2,Fri Aug 14 1998,Hull City AFC,1-2,Darlington FC
2,Fri Aug 14 1998,FC Halifax Town,1-0,Brentford FC
2,Fri Aug 14 1998,Exeter City FC,1-0,Scarborough FC (1879-2007)
2,Fri Aug 14 1998,Cardiff City FC,1-3,Peterborough United FC
2,Fri Aug 14 1998,Cambridge United FC,2-1,Swansea City FC
2,Fri Aug 14 1998,Brighton & Hove Albion FC,2-2,Chester FC
2,Fri Aug 14 1998,Barnet FC,0-2,Hartlepool United FC
3,Thu Aug 20 1998,Shrewsbury Town FC,0-3,Cardiff City FC
3,Fri Aug 21 1998,Torquay United FC,1-0,Exeter City FC
3,Fri Aug 21 1998,Swansea City FC,1-1,Leyton Orient FC
3,Fri Aug 21 1998,Scarborough FC (1879-2007),2-3,Mansfield Town FC
3,Fri Aug 21 1998,Rotherham United FC,2-0,Cambridge United FC
3,Fri Aug 21 1998,Plymouth Argyle FC,2-0,Barnet FC
3,Fri Aug 21 1998,Peterborough United FC,1-1,Southend United FC
3,Fri Aug 21 1998,Hartlepool United FC,1-2,Scunthorpe United FC
3,Fri Aug 21 1998,Darlington FC,2-2,FC Halifax Town
3,Fri Aug 21 1998,Carlisle United FC,0-1,Rochdale AFC
3,Fri Aug 21 1998,Brentford FC,2-0,Brighton & Hove Albion FC
3,Sat Aug 22 1998,Chester FC,2-2,Hull City AFC
4,Thu Aug 27 1998,FC Halifax Town,2-0,Shrewsbury Town FC
4,Fri Aug 28 1998,Southend United FC,0-1,Chester FC
4,Fri Aug 28 1998,Scunthorpe United FC,0-2,Plymouth Argyle FC
4,Fri Aug 28 1998,Rochdale AFC,0-0,Darlington FC
4,Fri Aug 28 1998,Mansfield Town FC,1-0,Swansea City FC
4,Fri Aug 28 1998,Leyton Orient FC,0-3,Scarborough FC (1879-2007)
4,Fri Aug 28 1998,Hull City AFC,1-0,Peterborough United FC
4,Fri Aug 28 1998,Exeter City FC,2-0,Carlisle United FC
4,Fri Aug 28 1998,Cardiff City FC,0-1,Rotherham United FC
4,Fri Aug 28 1998,Cambridge United FC,1-2,Hartlepool United FC
4,Fri Aug 28 1998,Brighton & Hove Albion FC,2-0,Torquay United FC
4,Fri Aug 28 1998,Barnet FC,0-3,Brentford FC
5,Sun Aug 30 1998,Swansea City FC,1-2,Scunthorpe United FC
5,Sun Aug 30 1998,Shrewsbury Town FC,0-2,Barnet FC
5,Sun Aug 30 1998,Scarborough FC (1879-2007),1-2,Brighton & Hove Albion FC
5,Sun Aug 30 1998,Rotherham United FC,0-0,Mansfield Town FC
5,Sun Aug 30 1998,Plymouth Argyle FC,1-0,FC Halifax Town
5,Sun Aug 30 1998,Peterborough United FC,4-1,Exeter City FC
5,Sun Aug 30 1998,Hartlepool United FC,1-0,Hull City AFC
5,Sun Aug 30 1998,Darlington FC,3-0,Cardiff City FC
5,Sun Aug 30 1998,Brentford FC,2-1,Rochdale AFC
5,Mon Aug 31 1998,Torquay United FC,1-1,Leyton Orient FC
5,Mon Aug 31 1998,Chester FC,0-3,Cambridge United FC
5,Mon Aug 31 1998,Carlisle United FC,3-0,Southend United FC
6,Thu Sep 3 1998,FC Halifax Town,2-1,Hartlepool United FC
6,Fri Sep 4 1998,Southend United FC,3-0,Rotherham United FC
6,Fri Sep 4 1998,Scunthorpe United FC,2-0,Torquay United FC
6,Fri Sep 4 1998,Rochdale AFC,1-0,Shrewsbury Town FC
6,Fri Sep 4 1998,Mansfield Town FC,0-1,Darlington FC
6,Fri Sep 4 1998,Leyton Orient FC,2-1,Carlisle United FC
6,Fri Sep 4 1998,Hull City AFC,2-3,Brentford FC
6,Fri Sep 4 1998,Exeter City FC,0-1,Chester FC
6,Fri Sep 4 1998,Cardiff City FC,1-0,Plymouth Argyle FC
6,Fri Sep 4 1998,Cambridge United FC,2-3,Scarborough FC (1879-2007)
6,Fri Sep 4 1998,Brighton & Hove Albion FC,1-0,Swansea City FC
6,Fri Sep 4 1998,Barnet FC,1-9,Peterborough United FC
7,Mon Sep 7 1998,Torquay United FC,3-1,Brentford FC
7,Mon Sep 7 1998,Southend United FC,0-0,FC Halifax Town
7,Mon Sep 7 1998,Scunthorpe United FC,3-2,Cambridge United FC
7,Mon Sep 7 1998,Rotherham United FC,0-2,Plymouth Argyle FC
7,Mon Sep 7 1998,Peterborough United FC,3-0,Chester FC
7,Mon Sep 7 1998,Leyton Orient FC,1-1,Mansfield Town FC
7,Mon Sep 7 1998,Hull City AFC,2-1,Rochdale AFC
7,Mon Sep 7 1998,Exeter City FC,1-0,Brighton & Hove Albion FC
7,Mon Sep 7 1998,Darlington FC,2-0,Hartlepool United FC
7,Mon Sep 7 1998,Carlisle United FC,1-2,Swansea City FC
7,Mon Sep 7 1998,Cardiff City FC,1-0,Barnet FC
7,Tue Sep 8 1998,Scarborough FC (1879-2007),2-0,Shrewsbury Town FC
8,Thu Sep 10 1998,FC Halifax Town,1-2,Cardiff City FC
8,Fri Sep 11 1998,Mansfield Town FC,1-1,Carlisle United FC
8,Fri Sep 11 1998,Shrewsbury Town FC,1-1,Peterborough United FC
8,Fri Sep 11 1998,Rochdale AFC,2-2,Scunthorpe United FC
8,Fri Sep 11 1998,Plymouth Argyle FC,1-2,Darlington FC
8,Fri Sep 11 1998,Barnet FC,4-1,Hull City AFC
8,Fri Sep 11 1998,Hartlepool United FC,4-3,Exeter City FC
8,Fri Sep 11 1998,Chester FC,2-0,Torquay United FC
8,Fri Sep 11 1998,Cambridge United FC,1-0,Leyton Orient FC
8,Fri Sep 11 1998,Brighton & Hove Albion FC,0-2,Southend United FC
8,Fri Sep 11 1998,Brentford FC,0-3,Rotherham United FC
8,Fri Sep 11 1998,Swansea City FC,2-0,Scarborough FC (1879-2007)
9,Fri Sep 18 1998,Torquay United FC,1-1,Swansea City FC
9,Fri Sep 18 1998,Southend United FC,0-1,Cambridge United FC
9,Fri Sep 18 1998,Scunthorpe United FC,3-2,Mansfield Town FC
9,Fri Sep 18 1998,Scarborough FC (1879-2007),3-1,Brentford FC
9,Fri Sep 18 1998,Rotherham United FC,3-0,Hartlepool United FC
9,Fri Sep 18 1998,Peterborough United FC,0-2,Plymouth Argyle FC
9,Fri Sep 18 1998,Leyton Orient FC,1-0,Brighton & Hove Albion FC
9,Fri Sep 18 1998,Hull City AFC,1-2,FC Halifax Town
9,Fri Sep 18 1998,Exeter City FC,1-0,Barnet FC
9,Fri Sep 18 1998,Darlington FC,1-0,Shrewsbury Town FC
9,Fri Sep 18 1998,Carlisle United FC,1-1,Chester FC
9,Fri Sep 18 1998,Cardiff City FC,2-1,Rochdale AFC
10,Fri Sep 25 1998,Swansea City FC,3-1,Southend United FC
10,Fri Sep 25 1998,Shrewsbury Town FC,1-1,Carlisle United FC
10,Fri Sep 25 1998,Rochdale AFC,2-1,Leyton Orient FC
10,Fri Sep 25 1998,Plymouth Argyle FC,0-0,Scarborough FC (1879-2007)
10,Fri Sep 25 1998,Mansfield Town FC,2-0,Hull City AFC
10,Fri Sep 25 1998,Hartlepool United FC,1-2,Peterborough United FC
10,Fri Sep 25 1998,FC Halifax Town,1-1,Torquay United FC
10,Fri Sep 25 1998,Chester FC,2-2,Cardiff City FC
10,Fri Sep 25 1998,Cambridge United FC,1-1,Exeter City FC
10,Fri Sep 25 1998,Brighton & Hove Albion FC,1-3,Scunthorpe United FC
10,Fri Sep 25 1998,Brentford FC,3-0,Darlington FC
10,Fri Sep 25 1998,Barnet FC,4-2,Rotherham United FC
11,Fri Oct 2 1998,Torquay United FC,1-1,Plymouth Argyle FC
11,Fri Oct 2 1998,Southend United FC,1-1,Rochdale AFC
11,Fri Oct 2 1998,Scunthorpe United FC,0-4,FC Halifax Town
11,Fri Oct 2 1998,Scarborough FC (1879-2007),2-4,Chester FC
11,Fri Oct 2 1998,Rotherham United FC,0-1,Shrewsbury Town FC
11,Fri Oct 2 1998,Peterborough United FC,2-4,Brentford FC
11,Fri Oct 2 1998,Leyton Orient FC,1-1,Hartlepool United FC
11,Fri Oct 2 1998,Hull City AFC,0-3,Cambridge United FC
11,Fri Oct 2 1998,Exeter City FC,2-1,Mansfield Town FC
11,Fri Oct 2 1998,Darlington FC,2-2,Swansea City FC
11,Fri Oct 2 1998,Carlisle United FC,2-1,Barnet FC
11,Fri Oct 2 1998,Cardiff City FC,2-0,Brighton & Hove Albion FC
12,Thu Oct 8 1998,Swansea City FC,1-1,Rotherham United FC
12,Thu Oct 8 1998,Mansfield Town FC,2-1,Torquay United FC
12,Thu Oct 8 1998,Leyton Orient FC,2-0,Exeter City FC
12,Thu Oct 8 1998,Hull City AFC,1-2,Cardiff City FC
12,Thu Oct 8 1998,Carlisle United FC,1-0,Scarborough FC (1879-2007)
12,Thu Oct 8 1998,Cambridge United FC,2-3,Brighton & Hove Albion FC
12,Fri Oct 9 1998,Scunthorpe United FC,1-1,Southend United FC
12,Fri Oct 9 1998,Hartlepool United FC,1-1,Shrewsbury Town FC
12,Fri Oct 9 1998,Darlington FC,3-0,Peterborough United FC
12,Sat Oct 10 1998,Rochdale AFC,1-0,FC Halifax Town
12,Sat Oct 10 1998,Barnet FC,0-0,Chester FC
13,Thu Oct 15 1998,FC Halifax Town,1-1,Barnet FC
13,Fri Oct 16 1998,Shrewsbury Town FC,2-1,Plymouth Argyle FC
13,Fri Oct 16 1998,Scarborough FC (1879-2007),1-2,Hull City AFC
13,Fri Oct 16 1998,Southend United FC,2-2,Leyton Orient FC
13,Fri Oct 16 1998,Brighton & Hove Albion FC,1-3,Mansfield Town FC
13,Fri Oct 16 1998,Torquay United FC,2-2,Carlisle United FC
13,Fri Oct 16 1998,Rotherham United FC,3-1,Darlington FC
13,Fri Oct 16 1998,Peterborough United FC,2-0,Rochdale AFC
13,Fri Oct 16 1998,Exeter City FC,2-2,Scunthorpe United FC
13,Fri Oct 16 1998,Chester FC,1-1,Swansea City FC
13,Fri Oct 16 1998,Brentford FC,3-1,Hartlepool United FC
13,Fri Oct 16 1998,Cardiff City FC,0-1,Cambridge United FC
14,Mon Oct 19 1998,Chester FC,1-1,Hartlepool United FC
14,Mon Oct 19 1998,Torquay United FC,2-2,Darlington FC
14,Mon Oct 19 1998,Southend United FC,1-2,Mansfield Town FC
14,Mon Oct 19 1998,Shrewsbury Town FC,1-0,Swansea City FC
14,Mon Oct 19 1998,Rotherham United FC,2-2,Rochdale AFC
14,Mon Oct 19 1998,Peterborough United FC,0-1,Carlisle United FC
14,Mon Oct 19 1998,FC Halifax Town,3-3,Cambridge United FC
14,Mon Oct 19 1998,Brighton & Hove Albion FC,1-3,Plymouth Argyle FC
14,Mon Oct 19 1998,Brentford FC,2-1,Scunthorpe United FC
14,Mon Oct 19 1998,Cardiff City FC,0-0,Leyton Orient FC
14,Mon Oct 19 1998,Exeter City FC,3-0,Hull City AFC
14,Tue Oct 20 1998,Scarborough FC (1879-2007),0-0,Barnet FC
15,Fri Oct 23 1998,Leyton Orient FC,1-0,FC Halifax Town
15,Fri Oct 23 1998,Hull City AFC,1-1,Southend United FC
15,Fri Oct 23 1998,Barnet FC,0-1,Brighton & Hove Albion FC
15,Fri Oct 23 1998,Scunthorpe United FC,4-3,Rotherham United FC
15,Fri Oct 23 1998,Hartlepool United FC,4-1,Torquay United FC
15,Fri Oct 23 1998,Cambridge United FC,0-0,Shrewsbury Town FC
16,Fri Oct 30 1998,Brighton & Hove Albion FC,3-2,Hartlepool United FC
16,Fri Oct 30 1998,Chester FC,1-1,Shrewsbury Town FC
16,Fri Oct 30 1998,Cardiff City FC,1-0,Exeter City FC
16,Fri Oct 30 1998,Peterborough United FC,2-4,Rotherham United FC
16,Fri Oct 30 1998,FC Halifax Town,2-0,Swansea City FC
16,Fri Oct 30 1998,Leyton Orient FC,1-0,Scunthorpe United FC
16,Fri Oct 30 1998,Mansfield Town FC,1-3,Cambridge United FC
16,Fri Oct 30 1998,Scarborough FC (1879-2007),1-1,Torquay United FC
16,Fri Oct 30 1998,Southend United FC,2-1,Darlington FC
16,Fri Oct 30 1998,Plymouth Argyle FC,0-0,Hull City AFC
16,Fri Oct 30 1998,Barnet FC,0-1,Rochdale AFC
12,Mon Nov 2 1998,Plymouth Argyle FC,3-0,Brentford FC
17,Fri Nov 6 1998,Carlisle United FC,0-1,FC Halifax Town
17,Fri Nov 6 1998,Darlington FC,1-2,Brighton & Hove Albion FC
17,Fri Nov 6 1998,Exeter City FC,2-1,Southend United FC
17,Fri Nov 6 1998,Hartlepool United FC,2-0,Plymouth Argyle FC
17,Fri Nov 6 1998,Hull City AFC,0-1,Leyton Orient FC
17,Fri Nov 6 1998,Cambridge United FC,3-2,Barnet FC
17,Fri Nov 6 1998,Rochdale AFC,1-0,Mansfield Town FC
17,Fri Nov 6 1998,Torquay United FC,0-0,Cardiff City FC
17,Fri Nov 6 1998,Swansea City FC,0-0,Peterborough United FC
17,Fri Nov 6 1998,Shrewsbury Town FC,2-0,Brentford FC
17,Fri Nov 6 1998,Scunthorpe United FC,2-1,Chester FC
17,Fri Nov 6 1998,Rotherham United FC,4-0,Scarborough FC (1879-2007)
18,Mon Nov 9 1998,Barnet FC,1-0,Scunthorpe United FC
18,Mon Nov 9 1998,Hartlepool United FC,1-2,Mansfield Town FC
18,Mon Nov 9 1998,Peterborough United FC,2-1,Cambridge United FC
18,Mon Nov 9 1998,Brentford FC,4-1,Southend United FC
18,Mon Nov 9 1998,Cardiff City FC,1-0,Scarborough FC (1879-2007)
18,Mon Nov 9 1998,FC Halifax Town,3-2,Chester FC
18,Mon Nov 9 1998,Hull City AFC,0-2,Brighton & Hove Albion FC
18,Mon Nov 9 1998,Shrewsbury Town FC,1-1,Leyton Orient FC
18,Mon Nov 9 1998,Rotherham United FC,2-2,Torquay United FC
18,Mon Nov 9 1998,Rochdale AFC,1-1,Exeter City FC
18,Mon Nov 9 1998,Plymouth Argyle FC,1-2,Swansea City FC
15,Mon Nov 16 1998,Rochdale AFC,0-1,Scarborough FC (1879-2007)
19,Thu Nov 19 1998,Mansfield Town FC,5-0,Barnet FC
19,Fri Nov 20 1998,Cambridge United FC,2-1,Darlington FC
19,Fri Nov 20 1998,Leyton Orient FC,2-1,Brentford FC
19,Fri Nov 20 1998,Torquay United FC,0-1,Peterborough United FC
