Round,Date,Team 1,FT,Team 2
1,Fri Aug 7 1998,Wycombe Wanderers FC,0-1,Luton Town FC
1,Fri Aug 7 1998,Wrexham AFC,3-0,Reading FC
1,Fri Aug 7 1998,Wigan Athletic FC,0-1,Millwall FC
1,Fri Aug 7 1998,Preston North End FC,3-0,York City FC
1,Fri Aug 7 1998,Oldham Athletic AFC,1-3,Notts County FC
1,Fri Aug 7 1998,Northampton Town FC,1-3,Stoke City FC
1,Fri Aug 7 1998,Manchester City FC,3-0,Blackpool FC
1,Fri Aug 7 1998,Macclesfield Town FC,0-1,Fulham FC
1,Fri Aug 7 1998,Gillingham FC,0-1,Walsall FC
1,Fri Aug 7 1998,Colchester United FC,1-0,Chesterfield FC
1,Fri Aug 7 1998,Burnley FC,2-1,Bristol Rovers FC
1,Fri Aug 7 1998,AFC Bournemouth,2-0,Lincoln City FC
2,Thu Aug 13 1998,Fulham FC,3-0,Manchester City FC
2,Fri Aug 14 1998,Notts County FC,1-2,AFC Bournemouth
2,Fri Aug 14 1998,Wrexham AFC,2-4,Colchester United FC
2,Fri Aug 14 1998,Walsall FC,0-0,Northampton Town FC
2,Fri Aug 14 1998,Stoke City FC,2-0,Macclesfield Town FC
2,Fri Aug 14 1998,York City FC,1-1,Gillingham FC
2,Fri Aug 14 1998,Millwall FC,2-1,Wycombe Wanderers FC
2,Fri Aug 14 1998,Luton Town FC,1-1,Preston North End FC
2,Fri Aug 14 1998,Lincoln City FC,1-0,Wigan Athletic FC
2,Fri Aug 14 1998,Chesterfield FC,1-0,Burnley FC
2,Fri Aug 14 1998,Bristol Rovers FC,4-1,Reading FC
2,Fri Aug 14 1998,Blackpool FC,3-0,Oldham Athletic AFC
3,Fri Aug 21 1998,Wycombe Wanderers FC,1-2,Walsall FC
3,Fri Aug 21 1998,Wigan Athletic FC,3-0,Blackpool FC
3,Fri Aug 21 1998,Reading FC,3-0,Luton Town FC
3,Fri Aug 21 1998,Preston North End FC,3-4,Stoke City FC
3,Fri Aug 21 1998,Oldham Athletic AFC,2-0,Chesterfield FC
3,Fri Aug 21 1998,Northampton Town FC,1-1,Notts County FC
3,Fri Aug 21 1998,Manchester City FC,0-0,Wrexham AFC
3,Fri Aug 21 1998,Macclesfield Town FC,0-0,Lincoln City FC
3,Fri Aug 21 1998,Gillingham FC,0-0,Bristol Rovers FC
3,Fri Aug 21 1998,Colchester United FC,0-1,Fulham FC
3,Fri Aug 21 1998,Burnley FC,0-1,York City FC
3,Fri Aug 21 1998,AFC Bournemouth,3-0,Millwall FC
4,Fri Aug 28 1998,York City FC,3-0,Wycombe Wanderers FC
4,Fri Aug 28 1998,Wrexham AFC,1-0,Northampton Town FC
4,Fri Aug 28 1998,Blackpool FC,2-2,Gillingham FC
4,Fri Aug 28 1998,Stoke City FC,2-0,Oldham Athletic AFC
4,Fri Aug 28 1998,Notts County FC,1-1,Manchester City FC
4,Fri Aug 28 1998,Millwall FC,0-0,Macclesfield Town FC
4,Fri Aug 28 1998,Luton Town FC,2-0,Colchester United FC
4,Fri Aug 28 1998,Lincoln City FC,3-4,Preston North End FC
4,Fri Aug 28 1998,Fulham FC,0-0,AFC Bournemouth
4,Fri Aug 28 1998,Chesterfield FC,1-0,Reading FC
4,Fri Aug 28 1998,Bristol Rovers FC,3-2,Wigan Athletic FC
4,Fri Aug 28 1998,Walsall FC,3-1,Burnley FC
5,Sun Aug 30 1998,Wycombe Wanderers FC,1-1,Bristol Rovers FC
5,Sun Aug 30 1998,Wigan Athletic FC,1-3,Luton Town FC
5,Sun Aug 30 1998,Preston North End FC,2-0,Chesterfield FC
5,Sun Aug 30 1998,Oldham Athletic AFC,1-1,Fulham FC
5,Sun Aug 30 1998,Colchester United FC,0-1,Stoke City FC
5,Sun Aug 30 1998,Macclesfield Town FC,0-1,Notts County FC
5,Sun Aug 30 1998,Northampton Town FC,0-0,Lincoln City FC
