Matchday,Date,Team 1,FT,Team 2
1,Sat Aug 8 2009,Torquay United FC,2-0,Chesterfield FC
1,Sat Aug 8 2009,Shrewsbury Town FC,3-1,Burton Albion FC
1,Sat Aug 8 2009,Rotherham United FC,1-0,Accrington Stanley FC
1,Sat Aug 8 2009,Port Vale FC,1-1,Rochdale AFC
1,Sat Aug 8 2009,Notts County FC,5-0,Bradford City AFC
1,Sat Aug 8 2009,Northampton Town FC,0-0,Macclesfield Town FC
1,Sat Aug 8 2009,Morecambe FC,2-2,Hereford FC (2014-)
1,Sat Aug 8 2009,Lincoln City FC,1-0,Barnet FC
1,Sat Aug 8 2009,Crewe Alexandra FC,1-2,Dagenham & Redbridge FC
1,Sat Aug 8 2009,Cheltenham Town FC,2-1,Grimsby Town FC
1,Sat Aug 8 2009,Bury FC,0-3,AFC Bournemouth
1,Sat Aug 8 2009,Aldershot Town FC,3-1,Darlington FC
2,Sat Aug 15 2009,Rochdale AFC,1-0,Aldershot Town FC
2,Sat Aug 15 2009,Macclesfield Town FC,0-4,Notts County FC
2,Sat Aug 15 2009,Hereford FC (2014-),1-1,Cheltenham Town FC
2,Sat Aug 15 2009,Grimsby Town FC,0-4,Crewe Alexandra FC
2,Sat Aug 15 2009,Darlington FC,0-1,Bury FC
2,Sat Aug 15 2009,Dagenham & Redbridge FC,5-3,Torquay United FC
2,Sat Aug 15 2009,Chesterfield FC,1-0,Northampton Town FC
2,Sat Aug 15 2009,Burton Albion FC,5-2,Morecambe FC
2,Sat Aug 15 2009,Bradford City AFC,0-0,Port Vale FC
2,Sat Aug 15 2009,AFC Bournemouth,1-0,Rotherham United FC
2,Sat Aug 15 2009,Barnet FC,2-2,Shrewsbury Town FC
2,Sat Aug 15 2009,Accrington Stanley FC,1-0,Lincoln City FC
3,Tue Aug 18 2009,Rochdale AFC,0-1,Cheltenham Town FC
3,Tue Aug 18 2009,Macclesfield Town FC,2-0,Port Vale FC
3,Tue Aug 18 2009,Hereford FC (2014-),1-3,Bury FC
3,Tue Aug 18 2009,Grimsby Town FC,1-2,Rotherham United FC
3,Tue Aug 18 2009,Darlington FC,0-1,Crewe Alexandra FC
3,Tue Aug 18 2009,Dagenham & Redbridge FC,5-0,Shrewsbury Town FC
3,Tue Aug 18 2009,Burton Albion FC,0-2,Torquay United FC
3,Tue Aug 18 2009,Bradford City AFC,0-2,Lincoln City FC
3,Tue Aug 18 2009,AFC Bournemouth,1-0,Aldershot Town FC
3,Tue Aug 18 2009,Barnet FC,2-0,Morecambe FC
3,Tue Aug 18 2009,Accrington Stanley FC,0-3,Northampton Town FC
3,Wed Aug 19 2009,Chesterfield FC,2-1,Notts County FC
4,Sat Aug 22 2009,Torquay United FC,0-1,Barnet FC
4,Sat Aug 22 2009,Shrewsbury Town FC,1-1,Chesterfield FC
4,Sat Aug 22 2009,Port Vale FC,1-0,Darlington FC
4,Sat Aug 22 2009,Notts County FC,3-0,Dagenham & Redbridge FC
4,Sat Aug 22 2009,Northampton Town FC,2-0,AFC Bournemouth
4,Sat Aug 22 2009,Morecambe FC,2-2,Macclesfield Town FC
4,Sat Aug 22 2009,Lincoln City FC,0-2,Burton Albion FC
4,Sat Aug 22 2009,Crewe Alexandra FC,1-0,Hereford FC (2014-)
4,Sat Aug 22 2009,Cheltenham Town FC,4-5,Bradford City AFC
4,Sat Aug 22 2009,Bury FC,0-1,Grimsby Town FC
4,Sat Aug 22 2009,Aldershot Town FC,3-1,Accrington Stanley FC
4,Sun Aug 23 2009,Rotherham United FC,2-1,Rochdale AFC
5,Sat Aug 29 2009,Rochdale AFC,3-0,Bury FC
5,Sat Aug 29 2009,Macclesfield Town FC,1-3,Rotherham United FC
5,Sat Aug 29 2009,Hereford FC (2014-),2-2,Port Vale FC
5,Sat Aug 29 2009,Grimsby Town FC,1-2,Aldershot Town FC
5,Sat Aug 29 2009,Darlington FC,1-1,Cheltenham Town FC
5,Sat Aug 29 2009,Dagenham & Redbridge FC,3-0,Lincoln City FC
5,Sat Aug 29 2009,Chesterfield FC,1-1,Morecambe FC
5,Sat Aug 29 2009,Burton Albion FC,3-2,Northampton Town FC
5,Sat Aug 29 2009,Bradford City AFC,2-0,Torquay United FC
5,Sat Aug 29 2009,AFC Bournemouth,1-0,Crewe Alexandra FC
5,Sat Aug 29 2009,Barnet FC,1-0,Notts County FC
5,Sat Aug 29 2009,Accrington Stanley FC,1-3,Shrewsbury Town FC
6,Fri Sep 4 2009,Northampton Town FC,1-3,Barnet FC
6,Fri Sep 4 2009,Morecambe FC,3-3,Rochdale AFC
6,Sat Sep 5 2009,Rotherham United FC,3-1,Chesterfield FC
6,Sat Sep 5 2009,Torquay United FC,1-2,AFC Bournemouth
6,Sat Sep 5 2009,Shrewsbury Town FC,1-2,Bradford City AFC
6,Sat Sep 5 2009,Port Vale FC,4-0,Grimsby Town FC
6,Sat Sep 5 2009,Notts County FC,1-1,Burton Albion FC
6,Sat Sep 5 2009,Lincoln City FC,3-0,Darlington FC
6,Sat Sep 5 2009,Crewe Alexandra FC,2-1,Macclesfield Town FC
6,Sat Sep 5 2009,Cheltenham Town FC,1-1,Dagenham & Redbridge FC
6,Sat Sep 5 2009,Bury FC,0-2,Accrington Stanley FC
6,Sat Sep 5 2009,Aldershot Town FC,2-2,Hereford FC (2014-)
7,Fri Sep 11 2009,Accrington Stanley FC,2-1,Darlington FC
7,Sat Sep 12 2009,Shrewsbury Town FC,2-0,Crewe Alexandra FC
7,Sat Sep 12 2009,Rotherham United FC,0-0,Morecambe FC
7,Sat Sep 12 2009,Rochdale AFC,2-1,Torquay United FC
7,Sat Sep 12 2009,Notts County FC,5-2,Northampton Town FC
7,Sat Sep 12 2009,Macclesfield Town FC,1-1,Barnet FC
7,Sat Sep 12 2009,Grimsby Town FC,1-0,Hereford FC (2014-)
7,Sat Sep 12 2009,Dagenham & Redbridge FC,2-1,Chesterfield FC
7,Sat Sep 12 2009,Bury FC,0-1,Cheltenham Town FC
7,Sat Sep 12 2009,Bradford City AFC,1-1,Burton Albion FC
7,Sat Sep 12 2009,AFC Bournemouth,3-1,Lincoln City FC
7,Sat Sep 12 2009,Aldershot Town FC,1-1,Port Vale FC
8,Sat Sep 19 2009,Torquay United FC,0-2,Grimsby Town FC
8,Sat Sep 19 2009,Port Vale FC,0-1,Bury FC
8,Sat Sep 19 2009,Northampton Town FC,1-2,Rochdale AFC
8,Sat Sep 19 2009,Morecambe FC,2-1,Notts County FC
8,Sat Sep 19 2009,Lincoln City FC,0-2,Shrewsbury Town FC
8,Sat Sep 19 2009,Hereford FC (2014-),2-0,Accrington Stanley FC
8,Sat Sep 19 2009,Darlington FC,0-2,AFC Bournemouth
8,Sat Sep 19 2009,Crewe Alexandra FC,1-2,Aldershot Town FC
8,Sat Sep 19 2009,Chesterfield FC,4-1,Macclesfield Town FC
8,Sat Sep 19 2009,Cheltenham Town FC,1-1,Rotherham United FC
8,Sat Sep 19 2009,Burton Albion FC,0-1,Dagenham & Redbridge FC
8,Sat Sep 19 2009,Barnet FC,2-2,Bradford City AFC
9,Fri Sep 25 2009,Accrington Stanley FC,5-3,Crewe Alexandra FC
9,Sat Sep 26 2009,Shrewsbury Town FC,3-0,Northampton Town FC
9,Sat Sep 26 2009,Rotherham United FC,3-0,Barnet FC
9,Sat Sep 26 2009,Rochdale AFC,4-1,Hereford FC (2014-)
9,Sat Sep 26 2009,Notts County FC,3-1,Port Vale FC
9,Sat Sep 26 2009,Macclesfield Town FC,2-1,Torquay United FC
9,Sat Sep 26 2009,Grimsby Town FC,1-1,Darlington FC
