Round,Date,Team 1,FT,Team 2
1,Fri Aug 10 2001,York City FC,0-1,Rushden & Diamonds (1992-2011)
1,Fri Aug 10 2001,Southend United FC,1-0,Darlington FC
1,Fri Aug 10 2001,Plymouth Argyle FC,0-1,Shrewsbury Town FC
1,Fri Aug 10 2001,Oxford United FC,1-2,Rochdale AFC
1,Fri Aug 10 2001,Macclesfield Town FC,1-3,Swansea City FC
1,Fri Aug 10 2001,Lincoln City FC,1-2,FC Halifax Town
1,Fri Aug 10 2001,Kidderminster Harriers FC,1-0,Scunthorpe United FC
1,Fri Aug 10 2001,Hartlepool United FC,1-1,Mansfield Town FC
1,Fri Aug 10 2001,Exeter City FC,1-3,Hull City AFC
1,Fri Aug 10 2001,Cheltenham Town FC,1-1,Leyton Orient FC
1,Fri Aug 10 2001,Carlisle United FC,0-2,Luton Town FC
1,Fri Aug 10 2001,Bristol Rovers FC,1-0,Torquay United FC
2,Wed Aug 15 2001,Rushden & Diamonds (1992-2011),0-0,Lincoln City FC
2,Fri Aug 17 2001,Darlington FC,2-0,Kidderminster Harriers FC
2,Fri Aug 17 2001,Swansea City FC,0-0,Oxford United FC
2,Fri Aug 17 2001,Shrewsbury Town FC,1-3,Hartlepool United FC
2,Fri Aug 17 2001,Scunthorpe United FC,1-2,Bristol Rovers FC
2,Fri Aug 17 2001,Torquay United FC,0-3,York City FC
2,Fri Aug 17 2001,Mansfield Town FC,0-0,Southend United FC
2,Fri Aug 17 2001,Luton Town FC,2-1,Cheltenham Town FC
2,Fri Aug 17 2001,Leyton Orient FC,0-0,Carlisle United FC
2,Fri Aug 17 2001,Hull City AFC,0-0,Plymouth Argyle FC
2,Fri Aug 17 2001,FC Halifax Town,1-1,Exeter City FC
2,Fri Aug 17 2001,Rochdale AFC,1-1,Macclesfield Town FC
3,Fri Aug 24 2001,York City FC,2-1,Leyton Orient FC
3,Fri Aug 24 2001,Southend United FC,4-1,FC Halifax Town
3,Fri Aug 24 2001,Plymouth Argyle FC,1-2,Rochdale AFC
3,Fri Aug 24 2001,Oxford United FC,0-1,Shrewsbury Town FC
3,Fri Aug 24 2001,Macclesfield Town FC,0-0,Rushden & Diamonds (1992-2011)
3,Fri Aug 24 2001,Lincoln City FC,3-0,Swansea City FC
3,Fri Aug 24 2001,Kidderminster Harriers FC,1-0,Torquay United FC
3,Fri Aug 24 2001,Hartlepool United FC,1-2,Darlington FC
3,Fri Aug 24 2001,Exeter City FC,0-4,Scunthorpe United FC
3,Fri Aug 24 2001,Cheltenham Town FC,2-3,Mansfield Town FC
3,Fri Aug 24 2001,Bristol Rovers FC,3-2,Luton Town FC
3,Fri Aug 24 2001,Carlisle United FC,0-0,Hull City AFC
4,Sun Aug 26 2001,Torquay United FC,2-1,Carlisle United FC
4,Sun Aug 26 2001,Swansea City FC,2-2,Cheltenham Town FC
4,Sun Aug 26 2001,Scunthorpe United FC,1-1,Lincoln City FC
4,Sun Aug 26 2001,Rushden & Diamonds (1992-2011),2-3,Plymouth Argyle FC
4,Sun Aug 26 2001,Rochdale AFC,2-0,Exeter City FC
4,Sun Aug 26 2001,Mansfield Town FC,4-0,Macclesfield Town FC
4,Sun Aug 26 2001,Luton Town FC,2-0,Southend United FC
4,Sun Aug 26 2001,Leyton Orient FC,2-0,Hartlepool United FC
4,Sun Aug 26 2001,Hull City AFC,2-1,Kidderminster Harriers FC
4,Sun Aug 26 2001,FC Halifax Town,0-2,Oxford United FC
4,Sun Aug 26 2001,Darlington FC,1-0,Bristol Rovers FC
4,Mon Aug 27 2001,Shrewsbury Town FC,3-2,York City FC
5,Fri Aug 31 2001,Bristol Rovers FC,0-0,Shrewsbury Town FC
5,Fri Aug 31 2001,Southend United FC,1-2,Leyton Orient FC
5,Fri Aug 31 2001,Oxford United FC,3-2,Rushden & Diamonds (1992-2011)
5,Fri Aug 31 2001,Macclesfield Town FC,4-3,Scunthorpe United FC
5,Fri Aug 31 2001,York City FC,1-0,FC Halifax Town
5,Fri Aug 31 2001,Kidderminster Harriers FC,1-1,Mansfield Town FC
5,Fri Aug 31 2001,Exeter City FC,2-2,Luton Town FC
5,Fri Aug 31 2001,Cheltenham Town FC,2-2,Torquay United FC
5,Fri Aug 31 2001,Carlisle United FC,1-2,Rochdale AFC
5,Fri Aug 31 2001,Lincoln City FC,1-1,Darlington FC
6,Fri Sep 7 2001,Torquay United FC,0-1,Plymouth Argyle FC
6,Fri Sep 7 2001,Swansea City FC,4-2,Exeter City FC
6,Fri Sep 7 2001,Shrewsbury Town FC,2-1,Cheltenham Town FC
6,Fri Sep 7 2001,Scunthorpe United FC,1-0,Hartlepool United FC
6,Fri Sep 7 2001,Rushden & Diamonds (1992-2011),0-1,Southend United FC
6,Fri Sep 7 2001,Rochdale AFC,2-0,Kidderminster Harriers FC
6,Fri Sep 7 2001,Mansfield Town FC,2-1,Lincoln City FC
6,Fri Sep 7 2001,Luton Town FC,1-1,Oxford United FC
6,Fri Sep 7 2001,Leyton Orient FC,3-1,Bristol Rovers FC
6,Fri Sep 7 2001,Hull City AFC,4-0,York City FC
6,Fri Sep 7 2001,FC Halifax Town,0-0,Macclesfield Town FC
6,Fri Sep 7 2001,Darlington FC,2-2,Carlisle United FC
5,Mon Sep 10 2001,Plymouth Argyle FC,3-1,Swansea City FC
7,Thu Sep 13 2001,Mansfield Town FC,2-1,Shrewsbury Town FC
