Round,Date,Team 1,FT,Team 2
1,Fri Aug 10 2001,Wrexham AFC,3-3,Oldham Athletic AFC
1,Fri Aug 10 2001,Wigan Athletic FC,1-1,Brentford FC
1,Fri Aug 10 2001,Tranmere Rovers FC,1-2,Bury FC
1,Fri Aug 10 2001,Swindon Town FC,0-0,Peterborough United FC
1,Fri Aug 10 2001,Queens Park Rangers FC,1-0,Stoke City FC
1,Fri Aug 10 2001,Port Vale FC,4-2,Notts County FC
1,Fri Aug 10 2001,Northampton Town FC,0-3,Bristol City FC
1,Fri Aug 10 2001,Huddersfield Town AFC,1-0,AFC Bournemouth
1,Fri Aug 10 2001,Chesterfield FC,3-6,Colchester United FC
1,Fri Aug 10 2001,Cardiff City FC,1-0,Wycombe Wanderers FC
1,Fri Aug 10 2001,Cambridge United FC,0-0,Brighton & Hove Albion FC
1,Fri Aug 10 2001,Blackpool FC,0-2,Reading FC
2,Fri Aug 17 2001,Wycombe Wanderers FC,5-2,Wrexham AFC
2,Fri Aug 17 2001,Stoke City FC,2-0,Northampton Town FC
2,Fri Aug 17 2001,Reading FC,1-0,Huddersfield Town AFC
2,Fri Aug 17 2001,Peterborough United FC,1-1,Cardiff City FC
2,Fri Aug 17 2001,Oldham Athletic AFC,1-1,Chesterfield FC
2,Fri Aug 17 2001,Notts County FC,2-1,Cambridge United FC
2,Fri Aug 17 2001,Colchester United FC,2-1,Tranmere Rovers FC
2,Fri Aug 17 2001,Bury FC,1-2,Queens Park Rangers FC
2,Fri Aug 17 2001,Bristol City FC,3-1,Swindon Town FC
2,Fri Aug 17 2001,AFC Bournemouth,0-1,Blackpool FC
2,Fri Aug 17 2001,Brentford FC,2-0,Port Vale FC
2,Fri Aug 17 2001,Brighton & Hove Albion FC,2-1,Wigan Athletic FC
3,Fri Aug 24 2001,Wrexham AFC,1-1,Colchester United FC
3,Fri Aug 24 2001,Wigan Athletic FC,1-2,Bristol City FC
3,Fri Aug 24 2001,Tranmere Rovers FC,0-0,Brighton & Hove Albion FC
3,Fri Aug 24 2001,Swindon Town FC,0-2,Oldham Athletic AFC
3,Fri Aug 24 2001,Queens Park Rangers FC,0-0,Reading FC
3,Fri Aug 24 2001,Port Vale FC,4-1,Peterborough United FC
3,Fri Aug 24 2001,Northampton Town FC,0-2,Notts County FC
3,Fri Aug 24 2001,Huddersfield Town AFC,2-0,Bury FC
3,Fri Aug 24 2001,Chesterfield FC,0-1,Brentford FC
3,Fri Aug 24 2001,Blackpool FC,2-2,Wycombe Wanderers FC
3,Fri Aug 24 2001,Cambridge United FC,0-2,Stoke City FC
3,Fri Aug 24 2001,Cardiff City FC,2-2,AFC Bournemouth
4,Sun Aug 26 2001,Wycombe Wanderers FC,1-0,Queens Park Rangers FC
4,Sun Aug 26 2001,Stoke City FC,1-2,Tranmere Rovers FC
4,Sun Aug 26 2001,Brentford FC,2-1,Cambridge United FC
4,Sun Aug 26 2001,Notts County FC,1-1,Chesterfield FC
4,Sun Aug 26 2001,Colchester United FC,2-0,Port Vale FC
4,Sun Aug 26 2001,Bury FC,0-3,Swindon Town FC
4,Sun Aug 26 2001,Brighton & Hove Albion FC,4-0,Blackpool FC
4,Sun Aug 26 2001,Peterborough United FC,1-2,Huddersfield Town AFC
4,Mon Aug 27 2001,Oldham Athletic AFC,4-2,Northampton Town FC
5,Wed Aug 29 2001,Queens Park Rangers FC,0-0,Bristol City FC
5,Thu Aug 30 2001,Northampton Town FC,2-0,Brighton & Hove Albion FC
5,Fri Aug 31 2001,Tranmere Rovers FC,2-2,Oldham Athletic AFC
5,Fri Aug 31 2001,Cambridge United FC,2-2,AFC Bournemouth
5,Fri Aug 31 2001,Port Vale FC,0-2,Reading FC
5,Fri Aug 31 2001,Chesterfield FC,0-1,Peterborough United FC
5,Fri Aug 31 2001,Swindon Town FC,1-0,Colchester United FC
5,Sat Sep 1 2001,Huddersfield Town AFC,2-1,Wycombe Wanderers FC
6,Fri Sep 7 2001,Stoke City FC,1-1,Huddersfield Town AFC
6,Fri Sep 7 2001,Wycombe Wanderers FC,0-0,Chesterfield FC
6,Fri Sep 7 2001,Reading FC,1-2,Cardiff City FC
6,Fri Sep 7 2001,Peterborough United FC,1-0,Cambridge United FC
6,Fri Sep 7 2001,Oldham Athletic AFC,2-1,Blackpool FC
6,Fri Sep 7 2001,Notts County FC,2-2,Wrexham AFC
6,Fri Sep 7 2001,Colchester United FC,3-1,Northampton Town FC
6,Fri Sep 7 2001,AFC Bournemouth,0-0,Swindon Town FC
6,Fri Sep 7 2001,Bristol City FC,1-1,Port Vale FC
6,Fri Sep 7 2001,Brighton & Hove Albion FC,2-1,Queens Park Rangers FC
6,Fri Sep 7 2001,Brentford FC,4-0,Tranmere Rovers FC
6,Fri Sep 7 2001,Bury FC,0-2,Wigan Athletic FC
5,Mon Sep 10 2001,Wrexham AFC,1-0,Bury FC
7,Thu Sep 13 2001,Wrexham AFC,1-2,Brighton & Hove Albion FC
7,Fri Sep 14 2001,Oldham Athletic AFC,2-0,Peterborough United FC
7,Fri Sep 14 2001,Swindon Town FC,2-2,Tranmere Rovers FC
7,Fri Sep 14 2001,Stoke City FC,2-0,Reading FC
7,Fri Sep 14 2001,Queens Park Rangers FC,4-1,Port Vale FC
7,Fri Sep 14 2001,Wycombe Wanderers FC,1-0,Wigan Athletic FC
7,Fri Sep 14 2001,Notts County FC,0-0,Brentford FC
7,Fri Sep 14 2001,Northampton Town FC,0-2,Chesterfield FC
7,Fri Sep 14 2001,AFC Bournemouth,3-2,Bury FC
7,Fri Sep 14 2001,Cambridge United FC,2-1,Cardiff City FC
7,Fri Sep 14 2001,Bristol City FC,3-1,Colchester United FC
7,Fri Sep 14 2001,Huddersfield Town AFC,2-4,Blackpool FC
8,Mon Sep 17 2001,Wigan Athletic FC,1-0,Huddersfield Town AFC
8,Mon Sep 17 2001,Tranmere Rovers FC,4-2,Notts County FC
8,Mon Sep 17 2001,Reading FC,1-0,Cambridge United FC
8,Mon Sep 17 2001,Port Vale FC,0-2,Swindon Town FC
8,Mon Sep 17 2001,Peterborough United FC,6-0,AFC Bournemouth
8,Mon Sep 17 2001,Colchester United FC,2-1,Oldham Athletic AFC
8,Mon Sep 17 2001,Chesterfield FC,3-2,Wrexham AFC
8,Mon Sep 17 2001,Cardiff City FC,2-0,Northampton Town FC
8,Mon Sep 17 2001,Brighton & Hove Albion FC,1-0,Stoke City FC
8,Mon Sep 17 2001,Brentford FC,2-2,Bristol City FC
8,Mon Sep 17 2001,Blackpool FC,2-2,Queens Park Rangers FC
9,Fri Sep 21 2001,Tranmere Rovers FC,5-0,Wrexham AFC
9,Sat Sep 22 2001,Wigan Athletic FC,1-2,Queens Park Rangers FC
9,Sat Sep 22 2001,Reading FC,2-0,Wycombe Wanderers FC
9,Sat Sep 22 2001,Port Vale FC,0-1,Northampton Town FC
9,Sat Sep 22 2001,Peterborough United FC,4-1,Bristol City FC
9,Sat Sep 22 2001,Blackpool FC,1-1,Cambridge United FC
9,Sat Sep 22 2001,Chesterfield FC,4-0,Swindon Town FC
9,Sat Sep 22 2001,Cardiff City FC,1-2,Huddersfield Town AFC
9,Sat Sep 22 2001,Bury FC,0-1,Stoke City FC
9,Sat Sep 22 2001,Brighton & Hove Albion FC,2-1,AFC Bournemouth
9,Sat Sep 22 2001,Brentford FC,2-2,Oldham Athletic AFC
9,Sat Sep 22 2001,Colchester United FC,0-1,Notts County FC
10,Tue Sep 25 2001,AFC Bournemouth,1-0,Reading FC
10,Tue Sep 25 2001,Wycombe Wanderers FC,1-1,Brighton & Hove Albion FC
10,Tue Sep 25 2001,Swindon Town FC,2-0,Brentford FC
10,Tue Sep 25 2001,Queens Park Rangers FC,2-1,Cardiff City FC
10,Tue Sep 25 2001,Oldham Athletic AFC,4-0,Bury FC
10,Tue Sep 25 2001,Notts County FC,1-0,Peterborough United FC
10,Tue Sep 25 2001,Northampton Town FC,1-3,Blackpool FC
10,Tue Sep 25 2001,Huddersfield Town AFC,0-0,Chesterfield FC
10,Tue Sep 25 2001,Cambridge United FC,2-2,Wigan Athletic FC
10,Tue Sep 25 2001,Bristol City FC,2-0,Tranmere Rovers FC
10,Tue Sep 25 2001,Wrexham AFC,1-3,Port Vale FC
10,Wed Sep 26 2001,Stoke City FC,3-0,Colchester United FC
11,Sat Sep 29 2001,Oldham Athletic AFC,4-1,Notts County FC
11,Sat Sep 29 2001,Wycombe Wanderers FC,3-1,Port Vale FC
11,Sat Sep 29 2001,Wrexham AFC,1-2,Peterborough United FC
11,Sat Sep 29 2001,Stoke City FC,2-0,AFC Bournemouth
11,Sat Sep 29 2001,Reading FC,1-1,Bury FC
11,Sat Sep 29 2001,Brentford FC,4-1,Colchester United FC
11,Sat Sep 29 2001,Northampton Town FC,1-1,Swindon Town FC
11,Sat Sep 29 2001,Huddersfield Town AFC,1-0,Bristol City FC
11,Sat Sep 29 2001,Chesterfield FC,0-2,Tranmere Rovers FC
11,Sat Sep 29 2001,Cardiff City FC,1-1,Brighton & Hove Albion FC
11,Sat Sep 29 2001,Cambridge United FC,2-1,Queens Park Rangers FC
11,Sat Sep 29 2001,Blackpool FC,3-1,Wigan Athletic FC
8,Tue Oct 2 2001,Bury FC,1-1,Wycombe Wanderers FC
12,Thu Oct 4 2001,Tranmere Rovers FC,4-0,Blackpool FC
12,Fri Oct 5 2001,Colchester United FC,2-0,Reading FC
12,Fri Oct 5 2001,Port Vale FC,5-0,Cambridge United FC
12,Fri Oct 5 2001,Bristol City FC,3-0,Chesterfield FC
12,Fri Oct 5 2001,AFC Bournemouth,3-2,Oldham Athletic AFC
12,Fri Oct 5 2001,Brighton & Hove Albion FC,1-2,Brentford FC
12,Sat Oct 6 2001,Notts County FC,0-1,Wycombe Wanderers FC
12,Sun Oct 7 2001,Queens Park Rangers FC,3-2,Huddersfield Town AFC
12,Sun Oct 7 2001,Peterborough United FC,2-0,Northampton Town FC
4,Tue Oct 9 2001,Bristol City FC,1-1,Cardiff City FC
4,Tue Oct 9 2001,AFC Bournemouth,2-0,Wigan Athletic FC
13,Fri Oct 12 2001,Cardiff City FC,2-2,Wigan Athletic FC
13,Sat Oct 13 2001,Oldham Athletic AFC,0-1,Bristol City FC
13,Sat Oct 13 2001,Wrexham AFC,1-0,Queens Park Rangers FC
13,Sat Oct 13 2001,Stoke City FC,1-0,Notts County FC
13,Sat Oct 13 2001,Blackpool FC,2-1,Colchester United FC
13,Sat Oct 13 2001,Wycombe Wanderers FC,1-1,AFC Bournemouth
13,Sat Oct 13 2001,Northampton Town FC,4-1,Tranmere Rovers FC
13,Sat Oct 13 2001,Huddersfield Town AFC,1-2,Brighton & Hove Albion FC
13,Sat Oct 13 2001,Chesterfield FC,1-1,Port Vale FC
13,Sat Oct 13 2001,Cambridge United FC,3-1,Bury FC
13,Sat Oct 13 2001,Brentford FC,2-1,Peterborough United FC
13,Sat Oct 13 2001,Reading FC,1-3,Swindon Town FC
14,Sat Oct 20 2001,Wigan Athletic FC,2-3,Wrexham AFC
14,Sat Oct 20 2001,Tranmere Rovers FC,1-0,Huddersfield Town AFC
14,Sat Oct 20 2001,Queens Park Rangers FC,0-1,Northampton Town FC
14,Sat Oct 20 2001,Peterborough United FC,3-2,Blackpool FC
14,Sat Oct 20 2001,Notts County FC,3-4,Reading FC
14,Sat Oct 20 2001,AFC Bournemouth,0-2,Brentford FC
14,Sat Oct 20 2001,Bury FC,2-1,Chesterfield FC
14,Sat Oct 20 2001,Bristol City FC,0-1,Wycombe Wanderers FC
14,Sat Oct 20 2001,Brighton & Hove Albion FC,3-0,Oldham Athletic AFC
14,Sat Oct 20 2001,Colchester United FC,3-1,Cambridge United FC
14,Sun Oct 21 2001,Port Vale FC,1-1,Stoke City FC
14,Sun Oct 21 2001,Swindon Town FC,0-3,Cardiff City FC
15,Tue Oct 23 2001,Wrexham AFC,1-1,Blackpool FC
15,Tue Oct 23 2001,Tranmere Rovers FC,1-2,Wigan Athletic FC
15,Tue Oct 23 2001,Peterborough United FC,4-1,Queens Park Rangers FC
15,Tue Oct 23 2001,Oldham Athletic AFC,0-1,Reading FC
15,Tue Oct 23 2001,Notts County FC,2-2,Brighton & Hove Albion FC
15,Tue Oct 23 2001,Brentford FC,5-1,Bury FC
15,Tue Oct 23 2001,Colchester United FC,2-2,Wycombe Wanderers FC
