Matchday,Date,Team 1,FT,Team 2
1,Sat Aug 6 2005,Swansea City FC,1-0,Tranmere Rovers FC
1,Sat Aug 6 2005,Southend United FC,1-2,Port Vale FC
1,Sat Aug 6 2005,Rotherham United FC,1-2,Walsall FC
1,Sat Aug 6 2005,Oldham Athletic AFC,2-0,Yeovil Town FC
1,Sat Aug 6 2005,Nottingham Forest FC,2-1,Huddersfield Town AFC
1,Sat Aug 6 2005,Milton Keynes Dons FC,2-2,AFC Bournemouth
1,Sat Aug 6 2005,Hartlepool United FC,0-2,Bradford City AFC
1,Sat Aug 6 2005,Gillingham FC,2-1,Colchester United FC
1,Sat Aug 6 2005,Bristol City FC,0-0,Doncaster Rovers FC
1,Sat Aug 6 2005,Brentford FC,2-0,Scunthorpe United FC
1,Sat Aug 6 2005,Blackpool FC,1-3,Chesterfield FC
1,Sat Aug 6 2005,Barnsley FC,2-0,Swindon Town FC
2,Tue Aug 9 2005,Yeovil Town FC,0-0,Rotherham United FC
2,Tue Aug 9 2005,Walsall FC,3-2,Nottingham Forest FC
2,Tue Aug 9 2005,Tranmere Rovers FC,2-2,Blackpool FC
2,Tue Aug 9 2005,Swindon Town FC,2-3,Oldham Athletic AFC
2,Tue Aug 9 2005,Scunthorpe United FC,2-1,Barnsley FC
2,Tue Aug 9 2005,AFC Bournemouth,1-1,Hartlepool United FC
2,Tue Aug 9 2005,Huddersfield Town AFC,1-0,Bristol City FC
2,Tue Aug 9 2005,Doncaster Rovers FC,1-1,Milton Keynes Dons FC
2,Tue Aug 9 2005,Colchester United FC,1-2,Swansea City FC
2,Tue Aug 9 2005,Bradford City AFC,0-2,Southend United FC
2,Tue Aug 9 2005,Port Vale FC,0-0,Gillingham FC
2,Wed Aug 10 2005,Chesterfield FC,1-3,Brentford FC
3,Fri Aug 12 2005,Tranmere Rovers FC,4-0,Oldham Athletic AFC
3,Sat Aug 13 2005,Scunthorpe United FC,1-1,Gillingham FC
3,Sat Aug 13 2005,Walsall FC,2-2,Southend United FC
3,Sat Aug 13 2005,Swindon Town FC,2-1,Nottingham Forest FC
3,Sat Aug 13 2005,Huddersfield Town AFC,3-1,Swansea City FC
3,Sat Aug 13 2005,AFC Bournemouth,2-0,Bristol City FC
3,Sat Aug 13 2005,Doncaster Rovers FC,0-1,Hartlepool United FC
3,Sat Aug 13 2005,Colchester United FC,1-0,Barnsley FC
3,Sat Aug 13 2005,Chesterfield FC,0-1,Rotherham United FC
3,Sat Aug 13 2005,Bradford City AFC,2-0,Milton Keynes Dons FC
3,Sat Aug 13 2005,Yeovil Town FC,1-1,Blackpool FC
3,Mon Aug 15 2005,Port Vale FC,1-0,Brentford FC
4,Sat Aug 20 2005,Swansea City FC,1-2,Doncaster Rovers FC
4,Sat Aug 20 2005,Barnsley FC,1-0,Yeovil Town FC
4,Sat Aug 20 2005,Rotherham United FC,1-1,Bradford City AFC
4,Sat Aug 20 2005,Oldham Athletic AFC,4-1,Chesterfield FC
4,Sat Aug 20 2005,Nottingham Forest FC,0-1,Scunthorpe United FC
4,Sat Aug 20 2005,Milton Keynes Dons FC,1-1,Colchester United FC
4,Sat Aug 20 2005,Hartlepool United FC,1-1,Walsall FC
4,Sat Aug 20 2005,Gillingham FC,1-0,AFC Bournemouth
