Matchday,Date,Team 1,FT,Team 2
1,Sat Aug 6 2011,Wycombe Wanderers FC,1-1,Scunthorpe United FC
1,Sat Aug 6 2011,Walsall FC,1-0,Leyton Orient FC
1,Sat Aug 6 2011,Tranmere Rovers FC,1-0,Chesterfield FC
1,Sat Aug 6 2011,Stevenage FC,0-0,Exeter City FC
1,Sat Aug 6 2011,Sheffield Wednesday FC,2-0,Rochdale AFC
1,Sat Aug 6 2011,Preston North End FC,2-4,Colchester United FC
1,Sat Aug 6 2011,Oldham Athletic AFC,0-2,Sheffield United FC
1,Sat Aug 6 2011,Milton Keynes Dons FC,2-2,Hartlepool United FC
1,Sat Aug 6 2011,Huddersfield Town AFC,1-1,Bury FC
1,Sat Aug 6 2011,Charlton Athletic FC,3-0,AFC Bournemouth
1,Sat Aug 6 2011,Carlisle United FC,0-3,Notts County FC
1,Sat Aug 6 2011,Brentford FC,2-0,Yeovil Town FC
2,Sat Aug 13 2011,Yeovil Town FC,3-1,Oldham Athletic AFC
2,Sat Aug 13 2011,Sheffield United FC,2-0,Brentford FC
2,Sat Aug 13 2011,Scunthorpe United FC,1-1,Preston North End FC
2,Sat Aug 13 2011,Rochdale AFC,2-2,Huddersfield Town AFC
2,Sat Aug 13 2011,Notts County FC,1-2,Charlton Athletic FC
2,Sat Aug 13 2011,Leyton Orient FC,0-1,Tranmere Rovers FC
2,Sat Aug 13 2011,Hartlepool United FC,1-1,Walsall FC
2,Sat Aug 13 2011,Exeter City FC,0-2,Milton Keynes Dons FC
2,Sat Aug 13 2011,Colchester United FC,1-1,Wycombe Wanderers FC
2,Sat Aug 13 2011,Chesterfield FC,1-1,Stevenage FC
2,Sat Aug 13 2011,Bury FC,0-2,Carlisle United FC
2,Sat Aug 13 2011,AFC Bournemouth,2-0,Sheffield Wednesday FC
3,Tue Aug 16 2011,Yeovil Town FC,0-1,Milton Keynes Dons FC
3,Tue Aug 16 2011,Sheffield United FC,3-2,Walsall FC
3,Tue Aug 16 2011,Scunthorpe United FC,1-2,Oldham Athletic AFC
3,Tue Aug 16 2011,Rochdale AFC,0-0,Carlisle United FC
3,Tue Aug 16 2011,Notts County FC,3-2,Tranmere Rovers FC
3,Tue Aug 16 2011,Leyton Orient FC,1-3,Wycombe Wanderers FC
3,Tue Aug 16 2011,Hartlepool United FC,0-0,Huddersfield Town AFC
3,Tue Aug 16 2011,Exeter City FC,1-2,Brentford FC
3,Tue Aug 16 2011,Colchester United FC,0-2,Charlton Athletic FC
3,Tue Aug 16 2011,Chesterfield FC,0-2,Preston North End FC
3,Tue Aug 16 2011,Bury FC,2-1,Sheffield Wednesday FC
3,Tue Aug 16 2011,AFC Bournemouth,1-3,Stevenage FC
4,Sat Aug 20 2011,Wycombe Wanderers FC,0-2,Bury FC
4,Sat Aug 20 2011,Walsall FC,1-1,Yeovil Town FC
4,Sat Aug 20 2011,Tranmere Rovers FC,1-1,Sheffield United FC
4,Sat Aug 20 2011,Stevenage FC,2-2,Hartlepool United FC
4,Sat Aug 20 2011,Sheffield Wednesday FC,2-1,Notts County FC
4,Sat Aug 20 2011,Preston North End FC,1-0,Exeter City FC
4,Sat Aug 20 2011,Oldham Athletic AFC,2-0,Rochdale AFC
4,Sat Aug 20 2011,Milton Keynes Dons FC,6-2,Chesterfield FC
4,Sat Aug 20 2011,Huddersfield Town AFC,3-2,Colchester United FC
4,Sat Aug 20 2011,Charlton Athletic FC,2-2,Scunthorpe United FC
4,Sat Aug 20 2011,Carlisle United FC,2-1,AFC Bournemouth
4,Sat Aug 20 2011,Brentford FC,5-0,Leyton Orient FC
5,Sat Aug 27 2011,Yeovil Town FC,0-1,Sheffield United FC
5,Sat Aug 27 2011,Sheffield Wednesday FC,3-2,Scunthorpe United FC
5,Sat Aug 27 2011,Rochdale AFC,1-3,Hartlepool United FC
5,Sat Aug 27 2011,Preston North End FC,2-0,Notts County FC
5,Sat Aug 27 2011,Milton Keynes Dons FC,1-0,Stevenage FC
5,Sat Aug 27 2011,Leyton Orient FC,1-2,Carlisle United FC
5,Sat Aug 27 2011,Huddersfield Town AFC,3-0,Wycombe Wanderers FC
5,Sat Aug 27 2011,Exeter City FC,2-1,Chesterfield FC
5,Sat Aug 27 2011,Colchester United FC,4-1,Oldham Athletic AFC
5,Sat Aug 27 2011,Bury FC,1-2,Charlton Athletic FC
5,Sat Aug 27 2011,Brentford FC,0-2,Tranmere Rovers FC
5,Sat Aug 27 2011,AFC Bournemouth,0-2,Walsall FC
6,Sat Sep 3 2011,Walsall FC,0-1,Brentford FC
6,Sat Sep 3 2011,Tranmere Rovers FC,0-0,Yeovil Town FC
6,Sat Sep 3 2011,Stevenage FC,4-2,Rochdale AFC
6,Sat Sep 3 2011,Sheffield United FC,4-0,Bury FC
6,Sat Sep 3 2011,Scunthorpe United FC,1-1,Colchester United FC
6,Sat Sep 3 2011,Oldham Athletic AFC,1-1,Huddersfield Town AFC
6,Sat Sep 3 2011,Notts County FC,3-1,AFC Bournemouth
6,Sat Sep 3 2011,Hartlepool United FC,2-0,Exeter City FC
6,Sat Sep 3 2011,Chesterfield FC,0-0,Leyton Orient FC
6,Sat Sep 3 2011,Carlisle United FC,1-3,Milton Keynes Dons FC
6,Mon Sep 5 2011,Charlton Athletic FC,1-1,Sheffield Wednesday FC
7,Fri Sep 9 2011,Preston North End FC,4-3,Yeovil Town FC
7,Sat Sep 10 2011,Oldham Athletic AFC,1-1,Stevenage FC
7,Sat Sep 10 2011,AFC Bournemouth,0-3,Chesterfield FC
7,Sat Sep 10 2011,Sheffield Wednesday FC,3-1,Milton Keynes Dons FC
7,Sat Sep 10 2011,Scunthorpe United FC,1-1,Sheffield United FC
7,Sat Sep 10 2011,Notts County FC,2-1,Walsall FC
7,Sat Sep 10 2011,Bury FC,2-4,Rochdale AFC
7,Sat Sep 10 2011,Huddersfield Town AFC,2-0,Tranmere Rovers FC
7,Sat Sep 10 2011,Colchester United FC,1-1,Leyton Orient FC
7,Sat Sep 10 2011,Charlton Athletic FC,2-0,Exeter City FC
7,Sat Sep 10 2011,Carlisle United FC,1-2,Hartlepool United FC
7,Sat Sep 10 2011,Wycombe Wanderers FC,0-1,Brentford FC
8,Tue Sep 13 2011,Yeovil Town FC,1-0,Wycombe Wanderers FC
8,Tue Sep 13 2011,Brentford FC,1-1,Colchester United FC
8,Tue Sep 13 2011,Walsall FC,0-1,Oldham Athletic AFC
8,Tue Sep 13 2011,Tranmere Rovers FC,1-2,Carlisle United FC
8,Tue Sep 13 2011,Stevenage FC,5-1,Sheffield Wednesday FC
8,Tue Sep 13 2011,Sheffield United FC,0-3,Huddersfield Town AFC
8,Tue Sep 13 2011,Rochdale AFC,1-0,Scunthorpe United FC
8,Tue Sep 13 2011,Leyton Orient FC,1-3,AFC Bournemouth
8,Tue Sep 13 2011,Exeter City FC,1-1,Notts County FC
8,Tue Sep 13 2011,Chesterfield FC,1-0,Bury FC
9,Sat Sep 17 2011,Leyton Orient FC,1-3,Oldham Athletic AFC
9,Sat Sep 17 2011,Sheffield United FC,3-0,Colchester United FC
9,Sat Sep 17 2011,Chesterfield FC,4-1,Carlisle United FC
9,Sat Sep 17 2011,Yeovil Town FC,2-3,Sheffield Wednesday FC
9,Sat Sep 17 2011,Walsall FC,2-2,Scunthorpe United FC
9,Sat Sep 17 2011,Tranmere Rovers FC,2-0,Wycombe Wanderers FC
9,Sat Sep 17 2011,Stevenage FC,0-2,Notts County FC
9,Sat Sep 17 2011,Exeter City FC,0-2,AFC Bournemouth
9,Sat Sep 17 2011,Rochdale AFC,2-3,Charlton Athletic FC
9,Sat Sep 17 2011,Milton Keynes Dons FC,1-1,Huddersfield Town AFC
9,Sat Sep 17 2011,Brentford FC,1-3,Preston North End FC
9,Sat Sep 17 2011,Hartlepool United FC,3-0,Bury FC
10,Sat Sep 24 2011,Bury FC,0-0,Milton Keynes Dons FC
10,Sat Sep 24 2011,Carlisle United FC,1-0,Stevenage FC
10,Sat Sep 24 2011,AFC Bournemouth,1-2,Hartlepool United FC
10,Sat Sep 24 2011,Wycombe Wanderers FC,1-0,Sheffield United FC
10,Sat Sep 24 2011,Sheffield Wednesday FC,3-0,Exeter City FC
10,Sat Sep 24 2011,Scunthorpe United FC,2-1,Yeovil Town FC
10,Sat Sep 24 2011,Preston North End FC,2-1,Tranmere Rovers FC
10,Sat Sep 24 2011,Oldham Athletic AFC,0-2,Brentford FC
10,Sat Sep 24 2011,Notts County FC,2-0,Rochdale AFC
10,Sat Sep 24 2011,Huddersfield Town AFC,2-2,Leyton Orient FC
10,Sat Sep 24 2011,Colchester United FC,1-0,Walsall FC
10,Sat Sep 24 2011,Charlton Athletic FC,3-1,Chesterfield FC
6,Tue Sep 27 2011,Wycombe Wanderers FC,3-4,Preston North End FC
8,Tue Sep 27 2011,Milton Keynes Dons FC,1-1,Charlton Athletic FC
11,Sat Oct 1 2011,Sheffield United FC,0-2,Charlton Athletic FC
11,Sat Oct 1 2011,Yeovil Town FC,1-3,Bury FC
11,Sat Oct 1 2011,Walsall FC,1-1,Carlisle United FC
11,Sat Oct 1 2011,Tranmere Rovers FC,0-0,AFC Bournemouth
11,Sat Oct 1 2011,Stevenage FC,1-2,Scunthorpe United FC
11,Sat Oct 1 2011,Hartlepool United FC,0-1,Sheffield Wednesday FC
11,Sat Oct 1 2011,Rochdale AFC,2-1,Wycombe Wanderers FC
11,Sat Oct 1 2011,Milton Keynes Dons FC,3-0,Notts County FC
11,Sat Oct 1 2011,Leyton Orient FC,2-1,Preston North End FC
11,Sat Oct 1 2011,Exeter City FC,2-0,Oldham Athletic AFC
11,Sat Oct 1 2011,Brentford FC,0-4,Huddersfield Town AFC
11,Sat Oct 1 2011,Chesterfield FC,0-1,Colchester United FC
12,Sat Oct 8 2011,AFC Bournemouth,1-1,Rochdale AFC
12,Sat Oct 8 2011,Wycombe Wanderers FC,1-1,Walsall FC
12,Sat Oct 8 2011,Sheffield Wednesday FC,3-1,Chesterfield FC
12,Sat Oct 8 2011,Scunthorpe United FC,2-3,Leyton Orient FC
12,Sat Oct 8 2011,Bury FC,2-0,Exeter City FC
12,Sat Oct 8 2011,Colchester United FC,2-2,Yeovil Town FC
12,Sat Oct 8 2011,Charlton Athletic FC,1-1,Tranmere Rovers FC
12,Sat Oct 8 2011,Carlisle United FC,2-2,Brentford FC
12,Sat Oct 8 2011,Huddersfield Town AFC,2-1,Stevenage FC
12,Sun Oct 9 2011,Notts County FC,3-0,Hartlepool United FC
12,Mon Oct 10 2011,Oldham Athletic AFC,2-1,Milton Keynes Dons FC
13,Sat Oct 15 2011,Tranmere Rovers FC,1-0,Oldham Athletic AFC
13,Sat Oct 15 2011,Walsall FC,1-0,Preston North End FC
13,Sat Oct 15 2011,Rochdale AFC,2-2,Colchester United FC
13,Sat Oct 15 2011,Brentford FC,0-0,Scunthorpe United FC
13,Sat Oct 15 2011,Exeter City FC,0-4,Huddersfield Town AFC
13,Sat Oct 15 2011,Stevenage FC,1-0,Charlton Athletic FC
13,Sat Oct 15 2011,Yeovil Town FC,0-3,Carlisle United FC
13,Sat Oct 15 2011,Milton Keynes Dons FC,2-2,AFC Bournemouth
13,Sat Oct 15 2011,Leyton Orient FC,1-0,Bury FC
13,Sat Oct 15 2011,Hartlepool United FC,1-3,Wycombe Wanderers FC
13,Sat Oct 15 2011,Chesterfield FC,1-3,Notts County FC
13,Sun Oct 16 2011,Sheffield United FC,2-2,Sheffield Wednesday FC
12,Wed Oct 19 2011,Preston North End FC,2-4,Sheffield United FC
14,Sat Oct 22 2011,Charlton Athletic FC,4-0,Carlisle United FC
14,Sat Oct 22 2011,Notts County FC,1-1,Brentford FC
14,Sat Oct 22 2011,Stevenage FC,0-0,Yeovil Town FC
14,Sat Oct 22 2011,Sheffield Wednesday FC,2-0,Colchester United FC
14,Sat Oct 22 2011,Oldham Athletic AFC,2-0,Wycombe Wanderers FC
14,Sat Oct 22 2011,Tranmere Rovers FC,2-1,Walsall FC
14,Sat Oct 22 2011,Milton Keynes Dons FC,0-0,Scunthorpe United FC
14,Sat Oct 22 2011,Leyton Orient FC,1-1,Sheffield United FC
14,Sat Oct 22 2011,Huddersfield Town AFC,3-1,Preston North End FC
14,Sat Oct 22 2011,Exeter City FC,3-1,Rochdale AFC
14,Sat Oct 22 2011,Chesterfield FC,2-3,Hartlepool United FC
14,Sat Oct 22 2011,AFC Bournemouth,1-2,Bury FC
15,Tue Oct 25 2011,Brentford FC,0-1,Stevenage FC
15,Tue Oct 25 2011,Yeovil Town FC,2-2,Leyton Orient FC
15,Tue Oct 25 2011,Wycombe Wanderers FC,1-2,Charlton Athletic FC
15,Tue Oct 25 2011,Walsall FC,1-2,Exeter City FC
15,Tue Oct 25 2011,Sheffield United FC,2-1,Milton Keynes Dons FC
15,Tue Oct 25 2011,Scunthorpe United FC,2-2,Huddersfield Town AFC
15,Tue Oct 25 2011,Rochdale AFC,1-1,Chesterfield FC
15,Tue Oct 25 2011,Preston North End FC,3-3,Oldham Athletic AFC
15,Tue Oct 25 2011,Hartlepool United FC,0-2,Tranmere Rovers FC
15,Tue Oct 25 2011,Colchester United FC,1-1,AFC Bournemouth
15,Tue Oct 25 2011,Carlisle United FC,3-2,Sheffield Wednesday FC
15,Tue Oct 25 2011,Bury FC,2-2,Notts County FC
16,Sat Oct 29 2011,Bury FC,1-2,Stevenage FC
16,Sat Oct 29 2011,Yeovil Town FC,0-1,Huddersfield Town AFC
16,Sat Oct 29 2011,Wycombe Wanderers FC,1-2,Sheffield Wednesday FC
16,Sat Oct 29 2011,Walsall FC,0-2,Milton Keynes Dons FC
16,Sat Oct 29 2011,Sheffield United FC,4-4,Exeter City FC
16,Sat Oct 29 2011,Scunthorpe United FC,4-2,Tranmere Rovers FC
16,Sat Oct 29 2011,Brentford FC,2-1,Chesterfield FC
16,Sat Oct 29 2011,Preston North End FC,1-3,AFC Bournemouth
16,Sat Oct 29 2011,Hartlepool United FC,0-4,Charlton Athletic FC
16,Sat Oct 29 2011,Colchester United FC,4-2,Notts County FC
16,Sat Oct 29 2011,Carlisle United FC,3-3,Oldham Athletic AFC
16,Sat Oct 29 2011,Rochdale AFC,0-2,Leyton Orient FC
17,Sat Nov 5 2011,AFC Bournemouth,2-0,Scunthorpe United FC
17,Sat Nov 5 2011,Tranmere Rovers FC,0-0,Colchester United FC
17,Sat Nov 5 2011,Stevenage FC,2-1,Sheffield United FC
17,Sat Nov 5 2011,Sheffield Wednesday FC,0-0,Brentford FC
17,Sat Nov 5 2011,Oldham Athletic AFC,0-2,Bury FC
17,Sat Nov 5 2011,Notts County FC,1-1,Wycombe Wanderers FC
17,Sat Nov 5 2011,Milton Keynes Dons FC,3-1,Rochdale AFC
17,Sat Nov 5 2011,Leyton Orient FC,1-1,Hartlepool United FC
17,Sat Nov 5 2011,Huddersfield Town AFC,1-1,Walsall FC
17,Sat Nov 5 2011,Exeter City FC,0-0,Carlisle United FC
17,Sat Nov 5 2011,Chesterfield FC,2-2,Yeovil Town FC
17,Sat Nov 5 2011,Charlton Athletic FC,5-2,Preston North End FC
18,Sat Nov 19 2011,Scunthorpe United FC,0-2,Hartlepool United FC
18,Sat Nov 19 2011,Yeovil Town FC,2-2,Exeter City FC
18,Sat Nov 19 2011,Wycombe Wanderers FC,0-1,AFC Bournemouth
18,Sat Nov 19 2011,Walsall FC,2-4,Bury FC
18,Sat Nov 19 2011,Tranmere Rovers FC,1-2,Sheffield Wednesday FC
18,Sat Nov 19 2011,Sheffield United FC,1-0,Carlisle United FC
18,Sat Nov 19 2011,Brentford FC,0-1,Charlton Athletic FC
18,Sat Nov 19 2011,Preston North End FC,0-1,Rochdale AFC
18,Sat Nov 19 2011,Oldham Athletic AFC,5-2,Chesterfield FC
18,Sat Nov 19 2011,Leyton Orient FC,0-0,Stevenage FC
18,Sat Nov 19 2011,Huddersfield Town AFC,2-1,Notts County FC
18,Sat Nov 19 2011,Colchester United FC,1-5,Milton Keynes Dons FC
19,Sat Nov 26 2011,AFC Bournemouth,0-0,Oldham Athletic AFC
19,Sat Nov 26 2011,Chesterfield FC,0-1,Sheffield United FC
19,Sat Nov 26 2011,Stevenage FC,0-0,Walsall FC
19,Sat Nov 26 2011,Sheffield Wednesday FC,1-0,Leyton Orient FC
19,Sat Nov 26 2011,Rochdale AFC,1-2,Brentford FC
19,Sat Nov 26 2011,Notts County FC,3-2,Scunthorpe United FC
19,Sat Nov 26 2011,Bury FC,1-0,Preston North End FC
19,Sat Nov 26 2011,Hartlepool United FC,0-1,Yeovil Town FC
19,Sat Nov 26 2011,Exeter City FC,3-0,Tranmere Rovers FC
19,Sat Nov 26 2011,Carlisle United FC,1-0,Colchester United FC
19,Sat Nov 26 2011,Milton Keynes Dons FC,4-3,Wycombe Wanderers FC
19,Mon Nov 28 2011,Charlton Athletic FC,2-0,Huddersfield Town AFC
8,Tue Nov 29 2011,Hartlepool United FC,0-1,Preston North End FC
20,Sat Dec 10 2011,Sheffield United FC,3-0,Rochdale AFC
20,Sat Dec 10 2011,Wycombe Wanderers FC,3-2,Chesterfield FC
20,Sat Dec 10 2011,Walsall FC,1-1,Charlton Athletic FC
20,Sat Dec 10 2011,Tranmere Rovers FC,0-2,Milton Keynes Dons FC
20,Sat Dec 10 2011,Yeovil Town FC,1-0,Notts County FC
20,Sat Dec 10 2011,Scunthorpe United FC,1-2,Carlisle United FC
20,Sat Dec 10 2011,Preston North End FC,0-0,Stevenage FC
20,Sat Dec 10 2011,Oldham Athletic AFC,0-2,Sheffield Wednesday FC
20,Sat Dec 10 2011,Leyton Orient FC,3-0,Exeter City FC
20,Sat Dec 10 2011,Huddersfield Town AFC,0-1,AFC Bournemouth
20,Sat Dec 10 2011,Brentford FC,2-1,Hartlepool United FC
20,Sat Dec 10 2011,Colchester United FC,4-1,Bury FC
21,Sat Dec 17 2011,Stevenage FC,2-1,Tranmere Rovers FC
21,Sat Dec 17 2011,Sheffield Wednesday FC,4-4,Huddersfield Town AFC
21,Sat Dec 17 2011,Rochdale AFC,0-0,Yeovil Town FC
21,Sat Dec 17 2011,Milton Keynes Dons FC,0-1,Preston North End FC
21,Sat Dec 17 2011,Notts County FC,1-2,Leyton Orient FC
21,Sat Dec 17 2011,Exeter City FC,0-0,Scunthorpe United FC
21,Sat Dec 17 2011,Chesterfield FC,1-1,Walsall FC
21,Sat Dec 17 2011,Charlton Athletic FC,1-1,Oldham Athletic AFC
21,Sat Dec 17 2011,Carlisle United FC,2-2,Wycombe Wanderers FC
21,Sat Dec 17 2011,Bury FC,1-1,Brentford FC
21,Sat Dec 17 2011,AFC Bournemouth,0-2,Sheffield United FC
21,Sat Dec 17 2011,Hartlepool United FC,0-1,Colchester United FC
22,Mon Dec 26 2011,Leyton Orient FC,0-3,Milton Keynes Dons FC
22,Mon Dec 26 2011,Preston North End FC,3-3,Carlisle United FC
22,Mon Dec 26 2011,Yeovil Town FC,2-3,Charlton Athletic FC
22,Mon Dec 26 2011,Wycombe Wanderers FC,3-1,Exeter City FC
22,Mon Dec 26 2011,Brentford FC,1-1,AFC Bournemouth
22,Mon Dec 26 2011,Walsall FC,2-1,Sheffield Wednesday FC
22,Mon Dec 26 2011,Oldham Athletic AFC,0-1,Hartlepool United FC
22,Mon Dec 26 2011,Huddersfield Town AFC,1-0,Chesterfield FC
22,Mon Dec 26 2011,Colchester United FC,1-6,Stevenage FC
22,Mon Dec 26 2011,Scunthorpe United FC,1-3,Bury FC
22,Tue Dec 27 2011,Sheffield United FC,2-1,Notts County FC
23,Fri Dec 30 2011,Huddersfield Town AFC,1-1,Carlisle United FC
23,Fri Dec 30 2011,Tranmere Rovers FC,2-0,Bury FC
23,Sat Dec 31 2011,Preston North End FC,0-2,Sheffield Wednesday FC
23,Sat Dec 31 2011,Colchester United FC,2-0,Exeter City FC
23,Sat Dec 31 2011,Scunthorpe United FC,2-2,Chesterfield FC
23,Sat Dec 31 2011,Walsall FC,0-0,Rochdale AFC
23,Sat Dec 31 2011,Sheffield United FC,3-1,Hartlepool United FC
23,Sat Dec 31 2011,Wycombe Wanderers FC,0-1,Stevenage FC
23,Sat Dec 31 2011,Oldham Athletic AFC,3-2,Notts County FC
23,Sat Dec 31 2011,Brentford FC,3-3,Milton Keynes Dons FC
23,Sat Dec 31 2011,Leyton Orient FC,1-0,Charlton Athletic FC
23,Sat Dec 31 2011,Yeovil Town FC,1-3,AFC Bournemouth
24,Mon Jan 2 2012,Rochdale AFC,1-1,Preston North End FC
24,Mon Jan 2 2012,Sheffield Wednesday FC,2-1,Tranmere Rovers FC
24,Mon Jan 2 2012,Notts County FC,2-2,Huddersfield Town AFC
24,Mon Jan 2 2012,Milton Keynes Dons FC,1-0,Colchester United FC
24,Mon Jan 2 2012,Hartlepool United FC,1-2,Scunthorpe United FC
24,Mon Jan 2 2012,Exeter City FC,1-1,Yeovil Town FC
24,Mon Jan 2 2012,Chesterfield FC,1-1,Oldham Athletic AFC
24,Mon Jan 2 2012,Charlton Athletic FC,2-0,Brentford FC
24,Mon Jan 2 2012,Carlisle United FC,3-2,Sheffield United FC
24,Mon Jan 2 2012,Bury FC,2-1,Walsall FC
24,Mon Jan 2 2012,AFC Bournemouth,2-0,Wycombe Wanderers FC
24,Mon Jan 2 2012,Stevenage FC,0-1,Leyton Orient FC
25,Fri Jan 6 2012,Wycombe Wanderers FC,0-6,Huddersfield Town AFC
25,Sat Jan 7 2012,Tranmere Rovers FC,2-2,Brentford FC
25,Sat Jan 7 2012,Walsall FC,2-2,AFC Bournemouth
25,Sat Jan 7 2012,Hartlepool United FC,2-0,Rochdale AFC
25,Sat Jan 7 2012,Chesterfield FC,0-2,Exeter City FC
25,Sat Jan 7 2012,Carlisle United FC,4-1,Leyton Orient FC
25,Tue Jan 10 2012,Sheffield United FC,4-0,Yeovil Town FC
26,Sat Jan 14 2012,Brentford FC,0-0,Walsall FC
