Round,Date,Team 1,FT,HT,Team 2
?,(Mon) 4 Apr 1988 (14),Bolton Wanderers (1),2-1,?,Burnley FC (1)
?,(Sat) 28 Nov 1987 (47),Bolton Wanderers (2),2-2,?,Cambridge United (1)
?,(Sat) 22 Aug 1987 (33),Bolton Wanderers (3),1-0,?,Cardiff City (1)
?,(Sat) 17 Oct 1987 (41),Bolton Wanderers (4),5-0,?,Carlisle United (1)
?,(Mon) 2 May 1988 (18),Bolton Wanderers (5),4-0,?,Colchester United (1)
?,(Sat) 15 Aug 1987 (32),Bolton Wanderers (6),1-1,?,Crewe Alexandra (1)
?,(Fri) 11 Mar 1988 (10),Bolton Wanderers (7),1-1,?,Darlington FC (1)
?,(Tue) 20 Oct 1987 (42),Bolton Wanderers (8),1-0,?,Exeter City (1)
?,(Sat) 12 Sep 1987 (36),Bolton Wanderers (9),2-0,?,Halifax Town (1)
?,(Sat) 26 Sep 1987 (38),Bolton Wanderers (10),1-2,?,Hartlepool United (1)
?,(Sat) 6 Feb 1988 (5),Bolton Wanderers (11),1-0,?,Hereford United (1)
?,(Sat) 7 Nov 1987 (44),Bolton Wanderers (12),1-0,?,Leyton Orient FC (1)
?,(Sat) 23 Apr 1988 (16),Bolton Wanderers (13),6-0,?,Newport County AFC (1)
?,(Mon) 31 Aug 1987 (35),Bolton Wanderers (14),2-0,?,Peterborough United (1)
?,(Sat) 26 Mar 1988 (12),Bolton Wanderers (15),0-0,?,Rochdale AFC (1)
?,(Fri) 1 Jan 1988 (0),Bolton Wanderers (16),3-1,?,Scarborough Athletic FC (1)
?,(Tue) 19 Apr 1988 (16),Bolton Wanderers (17),0-0,?,Scunthorpe United (1)
?,(Mon) 28 Dec 1987 (52),Bolton Wanderers (18),2-1,?,Stockport County (1)
?,(Sat) 31 Oct 1987 (43),Bolton Wanderers (19),1-1,?,Swansea City (1)
?,(Sat) 16 Jan 1988 (2),Bolton Wanderers (20),1-2,?,Torquay United (1)
?,(Tue) 1 Mar 1988 (9),Bolton Wanderers (21),2-0,?,Tranmere Rovers (1)
?,(Sat) 3 Oct 1987 (39),Bolton Wanderers (22),1-0,?,Wolverhampton Wanderers (1)
?,(Sat) 19 Dec 1987 (50),Bolton Wanderers (23),2-0,?,Wrexham AFC (1)
?,(Sat) 21 Nov 1987 (46),Burnley FC (2),2-1,?,Bolton Wanderers (24)
?,(Sat) 19 Sep 1987 (37),Burnley FC (3),0-2,?,Cambridge United (2)
?,(Sat) 7 May 1988 (18),Burnley FC (4),1-2,?,Cardiff City (2)
?,(Sat) 29 Aug 1987 (34),Burnley FC (5),4-3,?,Carlisle United (2)
?,(Sat) 15 Aug 1987 (32),Burnley FC (6),0-3,?,Colchester United (2)
?,(Tue) 29 Sep 1987 (39),Burnley FC (7),0-0,?,Crewe Alexandra (2)
?,(Sat) 13 Feb 1988 (6),Burnley FC (8),2-1,?,Darlington FC (2)
?,(Sat) 5 Mar 1988 (9),Burnley FC (9),3-0,?,Exeter City (2)
?,(Fri) 8 Apr 1988 (14),Burnley FC (10),3-1,?,Halifax Town (2)
?,(Sat) 10 Oct 1987 (40),Burnley FC (11),1-0,?,Hartlepool United (2)
?,(Sat) 12 Dec 1987 (49),Burnley FC (12),0-0,?,Hereford United (2)
?,(Tue) 22 Mar 1988 (12),Burnley FC (13),2-0,?,Leyton Orient FC (2)
?,(Sat) 9 Jan 1988 (1),Burnley FC (14),2-0,?,Newport County AFC (2)
?,(Sat) 30 Apr 1988 (17),Burnley FC (15),1-2,?,Peterborough United (2)
?,(Sat) 26 Dec 1987 (51),Burnley FC (16),4-0,?,Rochdale AFC (2)
?,(Sat) 27 Feb 1988 (8),Burnley FC (17),0-1,?,Scarborough Athletic FC (2)
?,(Tue) 20 Oct 1987 (42),Burnley FC (18),1-1,?,Scunthorpe United (2)
?,(Sat) 31 Oct 1987 (43),Burnley FC (19),1-1,?,Stockport County (2)
?,(Sat) 5 Sep 1987 (35),Burnley FC (20),1-0,?,Swansea City (2)
?,(Wed) 4 May 1988 (18),Burnley FC (21),1-0,?,Torquay United (2)
?,(Sat) 2 Jan 1988 (0),Burnley FC (22),1-1,?,Tranmere Rovers (2)
?,(Sat) 2 Apr 1988 (13),Burnley FC (23),0-3,?,Wolverhampton Wanderers (2)
