Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 15 Aug 1987 (32),Preston North End FC (1),0-1,?,Chesterfield FC (1)
?,(Sat) 15 Aug 1987 (32),Chester FC (1),0-5,?,Northampton Town FC (1)
?,(Sat) 15 Aug 1987 (32),Bury FC (1),2-2,?,Southend United FC (1)
?,(Sat) 15 Aug 1987 (32),Gillingham FC (1),0-0,?,Blackpool FC (1)
?,(Sat) 15 Aug 1987 (32),Brentford FC (1),0-1,?,Sunderland AFC (1)
?,(Sat) 15 Aug 1987 (32),Doncaster Rovers FC (1),1-0,?,Grimsby Town FC (1)
?,(Sat) 15 Aug 1987 (32),Notts County FC (1),4-4,?,Wigan Athletic FC (1)
?,(Sat) 15 Aug 1987 (32),Brighton & Hove Albion FC (1),1-0,?,York City FC (1)
?,(Sat) 15 Aug 1987 (32),Mansfield Town FC (1),2-0,?,Bristol City FC (1)
?,(Sat) 15 Aug 1987 (32),Port Vale FC (1),4-2,?,Aldershot Town FC (1)
?,(Sat) 15 Aug 1987 (32),Walsall FC (1),0-1,?,Fulham FC (1)
?,(Sat) 15 Aug 1987 (32),Bristol Rovers FC (1),3-1,?,Rotherham United FC (1)
?,(Sat) 22 Aug 1987 (33),Grimsby Town FC (2),2-0,?,Gillingham FC (2)
?,(Sat) 22 Aug 1987 (33),Blackpool FC (2),1-2,?,Walsall FC (2)
?,(Sat) 22 Aug 1987 (33),Sunderland AFC (2),1-1,?,Bristol Rovers FC (2)
?,(Sat) 22 Aug 1987 (33),Southend United FC (2),2-2,?,Chester FC (2)
?,(Sat) 22 Aug 1987 (33),Fulham FC (2),4-0,?,Doncaster Rovers FC (2)
?,(Sat) 22 Aug 1987 (33),Chesterfield FC (2),0-0,?,Brighton & Hove Albion FC (2)
?,(Sat) 22 Aug 1987 (33),Rotherham United FC (2),0-1,?,Bury FC (2)
?,(Sat) 22 Aug 1987 (33),York City FC (2),3-5,?,Notts County FC (2)
