Round,Date,Team 1,FT,Team 2
1,Fri Aug 8 2003,Swansea City FC,4-2,Bury FC
1,Fri Aug 8 2003,Southend United FC,2-0,Cheltenham Town FC
1,Fri Aug 8 2003,Scunthorpe United FC,1-2,Bristol Rovers FC
1,Fri Aug 8 2003,Rochdale AFC,1-3,Yeovil Town FC
1,Fri Aug 8 2003,Northampton Town FC,0-1,Torquay United FC
1,Fri Aug 8 2003,Macclesfield Town FC,0-0,Boston United FC
1,Fri Aug 8 2003,Lincoln City FC,0-1,Oxford United FC
1,Fri Aug 8 2003,Leyton Orient FC,1-3,Doncaster Rovers FC
1,Fri Aug 8 2003,Kidderminster Harriers FC,2-1,Mansfield Town FC
1,Fri Aug 8 2003,Hull City AFC,4-1,Darlington FC
1,Fri Aug 8 2003,Huddersfield Town AFC,2-2,Cambridge United FC
1,Fri Aug 8 2003,Carlisle United FC,1-2,York City FC
2,Fri Aug 15 2003,York City FC,1-0,Northampton Town FC
2,Fri Aug 15 2003,Yeovil Town FC,3-0,Carlisle United FC
2,Fri Aug 15 2003,Torquay United FC,1-0,Lincoln City FC
2,Fri Aug 15 2003,Oxford United FC,2-1,Hull City AFC
2,Fri Aug 15 2003,Mansfield Town FC,1-1,Leyton Orient FC
2,Fri Aug 15 2003,Boston United FC,2-2,Huddersfield Town AFC
2,Fri Aug 15 2003,Darlington FC,0-2,Kidderminster Harriers FC
2,Fri Aug 15 2003,Cheltenham Town FC,3-4,Swansea City FC
2,Fri Aug 15 2003,Cambridge United FC,3-1,Macclesfield Town FC
2,Fri Aug 15 2003,Bury FC,2-3,Scunthorpe United FC
2,Fri Aug 15 2003,Bristol Rovers FC,0-0,Rochdale AFC
2,Fri Aug 15 2003,Doncaster Rovers FC,2-0,Southend United FC
3,Fri Aug 22 2003,Swansea City FC,3-0,Boston United FC
3,Fri Aug 22 2003,Northampton Town FC,1-0,Darlington FC
3,Fri Aug 22 2003,Southend United FC,0-3,Mansfield Town FC
3,Fri Aug 22 2003,Scunthorpe United FC,1-1,Oxford United FC
3,Fri Aug 22 2003,Rochdale AFC,2-2,Cambridge United FC
3,Fri Aug 22 2003,Macclesfield Town FC,1-1,Torquay United FC
3,Fri Aug 22 2003,Lincoln City FC,0-0,Doncaster Rovers FC
3,Fri Aug 22 2003,Leyton Orient FC,2-0,Yeovil Town FC
3,Fri Aug 22 2003,Kidderminster Harriers FC,0-2,Bury FC
3,Fri Aug 22 2003,Hull City AFC,3-3,Cheltenham Town FC
3,Fri Aug 22 2003,Huddersfield Town AFC,0-1,York City FC
3,Fri Aug 22 2003,Carlisle United FC,0-2,Bristol Rovers FC
4,Sun Aug 24 2003,Yeovil Town FC,0-2,Northampton Town FC
4,Sun Aug 24 2003,Torquay United FC,1-3,Rochdale AFC
4,Sun Aug 24 2003,Oxford United FC,3-0,Swansea City FC
4,Sun Aug 24 2003,Doncaster Rovers FC,1-1,Huddersfield Town AFC
4,Sun Aug 24 2003,Darlington FC,2-1,Leyton Orient FC
4,Sun Aug 24 2003,Boston United FC,1-0,Carlisle United FC
4,Sun Aug 24 2003,Cambridge United FC,0-2,Hull City AFC
4,Sun Aug 24 2003,Bury FC,2-1,Lincoln City FC
4,Sun Aug 24 2003,Bristol Rovers FC,2-2,Macclesfield Town FC
4,Sun Aug 24 2003,Cheltenham Town FC,2-1,Kidderminster Harriers FC
4,Tue Aug 26 2003,York City FC,2-0,Southend United FC
4,Tue Aug 26 2003,Mansfield Town FC,5-0,Scunthorpe United FC
5,Fri Aug 29 2003,Swansea City FC,4-1,Mansfield Town FC
5,Fri Aug 29 2003,Southend United FC,1-0,Bury FC
5,Fri Aug 29 2003,Scunthorpe United FC,2-1,Torquay United FC
5,Fri Aug 29 2003,Rochdale AFC,4-2,Darlington FC
5,Fri Aug 29 2003,Northampton Town FC,1-0,Doncaster Rovers FC
5,Fri Aug 29 2003,Carlisle United FC,0-0,Cambridge United FC
5,Fri Aug 29 2003,Lincoln City FC,3-0,York City FC
5,Fri Aug 29 2003,Leyton Orient FC,1-4,Cheltenham Town FC
5,Fri Aug 29 2003,Kidderminster Harriers FC,1-1,Oxford United FC
5,Fri Aug 29 2003,Hull City AFC,2-1,Boston United FC
5,Fri Aug 29 2003,Huddersfield Town AFC,2-1,Bristol Rovers FC
5,Fri Aug 29 2003,Macclesfield Town FC,4-1,Yeovil Town FC
6,Fri Sep 5 2003,Cheltenham Town FC,4-3,Northampton Town FC
6,Fri Sep 5 2003,Cambridge United FC,0-0,Lincoln City FC
6,Fri Sep 5 2003,York City FC,1-2,Rochdale AFC
6,Fri Sep 5 2003,Yeovil Town FC,2-0,Swansea City FC
6,Fri Sep 5 2003,Torquay United FC,2-1,Leyton Orient FC
6,Fri Sep 5 2003,Oxford United FC,2-0,Southend United FC
6,Fri Sep 5 2003,Mansfield Town FC,3-2,Macclesfield Town FC
6,Fri Sep 5 2003,Darlington FC,2-0,Carlisle United FC
6,Fri Sep 5 2003,Bury FC,2-1,Huddersfield Town AFC
6,Fri Sep 5 2003,Bristol Rovers FC,1-0,Kidderminster Harriers FC
6,Fri Sep 5 2003,Boston United FC,1-1,Scunthorpe United FC
6,Mon Sep 8 2003,Doncaster Rovers FC,0-0,Hull City AFC
7,Fri Sep 12 2003,Yeovil Town FC,3-0,York City FC
7,Fri Sep 12 2003,Scunthorpe United FC,2-2,Swansea City FC
7,Fri Sep 12 2003,Oxford United FC,1-1,Mansfield Town FC
7,Fri Sep 12 2003,Macclesfield Town FC,1-1,Kidderminster Harriers FC
7,Fri Sep 12 2003,Lincoln City FC,0-0,Leyton Orient FC
7,Fri Sep 12 2003,Hull City AFC,3-2,Southend United FC
7,Fri Sep 12 2003,Huddersfield Town AFC,3-0,Northampton Town FC
7,Fri Sep 12 2003,Darlington FC,2-1,Doncaster Rovers FC
7,Fri Sep 12 2003,Carlisle United FC,3-2,Rochdale AFC
7,Fri Sep 12 2003,Cambridge United FC,1-1,Torquay United FC
7,Fri Sep 12 2003,Bury FC,1-1,Cheltenham Town FC
7,Fri Sep 12 2003,Bristol Rovers FC,2-0,Boston United FC
8,Tue Sep 16 2003,York City FC,1-1,Darlington FC
8,Tue Sep 16 2003,Torquay United FC,2-1,Bristol Rovers FC
8,Tue Sep 16 2003,Swansea City FC,3-0,Macclesfield Town FC
8,Tue Sep 16 2003,Southend United FC,0-2,Lincoln City FC
8,Tue Sep 16 2003,Rochdale AFC,1-1,Huddersfield Town AFC
8,Tue Sep 16 2003,Cheltenham Town FC,0-0,Oxford United FC
8,Tue Sep 16 2003,Mansfield Town FC,5-3,Bury FC
8,Tue Sep 16 2003,Leyton Orient FC,1-1,Hull City AFC
8,Tue Sep 16 2003,Kidderminster Harriers FC,0-2,Scunthorpe United FC
8,Tue Sep 16 2003,Doncaster Rovers FC,0-1,Yeovil Town FC
8,Tue Sep 16 2003,Northampton Town FC,2-0,Carlisle United FC
8,Wed Sep 17 2003,Boston United FC,1-2,Cambridge United FC
9,Fri Sep 19 2003,Northampton Town FC,0-0,Macclesfield Town FC
9,Fri Sep 19 2003,Torquay United FC,2-2,Darlington FC
9,Fri Sep 19 2003,Swansea City FC,2-0,Huddersfield Town AFC
9,Fri Sep 19 2003,Southend United FC,2-2,Carlisle United FC
9,Fri Sep 19 2003,Rochdale AFC,0-2,Hull City AFC
9,Fri Sep 19 2003,York City FC,2-1,Bristol Rovers FC
9,Fri Sep 19 2003,Mansfield Town FC,0-1,Yeovil Town FC
9,Fri Sep 19 2003,Leyton Orient FC,1-1,Scunthorpe United FC
9,Fri Sep 19 2003,Kidderminster Harriers FC,1-2,Lincoln City FC
9,Fri Sep 19 2003,Doncaster Rovers FC,2-0,Oxford United FC
9,Fri Sep 19 2003,Cheltenham Town FC,0-3,Cambridge United FC
9,Fri Sep 19 2003,Boston United FC,1-0,Bury FC
10,Fri Sep 26 2003,Yeovil Town FC,0-2,Torquay United FC
10,Fri Sep 26 2003,Scunthorpe United FC,1-1,Southend United FC
10,Fri Sep 26 2003,Oxford United FC,3-0,Northampton Town FC
10,Fri Sep 26 2003,Macclesfield Town FC,0-0,York City FC
10,Fri Sep 26 2003,Lincoln City FC,1-1,Rochdale AFC
10,Fri Sep 26 2003,Hull City AFC,6-1,Kidderminster Harriers FC
10,Fri Sep 26 2003,Huddersfield Town AFC,3-0,Leyton Orient FC
10,Fri Sep 26 2003,Darlington FC,3-0,Boston United FC
10,Fri Sep 26 2003,Carlisle United FC,1-2,Swansea City FC
10,Fri Sep 26 2003,Cambridge United FC,1-2,Mansfield Town FC
10,Fri Sep 26 2003,Bury FC,1-3,Doncaster Rovers FC
10,Fri Sep 26 2003,Bristol Rovers FC,2-0,Cheltenham Town FC
11,Tue Sep 30 2003,Yeovil Town FC,2-0,Boston United FC
11,Tue Sep 30 2003,Scunthorpe United FC,5-2,Cheltenham Town FC
11,Tue Sep 30 2003,Macclesfield Town FC,2-1,Rochdale AFC
11,Tue Sep 30 2003,Lincoln City FC,0-0,Northampton Town FC
11,Tue Sep 30 2003,Hull City AFC,1-0,Swansea City FC
11,Tue Sep 30 2003,Bristol Rovers FC,1-3,Mansfield Town FC
11,Tue Sep 30 2003,Darlington FC,0-0,Southend United FC
11,Tue Sep 30 2003,Carlisle United FC,0-1,Leyton Orient FC
11,Tue Sep 30 2003,Cambridge United FC,3-3,Doncaster Rovers FC
11,Tue Sep 30 2003,Bury FC,2-0,York City FC
11,Tue Sep 30 2003,Huddersfield Town AFC,1-0,Kidderminster Harriers FC
11,Wed Oct 1 2003,Oxford United FC,1-0,Torquay United FC
12,Fri Oct 3 2003,Northampton Town FC,1-5,Hull City AFC
12,Fri Oct 3 2003,Torquay United FC,3-1,Bury FC
12,Fri Oct 3 2003,Swansea City FC,2-2,Lincoln City FC
12,Fri Oct 3 2003,Southend United FC,1-2,Huddersfield Town AFC
12,Fri Oct 3 2003,Rochdale AFC,2-0,Scunthorpe United FC
12,Fri Oct 3 2003,York City FC,2-0,Cambridge United FC
12,Fri Oct 3 2003,Boston United FC,1-1,Oxford United FC
12,Fri Oct 3 2003,Leyton Orient FC,2-0,Macclesfield Town FC
12,Fri Oct 3 2003,Kidderminster Harriers FC,2-1,Carlisle United FC
12,Fri Oct 3 2003,Doncaster Rovers FC,5-1,Bristol Rovers FC
12,Fri Oct 3 2003,Cheltenham Town FC,3-1,Yeovil Town FC
12,Fri Oct 3 2003,Mansfield Town FC,3-1,Darlington FC
13,Fri Oct 10 2003,Scunthorpe United FC,1-3,Lincoln City FC
13,Fri Oct 10 2003,Rochdale AFC,1-1,Northampton Town FC
13,Fri Oct 10 2003,Oxford United FC,1-0,Yeovil Town FC
13,Fri Oct 10 2003,Mansfield Town FC,2-0,York City FC
13,Fri Oct 10 2003,Macclesfield Town FC,1-3,Doncaster Rovers FC
13,Fri Oct 10 2003,Leyton Orient FC,1-2,Swansea City FC
13,Fri Oct 10 2003,Kidderminster Harriers FC,1-2,Southend United FC
13,Fri Oct 10 2003,Huddersfield Town AFC,1-0,Torquay United FC
13,Fri Oct 10 2003,Darlington FC,0-4,Bristol Rovers FC
13,Fri Oct 10 2003,Cambridge United FC,1-2,Bury FC
13,Fri Oct 10 2003,Boston United FC,3-1,Cheltenham Town FC
13,Sat Oct 11 2003,Hull City AFC,2-1,Carlisle United FC
14,Fri Oct 17 2003,Northampton Town FC,1-1,Scunthorpe United FC
14,Fri Oct 17 2003,York City FC,1-1,Boston United FC
14,Fri Oct 17 2003,Yeovil Town FC,1-0,Darlington FC
14,Fri Oct 17 2003,Torquay United FC,1-1,Hull City AFC
14,Fri Oct 17 2003,Swansea City FC,0-0,Kidderminster Harriers FC
14,Fri Oct 17 2003,Bristol Rovers FC,0-2,Cambridge United FC
14,Fri Oct 17 2003,Lincoln City FC,3-1,Huddersfield Town AFC
14,Fri Oct 17 2003,Doncaster Rovers FC,4-2,Mansfield Town FC
14,Fri Oct 17 2003,Cheltenham Town FC,0-2,Rochdale AFC
14,Fri Oct 17 2003,Carlisle United FC,0-1,Macclesfield Town FC
14,Fri Oct 17 2003,Bury FC,0-4,Oxford United FC
14,Fri Oct 17 2003,Southend United FC,1-2,Leyton Orient FC
15,Tue Oct 21 2003,York City FC,2-2,Oxford United FC
15,Tue Oct 21 2003,Yeovil Town FC,2-1,Huddersfield Town AFC
15,Tue Oct 21 2003,Torquay United FC,1-0,Mansfield Town FC
15,Tue Oct 21 2003,Swansea City FC,0-2,Cambridge United FC
15,Tue Oct 21 2003,Southend United FC,0-2,Boston United FC
15,Tue Oct 21 2003,Northampton Town FC,0-1,Kidderminster Harriers FC
15,Tue Oct 21 2003,Lincoln City FC,3-2,Macclesfield Town FC
15,Tue Oct 21 2003,Doncaster Rovers FC,2-1,Rochdale AFC
15,Tue Oct 21 2003,Cheltenham Town FC,2-1,Darlington FC
15,Tue Oct 21 2003,Carlisle United FC,1-4,Scunthorpe United FC
15,Tue Oct 21 2003,Bury FC,0-0,Hull City AFC
15,Tue Oct 21 2003,Bristol Rovers FC,1-1,Leyton Orient FC
16,Fri Oct 24 2003,Scunthorpe United FC,0-0,York City FC
16,Fri Oct 24 2003,Rochdale AFC,0-1,Swansea City FC
16,Fri Oct 24 2003,Oxford United FC,0-0,Bristol Rovers FC
16,Fri Oct 24 2003,Mansfield Town FC,4-0,Cheltenham Town FC
16,Fri Oct 24 2003,Macclesfield Town FC,1-2,Southend United FC
16,Fri Oct 24 2003,Leyton Orient FC,1-1,Northampton Town FC
16,Fri Oct 24 2003,Kidderminster Harriers FC,0-2,Doncaster Rovers FC
16,Fri Oct 24 2003,Hull City AFC,3-0,Lincoln City FC
16,Fri Oct 24 2003,Huddersfield Town AFC,2-1,Carlisle United FC
16,Fri Oct 24 2003,Darlington FC,1-3,Bury FC
16,Fri Oct 24 2003,Cambridge United FC,1-4,Yeovil Town FC
16,Fri Oct 24 2003,Boston United FC,4-0,Torquay United FC
17,Sat Nov 1 2003,Swansea City FC,0-0,Bristol Rovers FC
17,Sat Nov 1 2003,Southend United FC,0-1,Northampton Town FC
17,Sat Nov 1 2003,Scunthorpe United FC,6-2,Huddersfield Town AFC
17,Sat Nov 1 2003,Oxford United FC,3-1,Darlington FC
17,Sat Nov 1 2003,Mansfield Town FC,2-1,Boston United FC
17,Sat Nov 1 2003,Bury FC,2-1,Yeovil Town FC
17,Sat Nov 1 2003,Leyton Orient FC,2-1,Rochdale AFC
17,Sat Nov 1 2003,Kidderminster Harriers FC,2-2,Cambridge United FC
17,Sat Nov 1 2003,Hull City AFC,2-2,Macclesfield Town FC
17,Sat Nov 1 2003,Doncaster Rovers FC,1-0,Torquay United FC
17,Sat Nov 1 2003,Cheltenham Town FC,1-1,York City FC
17,Sat Nov 1 2003,Lincoln City FC,2-0,Carlisle United FC
18,Sat Nov 15 2003,York City FC,1-0,Doncaster Rovers FC
18,Sat Nov 15 2003,Yeovil Town FC,4-0,Southend United FC
18,Sat Nov 15 2003,Torquay United FC,3-1,Cheltenham Town FC
18,Sat Nov 15 2003,Rochdale AFC,0-1,Kidderminster Harriers FC
18,Sat Nov 15 2003,Macclesfield Town FC,2-2,Scunthorpe United FC
18,Sat Nov 15 2003,Huddersfield Town AFC,3-1,Hull City AFC
18,Sat Nov 15 2003,Boston United FC,3-0,Leyton Orient FC
18,Sat Nov 15 2003,Carlisle United FC,0-2,Mansfield Town FC
18,Sat Nov 15 2003,Cambridge United FC,1-1,Oxford United FC
18,Sat Nov 15 2003,Bristol Rovers FC,1-2,Bury FC
18,Sat Nov 15 2003,Darlington FC,0-0,Lincoln City FC
18,Mon Nov 17 2003,Northampton Town FC,2-1,Swansea City FC
19,Sat Nov 22 2003,Swansea City FC,1-0,Darlington FC
19,Sat Nov 22 2003,Southend United FC,4-0,Rochdale AFC
19,Sat Nov 22 2003,Scunthorpe United FC,4-0,Cambridge United FC
19,Sat Nov 22 2003,Oxford United FC,3-1,Macclesfield Town FC
19,Sat Nov 22 2003,Mansfield Town FC,3-3,Huddersfield Town AFC
19,Sat Nov 22 2003,Lincoln City FC,3-1,Bristol Rovers FC
19,Sat Nov 22 2003,Leyton Orient FC,2-2,York City FC
19,Sat Nov 22 2003,Kidderminster Harriers FC,1-2,Torquay United FC
19,Sat Nov 22 2003,Hull City AFC,0-0,Yeovil Town FC
19,Sat Nov 22 2003,Doncaster Rovers FC,3-0,Boston United FC
19,Sat Nov 22 2003,Cheltenham Town FC,2-1,Carlisle United FC
19,Sat Nov 22 2003,Bury FC,1-0,Northampton Town FC
20,Sat Nov 29 2003,York City FC,0-0,Swansea City FC
20,Sat Nov 29 2003,Yeovil Town FC,3-1,Lincoln City FC
20,Sat Nov 29 2003,Torquay United FC,3-0,Southend United FC
20,Sat Nov 29 2003,Rochdale AFC,1-2,Oxford United FC
20,Sat Nov 29 2003,Northampton Town FC,0-3,Mansfield Town FC
20,Sat Nov 29 2003,Macclesfield Town FC,1-0,Bury FC
20,Sat Nov 29 2003,Boston United FC,2-2,Kidderminster Harriers FC
20,Sat Nov 29 2003,Darlington FC,2-2,Scunthorpe United FC
20,Sat Nov 29 2003,Carlisle United FC,0-1,Doncaster Rovers FC
20,Sat Nov 29 2003,Cambridge United FC,1-4,Leyton Orient FC
20,Sat Nov 29 2003,Bristol Rovers FC,2-1,Hull City AFC
20,Sat Nov 29 2003,Huddersfield Town AFC,0-0,Cheltenham Town FC
34,Sat Dec 6 2003,Hull City AFC,2-0,Bury FC
37,Sat Dec 6 2003,Darlington FC,3-0,York City FC
21,Sat Dec 13 2003,Mansfield Town FC,1-2,Lincoln City FC
21,Sat Dec 13 2003,Swansea City FC,2-3,Southend United FC
21,Sat Dec 13 2003,Scunthorpe United FC,1-1,Hull City AFC
21,Sat Dec 13 2003,Boston United FC,1-1,Northampton Town FC
21,Sat Dec 13 2003,Torquay United FC,1-1,York City FC
21,Sat Dec 13 2003,Macclesfield Town FC,4-0,Huddersfield Town AFC
21,Sat Dec 13 2003,Kidderminster Harriers FC,2-1,Leyton Orient FC
21,Sat Dec 13 2003,Cheltenham Town FC,1-3,Doncaster Rovers FC
21,Sat Dec 13 2003,Cambridge United FC,1-0,Darlington FC
21,Sat Dec 13 2003,Bury FC,1-2,Rochdale AFC
21,Sat Dec 13 2003,Bristol Rovers FC,0-1,Yeovil Town FC
21,Sat Dec 13 2003,Oxford United FC,2-1,Carlisle United FC
22,Fri Dec 19 2003,Northampton Town FC,1-2,Cambridge United FC
22,Fri Dec 19 2003,Doncaster Rovers FC,3-1,Swansea City FC
22,Sat Dec 20 2003,Rochdale AFC,1-0,Boston United FC
22,Sat Dec 20 2003,Southend United FC,0-1,Bristol Rovers FC
22,Sat Dec 20 2003,Yeovil Town FC,2-1,Scunthorpe United FC
22,Sat Dec 20 2003,Carlisle United FC,2-0,Torquay United FC
22,Sat Dec 20 2003,Hull City AFC,0-1,Mansfield Town FC
22,Sat Dec 20 2003,Huddersfield Town AFC,1-1,Oxford United FC
22,Sat Dec 20 2003,Darlington FC,0-1,Macclesfield Town FC
22,Sat Dec 20 2003,Leyton Orient FC,2-0,Bury FC
22,Sun Dec 21 2003,York City FC,1-0,Kidderminster Harriers FC
23,Fri Dec 26 2003,Doncaster Rovers FC,1-0,Scunthorpe United FC
23,Fri Dec 26 2003,Torquay United FC,0-0,Swansea City FC
23,Fri Dec 26 2003,York City FC,0-2,Hull City AFC
23,Fri Dec 26 2003,Yeovil Town FC,1-2,Kidderminster Harriers FC
23,Fri Dec 26 2003,Oxford United FC,2-1,Leyton Orient FC
23,Fri Dec 26 2003,Mansfield Town FC,1-0,Rochdale AFC
23,Fri Dec 26 2003,Darlington FC,0-1,Huddersfield Town AFC
23,Fri Dec 26 2003,Cheltenham Town FC,3-2,Macclesfield Town FC
23,Fri Dec 26 2003,Cambridge United FC,0-1,Southend United FC
23,Fri Dec 26 2003,Bury FC,1-3,Carlisle United FC
23,Fri Dec 26 2003,Boston United FC,0-1,Lincoln City FC
23,Fri Dec 26 2003,Bristol Rovers FC,1-2,Northampton Town FC
24,Sun Dec 28 2003,Kidderminster Harriers FC,1-0,Bristol Rovers FC
24,Sun Dec 28 2003,Swansea City FC,3-2,Yeovil Town FC
24,Sun Dec 28 2003,Southend United FC,0-1,Oxford United FC
24,Sun Dec 28 2003,Scunthorpe United FC,0-1,Boston United FC
24,Sun Dec 28 2003,Rochdale AFC,1-2,York City FC
24,Sun Dec 28 2003,Northampton Town FC,1-0,Cheltenham Town FC
24,Sun Dec 28 2003,Macclesfield Town FC,1-1,Mansfield Town FC
24,Sun Dec 28 2003,Lincoln City FC,2-2,Cambridge United FC
24,Sun Dec 28 2003,Carlisle United FC,1-1,Darlington FC
24,Sun Dec 28 2003,Hull City AFC,3-1,Doncaster Rovers FC
