Date,Team 1,Team 2,FT,HT
2009-08-08,Brighton,Walsall,0-1,0-1
2009-08-08,Bristol Rvs,Leyton Orient,1-2,1-1
2009-08-08,Carlisle,Brentford,1-3,1-1
2009-08-08,Charlton,Wycombe,3-2,2-1
2009-08-08,Gillingham,Swindon,5-0,1-0
2009-08-08,Leeds,Exeter,2-1,1-0
2009-08-08,Milton Keynes Dons,Hartlepool,0-0,0-0
2009-08-08,Norwich,Colchester,1-7,0-5
2009-08-08,Oldham,Stockport,0-0,0-0
2009-08-08,Southampton,Millwall,1-1,0-0
2009-08-08,Southend,Huddersfield,2-2,1-0
2009-08-08,Yeovil,Tranmere,2-0,1-0
2009-08-15,Brentford,Brighton,0-0,0-0
2009-08-15,Colchester,Yeovil,2-1,2-0
2009-08-15,Exeter,Norwich,1-1,0-0
2009-08-15,Hartlepool,Charlton,0-2,0-2
2009-08-15,Huddersfield,Southampton,3-1,0-0
2009-08-15,Leyton Orient,Oldham,1-2,1-1
2009-08-15,Millwall,Carlisle,0-0,0-0
2009-08-15,Stockport,Bristol Rvs,0-2,0-2
2009-08-15,Swindon,Milton Keynes Dons,0-0,0-0
2009-08-15,Tranmere,Gillingham,4-2,1-1
2009-08-15,Walsall,Southend,2-2,1-0
2009-08-15,Wycombe,Leeds,0-1,0-0
2009-08-18,Brentford,Norwich,2-1,0-0
2009-08-18,Colchester,Gillingham,2-1,1-1
2009-08-18,Exeter,Yeovil,1-1,1-0
2009-08-18,Hartlepool,Bristol Rvs,1-2,1-2
2009-08-18,Huddersfield,Brighton,7-1,3-1
2009-08-18,Leyton Orient,Charlton,1-2,1-0
2009-08-18,Millwall,Oldham,2-0,1-0
2009-08-18,Stockport,Carlisle,1-2,1-1
2009-08-18,Swindon,Southampton,1-0,1-0
2009-08-18,Tranmere,Milton Keynes Dons,0-1,0-0
2009-08-18,Walsall,Leeds,1-2,0-0
2009-08-18,Wycombe,Southend,1-1,1-1
2009-08-21,Southend,Millwall,0-0,0-0
2009-08-22,Brighton,Stockport,2-4,1-1
2009-08-22,Bristol Rvs,Huddersfield,1-0,0-0
2009-08-22,Carlisle,Exeter,0-1,0-0
2009-08-22,Charlton,Walsall,2-0,1-0
2009-08-22,Gillingham,Hartlepool,0-1,0-0
2009-08-22,Leeds,Tranmere,3-0,2-0
2009-08-22,Milton Keynes Dons,Colchester,2-1,1-0
2009-08-22,Norwich,Wycombe,5-2,3-1
2009-08-22,Oldham,Swindon,2-2,1-0
2009-08-22,Southampton,Brentford,1-1,0-0
2009-08-22,Yeovil,Leyton Orient,3-3,2-2
2009-08-28,Millwall,Brighton,1-1,1-0
2009-08-29,Brentford,Oldham,1-1,1-0
2009-08-29,Colchester,Leeds,1-2,0-0
2009-08-29,Exeter,Milton Keynes Dons,1-2,0-2
2009-08-29,Hartlepool,Norwich,0-2,0-1
2009-08-29,Huddersfield,Yeovil,2-1,1-1
2009-08-29,Leyton Orient,Carlisle,2-2,0-1
2009-08-29,Stockport,Southampton,1-1,0-1
2009-08-29,Swindon,Southend,2-1,1-0
2009-08-29,Tranmere,Charlton,0-4,0-2
2009-08-29,Walsall,Gillingham,0-0,0-0
2009-08-29,Wycombe,Bristol Rvs,2-1,1-1
2009-09-04,Oldham,Hartlepool,0-3,0-2
2009-09-04,Southend,Leyton Orient,3-0,0-0
2009-09-05,Brighton,Wycombe,1-0,0-0
2009-09-05,Bristol Rvs,Millwall,2-0,1-0
2009-09-05,Carlisle,Tranmere,3-0,0-0
2009-09-05,Charlton,Brentford,2-0,2-0
2009-09-05,Gillingham,Exeter,3-0,1-0
2009-09-05,Leeds,Stockport,2-0,2-0
2009-09-05,Milton Keynes Dons,Huddersfield,2-3,0-0
2009-09-05,Norwich,Walsall,0-0,0-0
2009-09-05,Southampton,Colchester,0-0,0-0
2009-09-05,Yeovil,Swindon,0-1,0-1
2009-09-11,Southend,Leeds,0-0,0-0
2009-09-12,Bristol Rvs,Oldham,1-0,0-0
2009-09-12,Carlisle,Brighton,0-2,0-1
2009-09-12,Charlton,Southampton,1-1,0-1
2009-09-12,Gillingham,Millwall,2-0,2-0
2009-09-12,Hartlepool,Wycombe,1-1,0-0
2009-09-12,Huddersfield,Brentford,0-0,0-0
2009-09-12,Leyton Orient,Exeter,1-1,1-0
2009-09-12,Swindon,Colchester,1-1,1-1
2009-09-12,Tranmere,Walsall,2-3,1-1
2009-09-12,Yeovil,Stockport,2-2,1-2
2009-09-14,Milton Keynes Dons,Norwich,2-1,0-1
2009-09-19,Brentford,Bristol Rvs,1-3,0-3
2009-09-19,Brighton,Southend,2-3,2-2
2009-09-19,Colchester,Hartlepool,2-0,1-0
2009-09-19,Exeter,Tranmere,2-1,1-0
2009-09-19,Leeds,Gillingham,4-1,2-0
2009-09-19,Millwall,Huddersfield,3-1,2-0
2009-09-19,Norwich,Charlton,2-2,1-2
2009-09-19,Oldham,Carlisle,2-0,1-0
2009-09-19,Southampton,Yeovil,2-0,1-0
