Date,Team 1,Team 2,FT,HT
2009-08-08,AFC Wimbledon,Luton,1-1,0-1
2009-08-08,Altrincham,Ebbsfleet,1-1,1-0
2009-08-08,Cambridge,Barrow,0-2,0-0
2009-08-08,Forest Green,Kettering Town,1-2,0-0
2009-08-08,Gateshead,Histon,0-3,0-1
2009-08-08,Kidderminster,Hayes & Yeading,1-0,1-0
2009-08-08,Mansfield,Crawley Town,4-0,3-0
2009-08-08,Oxford,York,2-1,0-1
2009-08-08,Rushden & D,Salisbury,0-2,0-0
2009-08-08,Stevenage,Tamworth,1-1,1-1
2009-08-08,Wrexham,Eastbourne Borough,3-0,1-0
2009-08-11,Barrow,Altrincham,0-3,0-1
2009-08-11,Crawley Town,Forest Green,3-1,2-1
2009-08-11,Eastbourne Borough,AFC Wimbledon,1-0,0-0
2009-08-11,Ebbsfleet,Cambridge,1-3,0-1
2009-08-11,Hayes & Yeading,Stevenage,1-1,0-0
2009-08-11,Histon,Grays,0-0,0-0
2009-08-11,Kettering Town,Oxford,1-1,1-1
2009-08-11,Luton,Mansfield,4-1,1-1
2009-08-11,Salisbury,Kidderminster,1-0,0-0
2009-08-11,York,Rushden & D,0-0,0-0
2009-08-15,Barrow,Stevenage,0-0,0-0
2009-08-15,Crawley Town,Wrexham,1-0,0-0
2009-08-15,Eastbourne Borough,Rushden & D,1-1,1-0
2009-08-15,Ebbsfleet,Kidderminster,0-0,0-0
2009-08-15,Hayes & Yeading,Altrincham,1-2,0-1
2009-08-15,Histon,Oxford,3-4,0-1
2009-08-15,Kettering Town,AFC Wimbledon,1-2,0-1
2009-08-15,Luton,Gateshead,2-1,2-1
2009-08-15,Salisbury,Mansfield,0-1,0-0
2009-08-15,Tamworth,Grays,2-1,2-1
2009-08-15,York,Forest Green,2-0,0-0
2009-08-18,AFC Wimbledon,Salisbury,4-0,1-0
2009-08-18,Altrincham,Histon,2-1,2-1
2009-08-18,Cambridge,Crawley Town,0-1,0-1
2009-08-18,Forest Green,Luton,0-1,0-0
2009-08-18,Gateshead,Tamworth,1-1,0-1
2009-08-18,Grays,Eastbourne Borough,1-0,1-0
2009-08-18,Kidderminster,Kettering Town,0-1,0-0
2009-08-18,Mansfield,Barrow,4-1,1-0
2009-08-18,Rushden & D,Hayes & Yeading,2-1,0-0
