Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 18 Aug 1979 (33),Doncaster Rovers FC (1),2-1,?,Northampton Town FC (1)
?,(Sat) 18 Aug 1979 (33),Torquay United FC (1),3-0,?,Scunthorpe United FC (1)
?,(Sat) 18 Aug 1979 (33),Newport County AFC (1),2-1,?,Port Vale FC (1)
?,(Sat) 18 Aug 1979 (33),Lincoln City FC (1),0-1,?,Peterborough United FC (1)
?,(Sat) 18 Aug 1979 (33),Tranmere Rovers FC (1),2-0,?,FC Halifax Town (1)
?,(Sat) 18 Aug 1979 (33),Rochdale AFC (1),0-2,?,AFC Bournemouth (1)
?,(Sat) 18 Aug 1979 (33),Darlington FC (1),2-2,?,Wigan Athletic FC (1)
?,(Sat) 18 Aug 1979 (33),Bradford City AFC (1),4-0,?,Crewe Alexandra FC (1)
?,(Sat) 18 Aug 1979 (33),Hereford United FC (1924-2014) (1),3-1,?,York City FC (1)
?,(Sat) 18 Aug 1979 (33),Hartlepool United FC (1),0-3,?,Portsmouth FC (1)
?,(Sat) 18 Aug 1979 (33),Huddersfield Town AFC (1),2-0,?,Aldershot Town FC (1)
?,(Sat) 18 Aug 1979 (33),Walsall FC (1),2-1,?,Stockport County FC (1)
?,(Mon) 20 Aug 1979 (34),Port Vale FC (2),0-1,?,Hereford United FC (1924-2014) (2)
?,(Mon) 20 Aug 1979 (34),Stockport County FC (2),1-1,?,Rochdale AFC (2)
?,(Tue) 21 Aug 1979 (34),Aldershot Town FC (2),0-1,?,Newport County AFC (2)
?,(Tue) 21 Aug 1979 (34),Scunthorpe United FC (2),1-3,?,Hartlepool United FC (2)
?,(Tue) 21 Aug 1979 (34),FC Halifax Town (2),1-1,?,Doncaster Rovers FC (2)
?,(Tue) 21 Aug 1979 (34),Portsmouth FC (2),3-0,?,Torquay United FC (2)
?,(Tue) 21 Aug 1979 (34),York City FC (2),3-1,?,Darlington FC (2)
?,(Tue) 21 Aug 1979 (34),AFC Bournemouth (2),1-1,?,Walsall FC (2)
?,(Wed) 22 Aug 1979 (34),Wigan Athletic FC (2),1-2,?,Huddersfield Town AFC (2)
?,(Wed) 22 Aug 1979 (34),Northampton Town FC (2),1-2,?,Bradford City AFC (2)
?,(Wed) 22 Aug 1979 (34),Peterborough United FC (2),1-2,?,Tranmere Rovers FC (2)
?,(Wed) 22 Aug 1979 (34),Crewe Alexandra FC (2),0-2,?,Lincoln City FC (2)
?,(Fri) 24 Aug 1979 (34),Crewe Alexandra FC (3),2-2,?,Torquay United FC (3)
?,(Fri) 24 Aug 1979 (34),Rochdale AFC (3),1-0,?,Hartlepool United FC (3)
?,(Sat) 25 Aug 1979 (34),Hereford United FC (1924-2014) (3),1-0,?,Darlington FC (3)
?,(Sat) 25 Aug 1979 (34),York City FC (3),0-2,?,Lincoln City FC (3)
?,(Sat) 25 Aug 1979 (34),Portsmouth FC (3),6-1,?,Scunthorpe United FC (3)
?,(Sat) 25 Aug 1979 (34),Stockport County FC (3),1-2,?,Wigan Athletic FC (3)
?,(Sat) 25 Aug 1979 (34),Huddersfield Town AFC (3),3-0,?,Doncaster Rovers FC (3)
?,(Sat) 25 Aug 1979 (34),Bradford City AFC (3),2-0,?,Tranmere Rovers FC (3)
?,(Sat) 25 Aug 1979 (34),Northampton Town FC (3),1-2,?,Walsall FC (3)
?,(Sat) 25 Aug 1979 (34),AFC Bournemouth (3),3-2,?,Newport County AFC (3)
?,(Sat) 25 Aug 1979 (34),Aldershot Town FC (3),3-1,?,Port Vale FC (3)
?,(Sat) 25 Aug 1979 (34),Peterborough United FC (3),2-1,?,FC Halifax Town (3)
?,(Fri) 31 Aug 1979 (35),Darlington FC (4),3-1,?,Rochdale AFC (4)
?,(Fri) 31 Aug 1979 (35),Tranmere Rovers FC (4),0-1,?,Stockport County FC (4)
?,(Sat) 1 Sep 1979 (35),Newport County AFC (4),2-0,?,York City FC (4)
?,(Sat) 1 Sep 1979 (35),Hartlepool United FC (4),1-0,?,Aldershot Town FC (4)
?,(Sat) 1 Sep 1979 (35),Port Vale FC (4),0-1,?,Peterborough United FC (4)
?,(Sat) 1 Sep 1979 (35),Scunthorpe United FC (4),2-1,?,AFC Bournemouth (4)
?,(Sat) 1 Sep 1979 (35),FC Halifax Town (4),3-1,?,Crewe Alexandra FC (4)
?,(Sat) 1 Sep 1979 (35),Wigan Athletic FC (4),1-2,?,Portsmouth FC (4)
?,(Sat) 1 Sep 1979 (35),Lincoln City FC (4),2-0,?,Huddersfield Town AFC (4)
?,(Sat) 1 Sep 1979 (35),Walsall FC (4),3-2,?,Hereford United FC (1924-2014) (4)
?,(Sat) 1 Sep 1979 (35),Doncaster Rovers FC (4),0-3,?,Bradford City AFC (4)
?,(Sat) 1 Sep 1979 (35),Torquay United FC (4),2-2,?,Northampton Town FC (4)
?,(Fri) 7 Sep 1979 (36),Northampton Town FC (5),0-0,?,FC Halifax Town (5)
?,(Fri) 7 Sep 1979 (36),Crewe Alexandra FC (5),0-2,?,Port Vale FC (5)
?,(Sat) 8 Sep 1979 (36),Rochdale AFC (5),1-1,?,Walsall FC (5)
?,(Sat) 8 Sep 1979 (36),Portsmouth FC (5),1-0,?,Stockport County FC (5)
?,(Sat) 8 Sep 1979 (36),Huddersfield Town AFC (5),2-1,?,Newport County AFC (5)
?,(Sat) 8 Sep 1979 (36),AFC Bournemouth (5),1-2,?,Wigan Athletic FC (5)
?,(Sat) 8 Sep 1979 (36),Hereford United FC (1924-2014) (5),1-2,?,Tranmere Rovers FC (5)
?,(Sat) 8 Sep 1979 (36),Hartlepool United FC (5),3-1,?,Darlington FC (5)
?,(Sat) 8 Sep 1979 (36),Aldershot Town FC (5),2-0,?,Scunthorpe United FC (5)
?,(Sat) 8 Sep 1979 (36),York City FC (5),0-2,?,Peterborough United FC (5)
?,(Sat) 8 Sep 1979 (36),Bradford City AFC (5),1-1,?,Lincoln City FC (5)
?,(Tue) 11 Sep 1979 (37),Doncaster Rovers FC (5),5-3,?,Torquay United FC (5)
?,(Fri) 14 Sep 1979 (37),Stockport County FC (6),1-1,?,AFC Bournemouth (6)
?,(Fri) 14 Sep 1979 (37),Tranmere Rovers FC (6),4-1,?,Portsmouth FC (6)
?,(Fri) 14 Sep 1979 (37),Scunthorpe United FC (6),1-1,?,Huddersfield Town AFC (6)
?,(Sat) 15 Sep 1979 (37),Wigan Athletic FC (6),2-5,?,York City FC (6)
?,(Sat) 15 Sep 1979 (37),Darlington FC (6),0-0,?,Aldershot Town FC (6)
?,(Sat) 15 Sep 1979 (37),Torquay United FC (6),3-0,?,Rochdale AFC (6)
?,(Sat) 15 Sep 1979 (37),Peterborough United FC (6),3-0,?,Crewe Alexandra FC (6)
?,(Sat) 15 Sep 1979 (37),Lincoln City FC (6),1-1,?,Doncaster Rovers FC (6)
?,(Sat) 15 Sep 1979 (37),Walsall FC (6),3-1,?,Hartlepool United FC (6)
?,(Sat) 15 Sep 1979 (37),Newport County AFC (6),1-2,?,Bradford City AFC (6)
?,(Sat) 15 Sep 1979 (37),Port Vale FC (6),5-0,?,Northampton Town FC (6)
?,(Sat) 15 Sep 1979 (37),FC Halifax Town (6),1-0,?,Hereford United FC (1924-2014) (6)
?,(Mon) 17 Sep 1979 (38),Tranmere Rovers FC (7),1-0,?,Doncaster Rovers FC (7)
?,(Mon) 17 Sep 1979 (38),Port Vale FC (7),1-2,?,Bradford City AFC (7)
?,(Mon) 17 Sep 1979 (38),Stockport County FC (7),1-1,?,Darlington FC (7)
?,(Tue) 18 Sep 1979 (38),Portsmouth FC (7),4-0,?,AFC Bournemouth (7)
