Round,Date,Team 1,FT,HT,Team 2
?,(Tue) 2 Oct 1979 (40),Barnsley FC (1),1-1,?,Blackburn Rovers (1)
?,(Fri) 21 Dec 1979 (51),Barnsley FC (2),2-1,?,Blackpool FC (1)
?,(Sat) 15 Mar 1980 (10),Barnsley FC (3),1-0,?,Brentford FC (1)
?,(Tue) 6 Nov 1979 (45),Barnsley FC (4),2-1,?,Bury FC (1)
?,(Sat) 1 Mar 1980 (8),Barnsley FC (5),1-1,?,Carlisle United (1)
?,(Sat) 27 Oct 1979 (43),Barnsley FC (6),1-1,?,Chester FC (1)
?,(Tue) 9 Oct 1979 (41),Barnsley FC (7),0-1,?,Chesterfield FC (1)
?,(Sat) 16 Feb 1980 (6),Barnsley FC (8),1-2,?,Colchester United (1)
?,(Sat) 10 Nov 1979 (45),Barnsley FC (9),2-2,?,Exeter City (1)
?,(Sat) 13 Oct 1979 (41),Barnsley FC (10),2-0,?,Gillingham FC (1)
?,(Sat) 5 Apr 1980 (13),Barnsley FC (11),0-1,?,Grimsby Town (1)
?,(Tue) 22 Apr 1980 (16),Barnsley FC (12),3-1,?,Hull City (1)
?,(Sat) 8 Sep 1979 (36),Barnsley FC (13),1-0,?,Mansfield Town (1)
?,(Sat) 22 Sep 1979 (38),Barnsley FC (14),2-1,?,Millwall FC (1)
?,(Sat) 26 Jan 1980 (3),Barnsley FC (15),2-0,?,Oxford United (1)
?,(Sat) 26 Apr 1980 (16),Barnsley FC (16),0-0,?,Plymouth Argyle (1)
?,(Sat) 25 Aug 1979 (34),Barnsley FC (17),2-0,?,Reading FC (1)
?,(Tue) 4 Mar 1980 (9),Barnsley FC (18),0-0,?,Rotherham United (1)
?,(Tue) 25 Mar 1980 (12),Barnsley FC (19),0-0,?,Sheffield United FC (1)
?,(Sat) 18 Aug 1979 (33),Barnsley FC (20),0-3,?,Sheffield Wednesday (1)
?,(Sat) 1 Dec 1979 (48),Barnsley FC (21),1-2,?,Southend United (1)
