Round,Date,Team 1,Team 2,FT,HT
-,-,Aldershot,AFC Bournemouth,2-0,-
-,-,Barnsley,AFC Bournemouth,3-0,-
-,-,Brentford,AFC Bournemouth,1-1,-
-,-,Crewe Alexandra,AFC Bournemouth,3-1,-
-,-,Darlington,AFC Bournemouth,1-0,-
-,-,Doncaster Rovers,AFC Bournemouth,0-0,-
-,-,Grimsby Town,AFC Bournemouth,0-2,-
-,-,Halifax Town,AFC Bournemouth,0-0,-
-,-,Hartlepool United,AFC Bournemouth,0-1,-
-,-,Huddersfield Town,AFC Bournemouth,2-0,-
-,-,Newport County,AFC Bournemouth,3-2,-
-,-,Northampton Town,AFC Bournemouth,1-0,-
-,-,Reading,AFC Bournemouth,0-0,-
-,-,Rochdale,AFC Bournemouth,1-1,-
-,-,Scunthorpe United,AFC Bournemouth,0-0,-
-,-,Southend United,AFC Bournemouth,5-1,-
-,-,Southport,AFC Bournemouth,0-0,-
-,-,Stockport County,AFC Bournemouth,2-1,-
-,-,Swansea City,AFC Bournemouth,1-0,-
-,-,Torquay United,AFC Bournemouth,1-1,-
-,-,Watford,AFC Bournemouth,2-1,-
-,-,Wimbledon,AFC Bournemouth,3-1,-
-,-,York City,AFC Bournemouth,0-0,-
-,-,AFC Bournemouth,Aldershot,0-0,-
-,-,Barnsley,Aldershot,2-0,-
-,-,Brentford,Aldershot,2-0,-
-,-,Crewe Alexandra,Aldershot,0-2,-
-,-,Darlington,Aldershot,1-1,-
-,-,Doncaster Rovers,Aldershot,4-3,-
-,-,Grimsby Town,Aldershot,1-0,-
-,-,Halifax Town,Aldershot,2-1,-
-,-,Hartlepool United,Aldershot,2-2,-
-,-,Huddersfield Town,Aldershot,1-1,-
-,-,Newport County,Aldershot,2-1,-
-,-,Northampton Town,Aldershot,1-1,-
-,-,Reading,Aldershot,1-0,-
-,-,Rochdale,Aldershot,0-0,-
-,-,Scunthorpe United,Aldershot,1-1,-
-,-,Southend United,Aldershot,3-1,-
-,-,Southport,Aldershot,1-1,-
-,-,Stockport County,Aldershot,2-1,-
-,-,Swansea City,Aldershot,1-0,-
-,-,Torquay United,Aldershot,1-2,-
-,-,Watford,Aldershot,1-0,-
-,-,Wimbledon,Aldershot,1-2,-
-,-,York City,Aldershot,1-2,-
-,-,AFC Bournemouth,Barnsley,2-2,-
-,-,Aldershot,Barnsley,0-0,-
-,-,Brentford,Barnsley,2-0,-
-,-,Crewe Alexandra,Barnsley,2-1,-
-,-,Darlington,Barnsley,0-2,-
-,-,Doncaster Rovers,Barnsley,2-1,-
-,-,Grimsby Town,Barnsley,1-0,-
-,-,Halifax Town,Barnsley,1-1,-
-,-,Hartlepool United,Barnsley,1-2,-
-,-,Huddersfield Town,Barnsley,2-0,-
-,-,Newport County,Barnsley,3-1,-
-,-,Northampton Town,Barnsley,1-1,-
-,-,Reading,Barnsley,0-0,-
-,-,Rochdale,Barnsley,1-1,-
-,-,Scunthorpe United,Barnsley,1-0,-
-,-,Southend United,Barnsley,0-0,-
-,-,Southport,Barnsley,1-1,-
-,-,Stockport County,Barnsley,3-0,-
-,-,Swansea City,Barnsley,2-1,-
-,-,Torquay United,Barnsley,3-1,-
-,-,Watford,Barnsley,0-0,-
-,-,Wimbledon,Barnsley,0-0,-
-,-,York City,Barnsley,1-2,-
-,-,AFC Bournemouth,Brentford,3-2,-
-,-,Aldershot,Brentford,1-0,-
-,-,Barnsley,Brentford,0-0,-
-,-,Crewe Alexandra,Brentford,4-6,-
-,-,Darlington,Brentford,1-3,-
-,-,Doncaster Rovers,Brentford,3-1,-
-,-,Grimsby Town,Brentford,2-1,-
-,-,Halifax Town,Brentford,1-1,-
-,-,Hartlepool United,Brentford,3-1,-
-,-,Huddersfield Town,Brentford,1-3,-
-,-,Newport County,Brentford,1-2,-
-,-,Northampton Town,Brentford,2-2,-
-,-,Reading,Brentford,0-0,-
