Matchday,Date,Team 1,FT,Team 2
1,Sat Aug 5 2006,Tranmere Rovers FC,1-0,Oldham Athletic AFC
1,Sat Aug 5 2006,Swansea City FC,1-2,Cheltenham Town FC
1,Sat Aug 5 2006,Rotherham United FC,0-1,Brighton & Hove Albion FC
1,Sat Aug 5 2006,Port Vale FC,3-0,Leyton Orient FC
1,Sat Aug 5 2006,Nottingham Forest FC,1-0,Bradford City AFC
1,Sat Aug 5 2006,Millwall FC,1-1,Yeovil Town FC
1,Sat Aug 5 2006,Gillingham FC,2-1,Huddersfield Town AFC
1,Sat Aug 5 2006,Crewe Alexandra FC,2-2,Northampton Town FC
1,Sat Aug 5 2006,Carlisle United FC,1-0,Doncaster Rovers FC
1,Sat Aug 5 2006,Bristol City FC,1-0,Scunthorpe United FC
1,Sat Aug 5 2006,Brentford FC,1-0,Blackpool FC
1,Sat Aug 5 2006,AFC Bournemouth,0-3,Chesterfield FC
2,Tue Aug 8 2006,Scunthorpe United FC,2-2,Swansea City FC
2,Tue Aug 8 2006,Yeovil Town FC,0-0,AFC Bournemouth
2,Tue Aug 8 2006,Oldham Athletic AFC,0-1,Port Vale FC
2,Tue Aug 8 2006,Northampton Town FC,0-1,Brentford FC
2,Tue Aug 8 2006,Leyton Orient FC,2-0,Millwall FC
2,Tue Aug 8 2006,Huddersfield Town AFC,3-0,Rotherham United FC
2,Tue Aug 8 2006,Doncaster Rovers FC,3-1,Crewe Alexandra FC
2,Tue Aug 8 2006,Cheltenham Town FC,1-0,Tranmere Rovers FC
2,Tue Aug 8 2006,Brighton & Hove Albion FC,1-0,Gillingham FC
2,Tue Aug 8 2006,Bradford City AFC,2-1,Bristol City FC
2,Tue Aug 8 2006,Blackpool FC,0-2,Nottingham Forest FC
2,Wed Aug 9 2006,Chesterfield FC,0-0,Carlisle United FC
3,Sat Aug 12 2006,Yeovil Town FC,2-1,Carlisle United FC
3,Sat Aug 12 2006,Scunthorpe United FC,2-2,Crewe Alexandra FC
3,Sat Aug 12 2006,Oldham Athletic AFC,1-0,Swansea City FC
3,Sat Aug 12 2006,Northampton Town FC,0-1,Nottingham Forest FC
3,Sat Aug 12 2006,Leyton Orient FC,3-2,AFC Bournemouth
3,Sat Aug 12 2006,Huddersfield Town AFC,2-1,Bristol City FC
3,Sat Aug 12 2006,Doncaster Rovers FC,0-0,Tranmere Rovers FC
3,Sat Aug 12 2006,Chesterfield FC,5-1,Millwall FC
3,Sat Aug 12 2006,Cheltenham Town FC,0-1,Port Vale FC
3,Sat Aug 12 2006,Brighton & Hove Albion FC,2-2,Brentford FC
3,Sat Aug 12 2006,Bradford City AFC,4-2,Gillingham FC
3,Sat Aug 12 2006,Blackpool FC,0-1,Rotherham United FC
4,Sat Aug 19 2006,Tranmere Rovers FC,2-1,Yeovil Town FC
4,Sat Aug 19 2006,Swansea City FC,2-0,Doncaster Rovers FC
4,Sat Aug 19 2006,Rotherham United FC,2-1,Scunthorpe United FC
4,Sat Aug 19 2006,Port Vale FC,3-2,Chesterfield FC
4,Sat Aug 19 2006,Nottingham Forest FC,2-1,Brighton & Hove Albion FC
4,Sat Aug 19 2006,Millwall FC,1-0,Oldham Athletic AFC
4,Sat Aug 19 2006,Gillingham FC,0-1,Northampton Town FC
4,Sat Aug 19 2006,Crewe Alexandra FC,0-3,Bradford City AFC
4,Sat Aug 19 2006,Carlisle United FC,3-1,Leyton Orient FC
4,Sat Aug 19 2006,Bristol City FC,2-4,Blackpool FC
4,Sat Aug 19 2006,Brentford FC,2-2,Huddersfield Town AFC
4,Sat Aug 19 2006,AFC Bournemouth,2-1,Cheltenham Town FC
5,Sat Aug 26 2006,Huddersfield Town AFC,1-1,Nottingham Forest FC
5,Sat Aug 26 2006,Yeovil Town FC,1-0,Port Vale FC
5,Sat Aug 26 2006,Scunthorpe United FC,1-1,Brentford FC
5,Sat Aug 26 2006,Leyton Orient FC,0-1,Swansea City FC
5,Sat Aug 26 2006,Doncaster Rovers FC,1-1,AFC Bournemouth
5,Sat Aug 26 2006,Chesterfield FC,0-2,Tranmere Rovers FC
5,Sat Aug 26 2006,Cheltenham Town FC,3-2,Millwall FC
5,Sat Aug 26 2006,Bradford City AFC,1-1,Rotherham United FC
5,Sat Aug 26 2006,Blackpool FC,1-1,Gillingham FC
5,Sun Aug 27 2006,Oldham Athletic AFC,0-0,Carlisle United FC
5,Sun Aug 27 2006,Brighton & Hove Albion FC,1-4,Crewe Alexandra FC
5,Tue Aug 29 2006,Northampton Town FC,1-3,Bristol City FC
6,Fri Sep 1 2006,Swansea City FC,1-1,Yeovil Town FC
6,Fri Sep 1 2006,Rotherham United FC,1-2,Northampton Town FC
6,Fri Sep 1 2006,Gillingham FC,0-2,Scunthorpe United FC
6,Sat Sep 2 2006,Crewe Alexandra FC,2-0,Huddersfield Town AFC
6,Sat Sep 2 2006,Tranmere Rovers FC,3-0,Leyton Orient FC
6,Sat Sep 2 2006,Nottingham Forest FC,4-0,Chesterfield FC
6,Sat Sep 2 2006,Millwall FC,0-0,Blackpool FC
6,Sat Sep 2 2006,Bristol City FC,1-0,Brighton & Hove Albion FC
6,Sat Sep 2 2006,Brentford FC,2-1,Bradford City AFC
6,Sat Sep 2 2006,AFC Bournemouth,3-2,Oldham Athletic AFC
6,Sun Sep 3 2006,Port Vale FC,1-2,Doncaster Rovers FC
6,Sun Sep 3 2006,Carlisle United FC,2-0,Cheltenham Town FC
7,Fri Sep 8 2006,Tranmere Rovers FC,1-0,Bristol City FC
7,Sat Sep 9 2006,Yeovil Town FC,0-1,Nottingham Forest FC
7,Sat Sep 9 2006,Swansea City FC,1-0,Bradford City AFC
7,Sat Sep 9 2006,Port Vale FC,2-1,Blackpool FC
7,Sat Sep 9 2006,Oldham Athletic AFC,1-0,Scunthorpe United FC
7,Sat Sep 9 2006,Millwall FC,0-1,Brighton & Hove Albion FC
7,Sat Sep 9 2006,Leyton Orient FC,1-1,Brentford FC
7,Sat Sep 9 2006,Doncaster Rovers FC,1-2,Gillingham FC
7,Sat Sep 9 2006,Chesterfield FC,2-1,Rotherham United FC
7,Sat Sep 9 2006,Cheltenham Town FC,2-1,Huddersfield Town AFC
7,Sat Sep 9 2006,Carlisle United FC,1-1,Northampton Town FC
7,Sat Sep 9 2006,AFC Bournemouth,1-0,Crewe Alexandra FC
8,Tue Sep 12 2006,Scunthorpe United FC,3-0,Port Vale FC
8,Tue Sep 12 2006,Rotherham United FC,2-1,Tranmere Rovers FC
8,Tue Sep 12 2006,Nottingham Forest FC,0-2,Oldham Athletic AFC
8,Tue Sep 12 2006,Northampton Town FC,1-1,Yeovil Town FC
8,Tue Sep 12 2006,Huddersfield Town AFC,0-0,Doncaster Rovers FC
8,Tue Sep 12 2006,Gillingham FC,2-1,Millwall FC
8,Tue Sep 12 2006,Crewe Alexandra FC,3-1,Cheltenham Town FC
8,Tue Sep 12 2006,Bristol City FC,2-1,Leyton Orient FC
8,Tue Sep 12 2006,Brighton & Hove Albion FC,2-2,AFC Bournemouth
8,Tue Sep 12 2006,Brentford FC,0-2,Swansea City FC
8,Tue Sep 12 2006,Bradford City AFC,1-1,Carlisle United FC
8,Tue Sep 12 2006,Blackpool FC,1-1,Chesterfield FC
9,Sat Sep 16 2006,Scunthorpe United FC,1-0,Cheltenham Town FC
9,Sat Sep 16 2006,Rotherham United FC,0-0,Doncaster Rovers FC
9,Sat Sep 16 2006,Nottingham Forest FC,0-0,Carlisle United FC
9,Sat Sep 16 2006,Northampton Town FC,1-3,Tranmere Rovers FC
9,Sat Sep 16 2006,Huddersfield Town AFC,2-3,Yeovil Town FC
9,Sat Sep 16 2006,Gillingham FC,3-1,Swansea City FC
9,Sat Sep 16 2006,Crewe Alexandra FC,1-0,Millwall FC
9,Sat Sep 16 2006,Bristol City FC,3-1,Chesterfield FC
9,Sat Sep 16 2006,Brighton & Hove Albion FC,4-1,Leyton Orient FC
9,Sat Sep 16 2006,Brentford FC,0-0,AFC Bournemouth
9,Sat Sep 16 2006,Bradford City AFC,2-0,Port Vale FC
9,Sat Sep 16 2006,Blackpool FC,2-2,Oldham Athletic AFC
10,Sat Sep 23 2006,Yeovil Town FC,2-0,Crewe Alexandra FC
10,Sat Sep 23 2006,Tranmere Rovers FC,0-0,Nottingham Forest FC
10,Sat Sep 23 2006,Swansea City FC,1-2,Huddersfield Town AFC
10,Sat Sep 23 2006,Port Vale FC,0-2,Bristol City FC
10,Sat Sep 23 2006,Oldham Athletic AFC,4-1,Gillingham FC
10,Sat Sep 23 2006,Millwall FC,0-1,Northampton Town FC
10,Sat Sep 23 2006,Leyton Orient FC,2-3,Rotherham United FC
10,Sat Sep 23 2006,Doncaster Rovers FC,0-0,Blackpool FC
10,Sat Sep 23 2006,Chesterfield FC,3-1,Brentford FC
10,Sat Sep 23 2006,Cheltenham Town FC,1-2,Bradford City AFC
10,Sat Sep 23 2006,Carlisle United FC,3-1,Brighton & Hove Albion FC
10,Sat Sep 23 2006,AFC Bournemouth,1-1,Scunthorpe United FC
11,Tue Sep 26 2006,Yeovil Town FC,2-0,Brighton & Hove Albion FC
11,Tue Sep 26 2006,Tranmere Rovers FC,2-2,Huddersfield Town AFC
11,Tue Sep 26 2006,Swansea City FC,2-1,Crewe Alexandra FC
11,Tue Sep 26 2006,Port Vale FC,1-1,Nottingham Forest FC
11,Tue Sep 26 2006,Oldham Athletic AFC,2-1,Rotherham United FC
11,Tue Sep 26 2006,Millwall FC,1-1,Brentford FC
11,Tue Sep 26 2006,Leyton Orient FC,3-3,Gillingham FC
11,Tue Sep 26 2006,Doncaster Rovers FC,3-3,Bradford City AFC
11,Tue Sep 26 2006,Cheltenham Town FC,0-2,Northampton Town FC
11,Tue Sep 26 2006,Carlisle United FC,2-0,Blackpool FC
11,Tue Sep 26 2006,AFC Bournemouth,0-1,Bristol City FC
11,Wed Sep 27 2006,Chesterfield FC,0-1,Scunthorpe United FC
12,Sat Sep 30 2006,Scunthorpe United FC,2-0,Doncaster Rovers FC
12,Sat Sep 30 2006,Rotherham United FC,2-3,Millwall FC
12,Sat Sep 30 2006,Nottingham Forest FC,3-1,Swansea City FC
12,Sat Sep 30 2006,Northampton Town FC,0-2,Port Vale FC
12,Sat Sep 30 2006,Huddersfield Town AFC,2-2,AFC Bournemouth
12,Sat Sep 30 2006,Gillingham FC,2-1,Cheltenham Town FC
12,Sat Sep 30 2006,Crewe Alexandra FC,5-1,Carlisle United FC
12,Sat Sep 30 2006,Bristol City FC,0-0,Oldham Athletic AFC
12,Sat Sep 30 2006,Brighton & Hove Albion FC,1-2,Chesterfield FC
12,Sat Sep 30 2006,Brentford FC,1-2,Yeovil Town FC
12,Sat Sep 30 2006,Bradford City AFC,2-0,Tranmere Rovers FC
12,Sat Sep 30 2006,Blackpool FC,3-0,Leyton Orient FC
13,Fri Oct 6 2006,Yeovil Town FC,0-1,Cheltenham Town FC
13,Fri Oct 6 2006,Swansea City FC,0-0,Tranmere Rovers FC
13,Fri Oct 6 2006,Doncaster Rovers FC,1-1,Oldham Athletic AFC
13,Fri Oct 6 2006,AFC Bournemouth,0-0,Northampton Town FC
13,Sat Oct 7 2006,Nottingham Forest FC,0-4,Scunthorpe United FC
13,Sat Oct 7 2006,Bradford City AFC,0-1,Huddersfield Town AFC
13,Sat Oct 7 2006,Carlisle United FC,1-2,Millwall FC
13,Sat Oct 7 2006,Leyton Orient FC,0-0,Chesterfield FC
13,Sat Oct 7 2006,Crewe Alexandra FC,4-3,Gillingham FC
13,Sat Oct 7 2006,Brentford FC,1-1,Bristol City FC
13,Sun Oct 8 2006,Brighton & Hove Albion FC,0-3,Blackpool FC
13,Sun Oct 8 2006,Port Vale FC,1-3,Rotherham United FC
14,Fri Oct 13 2006,Tranmere Rovers FC,1-2,Port Vale FC
14,Fri Oct 13 2006,Northampton Town FC,0-0,Bradford City AFC
