Matchday,Date,Team 1,FT,Team 2
1,Sat Aug 5 2006,Wycombe Wanderers FC,1-1,Wrexham AFC
1,Sat Aug 5 2006,Stockport County FC,0-2,Hereford FC (2014-)
1,Sat Aug 5 2006,Shrewsbury Town FC,2-2,Mansfield Town FC
1,Sat Aug 5 2006,Rochdale AFC,0-1,Walsall FC
1,Sat Aug 5 2006,Peterborough United FC,4-1,Bristol Rovers FC
1,Sat Aug 5 2006,Milton Keynes Dons FC,2-1,Bury FC
1,Sat Aug 5 2006,Lincoln City FC,1-1,Notts County FC
1,Sat Aug 5 2006,Hartlepool United FC,0-1,Swindon Town FC
1,Sat Aug 5 2006,Grimsby Town FC,3-2,Boston United FC
1,Sat Aug 5 2006,Darlington FC,4-0,Macclesfield Town FC
1,Sat Aug 5 2006,Chester FC,2-0,Accrington Stanley FC
1,Sat Aug 5 2006,Barnet FC,0-1,Torquay United FC
2,Tue Aug 8 2006,Wrexham AFC,3-0,Grimsby Town FC
2,Tue Aug 8 2006,Walsall FC,2-0,Stockport County FC
2,Tue Aug 8 2006,Torquay United FC,1-0,Rochdale AFC
2,Tue Aug 8 2006,Swindon Town FC,2-1,Barnet FC
2,Tue Aug 8 2006,Notts County FC,1-1,Shrewsbury Town FC
2,Tue Aug 8 2006,Accrington Stanley FC,0-2,Darlington FC
2,Tue Aug 8 2006,Macclesfield Town FC,0-0,Hartlepool United FC
2,Tue Aug 8 2006,Hereford FC (2014-),1-2,Lincoln City FC
2,Tue Aug 8 2006,Bury FC,1-3,Chester FC
2,Tue Aug 8 2006,Bristol Rovers FC,1-2,Wycombe Wanderers FC
2,Tue Aug 8 2006,Mansfield Town FC,2-1,Milton Keynes Dons FC
2,Wed Aug 9 2006,Boston United FC,0-1,Peterborough United FC
3,Sat Aug 12 2006,Accrington Stanley FC,2-1,Barnet FC
3,Sat Aug 12 2006,Walsall FC,2-0,Hartlepool United FC
3,Sat Aug 12 2006,Torquay United FC,1-2,Lincoln City FC
3,Sat Aug 12 2006,Swindon Town FC,1-0,Rochdale AFC
3,Sat Aug 12 2006,Notts County FC,1-0,Wycombe Wanderers FC
3,Sat Aug 12 2006,Wrexham AFC,0-0,Peterborough United FC
3,Sat Aug 12 2006,Macclesfield Town FC,1-2,Milton Keynes Dons FC
3,Sat Aug 12 2006,Hereford FC (2014-),2-0,Chester FC
3,Sat Aug 12 2006,Bury FC,1-2,Shrewsbury Town FC
3,Sat Aug 12 2006,Bristol Rovers FC,1-0,Grimsby Town FC
3,Sat Aug 12 2006,Boston United FC,4-1,Darlington FC
3,Sat Aug 12 2006,Mansfield Town FC,1-1,Stockport County FC
4,Fri Aug 18 2006,Stockport County FC,1-1,Accrington Stanley FC
4,Fri Aug 18 2006,Grimsby Town FC,1-1,Mansfield Town FC
4,Sat Aug 19 2006,Wycombe Wanderers FC,3-0,Bury FC
4,Sat Aug 19 2006,Shrewsbury Town FC,5-0,Boston United FC
4,Sat Aug 19 2006,Rochdale AFC,0-1,Notts County FC
4,Sat Aug 19 2006,Barnet FC,3-0,Hereford FC (2014-)
4,Sat Aug 19 2006,Milton Keynes Dons FC,2-0,Bristol Rovers FC
4,Sat Aug 19 2006,Lincoln City FC,2-2,Walsall FC
4,Sat Aug 19 2006,Hartlepool United FC,1-1,Torquay United FC
4,Sat Aug 19 2006,Darlington FC,1-2,Swindon Town FC
4,Sat Aug 19 2006,Peterborough United FC,3-1,Macclesfield Town FC
4,Sun Aug 20 2006,Chester FC,1-2,Wrexham AFC
5,Sat Aug 26 2006,Wrexham AFC,1-1,Barnet FC
5,Sat Aug 26 2006,Walsall FC,1-0,Darlington FC
5,Sat Aug 26 2006,Torquay United FC,2-2,Chester FC
