Round,Date,Team 1,FT,HT,Team 2
?,(Tue) 26 Apr 1966 (17),AFC Bournemouth (1),0-1,?,Brentford FC (1)
?,(Sat) 20 Nov 1965 (46),AFC Bournemouth (2),0-1,?,Brighton & Hove Albion FC (1)
?,(Tue) 28 Dec 1965 (52),AFC Bournemouth (3),1-0,?,Bristol Rovers FC (1)
?,(Fri) 17 Dec 1965 (50),AFC Bournemouth (4),0-1,?,Exeter City FC (1)
?,(Sat) 19 Feb 1966 (7),AFC Bournemouth (5),1-1,?,Gillingham FC (1)
?,(Sat) 26 Mar 1966 (12),AFC Bournemouth (6),1-0,?,Grimsby Town FC (1)
?,(Tue) 10 May 1966 (19),AFC Bournemouth (7),1-1,?,Hull City AFC (1)
?,(Sat) 6 Nov 1965 (44),AFC Bournemouth (8),2-2,?,Mansfield Town FC (1)
?,(Fri) 8 Apr 1966 (14),AFC Bournemouth (9),0-0,?,Millwall FC (1)
?,(Sat) 7 May 1966 (18),AFC Bournemouth (10),1-0,?,Oldham Athletic AFC (1)
?,(Tue) 14 Sep 1965 (37),AFC Bournemouth (11),1-1,?,Oxford United FC (1)
?,(Sat) 9 Oct 1965 (40),AFC Bournemouth (12),2-3,?,Peterborough United FC (1)
?,(Sat) 8 Jan 1966 (1),AFC Bournemouth (13),1-1,?,Queens Park Rangers FC (1)
?,(Sat) 23 Oct 1965 (42),AFC Bournemouth (14),3-2,?,Reading FC (1)
?,(Sat) 23 Apr 1966 (16),AFC Bournemouth (15),1-2,?,Scunthorpe United FC (1)
?,(Sat) 25 Sep 1965 (38),AFC Bournemouth (16),2-0,?,Shrewsbury Town FC (1)
?,(Sat) 11 Sep 1965 (36),AFC Bournemouth (17),0-0,?,Southend United FC (1)
?,(Tue) 24 Aug 1965 (34),AFC Bournemouth (18),2-1,?,Swansea City AFC (1)
?,(Sat) 12 Mar 1966 (10),AFC Bournemouth (19),1-0,?,Swindon Town FC (1)
?,(Sat) 21 Aug 1965 (33),AFC Bournemouth (20),0-1,?,Walsall FC (1)
