Round,Date,Team 1,FT,Team 2
1,Sat Aug 4 2018,Bury FC,1-0,Yeovil Town FC
1,Sat Aug 4 2018,Cheltenham Town FC,0-1,Crawley Town FC
1,Sat Aug 4 2018,Crewe Alexandra FC,6-0,Morecambe FC
1,Sat Aug 4 2018,Exeter City FC,3-1,Carlisle United FC
1,Sat Aug 4 2018,Grimsby Town FC,1-4,Forest Green Rovers FC
1,Sat Aug 4 2018,Mansfield Town FC,3-0,Newport County AFC
1,Sat Aug 4 2018,Northampton Town FC,0-1,Lincoln City FC
1,Sat Aug 4 2018,Notts County FC,0-0,Colchester United FC
1,Sat Aug 4 2018,Oldham Athletic AFC,1-2,Milton Keynes Dons FC
1,Sat Aug 4 2018,Port Vale FC,3-0,Cambridge United FC
1,Sat Aug 4 2018,Stevenage FC,2-2,Tranmere Rovers FC
1,Sat Aug 4 2018,Swindon Town FC,3-2,Macclesfield Town FC
2,Sat Aug 11 2018,Cambridge United FC,3-2,Notts County FC
2,Sat Aug 11 2018,Carlisle United FC,2-2,Northampton Town FC
2,Sat Aug 11 2018,Colchester United FC,2-0,Port Vale FC
2,Sat Aug 11 2018,Crawley Town FC,1-3,Stevenage FC
2,Sat Aug 11 2018,Forest Green Rovers FC,1-1,Oldham Athletic AFC
2,Sat Aug 11 2018,Lincoln City FC,4-1,Swindon Town FC
2,Sat Aug 11 2018,Macclesfield Town FC,0-2,Grimsby Town FC
2,Sat Aug 11 2018,Milton Keynes Dons FC,1-0,Bury FC
2,Sat Aug 11 2018,Morecambe FC,0-2,Exeter City FC
2,Sat Aug 11 2018,Newport County AFC,1-0,Crewe Alexandra FC
2,Sat Aug 11 2018,Tranmere Rovers FC,1-0,Cheltenham Town FC
2,Sat Aug 11 2018,Yeovil Town FC,2-2,Mansfield Town FC
3,Fri Aug 17 2018,Notts County FC,0-4,Yeovil Town FC
3,Sat Aug 18 2018,Grimsby Town FC,1-1,Lincoln City FC
3,Sat Aug 18 2018,Bury FC,1-1,Forest Green Rovers FC
3,Sat Aug 18 2018,Cheltenham Town FC,0-1,Carlisle United FC
3,Sat Aug 18 2018,Crewe Alexandra FC,0-0,Milton Keynes Dons FC
3,Sat Aug 18 2018,Exeter City FC,1-1,Newport County AFC
3,Sat Aug 18 2018,Mansfield Town FC,1-1,Colchester United FC
3,Sat Aug 18 2018,Northampton Town FC,2-2,Cambridge United FC
3,Sat Aug 18 2018,Oldham Athletic AFC,3-1,Macclesfield Town FC
3,Sat Aug 18 2018,Port Vale FC,1-0,Crawley Town FC
3,Sat Aug 18 2018,Stevenage FC,1-0,Morecambe FC
3,Sat Aug 18 2018,Swindon Town FC,3-2,Tranmere Rovers FC
4,Tue Aug 21 2018,Cambridge United FC,0-2,Exeter City FC
4,Tue Aug 21 2018,Carlisle United FC,2-1,Port Vale FC
4,Tue Aug 21 2018,Colchester United FC,6-0,Crewe Alexandra FC
4,Tue Aug 21 2018,Crawley Town FC,2-2,Swindon Town FC
4,Tue Aug 21 2018,Forest Green Rovers FC,0-0,Stevenage FC
4,Tue Aug 21 2018,Lincoln City FC,2-1,Bury FC
4,Tue Aug 21 2018,Macclesfield Town FC,1-1,Cheltenham Town FC
4,Tue Aug 21 2018,Milton Keynes Dons FC,1-1,Grimsby Town FC
4,Tue Aug 21 2018,Morecambe FC,1-0,Northampton Town FC
4,Tue Aug 21 2018,Newport County AFC,3-2,Notts County FC
4,Tue Aug 21 2018,Tranmere Rovers FC,0-0,Mansfield Town FC
4,Tue Aug 21 2018,Yeovil Town FC,0-0,Oldham Athletic AFC
5,Sat Aug 25 2018,Cambridge United FC,0-1,Cheltenham Town FC
5,Sat Aug 25 2018,Carlisle United FC,1-0,Crewe Alexandra FC
5,Sat Aug 25 2018,Colchester United FC,1-2,Northampton Town FC
5,Sat Aug 25 2018,Crawley Town FC,3-2,Bury FC
5,Sat Aug 25 2018,Forest Green Rovers FC,1-1,Swindon Town FC
5,Sat Aug 25 2018,Lincoln City FC,3-1,Notts County FC
5,Sat Aug 25 2018,Macclesfield Town FC,1-1,Mansfield Town FC
5,Sat Aug 25 2018,Milton Keynes Dons FC,1-0,Exeter City FC
5,Sat Aug 25 2018,Morecambe FC,0-2,Oldham Athletic AFC
5,Sat Aug 25 2018,Newport County AFC,1-0,Grimsby Town FC
5,Sat Aug 25 2018,Tranmere Rovers FC,1-0,Port Vale FC
5,Sat Aug 25 2018,Yeovil Town FC,2-0,Stevenage FC
6,Sat Sep 1 2018,Bury FC,3-2,Morecambe FC
6,Sat Sep 1 2018,Cheltenham Town FC,1-3,Colchester United FC
6,Sat Sep 1 2018,Crewe Alexandra FC,3-0,Macclesfield Town FC
6,Sat Sep 1 2018,Exeter City FC,0-3,Lincoln City FC
6,Sat Sep 1 2018,Grimsby Town FC,0-1,Yeovil Town FC
6,Sat Sep 1 2018,Mansfield Town FC,1-0,Carlisle United FC
6,Sat Sep 1 2018,Northampton Town FC,1-1,Tranmere Rovers FC
6,Sat Sep 1 2018,Notts County FC,1-3,Forest Green Rovers FC
6,Sat Sep 1 2018,Oldham Athletic AFC,2-1,Crawley Town FC
6,Sat Sep 1 2018,Port Vale FC,1-2,Newport County AFC
6,Sat Sep 1 2018,Stevenage FC,0-1,Cambridge United FC
6,Sat Sep 1 2018,Swindon Town FC,1-1,Milton Keynes Dons FC
7,Sat Sep 8 2018,Bury FC,4-0,Grimsby Town FC
7,Sat Sep 8 2018,Cambridge United FC,1-2,Carlisle United FC
7,Sat Sep 8 2018,Exeter City FC,5-1,Notts County FC
7,Sat Sep 8 2018,Forest Green Rovers FC,1-1,Port Vale FC
7,Sat Sep 8 2018,Lincoln City FC,0-1,Crawley Town FC
7,Sat Sep 8 2018,Morecambe FC,0-1,Swindon Town FC
7,Sat Sep 8 2018,Northampton Town FC,1-3,Cheltenham Town FC
7,Sat Sep 8 2018,Oldham Athletic AFC,0-1,Newport County AFC
7,Sat Sep 8 2018,Stevenage FC,1-0,Macclesfield Town FC
7,Sat Sep 8 2018,Tranmere Rovers FC,1-1,Colchester United FC
8,Sat Sep 15 2018,Swindon Town FC,1-2,Bury FC
8,Sat Sep 15 2018,Port Vale FC,2-0,Northampton Town FC
8,Sat Sep 15 2018,Carlisle United FC,0-2,Tranmere Rovers FC
8,Sat Sep 15 2018,Cheltenham Town FC,0-0,Crewe Alexandra FC
8,Sat Sep 15 2018,Colchester United FC,3-0,Cambridge United FC
8,Sat Sep 15 2018,Crawley Town FC,2-0,Morecambe FC
8,Sat Sep 15 2018,Grimsby Town FC,0-3,Oldham Athletic AFC
8,Sat Sep 15 2018,Macclesfield Town FC,1-2,Lincoln City FC
8,Sat Sep 15 2018,Mansfield Town FC,1-2,Exeter City FC
8,Sat Sep 15 2018,Milton Keynes Dons FC,1-1,Forest Green Rovers FC
8,Sat Sep 15 2018,Newport County AFC,0-6,Yeovil Town FC
8,Sat Sep 15 2018,Notts County FC,3-3,Stevenage FC
9,Sat Sep 22 2018,Tranmere Rovers FC,0-1,Newport County AFC
9,Sat Sep 22 2018,Yeovil Town FC,0-3,Swindon Town FC
9,Sat Sep 22 2018,Bury FC,0-1,Carlisle United FC
