Round,Date,Team 1,FT,Team 2
1,Sat Aug 4 2018,Sunderland AFC,2-1,Charlton Athletic FC
1,Sat Aug 4 2018,Accrington Stanley FC,0-2,Gillingham FC
1,Sat Aug 4 2018,Barnsley FC,4-0,Oxford United FC
1,Sat Aug 4 2018,Burton Albion FC,1-2,Rochdale AFC
1,Sat Aug 4 2018,Coventry City FC,1-2,Scunthorpe United FC
1,Sat Aug 4 2018,Fleetwood Town FC,0-1,AFC Wimbledon
1,Sat Aug 4 2018,Peterborough United FC,2-1,Bristol Rovers FC
1,Sat Aug 4 2018,Portsmouth FC,1-0,Luton Town FC
1,Sat Aug 4 2018,Shrewsbury Town FC,0-1,Bradford City AFC
1,Sat Aug 4 2018,Southend United FC,2-3,Doncaster Rovers FC
1,Sat Aug 4 2018,Walsall FC,2-1,Plymouth Argyle FC
1,Sat Aug 4 2018,Wycombe Wanderers FC,0-0,Blackpool FC
2,Sat Aug 11 2018,AFC Wimbledon,0-0,Coventry City FC
2,Sat Aug 11 2018,Blackpool FC,1-2,Portsmouth FC
2,Sat Aug 11 2018,Bradford City AFC,0-2,Barnsley FC
2,Sat Aug 11 2018,Bristol Rovers FC,1-2,Accrington Stanley FC
2,Sat Aug 11 2018,Charlton Athletic FC,2-1,Shrewsbury Town FC
2,Sat Aug 11 2018,Scunthorpe United FC,1-1,Walsall FC
2,Sat Aug 11 2018,Gillingham FC,3-1,Burton Albion FC
2,Sat Aug 11 2018,Luton Town FC,1-1,Sunderland AFC
2,Sat Aug 11 2018,Oxford United FC,0-2,Fleetwood Town FC
2,Sat Aug 11 2018,Plymouth Argyle FC,1-1,Southend United FC
2,Sat Aug 11 2018,Doncaster Rovers FC,3-0,Wycombe Wanderers FC
2,Sat Aug 11 2018,Rochdale AFC,1-4,Peterborough United FC
3,Sat Aug 18 2018,Accrington Stanley FC,1-1,Charlton Athletic FC
3,Sat Aug 18 2018,Barnsley FC,0-0,AFC Wimbledon
3,Sat Aug 18 2018,Burton Albion FC,1-0,Doncaster Rovers FC
3,Sat Aug 18 2018,Coventry City FC,1-0,Plymouth Argyle FC
3,Sat Aug 18 2018,Fleetwood Town FC,2-2,Rochdale AFC
3,Sat Aug 18 2018,Peterborough United FC,3-1,Luton Town FC
3,Sat Aug 18 2018,Portsmouth FC,4-1,Oxford United FC
3,Sat Aug 18 2018,Shrewsbury Town FC,0-0,Blackpool FC
3,Sat Aug 18 2018,Southend United FC,2-0,Bradford City AFC
3,Sat Aug 18 2018,Walsall FC,2-1,Gillingham FC
3,Sat Aug 18 2018,Wycombe Wanderers FC,1-2,Bristol Rovers FC
3,Sun Aug 19 2018,Sunderland AFC,3-0,Scunthorpe United FC
4,Tue Aug 21 2018,Charlton Athletic FC,0-1,Peterborough United FC
4,Tue Aug 21 2018,Blackpool FC,2-0,Coventry City FC
4,Tue Aug 21 2018,Bradford City AFC,1-0,Burton Albion FC
4,Tue Aug 21 2018,Bristol Rovers FC,1-2,Portsmouth FC
4,Tue Aug 21 2018,AFC Wimbledon,1-3,Walsall FC
4,Tue Aug 21 2018,Doncaster Rovers FC,0-0,Shrewsbury Town FC
4,Tue Aug 21 2018,Luton Town FC,2-0,Southend United FC
4,Tue Aug 21 2018,Oxford United FC,2-3,Accrington Stanley FC
4,Tue Aug 21 2018,Plymouth Argyle FC,1-1,Wycombe Wanderers FC
4,Tue Aug 21 2018,Rochdale AFC,0-4,Barnsley FC
4,Wed Aug 22 2018,Gillingham FC,1-4,Sunderland AFC
4,Wed Aug 22 2018,Scunthorpe United FC,0-5,Fleetwood Town FC
5,Sat Aug 25 2018,Charlton Athletic FC,0-0,Fleetwood Town FC
5,Sat Aug 25 2018,Blackpool FC,1-1,Accrington Stanley FC
5,Sat Aug 25 2018,Bradford City AFC,1-2,Wycombe Wanderers FC
5,Sat Aug 25 2018,Bristol Rovers FC,0-1,Southend United FC
5,Sat Aug 25 2018,AFC Wimbledon,1-2,Sunderland AFC
5,Sat Aug 25 2018,Scunthorpe United FC,2-2,Barnsley FC
5,Sat Aug 25 2018,Gillingham FC,1-1,Coventry City FC
5,Sat Aug 25 2018,Luton Town FC,3-2,Shrewsbury Town FC
5,Sat Aug 25 2018,Oxford United FC,3-1,Burton Albion FC
5,Sat Aug 25 2018,Plymouth Argyle FC,1-5,Peterborough United FC
5,Sat Aug 25 2018,Doncaster Rovers FC,0-0,Portsmouth FC
5,Sat Aug 25 2018,Rochdale AFC,1-2,Walsall FC
6,Sat Sep 1 2018,Accrington Stanley FC,1-1,Scunthorpe United FC
6,Sat Sep 1 2018,Barnsley FC,2-1,Gillingham FC
6,Sat Sep 1 2018,Burton Albion FC,3-0,AFC Wimbledon
6,Sat Sep 1 2018,Coventry City FC,0-1,Rochdale AFC
6,Sat Sep 1 2018,Walsall FC,0-0,Blackpool FC
6,Sat Sep 1 2018,Peterborough United FC,1-1,Doncaster Rovers FC
6,Sat Sep 1 2018,Portsmouth FC,3-0,Plymouth Argyle FC
6,Sat Sep 1 2018,Shrewsbury Town FC,1-1,Bristol Rovers FC
6,Sat Sep 1 2018,Southend United FC,1-2,Charlton Athletic FC
6,Sat Sep 1 2018,Sunderland AFC,1-1,Oxford United FC
6,Sat Sep 1 2018,Wycombe Wanderers FC,1-1,Luton Town FC
6,Sat Sep 1 2018,Fleetwood Town FC,2-1,Bradford City AFC
7,Sat Sep 8 2018,Bristol Rovers FC,0-0,Plymouth Argyle FC
7,Sat Sep 8 2018,Accrington Stanley FC,1-1,Burton Albion FC
7,Sat Sep 8 2018,Barnsley FC,1-1,Walsall FC
7,Sat Sep 8 2018,Sunderland AFC,1-1,Fleetwood Town FC
7,Sat Sep 8 2018,Charlton Athletic FC,3-2,Wycombe Wanderers FC
7,Sat Sep 8 2018,Doncaster Rovers FC,2-1,Luton Town FC
7,Sat Sep 8 2018,Gillingham FC,0-1,AFC Wimbledon
7,Sat Sep 8 2018,Portsmouth FC,1-1,Shrewsbury Town FC
7,Sat Sep 8 2018,Scunthorpe United FC,3-3,Rochdale AFC
7,Sat Sep 8 2018,Southend United FC,2-3,Peterborough United FC
7,Sat Sep 8 2018,Blackpool FC,3-2,Bradford City AFC
7,Sun Sep 9 2018,Oxford United FC,1-2,Coventry City FC
8,Sat Sep 15 2018,AFC Wimbledon,2-3,Scunthorpe United FC
8,Sat Sep 15 2018,Bradford City AFC,0-2,Charlton Athletic FC
8,Sat Sep 15 2018,Burton Albion FC,2-1,Sunderland AFC
8,Sat Sep 15 2018,Coventry City FC,1-0,Barnsley FC
8,Sat Sep 15 2018,Fleetwood Town FC,1-1,Accrington Stanley FC
8,Sat Sep 15 2018,Wycombe Wanderers FC,0-0,Oxford United FC
8,Sat Sep 15 2018,Peterborough United FC,1-2,Portsmouth FC
8,Sat Sep 15 2018,Plymouth Argyle FC,0-1,Blackpool FC
8,Sat Sep 15 2018,Rochdale AFC,3-0,Gillingham FC
8,Sat Sep 15 2018,Shrewsbury Town FC,2-0,Southend United FC
8,Sat Sep 15 2018,Luton Town FC,1-0,Bristol Rovers FC
8,Sat Sep 15 2018,Walsall FC,1-4,Doncaster Rovers FC
9,Sat Sep 22 2018,Accrington Stanley FC,2-1,AFC Wimbledon
9,Sat Sep 22 2018,Blackpool FC,0-0,Luton Town FC
9,Sat Sep 22 2018,Bristol Rovers FC,3-1,Coventry City FC
9,Sat Sep 22 2018,Charlton Athletic FC,2-1,Plymouth Argyle FC
9,Sat Sep 22 2018,Sunderland AFC,4-1,Rochdale AFC
9,Sat Sep 22 2018,Gillingham FC,2-4,Peterborough United FC
9,Sat Sep 22 2018,Oxford United FC,1-2,Walsall FC
9,Sat Sep 22 2018,Portsmouth FC,2-2,Wycombe Wanderers FC
9,Sat Sep 22 2018,Scunthorpe United FC,1-0,Shrewsbury Town FC
9,Sat Sep 22 2018,Southend United FC,1-0,Fleetwood Town FC
9,Sat Sep 22 2018,Doncaster Rovers FC,2-1,Bradford City AFC
10,Sat Sep 29 2018,Walsall FC,0-1,Accrington Stanley FC
10,Sat Sep 29 2018,Coventry City FC,1-1,Sunderland AFC
10,Sat Sep 29 2018,AFC Wimbledon,2-1,Oxford United FC
10,Sat Sep 29 2018,Bradford City AFC,0-0,Bristol Rovers FC
10,Sat Sep 29 2018,Burton Albion FC,0-0,Scunthorpe United FC
10,Sat Sep 29 2018,Fleetwood Town FC,1-3,Barnsley FC
10,Sat Sep 29 2018,Luton Town FC,2-2,Charlton Athletic FC
10,Sat Sep 29 2018,Peterborough United FC,2-2,Blackpool FC
10,Sat Sep 29 2018,Plymouth Argyle FC,2-3,Doncaster Rovers FC
10,Sat Sep 29 2018,Rochdale AFC,1-3,Portsmouth FC
10,Sat Sep 29 2018,Wycombe Wanderers FC,2-3,Southend United FC
10,Sat Sep 29 2018,Shrewsbury Town FC,2-2,Gillingham FC
11,Tue Oct 2 2018,Coventry City FC,0-1,Portsmouth FC
11,Tue Oct 2 2018,AFC Wimbledon,0-1,Bradford City AFC
11,Tue Oct 2 2018,Accrington Stanley FC,1-0,Doncaster Rovers FC
11,Tue Oct 2 2018,Barnsley FC,1-1,Plymouth Argyle FC
11,Tue Oct 2 2018,Burton Albion FC,1-2,Southend United FC
11,Tue Oct 2 2018,Walsall FC,0-0,Shrewsbury Town FC
11,Tue Oct 2 2018,Fleetwood Town FC,1-1,Wycombe Wanderers FC
11,Tue Oct 2 2018,Oxford United FC,1-2,Luton Town FC
11,Tue Oct 2 2018,Rochdale AFC,0-0,Bristol Rovers FC
11,Tue Oct 2 2018,Scunthorpe United FC,5-3,Charlton Athletic FC
11,Tue Oct 2 2018,Sunderland AFC,2-2,Peterborough United FC
12,Sat Oct 6 2018,Wycombe Wanderers FC,2-1,Burton Albion FC
12,Sat Oct 6 2018,Shrewsbury Town FC,1-0,Accrington Stanley FC
12,Sat Oct 6 2018,Blackpool FC,2-2,Rochdale AFC
12,Sat Oct 6 2018,Bradford City AFC,1-2,Sunderland AFC
12,Sat Oct 6 2018,Bristol Rovers FC,0-1,Walsall FC
12,Sat Oct 6 2018,Southend United FC,0-0,Oxford United FC
12,Sat Oct 6 2018,Doncaster Rovers FC,0-4,Fleetwood Town FC
12,Sat Oct 6 2018,Luton Town FC,3-2,Scunthorpe United FC
12,Sat Oct 6 2018,Peterborough United FC,0-4,Barnsley FC
12,Sat Oct 6 2018,Plymouth Argyle FC,1-0,AFC Wimbledon
12,Sat Oct 6 2018,Portsmouth FC,0-2,Gillingham FC
12,Sat Oct 6 2018,Charlton Athletic FC,1-2,Coventry City FC
13,Sat Oct 13 2018,Oxford United FC,2-0,Plymouth Argyle FC
13,Sat Oct 13 2018,Rochdale AFC,2-3,Doncaster Rovers FC
13,Sat Oct 13 2018,Barnsley FC,3-2,Luton Town FC
13,Sat Oct 13 2018,AFC Wimbledon,1-2,Portsmouth FC
13,Sat Oct 13 2018,Accrington Stanley FC,3-1,Bradford City AFC
13,Sat Oct 13 2018,Burton Albion FC,1-0,Bristol Rovers FC
13,Sat Oct 13 2018,Coventry City FC,1-0,Wycombe Wanderers FC
13,Sat Oct 13 2018,Fleetwood Town FC,2-1,Shrewsbury Town FC
13,Sat Oct 13 2018,Gillingham FC,0-2,Southend United FC
13,Sat Oct 13 2018,Scunthorpe United FC,0-2,Peterborough United FC
14,Sat Oct 20 2018,Bristol Rovers FC,0-0,Oxford United FC
14,Sat Oct 20 2018,Wycombe Wanderers FC,3-2,Scunthorpe United FC
14,Sat Oct 20 2018,Southend United FC,1-2,Coventry City FC
14,Sat Oct 20 2018,Shrewsbury Town FC,0-2,Sunderland AFC
14,Sat Oct 20 2018,Blackpool FC,2-0,AFC Wimbledon
14,Sat Oct 20 2018,Bradford City AFC,0-2,Rochdale AFC
14,Sat Oct 20 2018,Portsmouth FC,1-0,Fleetwood Town FC
14,Sat Oct 20 2018,Charlton Athletic FC,2-0,Barnsley FC
14,Sat Oct 20 2018,Doncaster Rovers FC,3-3,Gillingham FC
14,Sat Oct 20 2018,Luton Town FC,2-0,Walsall FC
14,Sat Oct 20 2018,Peterborough United FC,0-1,Accrington Stanley FC
14,Sat Oct 20 2018,Plymouth Argyle FC,2-3,Burton Albion FC
15,Tue Oct 23 2018,Shrewsbury Town FC,3-1,Barnsley FC
15,Tue Oct 23 2018,Portsmouth FC,2-2,Burton Albion FC
15,Tue Oct 23 2018,Southend United FC,3-0,Walsall FC
15,Tue Oct 23 2018,Wycombe Wanderers FC,3-0,Rochdale AFC
15,Tue Oct 23 2018,Blackpool FC,1-0,Scunthorpe United FC
15,Tue Oct 23 2018,Bradford City AFC,2-4,Coventry City FC
15,Tue Oct 23 2018,Bristol Rovers FC,2-0,AFC Wimbledon
15,Tue Oct 23 2018,Plymouth Argyle FC,3-1,Gillingham FC
