Date,Team 1,Team 2,FT,HT
2012-08-18,Arsenal,Sunderland,0-0,0-0
2012-08-18,Fulham,Norwich,5-0,2-0
2012-08-18,Newcastle,Tottenham,2-1,0-0
2012-08-18,QPR,Swansea,0-5,0-1
2012-08-18,Reading,Stoke,1-1,0-1
2012-08-18,West Brom,Liverpool,3-0,1-0
2012-08-18,West Ham,Aston Villa,1-0,1-0
2012-08-19,Man City,Southampton,3-2,1-0
2012-08-19,Wigan,Chelsea,0-2,0-2
2012-08-20,Everton,Man United,1-0,0-0
2012-08-22,Chelsea,Reading,4-2,1-2
2012-08-25,Aston Villa,Everton,1-3,0-3
2012-08-25,Chelsea,Newcastle,2-0,2-0
2012-08-25,Man United,Fulham,3-2,3-1
2012-08-25,Norwich,QPR,1-1,1-1
2012-08-25,Southampton,Wigan,0-2,0-0
2012-08-25,Swansea,West Ham,3-0,2-0
2012-08-25,Tottenham,West Brom,1-1,0-0
2012-08-26,Liverpool,Man City,2-2,1-0
2012-08-26,Stoke,Arsenal,0-0,0-0
2012-09-01,Man City,QPR,3-1,1-0
2012-09-01,Swansea,Sunderland,2-2,1-2
2012-09-01,Tottenham,Norwich,1-1,0-0
2012-09-01,West Brom,Everton,2-0,0-0
2012-09-01,West Ham,Fulham,3-0,3-0
2012-09-01,Wigan,Stoke,2-2,1-1
2012-09-02,Liverpool,Arsenal,0-2,0-1
2012-09-02,Newcastle,Aston Villa,1-1,0-1
2012-09-02,Southampton,Man United,2-3,1-1
2012-09-15,Arsenal,Southampton,6-1,4-1
2012-09-15,Aston Villa,Swansea,2-0,1-0
2012-09-15,Fulham,West Brom,3-0,2-0
2012-09-15,Man United,Wigan,4-0,0-0
2012-09-15,Norwich,West Ham,0-0,0-0
2012-09-15,QPR,Chelsea,0-0,0-0
2012-09-15,Stoke,Man City,1-1,1-1
2012-09-15,Sunderland,Liverpool,1-1,1-0
2012-09-16,Reading,Tottenham,1-3,0-1
2012-09-17,Everton,Newcastle,2-2,1-0
2012-09-22,Chelsea,Stoke,1-0,0-0
2012-09-22,Southampton,Aston Villa,4-1,0-1
2012-09-22,Swansea,Everton,0-3,0-2
2012-09-22,West Brom,Reading,1-0,0-0
2012-09-22,West Ham,Sunderland,1-1,0-1
2012-09-22,Wigan,Fulham,1-2,0-1
2012-09-23,Liverpool,Man United,1-2,0-0
2012-09-23,Man City,Arsenal,1-1,1-0
2012-09-23,Newcastle,Norwich,1-0,1-0
2012-09-23,Tottenham,QPR,2-1,0-1
2012-09-29,Arsenal,Chelsea,1-2,1-1
2012-09-29,Everton,Southampton,3-1,3-1
2012-09-29,Fulham,Man City,1-2,1-1
2012-09-29,Man United,Tottenham,2-3,0-2
2012-09-29,Norwich,Liverpool,2-5,0-2
2012-09-29,Reading,Newcastle,2-2,0-0
2012-09-29,Stoke,Swansea,2-0,2-0
2012-09-29,Sunderland,Wigan,1-0,0-0
2012-09-30,Aston Villa,West Brom,1-1,0-0
2012-10-01,QPR,West Ham,1-2,0-2
2012-10-06,Chelsea,Norwich,4-1,3-1
2012-10-06,Man City,Sunderland,3-0,1-0
2012-10-06,Swansea,Reading,2-2,0-2
2012-10-06,West Brom,QPR,3-2,2-1
2012-10-06,West Ham,Arsenal,1-3,1-1
2012-10-06,Wigan,Everton,2-2,2-1
2012-10-07,Liverpool,Stoke,0-0,0-0
2012-10-07,Newcastle,Man United,0-3,0-2
2012-10-07,Southampton,Fulham,2-2,1-0
2012-10-07,Tottenham,Aston Villa,2-0,0-0
2012-10-20,Fulham,Aston Villa,1-0,0-0
2012-10-20,Liverpool,Reading,1-0,1-0
2012-10-20,Man United,Stoke,4-2,2-1
2012-10-20,Norwich,Arsenal,1-0,1-0
2012-10-20,Swansea,Wigan,2-1,0-0
2012-10-20,Tottenham,Chelsea,2-4,0-1
2012-10-20,West Brom,Man City,1-2,0-0
2012-10-20,West Ham,Southampton,4-1,0-0
2012-10-21,QPR,Everton,1-1,1-1
2012-10-21,Sunderland,Newcastle,1-1,0-1
2012-10-27,Arsenal,QPR,1-0,0-0
2012-10-27,Aston Villa,Norwich,1-1,1-0
2012-10-27,Man City,Swansea,1-0,0-0
2012-10-27,Reading,Fulham,3-3,1-0
2012-10-27,Stoke,Sunderland,0-0,0-0
2012-10-27,Wigan,West Ham,2-1,1-0
2012-10-28,Chelsea,Man United,2-3,1-2
2012-10-28,Everton,Liverpool,2-2,2-2
2012-10-28,Newcastle,West Brom,2-1,1-0
2012-10-28,Southampton,Tottenham,1-2,0-2
2012-11-03,Fulham,Everton,2-2,1-0
2012-11-03,Man United,Arsenal,2-1,1-0
2012-11-03,Norwich,Stoke,1-0,1-0
2012-11-03,Sunderland,Aston Villa,0-1,0-0
2012-11-03,Swansea,Chelsea,1-1,0-0
2012-11-03,Tottenham,Wigan,0-1,0-0
2012-11-03,West Ham,Man City,0-0,0-0
2012-11-04,Liverpool,Newcastle,1-1,0-1
2012-11-04,QPR,Reading,1-1,0-1
2012-11-05,West Brom,Southampton,2-0,1-0
2012-11-10,Arsenal,Fulham,3-3,2-2
2012-11-10,Aston Villa,Man United,2-3,1-0
2012-11-10,Everton,Sunderland,2-1,0-1
2012-11-10,Reading,Norwich,0-0,0-0
2012-11-10,Southampton,Swansea,1-1,0-0
2012-11-10,Stoke,QPR,1-0,0-0
2012-11-10,Wigan,West Brom,1-2,1-2
2012-11-11,Chelsea,Liverpool,1-1,1-0
2012-11-11,Man City,Tottenham,2-1,0-1
2012-11-11,Newcastle,West Ham,0-1,0-1
2012-11-17,Arsenal,Tottenham,5-2,3-1
2012-11-17,Liverpool,Wigan,3-0,0-0
2012-11-17,Man City,Aston Villa,5-0,1-0
2012-11-17,Newcastle,Swansea,1-2,0-0
2012-11-17,Norwich,Man United,1-0,0-0
2012-11-17,QPR,Southampton,1-3,0-2
2012-11-17,Reading,Everton,2-1,0-1
2012-11-17,West Brom,Chelsea,2-1,1-1
2012-11-18,Fulham,Sunderland,1-3,0-0
2012-11-19,West Ham,Stoke,1-1,0-1
2012-11-24,Aston Villa,Arsenal,0-0,0-0
2012-11-24,Everton,Norwich,1-1,1-0
2012-11-24,Man United,QPR,3-1,0-0
2012-11-24,Stoke,Fulham,1-0,1-0
2012-11-24,Sunderland,West Brom,2-4,0-2
2012-11-24,Wigan,Reading,3-2,0-1
2012-11-25,Chelsea,Man City,0-0,0-0
2012-11-25,Southampton,Newcastle,2-0,1-0
2012-11-25,Swansea,Liverpool,0-0,0-0
2012-11-25,Tottenham,West Ham,3-1,1-0
2012-11-27,Aston Villa,Reading,1-0,0-0
2012-11-27,Sunderland,QPR,0-0,0-0
2012-11-28,Chelsea,Fulham,0-0,0-0
2012-11-28,Everton,Arsenal,1-1,1-1
2012-11-28,Man United,West Ham,1-0,1-0
2012-11-28,Southampton,Norwich,1-1,1-1
2012-11-28,Stoke,Newcastle,2-1,0-0
2012-11-28,Swansea,West Brom,3-1,3-1
2012-11-28,Tottenham,Liverpool,2-1,2-0
2012-11-28,Wigan,Man City,0-2,0-0
2012-12-01,Arsenal,Swansea,0-2,0-0
2012-12-01,Fulham,Tottenham,0-3,0-0
2012-12-01,Liverpool,Southampton,1-0,1-0
2012-12-01,Man City,Everton,1-1,1-1
2012-12-01,QPR,Aston Villa,1-1,1-1
2012-12-01,Reading,Man United,3-4,3-4
2012-12-01,West Brom,Stoke,0-1,0-0
2012-12-01,West Ham,Chelsea,3-1,0-1
2012-12-02,Norwich,Sunderland,2-1,2-1
2012-12-03,Newcastle,Wigan,3-0,2-0
2012-12-08,Arsenal,West Brom,2-0,1-0
2012-12-08,Aston Villa,Stoke,0-0,0-0
2012-12-08,Southampton,Reading,1-0,0-0
2012-12-08,Sunderland,Chelsea,1-3,0-2
2012-12-08,Swansea,Norwich,3-4,0-3
2012-12-08,Wigan,QPR,2-2,1-1
2012-12-09,Everton,Tottenham,2-1,0-0
2012-12-09,Man City,Man United,2-3,0-2
2012-12-09,West Ham,Liverpool,2-3,2-1
2012-12-10,Fulham,Newcastle,2-1,1-0
2012-12-11,Sunderland,Reading,3-0,2-0
2012-12-15,Liverpool,Aston Villa,1-3,0-2
2012-12-15,Man United,Sunderland,3-1,2-0
2012-12-15,Newcastle,Man City,1-3,0-2
2012-12-15,Norwich,Wigan,2-1,1-0
2012-12-15,QPR,Fulham,2-1,0-0
2012-12-15,Stoke,Everton,1-1,0-1
2012-12-16,Tottenham,Swansea,1-0,0-0
2012-12-16,West Brom,West Ham,0-0,0-0
2012-12-17,Reading,Arsenal,2-5,0-3
2012-12-22,Liverpool,Fulham,4-0,2-0
2012-12-22,Man City,Reading,1-0,0-0
2012-12-22,Newcastle,QPR,1-0,0-0
2012-12-22,Southampton,Sunderland,0-1,0-1
2012-12-22,Tottenham,Stoke,0-0,0-0
2012-12-22,West Brom,Norwich,2-1,1-1
2012-12-22,West Ham,Everton,1-2,1-0
2012-12-22,Wigan,Arsenal,0-1,0-0
2012-12-23,Chelsea,Aston Villa,8-0,3-0
2012-12-23,Swansea,Man United,1-1,1-1
2012-12-26,Aston Villa,Tottenham,0-4,0-0
2012-12-26,Everton,Wigan,2-1,0-0
2012-12-26,Fulham,Southampton,1-1,1-0
2012-12-26,Man United,Newcastle,4-3,1-2
2012-12-26,Norwich,Chelsea,0-1,0-1
2012-12-26,QPR,West Brom,1-2,0-1
2012-12-26,Reading,Swansea,0-0,0-0
2012-12-26,Stoke,Liverpool,3-1,2-1
2012-12-26,Sunderland,Man City,1-0,0-0
2012-12-29,Arsenal,Newcastle,7-3,1-1
2012-12-29,Aston Villa,Wigan,0-3,0-1
2012-12-29,Fulham,Swansea,1-2,0-1
2012-12-29,Man United,West Brom,2-0,1-0
2012-12-29,Norwich,Man City,3-4,1-2
2012-12-29,Reading,West Ham,1-0,1-0
2012-12-29,Stoke,Southampton,3-3,1-3
2012-12-29,Sunderland,Tottenham,1-2,1-0
2012-12-30,Everton,Chelsea,1-2,1-1
2012-12-30,QPR,Liverpool,0-3,0-3
2013-01-01,Man City,Stoke,3-0,1-0
2013-01-01,Southampton,Arsenal,1-1,1-1
2013-01-01,Swansea,Aston Villa,2-2,1-1
2013-01-01,Tottenham,Reading,3-1,1-1
2013-01-01,West Brom,Fulham,1-2,0-1
2013-01-01,West Ham,Norwich,2-1,2-0
2013-01-01,Wigan,Man United,0-4,0-2
2013-01-02,Chelsea,QPR,0-1,0-0
2013-01-02,Liverpool,Sunderland,3-0,2-0
2013-01-02,Newcastle,Everton,1-2,1-1
2013-01-12,Aston Villa,Southampton,0-1,0-1
2013-01-12,Everton,Swansea,0-0,0-0
2013-01-12,Fulham,Wigan,1-1,1-0
2013-01-12,Norwich,Newcastle,0-0,0-0
2013-01-12,QPR,Tottenham,0-0,0-0
2013-01-12,Reading,West Brom,3-2,0-1
2013-01-12,Stoke,Chelsea,0-4,0-1
2013-01-12,Sunderland,West Ham,3-0,1-0
2013-01-13,Arsenal,Man City,0-2,0-2
2013-01-13,Man United,Liverpool,2-1,1-0
2013-01-16,Chelsea,Southampton,2-2,2-0
2013-01-19,Liverpool,Norwich,5-0,2-0
2013-01-19,Man City,Fulham,2-0,1-0
2013-01-19,Newcastle,Reading,1-2,1-0
2013-01-19,Swansea,Stoke,3-1,0-0
2013-01-19,West Brom,Aston Villa,2-2,0-2
2013-01-19,West Ham,QPR,1-1,0-1
2013-01-19,Wigan,Sunderland,2-3,1-3
2013-01-20,Chelsea,Arsenal,2-1,2-0
2013-01-20,Tottenham,Man United,1-1,0-1
2013-01-21,Southampton,Everton,0-0,0-0
2013-01-23,Arsenal,West Ham,5-1,1-1
2013-01-29,Aston Villa,Newcastle,1-2,0-2
2013-01-29,QPR,Man City,0-0,0-0
2013-01-29,Stoke,Wigan,2-2,1-0
2013-01-29,Sunderland,Swansea,0-0,0-0
2013-01-30,Arsenal,Liverpool,2-2,0-1
2013-01-30,Everton,West Brom,2-1,2-0
2013-01-30,Fulham,West Ham,3-1,1-0
2013-01-30,Man United,Southampton,2-1,2-1
2013-01-30,Norwich,Tottenham,1-1,1-0
2013-01-30,Reading,Chelsea,2-2,0-1
2013-02-02,Arsenal,Stoke,1-0,0-0
2013-02-02,Everton,Aston Villa,3-3,1-2
2013-02-02,Fulham,Man United,0-1,0-0
2013-02-02,Newcastle,Chelsea,3-2,1-0
2013-02-02,QPR,Norwich,0-0,0-0
2013-02-02,Reading,Sunderland,2-1,1-1
2013-02-02,West Ham,Swansea,1-0,0-0
2013-02-02,Wigan,Southampton,2-2,1-0
2013-02-03,Man City,Liverpool,2-2,1-1
2013-02-03,West Brom,Tottenham,0-1,0-0
2013-02-09,Chelsea,Wigan,4-1,1-0
2013-02-09,Norwich,Fulham,0-0,0-0
2013-02-09,Southampton,Man City,3-1,2-1
2013-02-09,Stoke,Reading,2-1,0-0
2013-02-09,Sunderland,Arsenal,0-1,0-1
2013-02-09,Swansea,QPR,4-1,2-0
2013-02-09,Tottenham,Newcastle,2-1,1-1
2013-02-10,Aston Villa,West Ham,2-1,0-0
2013-02-10,Man United,Everton,2-0,2-0
2013-02-11,Liverpool,West Brom,0-2,0-0
2013-02-17,Liverpool,Swansea,5-0,1-0
2013-02-23,Arsenal,Aston Villa,2-1,1-0
2013-02-23,Fulham,Stoke,1-0,1-0
2013-02-23,Norwich,Everton,2-1,0-1
2013-02-23,QPR,Man United,0-2,0-1
2013-02-23,Reading,Wigan,0-3,0-2
2013-02-23,West Brom,Sunderland,2-1,1-0
2013-02-24,Man City,Chelsea,2-0,0-0
2013-02-24,Newcastle,Southampton,4-2,2-1
2013-02-25,West Ham,Tottenham,2-3,1-1
2013-03-02,Chelsea,West Brom,1-0,1-0
2013-03-02,Everton,Reading,3-1,1-0
2013-03-02,Man United,Norwich,4-0,1-0
