Round,Date,Team 1,FT,Team 2
1,Sat Aug 11 2007,Wycombe Wanderers FC,0-1,Accrington Stanley FC
1,Sat Aug 11 2007,Stockport County FC,1-0,Dagenham & Redbridge FC
1,Sat Aug 11 2007,Peterborough United FC,3-0,Rochdale AFC
1,Sat Aug 11 2007,Milton Keynes Dons FC,1-2,Bury FC
1,Sat Aug 11 2007,Lincoln City FC,0-4,Shrewsbury Town FC
1,Sat Aug 11 2007,Hereford FC (2014-),0-0,Rotherham United FC
1,Sat Aug 11 2007,Grimsby Town FC,1-1,Notts County FC
1,Sat Aug 11 2007,Darlington FC,2-0,Wrexham AFC
1,Sat Aug 11 2007,Chester FC,0-0,Chesterfield FC
1,Sat Aug 11 2007,Brentford FC,1-1,Mansfield Town FC
1,Sat Aug 11 2007,Bradford City AFC,1-1,Macclesfield Town FC
1,Sat Aug 11 2007,Morecambe FC,0-0,Barnet FC
2,Sat Aug 18 2007,Wrexham AFC,2-1,Morecambe FC
2,Sat Aug 18 2007,Shrewsbury Town FC,1-0,Bradford City AFC
2,Sat Aug 18 2007,Rochdale AFC,1-2,Chester FC
2,Sat Aug 18 2007,Notts County FC,1-1,Brentford FC
2,Sat Aug 18 2007,Mansfield Town FC,1-3,Lincoln City FC
2,Sat Aug 18 2007,Macclesfield Town FC,3-3,Milton Keynes Dons FC
2,Sat Aug 18 2007,Dagenham & Redbridge FC,2-2,Wycombe Wanderers FC
2,Sat Aug 18 2007,Chesterfield FC,1-1,Stockport County FC
2,Sat Aug 18 2007,Bury FC,1-1,Grimsby Town FC
2,Sat Aug 18 2007,Barnet FC,1-2,Hereford FC (2014-)
2,Sat Aug 18 2007,Accrington Stanley FC,0-3,Darlington FC
2,Sun Aug 19 2007,Rotherham United FC,3-1,Peterborough United FC
3,Sat Aug 25 2007,Wycombe Wanderers FC,1-0,Bury FC
3,Sat Aug 25 2007,Stockport County FC,2-2,Rotherham United FC
3,Sat Aug 25 2007,Peterborough United FC,2-3,Chesterfield FC
3,Sat Aug 25 2007,Morecambe FC,3-1,Mansfield Town FC
3,Sat Aug 25 2007,Milton Keynes Dons FC,3-0,Shrewsbury Town FC
3,Sat Aug 25 2007,Lincoln City FC,2-0,Accrington Stanley FC
3,Sat Aug 25 2007,Hereford FC (2014-),1-1,Rochdale AFC
3,Sat Aug 25 2007,Grimsby Town FC,1-1,Macclesfield Town FC
3,Sat Aug 25 2007,Darlington FC,2-2,Notts County FC
3,Sat Aug 25 2007,Chester FC,4-0,Dagenham & Redbridge FC
3,Sat Aug 25 2007,Brentford FC,2-1,Barnet FC
3,Sat Aug 25 2007,Bradford City AFC,2-1,Wrexham AFC
4,Sat Sep 1 2007,Wrexham AFC,0-2,Hereford FC (2014-)
4,Sat Sep 1 2007,Shrewsbury Town FC,2-1,Grimsby Town FC
4,Sat Sep 1 2007,Rotherham United FC,1-1,Chester FC
4,Sat Sep 1 2007,Rochdale AFC,3-2,Milton Keynes Dons FC
4,Sat Sep 1 2007,Notts County FC,1-1,Morecambe FC
4,Sat Sep 1 2007,Accrington Stanley FC,0-2,Peterborough United FC
4,Sat Sep 1 2007,Macclesfield Town FC,0-0,Darlington FC
4,Sat Sep 1 2007,Dagenham & Redbridge FC,1-0,Lincoln City FC
4,Sat Sep 1 2007,Chesterfield FC,2-0,Wycombe Wanderers FC
4,Sat Sep 1 2007,Bury FC,1-2,Brentford FC
4,Sat Sep 1 2007,Barnet FC,2-1,Bradford City AFC
4,Sat Sep 1 2007,Mansfield Town FC,4-2,Stockport County FC
5,Fri Sep 7 2007,Milton Keynes Dons FC,3-0,Notts County FC
5,Fri Sep 7 2007,Lincoln City FC,1-2,Bradford City AFC
5,Fri Sep 7 2007,Chesterfield FC,3-1,Bury FC
5,Fri Sep 7 2007,Chester FC,0-1,Morecambe FC
5,Sat Sep 8 2007,Dagenham & Redbridge FC,1-1,Barnet FC
5,Sat Sep 8 2007,Accrington Stanley FC,4-1,Grimsby Town FC
5,Sat Sep 8 2007,Stockport County FC,1-1,Shrewsbury Town FC
5,Sat Sep 8 2007,Hereford FC (2014-),0-1,Macclesfield Town FC
5,Sat Sep 8 2007,Rotherham United FC,0-2,Darlington FC
5,Sun Sep 9 2007,Wycombe Wanderers FC,1-0,Brentford FC
5,Sun Sep 9 2007,Peterborough United FC,2-1,Mansfield Town FC
6,Sat Sep 15 2007,Mansfield Town FC,1-3,Chesterfield FC
6,Sat Sep 15 2007,Wrexham AFC,0-1,Rotherham United FC
6,Sat Sep 15 2007,Shrewsbury Town FC,2-0,Accrington Stanley FC
6,Sat Sep 15 2007,Notts County FC,1-0,Dagenham & Redbridge FC
6,Sat Sep 15 2007,Morecambe FC,0-3,Hereford FC (2014-)
6,Sat Sep 15 2007,Macclesfield Town FC,1-2,Wycombe Wanderers FC
6,Sat Sep 15 2007,Barnet FC,0-0,Rochdale AFC
6,Sat Sep 15 2007,Darlington FC,2-0,Lincoln City FC
6,Sat Sep 15 2007,Bury FC,0-2,Chester FC
6,Sat Sep 15 2007,Brentford FC,0-3,Milton Keynes Dons FC
6,Sat Sep 15 2007,Bradford City AFC,1-0,Peterborough United FC
6,Sat Sep 15 2007,Grimsby Town FC,1-1,Stockport County FC
7,Sat Sep 22 2007,Accrington Stanley FC,1-0,Mansfield Town FC
7,Sat Sep 22 2007,Wycombe Wanderers FC,1-1,Shrewsbury Town FC
7,Sat Sep 22 2007,Stockport County FC,2-1,Wrexham AFC
7,Sat Sep 22 2007,Rotherham United FC,1-1,Notts County FC
7,Sat Sep 22 2007,Rochdale AFC,1-1,Macclesfield Town FC
7,Sat Sep 22 2007,Peterborough United FC,1-1,Morecambe FC
7,Sat Sep 22 2007,Milton Keynes Dons FC,1-0,Darlington FC
7,Sat Sep 22 2007,Hereford FC (2014-),4-2,Bradford City AFC
7,Sat Sep 22 2007,Dagenham & Redbridge FC,1-1,Bury FC
