Matchday,Date,Team 1,FT,Team 2
1,Sat Aug 11 2007,Walsall FC,1-1,Carlisle United FC
1,Sat Aug 11 2007,Tranmere Rovers FC,1-2,Leeds United FC
1,Sat Aug 11 2007,Southend United FC,1-2,Leyton Orient FC
1,Sat Aug 11 2007,Port Vale FC,1-1,Bristol Rovers FC
1,Sat Aug 11 2007,Oldham Athletic AFC,2-1,Swansea City FC
1,Sat Aug 11 2007,Nottingham Forest FC,0-0,AFC Bournemouth
1,Sat Aug 11 2007,Northampton Town FC,1-1,Swindon Town FC
1,Sat Aug 11 2007,Luton Town FC,2-1,Hartlepool United FC
1,Sat Aug 11 2007,Huddersfield Town AFC,1-0,Yeovil Town FC
1,Sat Aug 11 2007,Doncaster Rovers FC,0-0,Millwall FC
1,Sat Aug 11 2007,Crewe Alexandra FC,2-1,Brighton & Hove Albion FC
1,Sat Aug 11 2007,Cheltenham Town FC,1-0,Gillingham FC
2,Sat Aug 18 2007,Yeovil Town FC,1-0,Port Vale FC
2,Sat Aug 18 2007,Swindon Town FC,2-1,Luton Town FC
2,Sat Aug 18 2007,Swansea City FC,0-0,Nottingham Forest FC
2,Sat Aug 18 2007,Millwall FC,1-0,Cheltenham Town FC
2,Sat Aug 18 2007,Leyton Orient FC,1-0,Walsall FC
2,Sat Aug 18 2007,Leeds United FC,4-1,Southend United FC
2,Sat Aug 18 2007,Hartlepool United FC,2-1,Doncaster Rovers FC
2,Sat Aug 18 2007,Gillingham FC,0-2,Tranmere Rovers FC
2,Sat Aug 18 2007,Carlisle United FC,1-0,Oldham Athletic AFC
2,Sat Aug 18 2007,Bristol Rovers FC,1-1,Crewe Alexandra FC
2,Sat Aug 18 2007,Brighton & Hove Albion FC,2-1,Northampton Town FC
2,Sat Aug 18 2007,AFC Bournemouth,0-1,Huddersfield Town AFC
3,Sat Aug 25 2007,Nottingham Forest FC,1-2,Leeds United FC
3,Sat Aug 25 2007,Walsall FC,1-3,Swansea City FC
3,Sat Aug 25 2007,Tranmere Rovers FC,2-0,Brighton & Hove Albion FC
3,Sat Aug 25 2007,Southend United FC,1-0,Millwall FC
3,Sat Aug 25 2007,Port Vale FC,0-2,Hartlepool United FC
3,Sat Aug 25 2007,Oldham Athletic AFC,0-1,Bristol Rovers FC
3,Sat Aug 25 2007,Northampton Town FC,1-2,Yeovil Town FC
3,Sat Aug 25 2007,Luton Town FC,3-1,Gillingham FC
3,Sat Aug 25 2007,Huddersfield Town AFC,0-2,Carlisle United FC
3,Sat Aug 25 2007,Doncaster Rovers FC,1-2,AFC Bournemouth
3,Sat Aug 25 2007,Cheltenham Town FC,1-1,Swindon Town FC
3,Sat Aug 25 2007,Crewe Alexandra FC,0-2,Leyton Orient FC
4,Sat Sep 1 2007,Yeovil Town FC,1-1,Tranmere Rovers FC
4,Sat Sep 1 2007,Swindon Town FC,1-1,Crewe Alexandra FC
4,Sat Sep 1 2007,Swansea City FC,1-2,Doncaster Rovers FC
4,Sat Sep 1 2007,Millwall FC,1-2,Huddersfield Town AFC
4,Sat Sep 1 2007,Leyton Orient FC,2-2,Northampton Town FC
4,Sat Sep 1 2007,Leeds United FC,1-0,Luton Town FC
4,Sat Sep 1 2007,Hartlepool United FC,4-1,Oldham Athletic AFC
4,Sat Sep 1 2007,Gillingham FC,2-1,Walsall FC
4,Sat Sep 1 2007,Carlisle United FC,1-0,Cheltenham Town FC
4,Sat Sep 1 2007,Bristol Rovers FC,2-2,Nottingham Forest FC
