Date,Team 1,Team 2,FT,HT
2007-08-11,Cheltenham,Gillingham,1-0,1-0
2007-08-11,Crewe,Brighton,2-1,1-1
2007-08-11,Doncaster,Millwall,0-0,0-0
2007-08-11,Huddersfield,Yeovil,1-0,1-0
2007-08-11,Luton,Hartlepool,2-1,1-0
2007-08-11,Northampton,Swindon,1-1,1-1
2007-08-11,Nott'm Forest,Bournemouth,0-0,0-0
2007-08-11,Oldham,Swansea,2-1,1-0
2007-08-11,Port Vale,Bristol Rvs,1-1,0-0
2007-08-11,Southend,Leyton Orient,1-2,1-1
2007-08-11,Tranmere,Leeds,1-2,1-0
2007-08-11,Walsall,Carlisle,1-1,0-1
2007-08-18,Bournemouth,Huddersfield,0-1,0-1
2007-08-18,Brighton,Northampton,2-1,1-1
2007-08-18,Bristol Rvs,Crewe,1-1,1-1
2007-08-18,Carlisle,Oldham,1-0,1-0
2007-08-18,Gillingham,Tranmere,0-2,0-1
2007-08-18,Hartlepool,Doncaster,2-1,1-0
2007-08-18,Leeds,Southend,4-1,1-0
2007-08-18,Leyton Orient,Walsall,1-0,0-0
2007-08-18,Millwall,Cheltenham,1-0,1-0
2007-08-18,Swansea,Nott'm Forest,0-0,0-0
2007-08-18,Swindon,Luton,2-1,0-0
2007-08-18,Yeovil,Port Vale,1-0,1-0
2007-08-25,Cheltenham,Swindon,1-1,0-1
2007-08-25,Crewe,Leyton Orient,0-2,0-1
2007-08-25,Doncaster,Bournemouth,1-2,1-1
2007-08-25,Huddersfield,Carlisle,0-2,0-2
2007-08-25,Luton,Gillingham,3-1,2-1
2007-08-25,Northampton,Yeovil,1-2,1-1
2007-08-25,Nott'm Forest,Leeds,1-2,0-1
2007-08-25,Oldham,Bristol Rvs,0-1,0-1
2007-08-25,Port Vale,Hartlepool,0-2,0-1
2007-08-25,Southend,Millwall,1-0,0-0
2007-08-25,Tranmere,Brighton,2-0,0-0
2007-08-25,Walsall,Swansea,1-3,1-2
2007-09-01,Bournemouth,Port Vale,0-1,0-0
2007-09-01,Brighton,Southend,3-2,0-1
2007-09-01,Bristol Rvs,Nott'm Forest,2-2,2-2
2007-09-01,Carlisle,Cheltenham,1-0,0-0
2007-09-01,Gillingham,Walsall,2-1,2-1
2007-09-01,Hartlepool,Oldham,4-1,3-1
2007-09-01,Leeds,Luton,1-0,1-0
