Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 30 Jan 1965 (4),Aldershot Town FC (1),2-1,?,Barrow AFC (1)
?,(Wed) 28 Oct 1964 (43),Aldershot Town FC (2),1-1,?,Bradford City (1)
?,(Wed) 26 Aug 1964 (34),Aldershot Town FC (3),1-1,?,Bradford Park Avenue (1)
?,(Sat) 31 Oct 1964 (43),Aldershot Town FC (4),0-2,?,Brighton & Hove Albion (1)
?,(Sat) 22 Aug 1964 (33),Aldershot Town FC (5),3-1,?,Chester FC (1)
?,(Sat) 5 Sep 1964 (35),Aldershot Town FC (6),2-0,?,Chesterfield FC (1)
?,(Sat) 3 Oct 1964 (39),Aldershot Town FC (7),5-2,?,Crewe Alexandra (1)
?,(Mon) 19 Apr 1965 (16),Aldershot Town FC (8),0-1,?,Darlington FC (1)
?,(Sat) 19 Dec 1964 (50),Aldershot Town FC (9),3-0,?,Doncaster Rovers (1)
?,(Sat) 19 Sep 1964 (37),Aldershot Town FC (10),2-0,?,Halifax Town (1)
?,(Sat) 3 Apr 1965 (13),Aldershot Town FC (11),3-0,?,Hartlepool United (1)
?,(Tue) 30 Mar 1965 (13),Aldershot Town FC (12),3-2,?,Lincoln City (1)
?,(Sat) 17 Apr 1965 (15),Aldershot Town FC (13),0-0,?,Millwall FC (1)
?,(Sat) 6 Feb 1965 (5),Aldershot Town FC (14),2-1,?,Newport County AFC (1)
?,(Sat) 16 Jan 1965 (2),Aldershot Town FC (15),1-2,?,Notts County FC (1)
?,(Sat) 20 Mar 1965 (11),Aldershot Town FC (16),4-1,?,Oxford United (1)
?,(Sat) 28 Nov 1964 (47),Aldershot Town FC (17),1-2,?,Rochdale AFC (1)
?,(Wed) 9 Sep 1964 (36),Aldershot Town FC (18),0-3,?,Southport FC (1)
?,(Sat) 20 Feb 1965 (7),Aldershot Town FC (19),2-0,?,Stockport County (1)
?,(Wed) 17 Mar 1965 (11),Aldershot Town FC (20),2-5,?,Torquay United (1)
?,(Wed) 30 Sep 1964 (39),Aldershot Town FC (21),3-0,?,Tranmere Rovers (1)
?,(Mon) 19 Oct 1964 (42),Aldershot Town FC (22),5-0,?,Wrexham AFC (1)
?,(Sat) 17 Oct 1964 (41),Aldershot Town FC (23),1-0,?,York City (1)
?,(Sat) 27 Mar 1965 (12),Barrow AFC (2),2-0,?,Aldershot Town FC (24)
?,(Sat) 3 Oct 1964 (39),Barrow AFC (3),1-0,?,Bradford City (2)
?,(Sat) 21 Nov 1964 (46),Barrow AFC (4),2-1,?,Bradford Park Avenue (2)
?,(Sat) 12 Dec 1964 (49),Barrow AFC (5),1-4,?,Brighton & Hove Albion (2)
?,(Fri) 16 Apr 1965 (15),Barrow AFC (6),2-1,?,Chester FC (2)
?,(Sat) 13 Mar 1965 (10),Barrow AFC (7),1-2,?,Chesterfield FC (2)
?,(Mon) 28 Dec 1964 (52),Barrow AFC (8),1-2,?,Crewe Alexandra (2)
?,(Sat) 2 Jan 1965 (0),Barrow AFC (9),3-1,?,Darlington FC (2)
?,(Sat) 7 Nov 1964 (44),Barrow AFC (10),1-2,?,Doncaster Rovers (2)
?,(Sat) 27 Feb 1965 (8),Barrow AFC (11),1-0,?,Halifax Town (2)
?,(Sat) 16 Jan 1965 (2),Barrow AFC (12),4-2,?,Hartlepool United (2)
?,(Mon) 24 Aug 1964 (34),Barrow AFC (13),2-2,?,Lincoln City (2)
?,(Sat) 6 Feb 1965 (5),Barrow AFC (14),0-5,?,Millwall FC (2)
?,(Sat) 10 Oct 1964 (40),Barrow AFC (15),1-4,?,Newport County AFC (2)
?,(Sat) 24 Oct 1964 (42),Barrow AFC (16),2-0,?,Notts County FC (2)
?,(Sat) 29 Aug 1964 (34),Barrow AFC (17),1-1,?,Oxford United (2)
?,(Sat) 19 Sep 1964 (37),Barrow AFC (18),2-2,?,Rochdale AFC (2)
?,(Sat) 10 Apr 1965 (14),Barrow AFC (19),1-1,?,Southport FC (2)
?,(Mon) 19 Oct 1964 (42),Barrow AFC (20),0-1,?,Stockport County (2)
?,(Mon) 28 Sep 1964 (39),Barrow AFC (21),2-1,?,Torquay United (2)
?,(Sat) 24 Apr 1965 (16),Barrow AFC (22),0-2,?,Tranmere Rovers (2)
?,(Mon) 11 Jan 1965 (2),Barrow AFC (23),0-2,?,Wrexham AFC (2)
?,(Mon) 7 Sep 1964 (36),Barrow AFC (24),0-2,?,York City (2)
?,(Sat) 24 Apr 1965 (16),Bradford City (3),2-0,?,Aldershot Town FC (25)
?,(Sat) 13 Feb 1965 (6),Bradford City (4),1-3,?,Barrow AFC (25)
?,(Wed) 9 Sep 1964 (36),Bradford City (5),0-2,?,Bradford Park Avenue (3)
?,(Tue) 6 Apr 1965 (14),Bradford City (6),4-1,?,Brighton & Hove Albion (3)
?,(Tue) 25 Aug 1964 (34),Bradford City (7),1-3,?,Chester FC (3)
?,(Sat) 10 Apr 1965 (14),Bradford City (8),0-0,?,Chesterfield FC (3)
?,(Sat) 13 Mar 1965 (10),Bradford City (9),5-2,?,Crewe Alexandra (3)
?,(Sat) 24 Oct 1964 (42),Bradford City (10),2-3,?,Darlington FC (3)
?,(Wed) 3 Feb 1965 (5),Bradford City (11),0-3,?,Doncaster Rovers (3)
?,(Sat) 27 Mar 1965 (12),Bradford City (12),3-1,?,Halifax Town (3)
?,(Mon) 19 Apr 1965 (16),Bradford City (13),4-0,?,Hartlepool United (3)
?,(Sat) 12 Sep 1964 (36),Bradford City (14),0-1,?,Lincoln City (3)
?,(Wed) 21 Oct 1964 (42),Bradford City (15),1-2,?,Millwall FC (3)
?,(Sat) 7 Nov 1964 (44),Bradford City (16),1-0,?,Newport County AFC (3)
?,(Sat) 21 Nov 1964 (46),Bradford City (17),0-2,?,Notts County FC (3)
?,(Sat) 26 Sep 1964 (38),Bradford City (18),2-1,?,Oxford United (3)
?,(Wed) 7 Oct 1964 (40),Bradford City (19),0-2,?,Rochdale AFC (3)
?,(Sat) 26 Dec 1964 (51),Bradford City (20),2-1,?,Southport FC (3)
?,(Sat) 29 Aug 1964 (34),Bradford City (21),1-1,?,Stockport County (3)
?,(Sat) 12 Dec 1964 (49),Bradford City (22),2-3,?,Torquay United (3)
?,(Sat) 27 Feb 1965 (8),Bradford City (23),1-2,?,Tranmere Rovers (3)
?,(Sat) 10 Oct 1964 (40),Bradford City (24),4-1,?,Wrexham AFC (3)
?,(Sat) 2 Jan 1965 (0),Bradford City (25),1-2,?,York City (3)
?,(Mon) 31 Aug 1964 (35),Bradford Park Avenue (4),3-1,?,Aldershot Town FC (26)
?,(Sat) 3 Apr 1965 (13),Bradford Park Avenue (5),3-2,?,Barrow AFC (26)
?,(Tue) 15 Sep 1964 (37),Bradford Park Avenue (6),3-3,?,Bradford City (26)
?,(Sat) 20 Mar 1965 (11),Bradford Park Avenue (7),2-0,?,Brighton & Hove Albion (4)
?,(Mon) 28 Dec 1964 (52),Bradford Park Avenue (8),3-1,?,Chester FC (4)
?,(Tue) 22 Dec 1964 (51),Bradford Park Avenue (9),1-0,?,Chesterfield FC (4)
?,(Sat) 6 Feb 1965 (5),Bradford Park Avenue (10),2-3,?,Crewe Alexandra (4)
?,(Sat) 3 Oct 1964 (39),Bradford Park Avenue (11),3-1,?,Darlington FC (4)
?,(Sat) 22 Aug 1964 (33),Bradford Park Avenue (12),5-2,?,Doncaster Rovers (4)
?,(Sat) 5 Dec 1964 (48),Bradford Park Avenue (13),5-1,?,Halifax Town (4)
?,(Sat) 28 Nov 1964 (47),Bradford Park Avenue (14),4-0,?,Hartlepool United (4)
?,(Sat) 31 Oct 1964 (43),Bradford Park Avenue (15),3-1,?,Lincoln City (4)
?,(Tue) 27 Oct 1964 (43),Bradford Park Avenue (16),4-0,?,Millwall FC (4)
?,(Sat) 19 Sep 1964 (37),Bradford Park Avenue (17),2-2,?,Newport County AFC (4)
?,(Sat) 5 Sep 1964 (35),Bradford Park Avenue (18),2-2,?,Notts County FC (4)
?,(Sat) 30 Jan 1965 (4),Bradford Park Avenue (19),1-0,?,Oxford United (4)
?,(Sat) 17 Apr 1965 (15),Bradford Park Avenue (20),0-0,?,Rochdale AFC (4)
?,(Tue) 13 Oct 1964 (41),Bradford Park Avenue (21),0-0,?,Southport FC (4)
?,(Sat) 17 Oct 1964 (41),Bradford Park Avenue (22),1-0,?,Stockport County (4)
?,(Sat) 20 Feb 1965 (7),Bradford Park Avenue (23),4-2,?,Torquay United (4)
?,(Wed) 21 Apr 1965 (16),Bradford Park Avenue (24),1-1,?,Tranmere Rovers (4)
?,(Tue) 29 Sep 1964 (39),Bradford Park Avenue (25),0-0,?,Wrexham AFC (4)
?,(Sat) 6 Mar 1965 (9),Bradford Park Avenue (26),0-0,?,York City (4)
?,(Sat) 13 Mar 1965 (10),Brighton & Hove Albion (5),2-0,?,Aldershot Town FC (27)
?,(Sat) 22 Aug 1964 (33),Brighton & Hove Albion (6),3-1,?,Barrow AFC (27)
?,(Sat) 19 Sep 1964 (37),Brighton & Hove Albion (7),3-3,?,Bradford City (27)
?,(Sat) 7 Nov 1964 (44),Brighton & Hove Albion (8),2-2,?,Bradford Park Avenue (27)
?,(Sat) 6 Feb 1965 (5),Brighton & Hove Albion (9),4-4,?,Chester FC (5)
?,(Sat) 27 Feb 1965 (8),Brighton & Hove Albion (10),5-0,?,Chesterfield FC (5)
?,(Sat) 9 Jan 1965 (1),Brighton & Hove Albion (11),3-1,?,Crewe Alexandra (5)
?,(Mon) 26 Apr 1965 (17),Brighton & Hove Albion (12),3-1,?,Darlington FC (5)
?,(Sat) 24 Oct 1964 (42),Brighton & Hove Albion (13),1-1,?,Doncaster Rovers (5)
?,(Sat) 26 Dec 1964 (51),Brighton & Hove Albion (14),2-1,?,Halifax Town (5)
?,(Sat) 19 Dec 1964 (50),Brighton & Hove Albion (15),5-0,?,Hartlepool United (5)
?,(Tue) 20 Oct 1964 (42),Brighton & Hove Albion (16),4-0,?,Lincoln City (5)
?,(Sat) 16 Jan 1965 (2),Brighton & Hove Albion (17),2-0,?,Millwall FC (5)
?,(Tue) 15 Sep 1964 (37),Brighton & Hove Albion (18),1-0,?,Newport County AFC (5)
?,(Sat) 10 Oct 1964 (40),Brighton & Hove Albion (19),6-0,?,Notts County FC (5)
?,(Tue) 25 Aug 1964 (34),Brighton & Hove Albion (20),0-0,?,Oxford United (5)
?,(Sat) 5 Sep 1964 (35),Brighton & Hove Albion (21),3-0,?,Rochdale AFC (5)
?,(Fri) 26 Mar 1965 (12),Brighton & Hove Albion (22),3-1,?,Southport FC (5)
?,(Mon) 19 Apr 1965 (16),Brighton & Hove Albion (23),3-1,?,Stockport County (5)
?,(Sat) 3 Oct 1964 (39),Brighton & Hove Albion (24),3-1,?,Torquay United (5)
?,(Sat) 10 Apr 1965 (14),Brighton & Hove Albion (25),2-1,?,Tranmere Rovers (5)
?,(Sat) 21 Nov 1964 (46),Brighton & Hove Albion (26),5-1,?,Wrexham AFC (5)
?,(Tue) 6 Oct 1964 (40),Brighton & Hove Albion (27),3-1,?,York City (5)
?,(Sat) 12 Dec 1964 (49),Chester FC (6),6-2,?,Aldershot Town FC (28)
?,(Mon) 19 Apr 1965 (16),Chester FC (7),4-1,?,Barrow AFC (28)
?,(Wed) 10 Feb 1965 (6),Chester FC (8),3-1,?,Bradford City (28)
?,(Sat) 26 Dec 1964 (51),Chester FC (9),3-0,?,Bradford Park Avenue (28)
?,(Sat) 26 Sep 1964 (38),Chester FC (10),3-1,?,Brighton & Hove Albion (28)
?,(Wed) 24 Feb 1965 (8),Chester FC (11),4-0,?,Chesterfield FC (6)
?,(Sat) 7 Nov 1964 (44),Chester FC (12),2-2,?,Crewe Alexandra (6)
?,(Sat) 13 Mar 1965 (10),Chester FC (13),4-5,?,Darlington FC (6)
?,(Sat) 24 Apr 1965 (16),Chester FC (14),3-0,?,Doncaster Rovers (6)
?,(Sat) 21 Nov 1964 (46),Chester FC (15),1-0,?,Halifax Town (6)
?,(Wed) 7 Oct 1964 (40),Chester FC (16),4-0,?,Hartlepool United (6)
?,(Sat) 23 Jan 1965 (3),Chester FC (17),5-1,?,Lincoln City (6)
?,(Wed) 16 Sep 1964 (37),Chester FC (18),3-1,?,Millwall FC (6)
?,(Fri) 26 Mar 1965 (12),Chester FC (19),4-3,?,Newport County AFC (6)
