Date,Team 1,Team 2,FT
-,Birmingham City,Barnsley,1-3
-,Blackpool,Barnsley,0-0
-,Bradford Park Avenue,Barnsley,1-0
-,Bristol City,Barnsley,0-1
-,Burnley,Barnsley,3-0
-,Chelsea,Barnsley,2-1
-,Derby County,Barnsley,0-0
-,Fulham,Barnsley,2-2
-,Gainsborough Trinity,Barnsley,1-2
-,Glossop North End,Barnsley,0-2
-,Grimsby Town,Barnsley,0-0
-,Huddersfield Town,Barnsley,2-1
-,Hull City,Barnsley,0-0
-,Leeds City,Barnsley,3-2
-,Leicester City,Barnsley,0-0
-,Leyton Orient,Barnsley,2-0
-,Nottingham Forest,Barnsley,0-2
-,Stockport County,Barnsley,1-1
-,Wolverhampton Wanderers,Barnsley,5-0
-,Barnsley,Birmingham City,1-0
-,Blackpool,Birmingham City,1-0
-,Bradford Park Avenue,Birmingham City,3-0
-,Bristol City,Birmingham City,2-1
-,Burnley,Birmingham City,1-1
-,Chelsea,Birmingham City,0-2
-,Derby County,Birmingham City,0-1
-,Fulham,Birmingham City,2-1
-,Gainsborough Trinity,Birmingham City,0-0
-,Glossop North End,Birmingham City,2-0
-,Grimsby Town,Birmingham City,1-0
-,Huddersfield Town,Birmingham City,3-2
-,Hull City,Birmingham City,4-0
-,Leeds City,Birmingham City,0-0
-,Leicester City,Birmingham City,5-2
-,Leyton Orient,Birmingham City,2-0
-,Nottingham Forest,Birmingham City,0-1
-,Stockport County,Birmingham City,2-0
-,Wolverhampton Wanderers,Birmingham City,1-0
-,Barnsley,Blackpool,1-0
-,Birmingham City,Blackpool,2-1
-,Bradford Park Avenue,Blackpool,0-0
-,Bristol City,Blackpool,2-0
-,Burnley,Blackpool,1-1
-,Chelsea,Blackpool,4-1
-,Derby County,Blackpool,5-1
-,Fulham,Blackpool,3-0
-,Gainsborough Trinity,Blackpool,0-0
-,Glossop North End,Blackpool,1-1
-,Grimsby Town,Blackpool,1-0
-,Huddersfield Town,Blackpool,4-0
-,Hull City,Blackpool,3-0
-,Leeds City,Blackpool,1-0
-,Leicester City,Blackpool,4-0
-,Leyton Orient,Blackpool,2-0
-,Nottingham Forest,Blackpool,2-1
-,Stockport County,Blackpool,1-2
-,Wolverhampton Wanderers,Blackpool,3-0
-,Barnsley,Bradford Park Avenue,1-0
-,Birmingham City,Bradford Park Avenue,2-3
-,Blackpool,Bradford Park Avenue,0-4
-,Bristol City,Bradford Park Avenue,1-0
-,Burnley,Bradford Park Avenue,3-1
-,Chelsea,Bradford Park Avenue,1-0
-,Derby County,Bradford Park Avenue,1-0
-,Fulham,Bradford Park Avenue,2-0
-,Gainsborough Trinity,Bradford Park Avenue,0-0
-,Glossop North End,Bradford Park Avenue,0-0
-,Grimsby Town,Bradford Park Avenue,0-0
-,Huddersfield Town,Bradford Park Avenue,3-1
