Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 28 Feb 1925 (8),Accrington Stanley FC (1),2-2,?,Ashington AFC (1)
?,(Tue) 30 Sep 1924 (39),Accrington Stanley FC (2),1-2,?,Barrow AFC (1)
?,(Mon) 8 Sep 1924 (36),Accrington Stanley FC (3),2-2,?,Bradford Park Avenue AFC (1)
?,(Sat) 3 Jan 1925 (0),Accrington Stanley FC (4),2-2,?,Chesterfield FC (1)
?,(Sat) 28 Mar 1925 (12),Accrington Stanley FC (5),1-0,?,Crewe Alexandra FC (1)
?,(Thu) 1 Jan 1925 (0),Accrington Stanley FC (6),2-0,?,Darlington FC (1)
?,(Sat) 14 Mar 1925 (10),Accrington Stanley FC (7),3-2,?,Doncaster Rovers FC (1)
?,(Mon) 23 Feb 1925 (8),Accrington Stanley FC (8),6-0,?,Durham City AFC (1)
?,(Sat) 4 Oct 1924 (39),Accrington Stanley FC (9),0-3,?,Grimsby Town FC (1)
?,(Sat) 20 Sep 1924 (37),Accrington Stanley FC (10),2-0,?,FC Halifax Town (1)
?,(Sat) 14 Feb 1925 (6),Accrington Stanley FC (11),4-1,?,Hartlepool United FC (1)
?,(Sat) 25 Apr 1925 (16),Accrington Stanley FC (12),0-2,?,Lincoln City FC (1)
?,(Sat) 13 Sep 1924 (36),Accrington Stanley FC (13),2-0,?,Nelson FC (1)
?,(Mon) 27 Apr 1925 (17),Accrington Stanley FC (14),0-1,?,New Brighton Tower FC (1898-1901) (1)
?,(Sat) 18 Oct 1924 (41),Accrington Stanley FC (15),2-2,?,Rochdale AFC (1)
?,(Sat) 30 Aug 1924 (34),Accrington Stanley FC (16),2-0,?,Rotherham County FC (1870-1925) (1)
?,(Sat) 1 Nov 1924 (43),Accrington Stanley FC (17),5-1,?,Southport FC (1)
?,(Wed) 22 Apr 1925 (16),Accrington Stanley FC (18),2-1,?,Tranmere Rovers FC (1)
?,(Sat) 11 Apr 1925 (14),Accrington Stanley FC (19),1-1,?,Walsall FC (1)
?,(Wed) 17 Sep 1924 (37),Accrington Stanley FC (20),3-1,?,Wigan Borough FC (1920-1931) (1)
?,(Sat) 2 May 1925 (17),Accrington Stanley FC (21),1-0,?,Wrexham AFC (1)
?,(Sat) 25 Oct 1924 (42),Ashington AFC (2),1-2,?,Accrington Stanley FC (22)
?,(Sat) 13 Sep 1924 (36),Ashington AFC (3),5-2,?,Barrow AFC (2)
?,(Sat) 18 Apr 1925 (15),Ashington AFC (4),1-0,?,Bradford Park Avenue AFC (2)
?,(Sat) 30 Aug 1924 (34),Ashington AFC (5),2-1,?,Chesterfield FC (2)
?,(Sat) 21 Feb 1925 (7),Ashington AFC (6),1-1,?,Crewe Alexandra FC (2)
?,(Sat) 6 Dec 1924 (48),Ashington AFC (7),4-2,?,Darlington FC (2)
?,(Mon) 1 Sep 1924 (35),Ashington AFC (8),2-0,?,Doncaster Rovers FC (2)
?,(Fri) 10 Apr 1925 (14),Ashington AFC (9),0-2,?,Durham City AFC (2)
?,(Sat) 21 Mar 1925 (11),Ashington AFC (10),0-2,?,Grimsby Town FC (2)
?,(Sat) 7 Mar 1925 (9),Ashington AFC (11),2-0,?,FC Halifax Town (2)
?,(Sat) 22 Nov 1924 (46),Ashington AFC (12),0-3,?,Hartlepool United FC (2)
?,(Sat) 24 Jan 1925 (3),Ashington AFC (13),2-1,?,Lincoln City FC (2)
?,(Sat) 3 Jan 1925 (0),Ashington AFC (14),1-1,?,Nelson FC (2)
?,(Sat) 8 Nov 1924 (44),Ashington AFC (15),1-1,?,New Brighton Tower FC (1898-1901) (2)
?,(Fri) 2 Jan 1925 (0),Ashington AFC (16),4-3,?,Rochdale AFC (2)
?,(Thu) 1 Jan 1925 (0),Ashington AFC (17),3-1,?,Rotherham County FC (1870-1925) (2)
?,(Sat) 2 May 1925 (17),Ashington AFC (18),2-0,?,Southport FC (2)
?,(Sat) 27 Sep 1924 (38),Ashington AFC (19),1-0,?,Tranmere Rovers FC (2)
?,(Sat) 7 Feb 1925 (5),Ashington AFC (20),6-1,?,Walsall FC (2)
?,(Sat) 14 Feb 1925 (6),Ashington AFC (21),1-1,?,Wigan Borough FC (1920-1931) (2)
?,(Sat) 20 Dec 1924 (50),Ashington AFC (22),2-0,?,Wrexham AFC (2)
?,(Fri) 26 Dec 1924 (51),Barrow AFC (3),3-1,?,Accrington Stanley FC (23)
?,(Sat) 17 Jan 1925 (2),Barrow AFC (4),3-2,?,Ashington AFC (23)
?,(Sat) 4 Apr 1925 (13),Barrow AFC (5),2-1,?,Bradford Park Avenue AFC (3)
?,(Sat) 20 Dec 1924 (50),Barrow AFC (6),1-0,?,Chesterfield FC (3)
?,(Mon) 1 Sep 1924 (35),Barrow AFC (7),2-0,?,Crewe Alexandra FC (3)
?,(Sat) 22 Nov 1924 (46),Barrow AFC (8),0-4,?,Darlington FC (3)
?,(Sat) 27 Dec 1924 (51),Barrow AFC (9),4-0,?,Doncaster Rovers FC (3)
?,(Mon) 15 Sep 1924 (37),Barrow AFC (10),2-0,?,Durham City AFC (3)
?,(Sat) 7 Mar 1925 (9),Barrow AFC (11),3-2,?,Grimsby Town FC (3)
?,(Sat) 31 Jan 1925 (4),Barrow AFC (12),2-1,?,FC Halifax Town (3)
?,(Sat) 8 Nov 1924 (44),Barrow AFC (13),1-1,?,Hartlepool United FC (3)
?,(Sat) 7 Feb 1925 (5),Barrow AFC (14),1-2,?,Lincoln City FC (3)
?,(Sat) 20 Sep 1924 (37),Barrow AFC (15),3-0,?,Nelson FC (3)
?,(Sat) 25 Oct 1924 (42),Barrow AFC (16),1-1,?,New Brighton Tower FC (1898-1901) (3)
?,(Sat) 21 Mar 1925 (11),Barrow AFC (17),1-0,?,Rochdale AFC (3)
?,(Sat) 18 Apr 1925 (15),Barrow AFC (18),3-1,?,Rotherham County FC (1870-1925) (3)
?,(Sat) 6 Sep 1924 (35),Barrow AFC (19),1-0,?,Southport FC (3)
?,(Sat) 11 Oct 1924 (40),Barrow AFC (20),1-1,?,Tranmere Rovers FC (3)
?,(Sat) 21 Feb 1925 (7),Barrow AFC (21),3-2,?,Walsall FC (3)
?,(Fri) 10 Apr 1925 (14),Barrow AFC (22),0-1,?,Wigan Borough FC (1920-1931) (3)
?,(Sat) 6 Dec 1924 (48),Barrow AFC (23),2-2,?,Wrexham AFC (3)
?,(Mon) 1 Sep 1924 (35),Bradford Park Avenue AFC (4),3-0,?,Accrington Stanley FC (24)
?,(Wed) 17 Dec 1924 (50),Bradford Park Avenue AFC (5),7-1,?,Ashington AFC (24)
?,(Thu) 1 Jan 1925 (0),Bradford Park Avenue AFC (6),1-1,?,Barrow AFC (24)
?,(Mon) 13 Apr 1925 (15),Bradford Park Avenue AFC (7),3-0,?,Chesterfield FC (4)
?,(Sat) 28 Feb 1925 (8),Bradford Park Avenue AFC (8),6-1,?,Crewe Alexandra FC (4)
?,(Tue) 24 Feb 1925 (8),Bradford Park Avenue AFC (9),0-0,?,Darlington FC (4)
?,(Thu) 25 Dec 1924 (51),Bradford Park Avenue AFC (10),4-1,?,Doncaster Rovers FC (4)
?,(Sat) 4 Oct 1924 (39),Bradford Park Avenue AFC (11),4-1,?,Durham City AFC (4)
?,(Sat) 6 Sep 1924 (35),Bradford Park Avenue AFC (12),0-1,?,Grimsby Town FC (4)
?,(Sat) 15 Nov 1924 (45),Bradford Park Avenue AFC (13),2-1,?,FC Halifax Town (4)
?,(Sat) 17 Jan 1925 (2),Bradford Park Avenue AFC (14),3-0,?,Hartlepool United FC (4)
?,(Sat) 28 Mar 1925 (12),Bradford Park Avenue AFC (15),4-0,?,Lincoln City FC (4)
?,(Sat) 11 Apr 1925 (14),Bradford Park Avenue AFC (16),1-1,?,Nelson FC (4)
?,(Sat) 27 Dec 1924 (51),Bradford Park Avenue AFC (17),5-2,?,New Brighton Tower FC (1898-1901) (4)
?,(Sat) 20 Sep 1924 (37),Bradford Park Avenue AFC (18),0-0,?,Rochdale AFC (4)
?,(Sat) 21 Feb 1925 (7),Bradford Park Avenue AFC (19),3-0,?,Rotherham County FC (1870-1925) (4)
?,(Sat) 25 Apr 1925 (16),Bradford Park Avenue AFC (20),1-0,?,Southport FC (4)
?,(Wed) 4 Mar 1925 (9),Bradford Park Avenue AFC (21),5-1,?,Tranmere Rovers FC (4)
?,(Sat) 14 Mar 1925 (10),Bradford Park Avenue AFC (22),2-0,?,Walsall FC (4)
?,(Sat) 1 Nov 1924 (43),Bradford Park Avenue AFC (23),2-2,?,Wigan Borough FC (1920-1931) (4)
?,(Sat) 11 Oct 1924 (40),Bradford Park Avenue AFC (24),3-0,?,Wrexham AFC (4)
?,(Sat) 6 Sep 1924 (35),Chesterfield FC (5),1-0,?,Accrington Stanley FC (25)
?,(Sat) 27 Dec 1924 (51),Chesterfield FC (6),1-1,?,Ashington AFC (25)
?,(Sat) 25 Apr 1925 (16),Chesterfield FC (7),1-1,?,Barrow AFC (25)
?,(Fri) 10 Apr 1925 (14),Chesterfield FC (8),1-1,?,Bradford Park Avenue AFC (25)
?,(Sat) 10 Jan 1925 (1),Chesterfield FC (9),1-0,?,Crewe Alexandra FC (5)
?,(Sat) 18 Oct 1924 (41),Chesterfield FC (10),0-1,?,Darlington FC (5)
?,(Sat) 1 Nov 1924 (43),Chesterfield FC (11),2-1,?,Doncaster Rovers FC (5)
?,(Sat) 14 Mar 1925 (10),Chesterfield FC (12),6-0,?,Durham City AFC (5)
?,(Tue) 14 Apr 1925 (15),Chesterfield FC (13),2-0,?,Grimsby Town FC (5)
?,(Sat) 17 Jan 1925 (2),Chesterfield FC (14),1-3,?,FC Halifax Town (5)
?,(Sat) 4 Oct 1924 (39),Chesterfield FC (15),4-0,?,Hartlepool United FC (5)
?,(Wed) 11 Mar 1925 (10),Chesterfield FC (16),2-0,?,Lincoln City FC (5)
?,(Fri) 26 Dec 1924 (51),Chesterfield FC (17),0-1,?,Nelson FC (5)
?,(Sat) 20 Sep 1924 (37),Chesterfield FC (18),3-0,?,New Brighton Tower FC (1898-1901) (5)
?,(Sat) 14 Feb 1925 (6),Chesterfield FC (19),2-0,?,Rochdale AFC (5)
?,(Mon) 30 Mar 1925 (13),Chesterfield FC (20),3-2,?,Rotherham County FC (1870-1925) (5)
?,(Sat) 28 Feb 1925 (8),Chesterfield FC (21),1-2,?,Southport FC (5)
?,(Sat) 11 Apr 1925 (14),Chesterfield FC (22),4-1,?,Tranmere Rovers FC (5)
?,(Mon) 8 Sep 1924 (36),Chesterfield FC (23),1-0,?,Walsall FC (5)
?,(Sat) 22 Nov 1924 (46),Chesterfield FC (24),3-1,?,Wigan Borough FC (1920-1931) (5)
?,(Thu) 1 Jan 1925 (0),Chesterfield FC (25),3-0,?,Wrexham AFC (5)
?,(Sat) 22 Nov 1924 (46),Crewe Alexandra FC (6),4-2,?,Accrington Stanley FC (26)
?,(Sat) 18 Oct 1924 (41),Crewe Alexandra FC (7),1-0,?,Ashington AFC (26)
?,(Wed) 10 Sep 1924 (36),Crewe Alexandra FC (8),3-1,?,Barrow AFC (26)
?,(Sat) 25 Oct 1924 (42),Crewe Alexandra FC (9),2-1,?,Bradford Park Avenue AFC (26)
?,(Sat) 21 Mar 1925 (11),Crewe Alexandra FC (10),1-1,?,Chesterfield FC (26)
