Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 18 Aug 1962 (33),Preston North End FC (1),2-2,?,Norwich City FC (1)
?,(Sat) 18 Aug 1962 (33),Portsmouth FC (1),4-1,?,Walsall FC (1)
?,(Sat) 18 Aug 1962 (33),Sunderland AFC (1),3-1,?,Middlesbrough FC (1)
?,(Sat) 18 Aug 1962 (33),Stoke City FC (1),0-1,?,Leeds United FC (1)
?,(Sat) 18 Aug 1962 (33),Rotherham United FC (1),0-1,?,Chelsea FC (1)
?,(Sat) 18 Aug 1962 (33),Huddersfield Town AFC (1),3-3,?,Derby County FC (1)
?,(Sat) 18 Aug 1962 (33),Charlton Athletic FC (1),2-2,?,Swansea City AFC (1)
?,(Sat) 18 Aug 1962 (33),Bury FC (1),1-0,?,Luton Town FC (1)
?,(Sat) 18 Aug 1962 (33),Scunthorpe United FC (1),2-1,?,Southampton FC (1)
?,(Sat) 18 Aug 1962 (33),Plymouth Argyle FC (1),2-0,?,Grimsby Town FC (1)
?,(Sat) 18 Aug 1962 (33),Cardiff City FC (1),4-4,?,Newcastle United FC (1)
?,(Tue) 21 Aug 1962 (34),Walsall FC (2),1-1,?,Huddersfield Town AFC (2)
?,(Tue) 21 Aug 1962 (34),Grimsby Town FC (2),1-1,?,Portsmouth FC (2)
?,(Wed) 22 Aug 1962 (34),Middlesbrough FC (2),4-2,?,Newcastle United FC (2)
?,(Wed) 22 Aug 1962 (34),Southampton FC (2),2-2,?,Luton Town FC (2)
?,(Wed) 22 Aug 1962 (34),Chelsea FC (2),3-0,?,Scunthorpe United FC (2)
?,(Wed) 22 Aug 1962 (34),Plymouth Argyle FC (2),7-1,?,Preston North End FC (2)
?,(Wed) 22 Aug 1962 (34),Norwich City FC (2),0-0,?,Cardiff City FC (2)
?,(Wed) 22 Aug 1962 (34),Sunderland AFC (2),1-0,?,Charlton Athletic FC (2)
?,(Wed) 22 Aug 1962 (34),Derby County FC (2),1-1,?,Stoke City FC (2)
?,(Wed) 22 Aug 1962 (34),Leeds United FC (2),3-4,?,Rotherham United FC (2)
?,(Thu) 23 Aug 1962 (34),Swansea City AFC (2),3-0,?,Bury FC (2)
?,(Sat) 25 Aug 1962 (34),Norwich City FC (3),2-1,?,Plymouth Argyle FC (3)
?,(Sat) 25 Aug 1962 (34),Swansea City AFC (3),2-1,?,Stoke City FC (3)
?,(Sat) 25 Aug 1962 (34),Grimsby Town FC (3),3-0,?,Scunthorpe United FC (3)
