Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 20 Dec 1947 (50),Barnsley FC (1),0-1,?,Birmingham City (1)
?,(Sat) 6 Dec 1947 (48),Barnsley FC (2),2-2,?,Bradford Park Avenue (1)
?,(Sat) 14 Feb 1948 (6),Barnsley FC (3),1-1,?,Brentford FC (1)
?,(Sat) 8 Nov 1947 (44),Barnsley FC (4),2-1,?,Bury FC (1)
?,(Sat) 1 May 1948 (17),Barnsley FC (5),1-2,?,Cardiff City (1)
?,(Sat) 25 Oct 1947 (42),Barnsley FC (6),0-3,?,Chesterfield FC (1)
?,(Fri) 26 Dec 1947 (51),Barnsley FC (7),0-1,?,Coventry City (1)
?,(Sat) 22 Nov 1947 (46),Barnsley FC (8),2-0,?,Doncaster Rovers (1)
?,(Wed) 10 Sep 1947 (36),Barnsley FC (9),1-2,?,Fulham FC (1)
?,(Wed) 27 Aug 1947 (34),Barnsley FC (10),3-0,?,Leeds United (1)
?,(Sat) 4 Oct 1947 (39),Barnsley FC (11),2-0,?,Leicester City (1)
?,(Sat) 20 Sep 1947 (37),Barnsley FC (12),3-0,?,Luton Town (1)
?,(Sat) 6 Mar 1948 (9),Barnsley FC (13),1-0,?,Millwall FC (1)
?,(Mon) 29 Mar 1948 (13),Barnsley FC (14),1-1,?,Newcastle United (1)
?,(Sat) 17 Apr 1948 (15),Barnsley FC (15),2-2,?,Nottingham Forest (1)
?,(Sat) 31 Jan 1948 (4),Barnsley FC (16),2-1,?,Plymouth Argyle (1)
?,(Sat) 17 Jan 1948 (2),Barnsley FC (17),3-1,?,Sheffield Wednesday (1)
?,(Sat) 3 Apr 1948 (13),Barnsley FC (18),2-1,?,Southampton FC (1)
?,(Sat) 11 Oct 1947 (40),Barnsley FC (19),2-1,?,Tottenham Hotspur (1)
?,(Sat) 30 Aug 1947 (34),Barnsley FC (20),0-1,?,West Bromwich Albion (1)
?,(Sat) 20 Mar 1948 (11),Barnsley FC (21),1-1,?,West Ham United (1)
?,(Sat) 23 Aug 1947 (33),Birmingham City (2),2-3,?,Barnsley FC (22)
?,(Sat) 22 Nov 1947 (46),Birmingham City (3),4-3,?,Bradford Park Avenue (2)
?,(Sat) 31 Jan 1948 (4),Birmingham City (4),0-0,?,Brentford FC (2)
?,(Sat) 25 Oct 1947 (42),Birmingham City (5),2-0,?,Bury FC (2)
?,(Sat) 17 Apr 1948 (15),Birmingham City (6),2-0,?,Cardiff City (2)
?,(Sat) 11 Oct 1947 (40),Birmingham City (7),0-0,?,Chesterfield FC (2)
?,(Wed) 3 Sep 1947 (35),Birmingham City (8),1-1,?,Coventry City (2)
?,(Sat) 8 Nov 1947 (44),Birmingham City (9),3-0,?,Doncaster Rovers (2)
?,(Sat) 4 Oct 1947 (39),Birmingham City (10),3-1,?,Fulham FC (2)
?,(Sat) 14 Feb 1948 (6),Birmingham City (11),5-1,?,Leeds United (2)
?,(Sat) 20 Sep 1947 (37),Birmingham City (12),1-0,?,Leicester City (2)
?,(Sat) 6 Sep 1947 (35),Birmingham City (13),2-1,?,Luton Town (2)
?,(Sat) 27 Dec 1947 (51),Birmingham City (14),1-0,?,Millwall FC (2)
?,(Wed) 10 Sep 1947 (36),Birmingham City (15),0-0,?,Newcastle United (2)
?,(Sat) 3 Apr 1948 (13),Birmingham City (16),2-1,?,Nottingham Forest (2)
?,(Sat) 3 Jan 1948 (0),Birmingham City (17),1-1,?,Plymouth Argyle (2)
?,(Sat) 6 Dec 1947 (48),Birmingham City (18),1-0,?,Sheffield Wednesday (2)
?,(Sat) 20 Mar 1948 (11),Birmingham City (19),0-0,?,Southampton FC (2)
?,(Sat) 1 May 1948 (17),Birmingham City (20),0-0,?,Tottenham Hotspur (2)
?,(Mon) 29 Mar 1948 (13),Birmingham City (21),4-0,?,West Bromwich Albion (2)
?,(Sat) 6 Mar 1948 (9),Birmingham City (22),0-1,?,West Ham United (2)
?,(Sat) 24 Apr 1948 (16),Bradford Park Avenue (3),3-2,?,Barnsley FC (23)
?,(Sat) 10 Apr 1948 (14),Bradford Park Avenue (4),1-2,?,Birmingham City (23)
?,(Sat) 28 Feb 1948 (8),Bradford Park Avenue (5),1-1,?,Brentford FC (3)
?,(Mon) 29 Mar 1948 (13),Bradford Park Avenue (6),5-3,?,Bury FC (3)
?,(Sat) 14 Feb 1948 (6),Bradford Park Avenue (7),0-1,?,Cardiff City (3)
?,(Sat) 3 Jan 1948 (0),Bradford Park Avenue (8),1-3,?,Chesterfield FC (3)
?,(Sat) 27 Mar 1948 (12),Bradford Park Avenue (9),2-2,?,Coventry City (3)
?,(Wed) 10 Sep 1947 (36),Bradford Park Avenue (10),4-0,?,Doncaster Rovers (3)
?,(Sat) 1 Nov 1947 (43),Bradford Park Avenue (11),3-0,?,Fulham FC (3)
?,(Sat) 13 Mar 1948 (10),Bradford Park Avenue (12),3-1,?,Leeds United (3)
?,(Sat) 18 Oct 1947 (41),Bradford Park Avenue (13),0-2,?,Leicester City (3)
?,(Sat) 4 Oct 1947 (39),Bradford Park Avenue (14),2-2,?,Luton Town (3)
?,(Sat) 6 Sep 1947 (35),Bradford Park Avenue (15),4-0,?,Millwall FC (3)
?,(Sat) 15 Nov 1947 (45),Bradford Park Avenue (16),0-3,?,Newcastle United (3)
?,(Wed) 3 Sep 1947 (35),Bradford Park Avenue (17),3-1,?,Nottingham Forest (3)
?,(Sat) 13 Dec 1947 (49),Bradford Park Avenue (18),3-0,?,Plymouth Argyle (3)
?,(Sat) 20 Sep 1947 (37),Bradford Park Avenue (19),2-0,?,Sheffield Wednesday (3)
?,(Fri) 26 Dec 1947 (51),Bradford Park Avenue (20),1-3,?,Southampton FC (3)
?,(Sat) 31 Jan 1948 (4),Bradford Park Avenue (21),0-2,?,Tottenham Hotspur (3)
?,(Sat) 29 Nov 1947 (47),Bradford Park Avenue (22),3-1,?,West Bromwich Albion (3)
?,(Sat) 23 Aug 1947 (33),Bradford Park Avenue (23),4-1,?,West Ham United (3)
?,(Sat) 27 Sep 1947 (38),Brentford FC (4),3-3,?,Barnsley FC (24)
?,(Sat) 13 Sep 1947 (36),Brentford FC (5),1-2,?,Birmingham City (24)
?,(Sat) 11 Oct 1947 (40),Brentford FC (6),2-1,?,Bradford Park Avenue (24)
?,(Sat) 17 Apr 1948 (15),Brentford FC (7),4-1,?,Bury FC (4)
?,(Sat) 18 Oct 1947 (41),Brentford FC (8),0-0,?,Cardiff City (4)
?,(Sat) 3 Apr 1948 (13),Brentford FC (9),0-3,?,Chesterfield FC (4)
?,(Sat) 30 Aug 1947 (34),Brentford FC (10),1-4,?,Coventry City (4)
?,(Sat) 1 May 1948 (17),Brentford FC (11),2-0,?,Doncaster Rovers (4)
?,(Sat) 20 Dec 1947 (50),Brentford FC (12),0-2,?,Fulham FC (4)
?,(Fri) 26 Mar 1948 (12),Brentford FC (13),3-0,?,Leeds United (4)
