Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 20 Sep 1947 (37),Accrington Stanley FC (1),0-1,?,Barrow AFC (1)
?,(Sat) 31 Jan 1948 (4),Accrington Stanley FC (2),2-0,?,Bradford City AFC (1)
?,(Sat) 6 Dec 1947 (48),Accrington Stanley FC (3),1-2,?,Carlisle United FC (1)
?,(Sat) 22 Nov 1947 (46),Accrington Stanley FC (4),1-0,?,Chester FC (1)
?,(Sat) 17 Apr 1948 (15),Accrington Stanley FC (5),2-1,?,Crewe Alexandra FC (1)
?,(Sat) 6 Mar 1948 (9),Accrington Stanley FC (6),3-0,?,Darlington FC (1)
?,(Sat) 11 Oct 1947 (40),Accrington Stanley FC (7),1-0,?,Gateshead FC (1)
?,(Sat) 4 Oct 1947 (39),Accrington Stanley FC (8),2-0,?,FC Halifax Town (1)
?,(Sat) 23 Aug 1947 (33),Accrington Stanley FC (9),4-2,?,Hartlepool United FC (1)
?,(Sat) 3 Jan 1948 (0),Accrington Stanley FC (10),2-4,?,Hull City AFC (1)
?,(Sat) 27 Dec 1947 (51),Accrington Stanley FC (11),2-1,?,Lincoln City FC (1)
?,(Sat) 3 Apr 1948 (13),Accrington Stanley FC (12),1-0,?,Mansfield Town FC (1)
?,(Tue) 30 Sep 1947 (39),Accrington Stanley FC (13),5-3,?,New Brighton Tower FC (1898-1901) (1)
?,(Sat) 20 Mar 1948 (11),Accrington Stanley FC (14),2-3,?,Oldham Athletic AFC (1)
?,(Thu) 1 Jan 1948 (0),Accrington Stanley FC (15),1-2,?,Rochdale AFC (1)
?,(Sat) 1 May 1948 (17),Accrington Stanley FC (16),0-1,?,Rotherham United FC (1)
?,(Mon) 29 Mar 1948 (13),Accrington Stanley FC (17),0-0,?,Southport FC (1)
?,(Sat) 6 Sep 1947 (35),Accrington Stanley FC (18),5-2,?,Stockport County FC (1)
?,(Sat) 25 Oct 1947 (42),Accrington Stanley FC (19),1-0,?,Tranmere Rovers FC (1)
?,(Sat) 14 Feb 1948 (6),Accrington Stanley FC (20),0-2,?,Wrexham AFC (1)
?,(Sat) 8 Nov 1947 (44),Accrington Stanley FC (21),1-0,?,York City FC (1)
