Matchday,Date,Team 1,FT,Team 2
1,Fri Aug 2 2013,Sheffield United FC,2-1,Notts County FC
1,Sat Aug 3 2013,Walsall FC,3-1,Tranmere Rovers FC
1,Sat Aug 3 2013,Stevenage FC,3-4,Oldham Athletic AFC
1,Sat Aug 3 2013,Shrewsbury Town FC,0-0,Milton Keynes Dons FC
1,Sat Aug 3 2013,Preston North End FC,0-0,Wolverhampton Wanderers FC
1,Sat Aug 3 2013,Port Vale FC,1-1,Brentford FC
1,Sat Aug 3 2013,Peterborough United FC,1-0,Swindon Town FC
1,Sat Aug 3 2013,Gillingham FC,0-1,Colchester United FC
1,Sat Aug 3 2013,Crewe Alexandra FC,3-3,Rotherham United FC
1,Sat Aug 3 2013,Crawley Town FC,3-2,Coventry City FC
1,Sat Aug 3 2013,Carlisle United FC,1-5,Leyton Orient FC
1,Sat Aug 3 2013,Bristol City FC,2-2,Bradford City AFC
2,Sat Aug 10 2013,Wolverhampton Wanderers FC,4-0,Gillingham FC
2,Sat Aug 10 2013,Tranmere Rovers FC,3-3,Crawley Town FC
2,Sat Aug 10 2013,Swindon Town FC,1-0,Stevenage FC
2,Sat Aug 10 2013,Rotherham United FC,0-0,Preston North End FC
2,Sat Aug 10 2013,Oldham Athletic AFC,0-1,Walsall FC
2,Sat Aug 10 2013,Notts County FC,2-4,Peterborough United FC
2,Sat Aug 10 2013,Milton Keynes Dons FC,1-0,Crewe Alexandra FC
2,Sat Aug 10 2013,Leyton Orient FC,3-0,Shrewsbury Town FC
2,Sat Aug 10 2013,Colchester United FC,1-0,Port Vale FC
2,Sat Aug 10 2013,Brentford FC,3-1,Sheffield United FC
2,Sat Aug 10 2013,Bradford City AFC,4-0,Carlisle United FC
2,Sun Aug 11 2013,Coventry City FC,5-4,Bristol City FC
3,Sat Aug 17 2013,Walsall FC,1-1,Notts County FC
3,Sat Aug 17 2013,Stevenage FC,0-1,Leyton Orient FC
3,Sat Aug 17 2013,Shrewsbury Town FC,2-0,Swindon Town FC
3,Sat Aug 17 2013,Sheffield United FC,1-1,Colchester United FC
3,Sat Aug 17 2013,Preston North End FC,2-2,Milton Keynes Dons FC
3,Sat Aug 17 2013,Port Vale FC,2-1,Bradford City AFC
3,Sat Aug 17 2013,Peterborough United FC,2-1,Oldham Athletic AFC
3,Sat Aug 17 2013,Gillingham FC,1-1,Brentford FC
3,Sat Aug 17 2013,Crewe Alexandra FC,2-1,Tranmere Rovers FC
3,Sat Aug 17 2013,Crawley Town FC,1-2,Rotherham United FC
3,Sat Aug 17 2013,Carlisle United FC,0-4,Coventry City FC
3,Sat Aug 17 2013,Bristol City FC,1-2,Wolverhampton Wanderers FC
4,Fri Aug 23 2013,Wolverhampton Wanderers FC,2-1,Crawley Town FC
4,Fri Aug 23 2013,Colchester United FC,1-1,Carlisle United FC
4,Sat Aug 24 2013,Swindon Town FC,2-2,Gillingham FC
4,Sat Aug 24 2013,Bradford City AFC,2-0,Sheffield United FC
4,Sat Aug 24 2013,Rotherham United FC,2-2,Shrewsbury Town FC
4,Sat Aug 24 2013,Oldham Athletic AFC,3-1,Port Vale FC
4,Sat Aug 24 2013,Notts County FC,0-1,Stevenage FC
4,Sat Aug 24 2013,Milton Keynes Dons FC,2-2,Bristol City FC
4,Sat Aug 24 2013,Leyton Orient FC,2-0,Crewe Alexandra FC
4,Sat Aug 24 2013,Brentford FC,1-0,Walsall FC
4,Sat Aug 24 2013,Tranmere Rovers FC,0-5,Peterborough United FC
4,Sun Aug 25 2013,Coventry City FC,4-4,Preston North End FC
5,Sat Aug 31 2013,Walsall FC,0-3,Preston North End FC
5,Sat Aug 31 2013,Swindon Town FC,5-0,Crewe Alexandra FC
5,Sat Aug 31 2013,Stevenage FC,1-1,Bradford City AFC
5,Sat Aug 31 2013,Shrewsbury Town FC,1-1,Coventry City FC
5,Sat Aug 31 2013,Sheffield United FC,0-1,Milton Keynes Dons FC
5,Sat Aug 31 2013,Port Vale FC,1-3,Wolverhampton Wanderers FC
5,Sat Aug 31 2013,Peterborough United FC,0-2,Crawley Town FC
5,Sat Aug 31 2013,Oldham Athletic AFC,0-1,Tranmere Rovers FC
5,Sat Aug 31 2013,Notts County FC,0-1,Rotherham United FC
5,Sat Aug 31 2013,Gillingham FC,1-1,Bristol City FC
5,Sat Aug 31 2013,Colchester United FC,1-2,Leyton Orient FC
5,Sat Aug 31 2013,Brentford FC,0-0,Carlisle United FC
6,Sat Sep 7 2013,Milton Keynes Dons FC,1-1,Swindon Town FC
6,Sat Sep 7 2013,Tranmere Rovers FC,0-0,Stevenage FC
6,Sat Sep 7 2013,Rotherham United FC,3-1,Sheffield United FC
6,Sat Sep 7 2013,Bradford City AFC,4-0,Brentford FC
6,Sat Sep 7 2013,Crawley Town FC,3-2,Gillingham FC
6,Sat Sep 7 2013,Crewe Alexandra FC,2-2,Peterborough United FC
