Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 3 Aug 2013 (30),Bury FC (1),0-2,0-0,Chesterfield FC (1)
?,(Sat) 3 Aug 2013 (30),Cheltenham Town FC (1),2-2,2-1,Burton Albion FC (1)
?,(Sat) 3 Aug 2013 (30),Exeter City FC (1),2-1,0-0,Bristol Rovers FC (1)
?,(Sat) 3 Aug 2013 (30),Fleetwood Town FC (1),3-1,2-1,Dagenham & Redbridge FC (1)
?,(Sat) 3 Aug 2013 (30),Newport County AFC (1),4-1,2-0,Accrington Stanley FC (1)
?,(Sat) 3 Aug 2013 (30),Portsmouth FC (1),1-4,1-2,Oxford United FC (1)
?,(Sat) 3 Aug 2013 (30),Rochdale AFC (1),3-0,1-0,Hartlepool United FC (1)
?,(Sat) 3 Aug 2013 (30),Scunthorpe United FC (1),2-0,2-0,Mansfield Town FC (1)
?,(Sat) 3 Aug 2013 (30),Southend United FC (1),1-0,1-0,Plymouth Argyle FC (1)
?,(Sat) 3 Aug 2013 (30),Torquay United FC (1),1-1,0-0,AFC Wimbledon (1)
?,(Sat) 3 Aug 2013 (30),Wycombe Wanderers FC (1),1-0,1-0,Morecambe FC (1)
?,(Sat) 3 Aug 2013 (30),York City FC (1),1-0,0-0,Northampton Town FC (1)
?,(Sat) 10 Aug 2013 (31),Accrington Stanley FC (2),2-2,0-0,Portsmouth FC (2)
?,(Sat) 10 Aug 2013 (31),AFC Wimbledon (2),1-0,1-0,Wycombe Wanderers FC (2)
?,(Sat) 10 Aug 2013 (31),Bristol Rovers FC (2),0-0,0-0,Scunthorpe United FC (2)
?,(Sat) 10 Aug 2013 (31),Burton Albion FC (2),1-0,1-0,Rochdale AFC (2)
?,(Sat) 10 Aug 2013 (31),Chesterfield FC (2),2-0,1-0,Cheltenham Town FC (2)
?,(Sat) 10 Aug 2013 (31),Dagenham & Redbridge FC (2),2-0,1-0,York City FC (2)
?,(Sat) 10 Aug 2013 (31),Hartlepool United FC (2),0-1,0-1,Southend United FC (2)
?,(Sat) 10 Aug 2013 (31),Mansfield Town FC (2),0-0,0-0,Exeter City FC (2)
?,(Sat) 10 Aug 2013 (31),Morecambe FC (2),1-1,1-0,Torquay United FC (2)
?,(Sat) 10 Aug 2013 (31),Northampton Town FC (2),3-1,2-0,Newport County AFC (2)
?,(Sat) 10 Aug 2013 (31),Oxford United FC (2),2-1,1-0,Bury FC (2)
?,(Sat) 10 Aug 2013 (31),Plymouth Argyle FC (2),0-2,0-2,Fleetwood Town FC (2)
?,(Sat) 17 Aug 2013 (32),Bury FC (3),3-0,2-0,Accrington Stanley FC (3)
?,(Sat) 17 Aug 2013 (32),Cheltenham Town FC (3),1-3,0-3,Plymouth Argyle FC (3)
?,(Sat) 17 Aug 2013 (32),Exeter City FC (3),2-0,2-0,AFC Wimbledon (3)
?,(Sat) 17 Aug 2013 (32),Fleetwood Town FC (3),2-3,0-3,Burton Albion FC (3)
?,(Sat) 17 Aug 2013 (32),Newport County AFC (3),1-0,1-0,Bristol Rovers FC (3)
?,(Sat) 17 Aug 2013 (32),Portsmouth FC (3),3-0,3-0,Morecambe FC (3)
?,(Sat) 17 Aug 2013 (32),Rochdale AFC (3),2-2,1-1,Chesterfield FC (3)
?,(Sat) 17 Aug 2013 (32),Scunthorpe United FC (3),1-1,0-0,Dagenham & Redbridge FC (3)
?,(Sat) 17 Aug 2013 (32),Southend United FC (3),2-0,1-0,Northampton Town FC (3)
?,(Sat) 17 Aug 2013 (32),Torquay United FC (3),1-3,0-0,Oxford United FC (3)
?,(Sat) 17 Aug 2013 (32),Wycombe Wanderers FC (3),0-1,0-0,Mansfield Town FC (3)
?,(Sat) 17 Aug 2013 (32),York City FC (3),0-0,0-0,Hartlepool United FC (3)
?,(Sat) 24 Aug 2013 (33),Accrington Stanley FC (4),0-1,0-0,Cheltenham Town FC (4)
?,(Sat) 24 Aug 2013 (33),AFC Wimbledon (4),3-2,0-2,Scunthorpe United FC (4)
?,(Sat) 24 Aug 2013 (33),Bristol Rovers FC (4),3-2,2-1,York City FC (4)
?,(Sat) 24 Aug 2013 (33),Burton Albion FC (4),2-2,0-2,Bury FC (4)
?,(Sat) 24 Aug 2013 (33),Chesterfield FC (4),2-1,0-0,Southend United FC (4)
?,(Sat) 24 Aug 2013 (33),Dagenham & Redbridge FC (4),1-1,0-1,Newport County AFC (4)
?,(Sat) 24 Aug 2013 (33),Hartlepool United FC (4),0-1,0-1,Fleetwood Town FC (4)
?,(Sat) 24 Aug 2013 (33),Mansfield Town FC (4),2-2,1-2,Portsmouth FC (4)
?,(Sat) 24 Aug 2013 (33),Morecambe FC (4),2-0,0-0,Exeter City FC (4)
?,(Sat) 24 Aug 2013 (33),Northampton Town FC (4),1-2,1-0,Torquay United FC (4)
?,(Sat) 24 Aug 2013 (33),Oxford United FC (4),2-2,0-1,Wycombe Wanderers FC (4)
?,(Sat) 24 Aug 2013 (33),Plymouth Argyle FC (4),1-0,1-0,Rochdale AFC (4)
?,(Sat) 31 Aug 2013 (34),Accrington Stanley FC (5),0-1,0-0,Burton Albion FC (5)
?,(Sat) 31 Aug 2013 (34),AFC Wimbledon (5),2-0,2-0,Fleetwood Town FC (5)
?,(Sat) 31 Aug 2013 (34),Bristol Rovers FC (5),1-0,1-0,Northampton Town FC (5)
?,(Sat) 31 Aug 2013 (34),Bury FC (5),4-1,3-1,Cheltenham Town FC (5)
?,(Sat) 31 Aug 2013 (34),Exeter City FC (5),2-1,1-1,York City FC (5)
?,(Sat) 31 Aug 2013 (34),Mansfield Town FC (5),3-0,1-0,Dagenham & Redbridge FC (5)
?,(Sat) 31 Aug 2013 (34),Morecambe FC (5),2-1,1-1,Plymouth Argyle FC (5)
?,(Sat) 31 Aug 2013 (34),Oxford United FC (5),1-1,1-0,Rochdale AFC (5)
?,(Sat) 31 Aug 2013 (34),Portsmouth FC (5),0-2,0-0,Chesterfield FC (5)
?,(Sat) 31 Aug 2013 (34),Scunthorpe United FC (5),1-1,1-0,Newport County AFC (5)
?,(Sat) 31 Aug 2013 (34),Torquay United FC (5),0-0,0-0,Hartlepool United FC (5)
?,(Sat) 31 Aug 2013 (34),Wycombe Wanderers FC (5),2-1,2-1,Southend United FC (5)
?,(Sat) 7 Sep 2013 (35),Burton Albion FC (6),0-2,0-0,Oxford United FC (6)
?,(Sat) 7 Sep 2013 (35),Cheltenham Town FC (6),2-2,1-2,Portsmouth FC (6)
?,(Sat) 7 Sep 2013 (35),Chesterfield FC (6),1-0,0-0,Accrington Stanley FC (6)
?,(Sat) 7 Sep 2013 (35),Dagenham & Redbridge FC (6),1-1,1-0,Exeter City FC (6)
?,(Sat) 7 Sep 2013 (35),Fleetwood Town FC (6),4-1,2-0,Torquay United FC (6)
?,(Sat) 7 Sep 2013 (35),Hartlepool United FC (6),1-2,0-0,Wycombe Wanderers FC (6)
?,(Sat) 7 Sep 2013 (35),Newport County AFC (6),1-1,1-0,Mansfield Town FC (6)
?,(Sat) 7 Sep 2013 (35),Northampton Town FC (6),1-1,0-0,Scunthorpe United FC (6)
?,(Sat) 7 Sep 2013 (35),Plymouth Argyle FC (6),1-0,0-0,Bristol Rovers FC (6)
?,(Sat) 7 Sep 2013 (35),Rochdale AFC (6),1-0,1-0,Bury FC (6)
?,(Sat) 7 Sep 2013 (35),Southend United FC (6),1-3,1-1,Morecambe FC (6)
?,(Sat) 7 Sep 2013 (35),York City FC (6),0-2,0-1,AFC Wimbledon (6)
?,(Fri) 13 Sep 2013 (36),Southend United FC (7),0-1,0-0,Scunthorpe United FC (7)
?,(Sat) 14 Sep 2013 (36),Burton Albion FC (7),1-2,0-1,Portsmouth FC (7)
?,(Sat) 14 Sep 2013 (36),Cheltenham Town FC (7),2-2,1-1,Oxford United FC (7)
?,(Sat) 14 Sep 2013 (36),Chesterfield FC (7),2-0,1-0,AFC Wimbledon (7)
?,(Sat) 14 Sep 2013 (36),Dagenham & Redbridge FC (7),2-0,1-0,Bristol Rovers FC (7)
?,(Sat) 14 Sep 2013 (36),Fleetwood Town FC (7),2-1,0-1,Bury FC (7)
?,(Sat) 14 Sep 2013 (36),Hartlepool United FC (7),2-1,2-0,Accrington Stanley FC (7)
?,(Sat) 14 Sep 2013 (36),Newport County AFC (7),2-3,2-1,Morecambe FC (7)
?,(Sat) 14 Sep 2013 (36),Northampton Town FC (7),1-2,1-1,Exeter City FC (7)
?,(Sat) 14 Sep 2013 (36),Plymouth Argyle FC (7),0-3,0-0,Wycombe Wanderers FC (7)
?,(Sat) 14 Sep 2013 (36),Rochdale AFC (7),1-0,0-0,Torquay United FC (7)
?,(Sat) 14 Sep 2013 (36),York City FC (7),1-2,1-1,Mansfield Town FC (7)
?,(Sat) 21 Sep 2013 (37),Accrington Stanley FC (8),1-2,1-2,Rochdale AFC (8)
?,(Sat) 21 Sep 2013 (37),AFC Wimbledon (8),3-1,0-1,Burton Albion FC (8)
?,(Sat) 21 Sep 2013 (37),Bristol Rovers FC (8),2-2,1-2,Hartlepool United FC (8)
?,(Sat) 21 Sep 2013 (37),Bury FC (8),1-1,0-1,Southend United FC (8)
?,(Sat) 21 Sep 2013 (37),Exeter City FC (8),0-2,0-1,Newport County AFC (8)
?,(Sat) 21 Sep 2013 (37),Mansfield Town FC (8),3-0,2-0,Northampton Town FC (8)
?,(Sat) 21 Sep 2013 (37),Morecambe FC (8),2-2,0-1,Dagenham & Redbridge FC (8)
?,(Sat) 21 Sep 2013 (37),Oxford United FC (8),0-1,0-1,Chesterfield FC (8)
?,(Sat) 21 Sep 2013 (37),Portsmouth FC (8),0-1,0-0,Fleetwood Town FC (8)
?,(Sat) 21 Sep 2013 (37),Scunthorpe United FC (8),1-0,0-0,Plymouth Argyle FC (8)
?,(Sat) 21 Sep 2013 (37),Torquay United FC (8),4-2,2-1,Cheltenham Town FC (8)
?,(Sat) 21 Sep 2013 (37),Wycombe Wanderers FC (8),1-1,0-0,York City FC (8)
?,(Fri) 27 Sep 2013 (38),Southend United FC (9),1-1,0-0,Bristol Rovers FC (9)
?,(Sat) 28 Sep 2013 (38),Burton Albion FC (9),2-2,1-0,Scunthorpe United FC (9)
?,(Sat) 28 Sep 2013 (38),Cheltenham Town FC (9),1-0,0-0,AFC Wimbledon (9)
?,(Sat) 28 Sep 2013 (38),Chesterfield FC (9),0-1,0-1,Mansfield Town FC (9)
?,(Sat) 28 Sep 2013 (38),Dagenham & Redbridge FC (9),2-1,1-0,Bury FC (9)
?,(Sat) 28 Sep 2013 (38),Fleetwood Town FC (9),1-2,0-0,Exeter City FC (9)
?,(Sat) 28 Sep 2013 (38),Hartlepool United FC (9),1-3,0-1,Oxford United FC (9)
?,(Sat) 28 Sep 2013 (38),Newport County AFC (9),2-1,2-0,Torquay United FC (9)
