Round,Date,Team 1,FT,Team 2
1,Sat Aug 3 2013,York City FC,1-0,Northampton Town FC
1,Sat Aug 3 2013,Wycombe Wanderers FC,1-0,Morecambe FC
1,Sat Aug 3 2013,Torquay United FC,1-1,AFC Wimbledon
1,Sat Aug 3 2013,Southend United FC,1-0,Plymouth Argyle FC
1,Sat Aug 3 2013,Scunthorpe United FC,2-0,Mansfield Town FC
1,Sat Aug 3 2013,Rochdale AFC,3-0,Hartlepool United FC
1,Sat Aug 3 2013,Portsmouth FC,1-4,Oxford United FC
1,Sat Aug 3 2013,Newport County AFC,4-1,Accrington Stanley FC
1,Sat Aug 3 2013,Fleetwood Town FC,3-1,Dagenham & Redbridge FC
1,Sat Aug 3 2013,Exeter City FC,2-1,Bristol Rovers FC
1,Sat Aug 3 2013,Cheltenham Town FC,2-2,Burton Albion FC
1,Sat Aug 3 2013,Bury FC,0-2,Chesterfield FC
2,Sat Aug 10 2013,Accrington Stanley FC,2-2,Portsmouth FC
2,Sat Aug 10 2013,Plymouth Argyle FC,0-2,Fleetwood Town FC
2,Sat Aug 10 2013,Oxford United FC,2-1,Bury FC
2,Sat Aug 10 2013,Northampton Town FC,3-1,Newport County AFC
2,Sat Aug 10 2013,Morecambe FC,1-1,Torquay United FC
2,Sat Aug 10 2013,AFC Wimbledon,1-0,Wycombe Wanderers FC
2,Sat Aug 10 2013,Hartlepool United FC,0-1,Southend United FC
2,Sat Aug 10 2013,Dagenham & Redbridge FC,2-0,York City FC
2,Sat Aug 10 2013,Chesterfield FC,2-0,Cheltenham Town FC
2,Sat Aug 10 2013,Burton Albion FC,1-0,Rochdale AFC
2,Sat Aug 10 2013,Bristol Rovers FC,0-0,Scunthorpe United FC
2,Sat Aug 10 2013,Mansfield Town FC,0-0,Exeter City FC
3,Sat Aug 17 2013,York City FC,0-0,Hartlepool United FC
3,Sat Aug 17 2013,Wycombe Wanderers FC,0-1,Mansfield Town FC
3,Sat Aug 17 2013,Torquay United FC,1-3,Oxford United FC
3,Sat Aug 17 2013,Southend United FC,2-0,Northampton Town FC
3,Sat Aug 17 2013,Scunthorpe United FC,1-1,Dagenham & Redbridge FC
3,Sat Aug 17 2013,Rochdale AFC,2-2,Chesterfield FC
3,Sat Aug 17 2013,Portsmouth FC,3-0,Morecambe FC
3,Sat Aug 17 2013,Newport County AFC,1-0,Bristol Rovers FC
3,Sat Aug 17 2013,Fleetwood Town FC,2-3,Burton Albion FC
3,Sat Aug 17 2013,Exeter City FC,2-0,AFC Wimbledon
3,Sat Aug 17 2013,Cheltenham Town FC,1-3,Plymouth Argyle FC
3,Sat Aug 17 2013,Bury FC,3-0,Accrington Stanley FC
4,Sat Aug 24 2013,Plymouth Argyle FC,1-0,Rochdale AFC
4,Sat Aug 24 2013,Oxford United FC,2-2,Wycombe Wanderers FC
4,Sat Aug 24 2013,Northampton Town FC,1-2,Torquay United FC
4,Sat Aug 24 2013,Morecambe FC,2-0,Exeter City FC
4,Sat Aug 24 2013,Mansfield Town FC,2-2,Portsmouth FC
4,Sat Aug 24 2013,Hartlepool United FC,0-1,Fleetwood Town FC
4,Sat Aug 24 2013,Dagenham & Redbridge FC,1-1,Newport County AFC
4,Sat Aug 24 2013,Chesterfield FC,2-1,Southend United FC
4,Sat Aug 24 2013,Burton Albion FC,2-2,Bury FC
4,Sat Aug 24 2013,Bristol Rovers FC,3-2,York City FC
4,Sat Aug 24 2013,AFC Wimbledon,3-2,Scunthorpe United FC
4,Sat Aug 24 2013,Accrington Stanley FC,0-1,Cheltenham Town FC
5,Sat Aug 31 2013,Wycombe Wanderers FC,2-1,Southend United FC
5,Sat Aug 31 2013,Torquay United FC,0-0,Hartlepool United FC
5,Sat Aug 31 2013,Scunthorpe United FC,1-1,Newport County AFC
5,Sat Aug 31 2013,Portsmouth FC,0-2,Chesterfield FC
5,Sat Aug 31 2013,Oxford United FC,1-1,Rochdale AFC
5,Sat Aug 31 2013,Accrington Stanley FC,0-1,Burton Albion FC
5,Sat Aug 31 2013,Mansfield Town FC,3-0,Dagenham & Redbridge FC
5,Sat Aug 31 2013,Exeter City FC,2-1,York City FC
5,Sat Aug 31 2013,Bury FC,4-1,Cheltenham Town FC
5,Sat Aug 31 2013,Bristol Rovers FC,1-0,Northampton Town FC
5,Sat Aug 31 2013,AFC Wimbledon,2-0,Fleetwood Town FC
5,Sat Aug 31 2013,Morecambe FC,2-1,Plymouth Argyle FC
6,Sat Sep 7 2013,York City FC,0-2,AFC Wimbledon
6,Sat Sep 7 2013,Southend United FC,1-3,Morecambe FC
6,Sat Sep 7 2013,Rochdale AFC,1-0,Bury FC
6,Sat Sep 7 2013,Plymouth Argyle FC,1-0,Bristol Rovers FC
6,Sat Sep 7 2013,Northampton Town FC,1-1,Scunthorpe United FC
6,Sat Sep 7 2013,Newport County AFC,1-1,Mansfield Town FC
6,Sat Sep 7 2013,Hartlepool United FC,1-2,Wycombe Wanderers FC
6,Sat Sep 7 2013,Fleetwood Town FC,4-1,Torquay United FC
6,Sat Sep 7 2013,Dagenham & Redbridge FC,1-1,Exeter City FC
6,Sat Sep 7 2013,Chesterfield FC,1-0,Accrington Stanley FC
6,Sat Sep 7 2013,Cheltenham Town FC,2-2,Portsmouth FC
6,Sat Sep 7 2013,Burton Albion FC,0-2,Oxford United FC
7,Fri Sep 13 2013,Southend United FC,0-1,Scunthorpe United FC
7,Sat Sep 14 2013,York City FC,1-2,Mansfield Town FC
7,Sat Sep 14 2013,Rochdale AFC,1-0,Torquay United FC
7,Sat Sep 14 2013,Plymouth Argyle FC,0-3,Wycombe Wanderers FC
7,Sat Sep 14 2013,Northampton Town FC,1-2,Exeter City FC
7,Sat Sep 14 2013,Newport County AFC,2-3,Morecambe FC
7,Sat Sep 14 2013,Hartlepool United FC,2-1,Accrington Stanley FC
7,Sat Sep 14 2013,Fleetwood Town FC,2-1,Bury FC
7,Sat Sep 14 2013,Dagenham & Redbridge FC,2-0,Bristol Rovers FC
7,Sat Sep 14 2013,Chesterfield FC,2-0,AFC Wimbledon
7,Sat Sep 14 2013,Cheltenham Town FC,2-2,Oxford United FC
7,Sat Sep 14 2013,Burton Albion FC,1-2,Portsmouth FC
8,Sat Sep 21 2013,Wycombe Wanderers FC,1-1,York City FC
8,Sat Sep 21 2013,Torquay United FC,4-2,Cheltenham Town FC
8,Sat Sep 21 2013,Scunthorpe United FC,1-0,Plymouth Argyle FC
8,Sat Sep 21 2013,Portsmouth FC,0-1,Fleetwood Town FC
8,Sat Sep 21 2013,Oxford United FC,0-1,Chesterfield FC
8,Sat Sep 21 2013,Accrington Stanley FC,1-2,Rochdale AFC
8,Sat Sep 21 2013,Mansfield Town FC,3-0,Northampton Town FC
8,Sat Sep 21 2013,Exeter City FC,0-2,Newport County AFC
8,Sat Sep 21 2013,Bury FC,1-1,Southend United FC
8,Sat Sep 21 2013,Bristol Rovers FC,2-2,Hartlepool United FC
8,Sat Sep 21 2013,AFC Wimbledon,3-1,Burton Albion FC
8,Sat Sep 21 2013,Morecambe FC,2-2,Dagenham & Redbridge FC
9,Fri Sep 27 2013,Southend United FC,1-1,Bristol Rovers FC
9,Sat Sep 28 2013,Northampton Town FC,0-0,Morecambe FC
9,Sat Sep 28 2013,York City FC,4-2,Portsmouth FC
9,Sat Sep 28 2013,Rochdale AFC,3-2,Wycombe Wanderers FC
9,Sat Sep 28 2013,Plymouth Argyle FC,0-0,Accrington Stanley FC
9,Sat Sep 28 2013,Chesterfield FC,0-1,Mansfield Town FC
9,Sat Sep 28 2013,Newport County AFC,2-1,Torquay United FC
9,Sat Sep 28 2013,Hartlepool United FC,1-3,Oxford United FC
9,Sat Sep 28 2013,Fleetwood Town FC,1-2,Exeter City FC
9,Sat Sep 28 2013,Dagenham & Redbridge FC,2-1,Bury FC
9,Sat Sep 28 2013,Cheltenham Town FC,1-0,AFC Wimbledon
9,Sat Sep 28 2013,Burton Albion FC,2-2,Scunthorpe United FC
10,Fri Oct 4 2013,Accrington Stanley FC,1-2,Dagenham & Redbridge FC
10,Sat Oct 5 2013,Exeter City FC,3-1,Plymouth Argyle FC
10,Sat Oct 5 2013,Wycombe Wanderers FC,1-2,Burton Albion FC
10,Sat Oct 5 2013,Torquay United FC,0-3,York City FC
10,Sat Oct 5 2013,Scunthorpe United FC,2-0,Cheltenham Town FC
10,Sat Oct 5 2013,Portsmouth FC,3-0,Rochdale AFC
10,Sat Oct 5 2013,Oxford United FC,0-2,Southend United FC
10,Sat Oct 5 2013,Morecambe FC,4-3,Chesterfield FC
10,Sat Oct 5 2013,Mansfield Town FC,1-4,Hartlepool United FC
10,Sat Oct 5 2013,Bury FC,0-0,Newport County AFC
10,Sat Oct 5 2013,Bristol Rovers FC,1-3,Fleetwood Town FC
10,Sat Oct 5 2013,AFC Wimbledon,0-2,Northampton Town FC
11,Sat Oct 12 2013,Plymouth Argyle FC,1-1,Portsmouth FC
11,Sat Oct 12 2013,Wycombe Wanderers FC,3-2,Torquay United FC
11,Sat Oct 12 2013,Rochdale AFC,3-0,Newport County AFC
11,Sat Oct 12 2013,Oxford United FC,2-0,Northampton Town FC
11,Sat Oct 12 2013,Mansfield Town FC,1-1,Bristol Rovers FC
11,Sat Oct 12 2013,AFC Wimbledon,1-1,Accrington Stanley FC
11,Sat Oct 12 2013,Exeter City FC,0-3,Hartlepool United FC
11,Sat Oct 12 2013,Dagenham & Redbridge FC,1-2,Cheltenham Town FC
11,Sat Oct 12 2013,Bury FC,0-2,Morecambe FC
11,Sat Oct 12 2013,Burton Albion FC,0-1,Southend United FC
11,Sat Oct 12 2013,Fleetwood Town FC,1-1,Chesterfield FC
12,Fri Oct 18 2013,Southend United FC,2-0,Fleetwood Town FC
12,Sat Oct 19 2013,Newport County AFC,3-0,York City FC
12,Sat Oct 19 2013,Scunthorpe United FC,0-4,Exeter City FC
12,Sat Oct 19 2013,Portsmouth FC,1-0,Bury FC
12,Sat Oct 19 2013,Northampton Town FC,2-2,Dagenham & Redbridge FC
12,Sat Oct 19 2013,Torquay United FC,0-0,Mansfield Town FC
12,Sat Oct 19 2013,Morecambe FC,1-1,AFC Wimbledon
12,Sat Oct 19 2013,Hartlepool United FC,1-0,Plymouth Argyle FC
12,Sat Oct 19 2013,Chesterfield FC,0-2,Burton Albion FC
12,Sat Oct 19 2013,Cheltenham Town FC,1-2,Rochdale AFC
12,Sat Oct 19 2013,Accrington Stanley FC,0-0,Oxford United FC
12,Sat Oct 19 2013,Bristol Rovers FC,0-1,Wycombe Wanderers FC
13,Tue Oct 22 2013,Southend United FC,0-1,Dagenham & Redbridge FC
13,Tue Oct 22 2013,Rochdale AFC,3-2,Northampton Town FC
