Date,Team 1,Team 2,FT,HT
2008-08-16,Arsenal,West Brom,1-0,1-0
2008-08-16,Bolton,Stoke,3-1,3-0
2008-08-16,Everton,Blackburn,2-3,1-1
2008-08-16,Hull,Fulham,2-1,1-1
2008-08-16,Middlesbrough,Tottenham,2-1,0-0
2008-08-16,Sunderland,Liverpool,0-1,0-0
2008-08-16,West Ham,Wigan,2-1,2-0
2008-08-17,Aston Villa,Man City,4-2,0-0
2008-08-17,Chelsea,Portsmouth,4-0,3-0
2008-08-17,Man United,Newcastle,1-1,1-1
2008-08-23,Blackburn,Hull,1-1,1-1
2008-08-23,Fulham,Arsenal,1-0,1-0
2008-08-23,Liverpool,Middlesbrough,2-1,0-0
2008-08-23,Newcastle,Bolton,1-0,0-0
2008-08-23,Stoke,Aston Villa,3-2,1-0
2008-08-23,Tottenham,Sunderland,1-2,0-0
2008-08-23,West Brom,Everton,1-2,0-0
2008-08-24,Man City,West Ham,3-0,0-0
2008-08-24,Wigan,Chelsea,0-1,0-1
2008-08-25,Portsmouth,Man United,0-1,0-1
2008-08-30,Arsenal,Newcastle,3-0,2-0
2008-08-30,Bolton,West Brom,0-0,0-0
2008-08-30,Everton,Portsmouth,0-3,0-2
2008-08-30,Hull,Wigan,0-5,0-2
2008-08-30,Middlesbrough,Stoke,2-1,1-0
2008-08-30,West Ham,Blackburn,4-1,2-1
2008-08-31,Aston Villa,Liverpool,0-0,0-0
2008-08-31,Chelsea,Tottenham,1-1,1-1
2008-08-31,Sunderland,Man City,0-3,0-1
2008-09-13,Blackburn,Arsenal,0-4,0-2
2008-09-13,Fulham,Bolton,2-1,2-0
2008-09-13,Liverpool,Man United,2-1,1-1
2008-09-13,Man City,Chelsea,1-3,1-1
2008-09-13,Newcastle,Hull,1-2,0-1
2008-09-13,Portsmouth,Middlesbrough,2-1,0-1
2008-09-13,West Brom,West Ham,3-2,2-2
2008-09-13,Wigan,Sunderland,1-1,0-1
2008-09-14,Stoke,Everton,2-3,0-1
2008-09-15,Tottenham,Aston Villa,1-2,0-1
2008-09-20,Blackburn,Fulham,1-0,0-0
2008-09-20,Bolton,Arsenal,1-3,1-2
2008-09-20,Liverpool,Stoke,0-0,0-0
2008-09-20,Sunderland,Middlesbrough,2-0,0-0
2008-09-20,West Ham,Newcastle,3-1,2-0
2008-09-21,Chelsea,Man United,1-1,0-1
2008-09-21,Hull,Everton,2-2,1-0
2008-09-21,Man City,Portsmouth,6-0,2-0
2008-09-21,Tottenham,Wigan,0-0,0-0
2008-09-21,West Brom,Aston Villa,1-2,1-2
2008-09-27,Arsenal,Hull,1-2,0-0
2008-09-27,Aston Villa,Sunderland,2-1,2-1
2008-09-27,Everton,Liverpool,0-2,0-0
2008-09-27,Fulham,West Ham,1-2,0-2
2008-09-27,Man United,Bolton,2-0,0-0
2008-09-27,Middlesbrough,West Brom,0-1,0-0
2008-09-27,Newcastle,Blackburn,1-2,0-2
2008-09-27,Stoke,Chelsea,0-2,0-1
2008-09-28,Portsmouth,Tottenham,2-0,1-0
2008-09-28,Wigan,Man City,2-1,2-1
2008-10-04,Blackburn,Man United,0-2,0-1
2008-10-04,Sunderland,Arsenal,1-1,0-0
2008-10-04,West Brom,Fulham,1-0,0-0
2008-10-04,Wigan,Middlesbrough,0-1,0-0
2008-10-05,Chelsea,Aston Villa,2-0,2-0
2008-10-05,Everton,Newcastle,2-2,2-1
2008-10-05,Man City,Liverpool,2-3,2-0
2008-10-05,Portsmouth,Stoke,2-1,1-0
2008-10-05,Tottenham,Hull,0-1,0-1
2008-10-05,West Ham,Bolton,1-3,0-2
2008-10-18,Arsenal,Everton,3-1,0-1
2008-10-18,Aston Villa,Portsmouth,0-0,0-0
2008-10-18,Bolton,Blackburn,0-0,0-0
2008-10-18,Fulham,Sunderland,0-0,0-0
2008-10-18,Liverpool,Wigan,3-2,1-2
2008-10-18,Man United,West Brom,4-0,0-0
2008-10-18,Middlesbrough,Chelsea,0-5,0-1
2008-10-19,Hull,West Ham,1-0,0-0
2008-10-19,Stoke,Tottenham,2-1,1-1
2008-10-20,Newcastle,Man City,2-2,1-1
2008-10-25,Blackburn,Middlesbrough,1-1,0-0
2008-10-25,Everton,Man United,1-1,0-1
2008-10-25,Sunderland,Newcastle,2-1,1-1
2008-10-25,West Brom,Hull,0-3,0-0
2008-10-26,Chelsea,Liverpool,0-1,0-1
2008-10-26,Man City,Stoke,3-0,1-0
2008-10-26,Portsmouth,Fulham,1-1,0-0
2008-10-26,Tottenham,Bolton,2-0,1-0
2008-10-26,West Ham,Arsenal,0-2,0-0
2008-10-26,Wigan,Aston Villa,0-4,0-1
2008-10-28,Newcastle,West Brom,2-1,2-0
2008-10-29,Arsenal,Tottenham,4-4,1-1
2008-10-29,Aston Villa,Blackburn,3-2,1-1
2008-10-29,Bolton,Everton,0-1,0-0
2008-10-29,Fulham,Wigan,2-0,1-0
2008-10-29,Hull,Chelsea,0-3,0-1
2008-10-29,Liverpool,Portsmouth,1-0,0-0
2008-10-29,Man United,West Ham,2-0,2-0
2008-10-29,Middlesbrough,Man City,2-0,0-0
2008-10-29,Stoke,Sunderland,1-0,0-0
2008-11-01,Chelsea,Sunderland,5-0,3-0
2008-11-01,Everton,Fulham,1-0,0-0
2008-11-01,Man United,Hull,4-3,3-1
2008-11-01,Middlesbrough,West Ham,1-1,0-1
2008-11-01,Portsmouth,Wigan,1-2,0-1
2008-11-01,Stoke,Arsenal,2-1,1-0
2008-11-01,Tottenham,Liverpool,2-1,0-1
2008-11-01,West Brom,Blackburn,2-2,0-1
2008-11-02,Bolton,Man City,2-0,0-0
2008-11-03,Newcastle,Aston Villa,2-0,0-0
2008-11-08,Arsenal,Man United,2-1,1-0
2008-11-08,Hull,Bolton,0-1,0-0
2008-11-08,Liverpool,West Brom,3-0,2-0
2008-11-08,Sunderland,Portsmouth,1-2,1-0
2008-11-08,West Ham,Everton,1-3,0-0
2008-11-08,Wigan,Stoke,0-0,0-0
2008-11-09,Aston Villa,Middlesbrough,1-2,1-1
2008-11-09,Blackburn,Chelsea,0-2,0-1
2008-11-09,Fulham,Newcastle,2-1,1-0
2008-11-09,Man City,Tottenham,1-2,1-1
2008-11-15,Arsenal,Aston Villa,0-2,0-0
2008-11-15,Blackburn,Sunderland,1-2,1-0
2008-11-15,Bolton,Liverpool,0-2,0-1
2008-11-15,Fulham,Tottenham,2-1,1-0
2008-11-15,Man United,Stoke,5-0,2-0
2008-11-15,Newcastle,Wigan,2-2,0-1
2008-11-15,West Brom,Chelsea,0-3,0-3
2008-11-15,West Ham,Portsmouth,0-0,0-0
2008-11-16,Everton,Middlesbrough,1-1,0-1
2008-11-16,Hull,Man City,2-2,1-2
2008-11-22,Aston Villa,Man United,0-0,0-0
2008-11-22,Chelsea,Newcastle,0-0,0-0
2008-11-22,Liverpool,Fulham,0-0,0-0
2008-11-22,Man City,Arsenal,3-0,1-0
2008-11-22,Middlesbrough,Bolton,1-3,0-2
2008-11-22,Portsmouth,Hull,2-2,1-0
2008-11-22,Stoke,West Brom,1-0,0-0
2008-11-23,Sunderland,West Ham,0-1,0-1
2008-11-23,Tottenham,Blackburn,1-0,1-0
2008-11-24,Wigan,Everton,1-0,0-0
2008-11-29,Aston Villa,Fulham,0-0,0-0
2008-11-29,Middlesbrough,Newcastle,0-0,0-0
2008-11-29,Stoke,Hull,1-1,0-1
2008-11-29,Sunderland,Bolton,1-4,1-3
2008-11-29,Wigan,West Brom,2-1,0-0
2008-11-30,Chelsea,Arsenal,1-2,1-0
2008-11-30,Man City,Man United,0-1,0-1
2008-11-30,Portsmouth,Blackburn,3-2,0-0
2008-11-30,Tottenham,Everton,0-1,0-0
2008-12-01,Liverpool,West Ham,0-0,0-0
2008-12-06,Arsenal,Wigan,1-0,1-0
2008-12-06,Blackburn,Liverpool,1-3,0-0
2008-12-06,Bolton,Chelsea,0-2,0-2
2008-12-06,Fulham,Man City,1-1,1-1
2008-12-06,Hull,Middlesbrough,2-1,0-0
2008-12-06,Man United,Sunderland,1-0,0-0
2008-12-06,Newcastle,Stoke,2-2,2-0
2008-12-07,Everton,Aston Villa,2-3,1-1
2008-12-07,West Brom,Portsmouth,1-1,1-0
2008-12-08,West Ham,Tottenham,0-2,0-0
2008-12-13,Aston Villa,Bolton,4-2,2-1
2008-12-13,Liverpool,Hull,2-2,2-2
2008-12-13,Man City,Everton,0-1,0-0
2008-12-13,Middlesbrough,Arsenal,1-1,1-1
2008-12-13,Stoke,Fulham,0-0,0-0
2008-12-13,Sunderland,West Brom,4-0,3-0
2008-12-13,Tottenham,Man United,0-0,0-0
2008-12-13,Wigan,Blackburn,3-0,2-0
2008-12-14,Chelsea,West Ham,1-1,0-1
2008-12-14,Portsmouth,Newcastle,0-3,0-0
2008-12-20,Blackburn,Stoke,3-0,3-0
2008-12-20,Bolton,Portsmouth,2-1,2-1
2008-12-20,Fulham,Middlesbrough,3-0,1-0
2008-12-20,Hull,Sunderland,1-4,1-1
2008-12-20,West Ham,Aston Villa,0-1,0-0
2008-12-21,Arsenal,Liverpool,1-1,1-1
2008-12-21,Newcastle,Tottenham,2-1,1-1
2008-12-21,West Brom,Man City,2-1,0-0
2008-12-22,Everton,Chelsea,0-0,0-0
2008-12-26,Aston Villa,Arsenal,2-2,0-1
2008-12-26,Chelsea,West Brom,2-0,2-0
2008-12-26,Liverpool,Bolton,3-0,1-0
2008-12-26,Man City,Hull,5-1,4-0
2008-12-26,Middlesbrough,Everton,0-1,0-0
2008-12-26,Portsmouth,West Ham,1-4,1-1
2008-12-26,Stoke,Man United,0-1,0-0
2008-12-26,Sunderland,Blackburn,0-0,0-0
2008-12-26,Tottenham,Fulham,0-0,0-0
2008-12-26,Wigan,Newcastle,2-1,1-0
2008-12-28,Arsenal,Portsmouth,1-0,0-0
2008-12-28,Blackburn,Man City,2-2,1-0
2008-12-28,Bolton,Wigan,0-1,0-1
2008-12-28,Everton,Sunderland,3-0,2-0
2008-12-28,Fulham,Chelsea,2-2,1-0
2008-12-28,Newcastle,Liverpool,1-5,1-2
2008-12-28,West Brom,Tottenham,2-0,0-0
2008-12-28,West Ham,Stoke,2-1,0-1
2008-12-29,Man United,Middlesbrough,1-0,0-0
2008-12-30,Hull,Aston Villa,0-1,0-0
2009-01-10,Arsenal,Bolton,1-0,0-0
2009-01-10,Aston Villa,West Brom,2-1,2-0
2009-01-10,Everton,Hull,2-0,2-0
2009-01-10,Middlesbrough,Sunderland,1-1,1-0
2009-01-10,Newcastle,West Ham,2-2,1-1
2009-01-10,Stoke,Liverpool,0-0,0-0
2009-01-11,Man United,Chelsea,3-0,1-0
2009-01-11,Wigan,Tottenham,1-0,0-0
2009-01-14,Man United,Wigan,1-0,1-0
2009-01-17,Blackburn,Newcastle,3-0,0-0
2009-01-17,Bolton,Man United,0-1,0-0
2009-01-17,Chelsea,Stoke,2-1,0-0
2009-01-17,Hull,Arsenal,1-3,0-1
2009-01-17,Man City,Wigan,1-0,0-0
2009-01-17,Sunderland,Aston Villa,1-2,1-0
2009-01-17,West Brom,Middlesbrough,3-0,1-0
2009-01-18,Tottenham,Portsmouth,1-1,0-0
2009-01-18,West Ham,Fulham,3-1,1-1
2009-01-19,Liverpool,Everton,1-1,0-0
2009-01-27,Portsmouth,Aston Villa,0-1,0-1
2009-01-27,Sunderland,Fulham,1-0,0-0
