Date,Team 1,Team 2,FT,HT
2008-08-09,Birmingham,Sheffield United,1-0,0-0
2008-08-09,Blackpool,Bristol City,0-1,0-0
2008-08-09,Cardiff,Southampton,2-1,1-1
2008-08-09,Charlton,Swansea,2-0,1-0
2008-08-09,Coventry,Norwich,2-0,0-0
2008-08-09,Crystal Palace,Watford,0-0,0-0
2008-08-09,Derby,Doncaster,0-1,0-0
2008-08-09,Ipswich,Preston,1-2,1-2
2008-08-09,Plymouth,Wolves,2-2,1-1
2008-08-09,QPR,Barnsley,2-1,2-1
2008-08-09,Sheffield Weds,Burnley,4-1,3-1
2008-08-10,Nott'm Forest,Reading,0-0,0-0
2008-08-16,Barnsley,Coventry,1-2,1-1
2008-08-16,Bristol City,Derby,1-1,1-0
2008-08-16,Burnley,Ipswich,0-3,0-2
2008-08-16,Doncaster,Cardiff,1-1,0-0
2008-08-16,Norwich,Blackpool,1-1,0-0
2008-08-16,Preston,Crystal Palace,2-0,0-0
2008-08-16,Reading,Plymouth,2-0,1-0
2008-08-16,Sheffield United,QPR,3-0,2-0
2008-08-16,Southampton,Birmingham,1-2,1-0
2008-08-16,Swansea,Nott'm Forest,3-1,1-1
2008-08-16,Watford,Charlton,1-0,1-0
2008-08-16,Wolves,Sheffield Weds,4-1,1-1
2008-08-23,Birmingham,Barnsley,2-0,2-0
2008-08-23,Blackpool,Sheffield United,1-3,0-1
2008-08-23,Cardiff,Norwich,2-2,1-0
2008-08-23,Charlton,Reading,4-2,2-1
2008-08-23,Coventry,Bristol City,0-3,0-1
2008-08-23,Crystal Palace,Burnley,0-0,0-0
2008-08-23,Derby,Southampton,0-1,0-0
2008-08-23,Ipswich,Wolves,0-2,0-1
2008-08-23,Nott'm Forest,Watford,3-2,2-1
2008-08-23,Plymouth,Swansea,0-1,0-1
2008-08-23,QPR,Doncaster,2-0,2-0
2008-08-23,Sheffield Weds,Preston,1-1,1-0
2008-08-30,Barnsley,Derby,2-0,0-0
2008-08-30,Bristol City,QPR,1-1,1-1
2008-08-30,Burnley,Plymouth,0-0,0-0
2008-08-30,Doncaster,Coventry,1-0,1-0
2008-08-30,Norwich,Birmingham,1-1,0-1
2008-08-30,Preston,Charlton,2-1,0-1
2008-08-30,Reading,Crystal Palace,4-2,1-1
2008-08-30,Sheffield United,Cardiff,0-0,0-0
2008-08-30,Southampton,Blackpool,0-1,0-1
2008-08-30,Swansea,Sheffield Weds,1-1,1-0
2008-08-30,Watford,Ipswich,2-1,0-1
2008-08-30,Wolves,Nott'm Forest,5-1,4-0
2008-09-13,Birmingham,Doncaster,1-0,0-0
2008-09-13,Blackpool,Barnsley,1-0,0-0
2008-09-13,Cardiff,Bristol City,0-0,0-0
2008-09-13,Charlton,Wolves,1-3,1-0
2008-09-13,Coventry,Preston,0-0,0-0
2008-09-13,Crystal Palace,Swansea,2-0,1-0
2008-09-13,Derby,Sheffield United,2-1,1-1
2008-09-13,Ipswich,Reading,2-0,0-0
2008-09-13,Nott'm Forest,Burnley,1-2,0-1
2008-09-13,Plymouth,Norwich,1-2,0-1
2008-09-13,Sheffield Weds,Watford,2-0,1-0
2008-09-14,QPR,Southampton,4-1,1-0
2008-09-16,Barnsley,Cardiff,0-1,0-1
2008-09-16,Bristol City,Birmingham,1-2,0-2
2008-09-16,Burnley,Blackpool,2-0,0-0
