Round,Date,Team 1,Team 2,FT,HT
-,-,Aston Villa,Arsenal,5-0,-
-,-,Blackburn Rovers,Arsenal,2-2,-
-,-,Bolton Wanderers,Arsenal,1-1,-
-,-,Bradford City,Arsenal,3-1,-
-,-,Bradford Park Avenue,Arsenal,0-1,-
-,-,Burnley,Arsenal,1-0,-
-,-,Chelsea,Arsenal,1-2,-
-,-,Derby County,Arsenal,1-1,-
-,-,Everton,Arsenal,2-4,-
-,-,Huddersfield Town,Arsenal,0-4,-
-,-,Liverpool,Arsenal,3-0,-
-,-,Manchester City,Arsenal,3-1,-
-,-,Manchester United,Arsenal,1-1,-
-,-,Middlesbrough,Arsenal,2-1,-
-,-,Newcastle United,Arsenal,1-0,-
-,-,Oldham Athletic,Arsenal,1-1,-
-,-,Preston North End,Arsenal,0-1,-
-,-,Sheffield United,Arsenal,1-1,-
-,-,Sunderland,Arsenal,5-1,-
-,-,Tottenham Hotspur,Arsenal,2-1,-
-,-,West Bromwich Albion,Arsenal,3-4,-
-,-,Arsenal,Aston Villa,0-1,-
-,-,Blackburn Rovers,Aston Villa,0-1,-
-,-,Bolton Wanderers,Aston Villa,5-0,-
-,-,Bradford City,Aston Villa,3-0,-
-,-,Bradford Park Avenue,Aston Villa,4-0,-
-,-,Burnley,Aston Villa,7-1,-
-,-,Chelsea,Aston Villa,5-1,-
-,-,Derby County,Aston Villa,2-3,-
-,-,Everton,Aston Villa,1-1,-
-,-,Huddersfield Town,Aston Villa,1-0,-
-,-,Liverpool,Aston Villa,4-1,-
-,-,Manchester City,Aston Villa,3-1,-
-,-,Manchester United,Aston Villa,1-3,-
-,-,Middlesbrough,Aston Villa,1-4,-
-,-,Newcastle United,Aston Villa,2-1,-
-,-,Oldham Athletic,Aston Villa,1-1,-
-,-,Preston North End,Aston Villa,6-1,-
-,-,Sheffield United,Aston Villa,0-0,-
-,-,Sunderland,Aston Villa,0-1,-
-,-,Tottenham Hotspur,Aston Villa,1-2,-
-,-,West Bromwich Albion,Aston Villa,2-1,-
-,-,Arsenal,Blackburn Rovers,2-0,-
-,-,Aston Villa,Blackburn Rovers,3-0,-
-,-,Bolton Wanderers,Blackburn Rovers,2-1,-
-,-,Bradford City,Blackburn Rovers,3-4,-
-,-,Bradford Park Avenue,Blackburn Rovers,1-1,-
-,-,Burnley,Blackburn Rovers,4-1,-
-,-,Chelsea,Blackburn Rovers,1-2,-
-,-,Derby County,Blackburn Rovers,0-1,-
-,-,Everton,Blackburn Rovers,2-1,-
-,-,Huddersfield Town,Blackburn Rovers,0-0,-
-,-,Liverpool,Blackburn Rovers,2-0,-
-,-,Manchester City,Blackburn Rovers,0-0,-
-,-,Manchester United,Blackburn Rovers,0-1,-
-,-,Middlesbrough,Blackburn Rovers,1-1,-
-,-,Newcastle United,Blackburn Rovers,1-2,-
-,-,Oldham Athletic,Blackburn Rovers,1-0,-
-,-,Preston North End,Blackburn Rovers,4-2,-
-,-,Sheffield United,Blackburn Rovers,1-1,-
-,-,Sunderland,Blackburn Rovers,2-0,-
-,-,Tottenham Hotspur,Blackburn Rovers,1-2,-
-,-,West Bromwich Albion,Blackburn Rovers,1-1,-
-,-,Arsenal,Bolton Wanderers,0-0,-
