Round,Date,Team 1,FT,Team 2
1,Fri Aug 6 1999,York City FC,1-0,Swansea City FC
1,Fri Aug 6 1999,Southend United FC,2-1,Plymouth Argyle FC
1,Fri Aug 6 1999,Shrewsbury Town FC,1-2,Torquay United FC
1,Fri Aug 6 1999,Peterborough United FC,2-1,Hartlepool United FC
1,Fri Aug 6 1999,Macclesfield Town FC,1-0,Northampton Town FC
1,Fri Aug 6 1999,Lincoln City FC,2-1,Rotherham United FC
1,Fri Aug 6 1999,FC Halifax Town,0-1,Darlington FC
1,Fri Aug 6 1999,Exeter City FC,1-0,Hull City AFC
1,Fri Aug 6 1999,Chester FC,0-2,Barnet FC
1,Fri Aug 6 1999,Cheltenham Town FC,0-2,Rochdale AFC
1,Fri Aug 6 1999,Carlisle United FC,2-1,Leyton Orient FC
1,Fri Aug 6 1999,Brighton & Hove Albion FC,6-0,Mansfield Town FC
2,Fri Aug 13 1999,Torquay United FC,0-0,York City FC
2,Fri Aug 13 1999,Swansea City FC,1-0,Carlisle United FC
2,Fri Aug 13 1999,Rotherham United FC,4-0,Chester FC
2,Fri Aug 13 1999,Rochdale AFC,2-0,Southend United FC
2,Fri Aug 13 1999,Plymouth Argyle FC,0-0,Shrewsbury Town FC
2,Fri Aug 13 1999,Northampton Town FC,0-1,Peterborough United FC
2,Fri Aug 13 1999,Mansfield Town FC,0-1,Cheltenham Town FC
2,Fri Aug 13 1999,Leyton Orient FC,1-2,Brighton & Hove Albion FC
2,Fri Aug 13 1999,Hull City AFC,1-1,Lincoln City FC
2,Fri Aug 13 1999,Hartlepool United FC,0-2,FC Halifax Town
2,Fri Aug 13 1999,Darlington FC,3-0,Macclesfield Town FC
2,Fri Aug 13 1999,Barnet FC,2-2,Exeter City FC
3,Tue Aug 17 1999,Chester FC,0-2,Northampton Town FC
3,Fri Aug 20 1999,York City FC,0-3,Rochdale AFC
3,Fri Aug 20 1999,Southend United FC,1-0,Mansfield Town FC
3,Fri Aug 20 1999,Shrewsbury Town FC,0-1,Darlington FC
3,Fri Aug 20 1999,Peterborough United FC,2-1,Leyton Orient FC
3,Fri Aug 20 1999,Macclesfield Town FC,1-2,Swansea City FC
3,Fri Aug 20 1999,Lincoln City FC,0-0,Barnet FC
3,Fri Aug 20 1999,FC Halifax Town,0-1,Plymouth Argyle FC
3,Fri Aug 20 1999,Exeter City FC,3-1,Rotherham United FC
3,Fri Aug 20 1999,Cheltenham Town FC,1-0,Hull City AFC
3,Fri Aug 20 1999,Carlisle United FC,0-3,Hartlepool United FC
3,Fri Aug 20 1999,Brighton & Hove Albion FC,0-1,Torquay United FC
4,Thu Aug 26 1999,Northampton Town FC,1-0,Lincoln City FC
4,Fri Aug 27 1999,Plymouth Argyle FC,2-1,Peterborough United FC
4,Fri Aug 27 1999,Swansea City FC,3-1,Southend United FC
4,Fri Aug 27 1999,Rotherham United FC,4-0,Shrewsbury Town FC
4,Fri Aug 27 1999,Barnet FC,6-3,York City FC
4,Fri Aug 27 1999,Torquay United FC,2-2,Chester FC
4,Fri Aug 27 1999,Mansfield Town FC,1-1,Carlisle United FC
4,Fri Aug 27 1999,Leyton Orient FC,1-0,FC Halifax Town
4,Fri Aug 27 1999,Hull City AFC,2-3,Macclesfield Town FC
4,Fri Aug 27 1999,Hartlepool United FC,0-1,Cheltenham Town FC
4,Fri Aug 27 1999,Darlington FC,1-1,Brighton & Hove Albion FC
4,Fri Aug 27 1999,Rochdale AFC,0-2,Exeter City FC
5,Sun Aug 29 1999,York City FC,0-1,Northampton Town FC
5,Sun Aug 29 1999,Southend United FC,1-1,Leyton Orient FC
5,Sun Aug 29 1999,Peterborough United FC,4-2,Darlington FC
5,Sun Aug 29 1999,Macclesfield Town FC,1-1,Rotherham United FC
5,Sun Aug 29 1999,Lincoln City FC,0-1,Swansea City FC
5,Sun Aug 29 1999,Carlisle United FC,4-2,Plymouth Argyle FC
5,Sun Aug 29 1999,Chester FC,0-2,Rochdale AFC
5,Sun Aug 29 1999,Cheltenham Town FC,1-2,Barnet FC
5,Sun Aug 29 1999,Exeter City FC,1-0,Mansfield Town FC
5,Mon Aug 30 1999,Shrewsbury Town FC,0-0,Hartlepool United FC
5,Mon Aug 30 1999,Brighton & Hove Albion FC,3-0,Hull City AFC
5,Mon Aug 30 1999,FC Halifax Town,2-0,Torquay United FC
6,Thu Sep 2 1999,Rochdale AFC,0-1,FC Halifax Town
6,Thu Sep 2 1999,Mansfield Town FC,3-1,Peterborough United FC
6,Thu Sep 2 1999,Leyton Orient FC,1-2,Shrewsbury Town FC
6,Thu Sep 2 1999,Hull City AFC,2-1,Chester FC
