Round,Date,Team 1,Team 2,FT,HT
-,-,Barnsley,Accrington Stanley,6-0,-
-,-,Barrow,Accrington Stanley,2-6,-
-,-,Carlisle United,Accrington Stanley,3-0,-
-,-,Chester,Accrington Stanley,7-0,-
-,-,Chesterfield,Accrington Stanley,1-0,-
-,-,Crewe Alexandra,Accrington Stanley,4-2,-
-,-,Darlington,Accrington Stanley,3-1,-
-,-,Doncaster Rovers,Accrington Stanley,5-1,-
-,-,Gateshead,Accrington Stanley,2-0,-
-,-,Halifax Town,Accrington Stanley,2-1,-
-,-,Hartlepool United,Accrington Stanley,3-0,-
-,-,Mansfield Town,Accrington Stanley,5-0,-
-,-,New Brighton,Accrington Stanley,0-3,-
-,-,Rochdale,Accrington Stanley,0-1,-
-,-,Rotherham United,Accrington Stanley,3-1,-
-,-,Southport,Accrington Stanley,1-1,-
-,-,Stockport County,Accrington Stanley,3-0,-
-,-,Tranmere Rovers,Accrington Stanley,2-0,-
-,-,Walsall,Accrington Stanley,5-0,-
-,-,Wrexham,Accrington Stanley,3-2,-
-,-,York City,Accrington Stanley,3-2,-
-,-,Accrington Stanley,Barnsley,0-9,-
-,-,Barrow,Barnsley,3-4,-
-,-,Carlisle United,Barnsley,1-4,-
-,-,Chester,Barnsley,4-2,-
-,-,Chesterfield,Barnsley,3-0,-
-,-,Crewe Alexandra,Barnsley,4-2,-
-,-,Darlington,Barnsley,0-4,-
-,-,Doncaster Rovers,Barnsley,4-4,-
-,-,Gateshead,Barnsley,1-4,-
-,-,Halifax Town,Barnsley,1-1,-
-,-,Hartlepool United,Barnsley,0-2,-
-,-,Mansfield Town,Barnsley,1-5,-
-,-,New Brighton,Barnsley,0-1,-
-,-,Rochdale,Barnsley,3-1,-
-,-,Rotherham United,Barnsley,0-2,-
-,-,Southport,Barnsley,2-2,-
-,-,Stockport County,Barnsley,1-1,-
-,-,Tranmere Rovers,Barnsley,5-2,-
-,-,Walsall,Barnsley,5-1,-
-,-,Wrexham,Barnsley,4-2,-
-,-,York City,Barnsley,1-1,-
-,-,Accrington Stanley,Barrow,0-4,-
-,-,Barnsley,Barrow,3-1,-
-,-,Carlisle United,Barrow,0-0,-
-,-,Chester,Barrow,1-3,-
-,-,Chesterfield,Barrow,2-1,-
-,-,Crewe Alexandra,Barrow,1-3,-
-,-,Darlington,Barrow,4-1,-
-,-,Doncaster Rovers,Barrow,3-2,-
-,-,Gateshead,Barrow,0-0,-
-,-,Halifax Town,Barrow,4-1,-
-,-,Hartlepool United,Barrow,7-0,-
-,-,Mansfield Town,Barrow,0-5,-
-,-,New Brighton,Barrow,2-2,-
-,-,Rochdale,Barrow,1-2,-
-,-,Rotherham United,Barrow,1-1,-
-,-,Southport,Barrow,1-3,-
-,-,Stockport County,Barrow,4-1,-
-,-,Tranmere Rovers,Barrow,4-1,-
-,-,Walsall,Barrow,2-4,-
-,-,Wrexham,Barrow,3-2,-
-,-,York City,Barrow,6-1,-
-,-,Accrington Stanley,Carlisle United,2-1,-
-,-,Barnsley,Carlisle United,1-0,-
-,-,Barrow,Carlisle United,2-0,-
-,-,Chester,Carlisle United,3-3,-
-,-,Chesterfield,Carlisle United,4-0,-
-,-,Crewe Alexandra,Carlisle United,4-0,-
-,-,Darlington,Carlisle United,1-2,-
-,-,Doncaster Rovers,Carlisle United,2-1,-
-,-,Gateshead,Carlisle United,2-3,-
-,-,Halifax Town,Carlisle United,3-2,-
-,-,Hartlepool United,Carlisle United,3-2,-
-,-,Mansfield Town,Carlisle United,6-0,-
-,-,New Brighton,Carlisle United,2-1,-
-,-,Rochdale,Carlisle United,0-1,-
-,-,Rotherham United,Carlisle United,0-1,-
-,-,Southport,Carlisle United,1-1,-
-,-,Stockport County,Carlisle United,4-0,-
-,-,Tranmere Rovers,Carlisle United,3-1,-
-,-,Walsall,Carlisle United,3-2,-
-,-,Wrexham,Carlisle United,8-1,-
-,-,York City,Carlisle United,4-1,-
-,-,Accrington Stanley,Chester,4-1,-
-,-,Barnsley,Chester,2-0,-
-,-,Barrow,Chester,9-0,-
-,-,Carlisle United,Chester,1-0,-
-,-,Chesterfield,Chester,6-1,-
-,-,Crewe Alexandra,Chester,3-5,-
-,-,Darlington,Chester,0-4,-
-,-,Doncaster Rovers,Chester,3-1,-
-,-,Gateshead,Chester,1-3,-
-,-,Halifax Town,Chester,1-0,-
-,-,Hartlepool United,Chester,1-0,-
-,-,Mansfield Town,Chester,2-1,-
-,-,New Brighton,Chester,0-2,-
-,-,Rochdale,Chester,6-0,-
-,-,Rotherham United,Chester,0-3,-
-,-,Southport,Chester,3-1,-
-,-,Stockport County,Chester,4-2,-
-,-,Tranmere Rovers,Chester,6-1,-
-,-,Walsall,Chester,5-0,-
-,-,Wrexham,Chester,0-3,-
-,-,York City,Chester,3-2,-
-,-,Accrington Stanley,Chesterfield,1-0,-
-,-,Barnsley,Chesterfield,3-2,-
-,-,Barrow,Chesterfield,2-0,-
-,-,Carlisle United,Chesterfield,1-1,-
-,-,Chester,Chesterfield,3-2,-
-,-,Crewe Alexandra,Chesterfield,1-2,-
-,-,Darlington,Chesterfield,1-1,-
-,-,Doncaster Rovers,Chesterfield,1-3,-
-,-,Gateshead,Chesterfield,2-1,-
-,-,Halifax Town,Chesterfield,5-0,-
-,-,Hartlepool United,Chesterfield,0-3,-
-,-,Mansfield Town,Chesterfield,0-3,-
-,-,New Brighton,Chesterfield,0-0,-
-,-,Rochdale,Chesterfield,0-1,-
-,-,Rotherham United,Chesterfield,1-3,-
-,-,Southport,Chesterfield,0-0,-
-,-,Stockport County,Chesterfield,0-0,-
-,-,Tranmere Rovers,Chesterfield,0-1,-
-,-,Walsall,Chesterfield,2-2,-
-,-,Wrexham,Chesterfield,2-3,-
-,-,York City,Chesterfield,1-2,-
-,-,Accrington Stanley,Crewe Alexandra,0-2,-
-,-,Barnsley,Crewe Alexandra,5-2,-
-,-,Barrow,Crewe Alexandra,0-3,-
-,-,Carlisle United,Crewe Alexandra,6-1,-
-,-,Chester,Crewe Alexandra,1-0,-
-,-,Chesterfield,Crewe Alexandra,3-2,-
-,-,Darlington,Crewe Alexandra,1-1,-
-,-,Doncaster Rovers,Crewe Alexandra,4-0,-
-,-,Gateshead,Crewe Alexandra,2-1,-
-,-,Halifax Town,Crewe Alexandra,3-2,-
-,-,Hartlepool United,Crewe Alexandra,2-1,-
-,-,Mansfield Town,Crewe Alexandra,4-1,-
-,-,New Brighton,Crewe Alexandra,2-1,-
-,-,Rochdale,Crewe Alexandra,2-0,-
-,-,Rotherham United,Crewe Alexandra,3-4,-
-,-,Southport,Crewe Alexandra,1-1,-
-,-,Stockport County,Crewe Alexandra,1-1,-
-,-,Tranmere Rovers,Crewe Alexandra,5-1,-
-,-,Walsall,Crewe Alexandra,5-1,-
-,-,Wrexham,Crewe Alexandra,5-1,-
-,-,York City,Crewe Alexandra,4-1,-
-,-,Accrington Stanley,Darlington,2-0,-
-,-,Barnsley,Darlington,4-0,-
-,-,Barrow,Darlington,5-2,-
-,-,Carlisle United,Darlington,3-3,-
-,-,Chester,Darlington,8-0,-
-,-,Chesterfield,Darlington,0-1,-
-,-,Crewe Alexandra,Darlington,2-3,-
-,-,Doncaster Rovers,Darlington,3-2,-
-,-,Gateshead,Darlington,2-2,-
-,-,Halifax Town,Darlington,2-0,-
-,-,Hartlepool United,Darlington,6-2,-
-,-,Mansfield Town,Darlington,4-0,-
-,-,New Brighton,Darlington,3-2,-
-,-,Rochdale,Darlington,1-0,-
-,-,Rotherham United,Darlington,0-0,-
-,-,Southport,Darlington,3-2,-
-,-,Stockport County,Darlington,6-0,-
-,-,Tranmere Rovers,Darlington,2-2,-
-,-,Walsall,Darlington,3-0,-
-,-,Wrexham,Darlington,6-1,-
-,-,York City,Darlington,1-1,-
-,-,Accrington Stanley,Doncaster Rovers,4-1,-
-,-,Barnsley,Doncaster Rovers,2-2,-
-,-,Barrow,Doncaster Rovers,2-1,-
-,-,Carlisle United,Doncaster Rovers,0-1,-
-,-,Chester,Doncaster Rovers,3-1,-
-,-,Chesterfield,Doncaster Rovers,1-1,-
-,-,Crewe Alexandra,Doncaster Rovers,4-0,-
-,-,Darlington,Doncaster Rovers,4-0,-
-,-,Gateshead,Doncaster Rovers,2-4,-
-,-,Halifax Town,Doncaster Rovers,0-1,-
-,-,Hartlepool United,Doncaster Rovers,2-2,-
-,-,Mansfield Town,Doncaster Rovers,1-1,-
-,-,New Brighton,Doncaster Rovers,2-2,-
-,-,Rochdale,Doncaster Rovers,0-2,-
-,-,Rotherham United,Doncaster Rovers,0-0,-
-,-,Southport,Doncaster Rovers,0-0,-
-,-,Stockport County,Doncaster Rovers,4-3,-
-,-,Tranmere Rovers,Doncaster Rovers,2-0,-
-,-,Walsall,Doncaster Rovers,2-0,-
-,-,Wrexham,Doncaster Rovers,1-1,-
-,-,York City,Doncaster Rovers,1-2,-
-,-,Accrington Stanley,Gateshead,5-2,-
-,-,Barnsley,Gateshead,0-0,-
