Date,Team 1,Team 2,FT
-,Birmingham City,Arsenal,1-2
-,Blackpool,Arsenal,2-1
-,Bolton Wanderers,Arsenal,1-0
-,Brentford,Arsenal,3-0
-,Charlton Athletic,Arsenal,0-3
-,Chelsea,Arsenal,2-2
-,Derby County,Arsenal,2-0
-,Everton,Arsenal,1-4
-,Grimsby Town,Arsenal,2-1
-,Huddersfield Town,Arsenal,2-1
-,Leeds United,Arsenal,0-1
-,Leicester City,Arsenal,1-1
-,Liverpool,Arsenal,2-0
-,Manchester City,Arsenal,1-2
-,Middlesbrough,Arsenal,2-1
-,Portsmouth,Arsenal,0-0
-,Preston North End,Arsenal,1-3
-,Stoke City,Arsenal,1-1
-,Sunderland,Arsenal,1-1
-,West Bromwich Albion,Arsenal,0-0
-,Wolverhampton Wanderers,Arsenal,3-1
-,Arsenal,Birmingham City,0-0
-,Blackpool,Birmingham City,0-3
-,Bolton Wanderers,Birmingham City,1-1
-,Brentford,Birmingham City,1-2
-,Charlton Athletic,Birmingham City,2-0
-,Chelsea,Birmingham City,2-0
-,Derby County,Birmingham City,0-0
-,Everton,Birmingham City,1-1
-,Grimsby Town,Birmingham City,4-0
-,Huddersfield Town,Birmingham City,2-1
-,Leeds United,Birmingham City,1-0
-,Leicester City,Birmingham City,1-4
-,Liverpool,Birmingham City,3-2
-,Manchester City,Birmingham City,2-0
-,Middlesbrough,Birmingham City,1-1
-,Portsmouth,Birmingham City,1-1
-,Preston North End,Birmingham City,2-1
-,Stoke City,Birmingham City,2-2
-,Sunderland,Birmingham City,1-0
-,West Bromwich Albion,Birmingham City,4-3
-,Wolverhampton Wanderers,Birmingham City,3-2
-,Arsenal,Blackpool,2-1
-,Birmingham City,Blackpool,1-1
-,Bolton Wanderers,Blackpool,3-0
-,Brentford,Blackpool,2-4
-,Charlton Athletic,Blackpool,4-1
-,Chelsea,Blackpool,1-3
-,Derby County,Blackpool,3-1
-,Everton,Blackpool,3-1
-,Grimsby Town,Blackpool,1-0
-,Huddersfield Town,Blackpool,3-1
-,Leeds United,Blackpool,1-1
-,Leicester City,Blackpool,0-1
-,Liverpool,Blackpool,4-2
-,Manchester City,Blackpool,2-1
-,Middlesbrough,Blackpool,2-2
-,Portsmouth,Blackpool,1-2
-,Preston North End,Blackpool,2-0
-,Stoke City,Blackpool,1-3
-,Sunderland,Blackpool,2-1
-,West Bromwich Albion,Blackpool,1-2
-,Wolverhampton Wanderers,Blackpool,1-0
-,Arsenal,Bolton Wanderers,5-0
-,Birmingham City,Bolton Wanderers,2-0
-,Blackpool,Bolton Wanderers,2-2
-,Brentford,Bolton Wanderers,1-1
-,Charlton Athletic,Bolton Wanderers,1-1
