Round,Date,Team 1,Team 2,FT,HT
-,-,Blackpool,Birmingham City,3-2,-
-,-,Bolton Wanderers,Birmingham City,3-1,-
-,-,Brentford,Birmingham City,0-1,-
-,-,Bristol City,Birmingham City,1-0,-
-,-,Bristol Rovers,Birmingham City,0-0,-
-,-,Bury,Birmingham City,0-0,-
-,-,Cardiff City,Birmingham City,0-1,-
-,-,Chester,Birmingham City,4-0,-
-,-,Crewe Alexandra,Birmingham City,0-2,-
-,-,Fulham,Birmingham City,1-2,-
-,-,Huddersfield Town,Birmingham City,1-2,-
-,-,Leyton Orient,Birmingham City,1-2,-
-,-,Mansfield Town,Birmingham City,5-2,-
-,-,Northampton Town,Birmingham City,2-2,-
-,-,Notts County,Birmingham City,3-2,-
-,-,Preston North End,Birmingham City,2-2,-
-,-,Reading,Birmingham City,0-2,-
-,-,Rotherham United,Birmingham City,5-1,-
-,-,Shrewsbury Town,Birmingham City,2-0,-
-,-,Swansea City,Birmingham City,1-1,-
-,-,Tranmere Rovers,Birmingham City,5-1,-
-,-,Walsall,Birmingham City,0-1,-
-,-,Wigan Athletic,Birmingham City,1-0,-
-,-,Birmingham City,Blackpool,3-1,-
-,-,Bolton Wanderers,Blackpool,2-0,-
-,-,Brentford,Blackpool,5-0,-
-,-,Bristol City,Blackpool,2-0,-
-,-,Bristol Rovers,Blackpool,1-1,-
-,-,Bury,Blackpool,2-0,-
-,-,Cardiff City,Blackpool,2-2,-
-,-,Chester,Blackpool,2-0,-
-,-,Crewe Alexandra,Blackpool,2-0,-
-,-,Fulham,Blackpool,0-0,-
-,-,Huddersfield Town,Blackpool,2-2,-
-,-,Leyton Orient,Blackpool,2-0,-
-,-,Mansfield Town,Blackpool,0-3,-
-,-,Northampton Town,Blackpool,4-2,-
-,-,Notts County,Blackpool,0-1,-
-,-,Preston North End,Blackpool,2-1,-
-,-,Reading,Blackpool,1-1,-
-,-,Rotherham United,Blackpool,1-1,-
-,-,Shrewsbury Town,Blackpool,1-1,-
-,-,Swansea City,Blackpool,0-0,-
-,-,Tranmere Rovers,Blackpool,4-2,-
-,-,Walsall,Blackpool,1-1,-
-,-,Wigan Athletic,Blackpool,1-1,-
-,-,Birmingham City,Bolton Wanderers,1-0,-
-,-,Blackpool,Bolton Wanderers,2-1,-
-,-,Brentford,Bolton Wanderers,1-2,-
-,-,Bristol City,Bolton Wanderers,1-1,-
-,-,Bristol Rovers,Bolton Wanderers,1-1,-
-,-,Bury,Bolton Wanderers,2-0,-
-,-,Cardiff City,Bolton Wanderers,0-2,-
-,-,Chester,Bolton Wanderers,2-0,-
