Date,Team 1,Team 2,FT
-,Birmingham City,Barnsley,0-0
-,Blackpool,Barnsley,0-2
-,Bristol City,Barnsley,3-1
-,Bury,Barnsley,2-0
-,Coventry City,Barnsley,1-0
-,Fulham,Barnsley,1-1
-,Grimsby Town,Barnsley,1-1
-,Huddersfield Town,Barnsley,4-1
-,Hull City,Barnsley,3-1
-,Leicester City,Barnsley,0-0
-,Leyton Orient,Barnsley,2-0
-,Lincoln City,Barnsley,0-4
-,Nottingham Forest,Barnsley,0-1
-,Port Vale,Barnsley,0-2
-,Rotherham County,Barnsley,1-0
-,South Shields,Barnsley,0-0
-,Stockport County,Barnsley,1-0
-,Stoke City,Barnsley,2-0
-,Tottenham Hotspur,Barnsley,4-0
-,West Ham United,Barnsley,0-2
-,Wolverhampton Wanderers,Barnsley,2-4
-,Barnsley,Birmingham City,0-5
-,Blackpool,Birmingham City,3-0
-,Bristol City,Birmingham City,1-1
-,Bury,Birmingham City,1-0
-,Coventry City,Birmingham City,1-3
-,Fulham,Birmingham City,1-2
-,Grimsby Town,Birmingham City,0-3
-,Huddersfield Town,Birmingham City,0-0
-,Hull City,Birmingham City,0-0
-,Leicester City,Birmingham City,1-0
-,Leyton Orient,Birmingham City,2-1
-,Lincoln City,Birmingham City,2-2
-,Nottingham Forest,Birmingham City,1-2
-,Port Vale,Birmingham City,1-3
-,Rotherham County,Birmingham City,0-3
-,South Shields,Birmingham City,1-0
-,Stockport County,Birmingham City,2-1
-,Stoke City,Birmingham City,0-1
-,Tottenham Hotspur,Birmingham City,0-0
-,West Ham United,Birmingham City,1-2
-,Wolverhampton Wanderers,Birmingham City,0-2
-,Barnsley,Blackpool,1-1
-,Birmingham City,Blackpool,4-2
-,Bristol City,Blackpool,0-0
-,Bury,Blackpool,1-2
-,Coventry City,Blackpool,0-0
-,Fulham,Blackpool,1-2
-,Grimsby Town,Blackpool,1-1
-,Huddersfield Town,Blackpool,1-3
-,Hull City,Blackpool,0-1
-,Leeds City,Blackpool,1-0
-,Leicester City,Blackpool,2-3
-,Leyton Orient,Blackpool,3-0
-,Lincoln City,Blackpool,0-3
-,Nottingham Forest,Blackpool,2-0
-,Rotherham County,Blackpool,1-2
-,South Shields,Blackpool,6-0
-,Stockport County,Blackpool,0-0
-,Stoke City,Blackpool,2-0
-,Tottenham Hotspur,Blackpool,2-2
-,West Ham United,Blackpool,1-0
-,Wolverhampton Wanderers,Blackpool,0-3
-,Barnsley,Bristol City,0-0
-,Birmingham City,Bristol City,1-0
-,Blackpool,Bristol City,0-0
-,Bury,Bristol City,0-1
-,Coventry City,Bristol City,0-0
-,Fulham,Bristol City,1-1
-,Grimsby Town,Bristol City,2-2
-,Huddersfield Town,Bristol City,1-0
-,Hull City,Bristol City,0-0
-,Leicester City,Bristol City,2-1
