Matchday,Date,Team 1,FT,Team 2
1,Fri Aug 11 2017,Arsenal FC,4-3,Leicester City FC
1,Sat Aug 12 2017,Watford FC,3-3,Liverpool FC
1,Sat Aug 12 2017,West Bromwich Albion FC,1-0,AFC Bournemouth
1,Sat Aug 12 2017,Chelsea FC,2-3,Burnley FC
1,Sat Aug 12 2017,Crystal Palace FC,0-3,Huddersfield Town AFC
1,Sat Aug 12 2017,Southampton FC,0-0,Swansea City FC
1,Sat Aug 12 2017,Everton FC,1-0,Stoke City FC
1,Sat Aug 12 2017,Brighton & Hove Albion FC,0-2,Manchester City FC
1,Sun Aug 13 2017,Newcastle United FC,0-2,Tottenham Hotspur FC
1,Sun Aug 13 2017,Manchester United FC,4-0,West Ham United FC
2,Sat Aug 19 2017,Swansea City FC,0-4,Manchester United FC
2,Sat Aug 19 2017,Southampton FC,3-2,West Ham United FC
2,Sat Aug 19 2017,Leicester City FC,2-0,Brighton & Hove Albion FC
2,Sat Aug 19 2017,Burnley FC,0-1,West Bromwich Albion FC
2,Sat Aug 19 2017,AFC Bournemouth,0-2,Watford FC
2,Sat Aug 19 2017,Liverpool FC,1-0,Crystal Palace FC
2,Sat Aug 19 2017,Stoke City FC,1-0,Arsenal FC
2,Sun Aug 20 2017,Huddersfield Town AFC,1-0,Newcastle United FC
2,Sun Aug 20 2017,Tottenham Hotspur FC,1-2,Chelsea FC
2,Mon Aug 21 2017,Manchester City FC,1-1,Everton FC
3,Sat Aug 26 2017,AFC Bournemouth,1-2,Manchester City FC
3,Sat Aug 26 2017,Huddersfield Town AFC,0-0,Southampton FC
3,Sat Aug 26 2017,Crystal Palace FC,0-2,Swansea City FC
3,Sat Aug 26 2017,Watford FC,0-0,Brighton & Hove Albion FC
3,Sat Aug 26 2017,Newcastle United FC,3-0,West Ham United FC
3,Sat Aug 26 2017,Manchester United FC,2-0,Leicester City FC
3,Sun Aug 27 2017,West Bromwich Albion FC,1-1,Stoke City FC
3,Sun Aug 27 2017,Chelsea FC,2-0,Everton FC
3,Sun Aug 27 2017,Liverpool FC,4-0,Arsenal FC
3,Sun Aug 27 2017,Tottenham Hotspur FC,1-1,Burnley FC
4,Sat Sep 9 2017,Manchester City FC,5-0,Liverpool FC
4,Sat Sep 9 2017,Brighton & Hove Albion FC,3-1,West Bromwich Albion FC
4,Sat Sep 9 2017,Leicester City FC,1-2,Chelsea FC
4,Sat Sep 9 2017,Arsenal FC,3-0,AFC Bournemouth
4,Sat Sep 9 2017,Everton FC,0-3,Tottenham Hotspur FC
4,Sat Sep 9 2017,Southampton FC,0-2,Watford FC
4,Sat Sep 9 2017,Stoke City FC,2-2,Manchester United FC
4,Sun Sep 10 2017,Burnley FC,1-0,Crystal Palace FC
4,Sun Sep 10 2017,Swansea City FC,0-1,Newcastle United FC
4,Mon Sep 11 2017,West Ham United FC,2-0,Huddersfield Town AFC
5,Fri Sep 15 2017,AFC Bournemouth,2-1,Brighton & Hove Albion FC
5,Sat Sep 16 2017,Crystal Palace FC,0-1,Southampton FC
5,Sat Sep 16 2017,Newcastle United FC,2-1,Stoke City FC
5,Sat Sep 16 2017,Liverpool FC,1-1,Burnley FC
5,Sat Sep 16 2017,Huddersfield Town AFC,1-1,Leicester City FC
5,Sat Sep 16 2017,Watford FC,0-6,Manchester City FC
