Round,Date,Team 1,FT,HT,Team 2
?,(Fri) 11 Aug 2017 (32),Arsenal FC (1),4-3,2-2,Leicester City FC (1)
?,(Sat) 12 Aug 2017 (32),Brighton & Hove Albion FC (1),0-2,0-0,Manchester City FC (1)
?,(Sat) 12 Aug 2017 (32),Chelsea FC (1),2-3,0-3,Burnley FC (1)
?,(Sat) 12 Aug 2017 (32),Crystal Palace FC (1),0-3,0-2,Huddersfield Town AFC (1)
?,(Sat) 12 Aug 2017 (32),Everton FC (1),1-0,1-0,Stoke City FC (1)
?,(Sat) 12 Aug 2017 (32),Southampton FC (1),0-0,0-0,Swansea City AFC (1)
?,(Sat) 12 Aug 2017 (32),Watford FC (1),3-3,2-1,Liverpool FC (1)
?,(Sat) 12 Aug 2017 (32),West Bromwich Albion FC (1),1-0,1-0,AFC Bournemouth (1)
?,(Sun) 13 Aug 2017 (32),Manchester United FC (1),4-0,1-0,West Ham United FC (1)
?,(Sun) 13 Aug 2017 (32),Newcastle United FC (1),0-2,0-0,Tottenham Hotspur FC (1)
?,(Sat) 19 Aug 2017 (33),AFC Bournemouth (2),0-2,0-0,Watford FC (2)
?,(Sat) 19 Aug 2017 (33),Burnley FC (2),0-1,0-0,West Bromwich Albion FC (2)
?,(Sat) 19 Aug 2017 (33),Leicester City FC (2),2-0,1-0,Brighton & Hove Albion FC (2)
?,(Sat) 19 Aug 2017 (33),Liverpool FC (2),1-0,0-0,Crystal Palace FC (2)
?,(Sat) 19 Aug 2017 (33),Southampton FC (2),3-2,2-1,West Ham United FC (2)
?,(Sat) 19 Aug 2017 (33),Stoke City FC (2),1-0,0-0,Arsenal FC (2)
?,(Sat) 19 Aug 2017 (33),Swansea City AFC (2),0-4,0-1,Manchester United FC (2)
?,(Sun) 20 Aug 2017 (33),Huddersfield Town AFC (2),1-0,0-0,Newcastle United FC (2)
?,(Sun) 20 Aug 2017 (33),Tottenham Hotspur FC (2),1-2,0-1,Chelsea FC (2)
?,(Mon) 21 Aug 2017 (34),Manchester City FC (2),1-1,0-1,Everton FC (2)
?,(Sat) 26 Aug 2017 (34),AFC Bournemouth (3),1-2,1-1,Manchester City FC (3)
?,(Sat) 26 Aug 2017 (34),Crystal Palace FC (3),0-2,0-1,Swansea City AFC (3)
?,(Sat) 26 Aug 2017 (34),Huddersfield Town AFC (3),0-0,0-0,Southampton FC (3)
?,(Sat) 26 Aug 2017 (34),Manchester United FC (3),2-0,0-0,Leicester City FC (3)
?,(Sat) 26 Aug 2017 (34),Newcastle United FC (3),3-0,1-0,West Ham United FC (3)
?,(Sat) 26 Aug 2017 (34),Watford FC (3),0-0,0-0,Brighton & Hove Albion FC (3)
?,(Sun) 27 Aug 2017 (34),Chelsea FC (3),2-0,2-0,Everton FC (3)
?,(Sun) 27 Aug 2017 (34),Liverpool FC (3),4-0,2-0,Arsenal FC (3)
?,(Sun) 27 Aug 2017 (34),Tottenham Hotspur FC (3),1-1,0-0,Burnley FC (3)
?,(Sun) 27 Aug 2017 (34),West Bromwich Albion FC (3),1-1,0-0,Stoke City FC (3)
?,(Sat) 9 Sep 2017 (36),Arsenal FC (4),3-0,2-0,AFC Bournemouth (4)
?,(Sat) 9 Sep 2017 (36),Brighton & Hove Albion FC (4),3-1,1-0,West Bromwich Albion FC (4)
?,(Sat) 9 Sep 2017 (36),Everton FC (4),0-3,0-2,Tottenham Hotspur FC (4)
?,(Sat) 9 Sep 2017 (36),Leicester City FC (4),1-2,0-1,Chelsea FC (4)
?,(Sat) 9 Sep 2017 (36),Manchester City FC (4),5-0,2-0,Liverpool FC (4)
?,(Sat) 9 Sep 2017 (36),Southampton FC (4),0-2,0-1,Watford FC (4)
?,(Sat) 9 Sep 2017 (36),Stoke City FC (4),2-2,1-1,Manchester United FC (4)
?,(Sun) 10 Sep 2017 (36),Burnley FC (4),1-0,1-0,Crystal Palace FC (4)
?,(Sun) 10 Sep 2017 (36),Swansea City AFC (4),0-1,0-0,Newcastle United FC (4)
