Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 27 Aug 1988 (34),Cardiff City FC (1),1-2,?,Fulham FC (1)
?,(Sat) 27 Aug 1988 (34),Gillingham FC (1),2-3,?,Swansea City AFC (1)
?,(Sat) 27 Aug 1988 (34),Southend United FC (1),2-0,?,Bolton Wanderers FC (1)
?,(Sat) 27 Aug 1988 (34),Bristol Rovers FC (1),3-2,?,Wigan Athletic FC (1)
?,(Sat) 27 Aug 1988 (34),Preston North End FC (1),1-3,?,Port Vale FC (1)
?,(Sat) 27 Aug 1988 (34),Chesterfield FC (1),2-1,?,Aldershot Town FC (1)
?,(Sat) 27 Aug 1988 (34),Chester FC (1),1-1,?,Blackpool FC (1)
?,(Sat) 27 Aug 1988 (34),Brentford FC (1),1-0,?,Huddersfield Town AFC (1)
?,(Sat) 27 Aug 1988 (34),Mansfield Town FC (1),1-1,?,Northampton Town FC (1)
?,(Sat) 27 Aug 1988 (34),Bury FC (1),3-1,?,Wolverhampton Wanderers FC (1)
?,(Sat) 27 Aug 1988 (34),Reading FC (1),1-3,?,Sheffield United FC (1)
?,(Sat) 27 Aug 1988 (34),Notts County FC (1),0-0,?,Bristol City FC (1)
?,(Sat) 3 Sep 1988 (35),Northampton Town FC (2),1-0,?,Brentford FC (2)
?,(Sat) 3 Sep 1988 (35),Port Vale FC (2),1-2,?,Chester FC (2)
?,(Sat) 3 Sep 1988 (35),Blackpool FC (2),0-1,?,Notts County FC (2)
?,(Sat) 3 Sep 1988 (35),Wigan Athletic FC (2),0-0,?,Mansfield Town FC (2)
?,(Sat) 3 Sep 1988 (35),Huddersfield Town AFC (2),2-0,?,Preston North End FC (2)
?,(Sat) 3 Sep 1988 (35),Sheffield United FC (2),4-1,?,Bristol Rovers FC (2)
?,(Sat) 3 Sep 1988 (35),Fulham FC (2),1-0,?,Southend United FC (2)
?,(Sat) 3 Sep 1988 (35),Aldershot Town FC (2),0-2,?,Gillingham FC (2)
?,(Sat) 3 Sep 1988 (35),Bolton Wanderers FC (2),4-0,?,Cardiff City FC (2)
?,(Sat) 3 Sep 1988 (35),Swansea City AFC (2),1-1,?,Bury FC (2)
?,(Sat) 3 Sep 1988 (35),Bristol City FC (2),4-0,?,Chesterfield FC (2)
?,(Sat) 3 Sep 1988 (35),Wolverhampton Wanderers FC (2),2-1,?,Reading FC (2)
?,(Fri) 9 Sep 1988 (36),Southend United FC (3),0-2,?,Swansea City AFC (3)
?,(Sat) 10 Sep 1988 (36),Reading FC (3),1-1,?,Bolton Wanderers FC (3)
?,(Sat) 10 Sep 1988 (36),Chesterfield FC (3),0-3,?,Wolverhampton Wanderers FC (3)
?,(Sat) 10 Sep 1988 (36),Notts County FC (3),0-1,?,Northampton Town FC (3)
?,(Sat) 10 Sep 1988 (36),Preston North End FC (3),1-0,?,Blackpool FC (3)
?,(Sat) 10 Sep 1988 (36),Chester FC (3),2-0,?,Bristol City FC (3)
?,(Sat) 10 Sep 1988 (36),Gillingham FC (3),2-1,?,Sheffield United FC (3)
?,(Sat) 10 Sep 1988 (36),Bury FC (3),0-0,?,Port Vale FC (3)
?,(Sat) 10 Sep 1988 (36),Cardiff City FC (3),3-0,?,Huddersfield Town AFC (3)
?,(Sat) 10 Sep 1988 (36),Brentford FC (3),1-1,?,Wigan Athletic FC (3)
?,(Sat) 10 Sep 1988 (36),Mansfield Town FC (3),3-1,?,Fulham FC (3)
?,(Sat) 10 Sep 1988 (36),Bristol Rovers FC (3),2-2,?,Aldershot Town FC (3)
?,(Sat) 17 Sep 1988 (37),Northampton Town FC (4),3-0,?,Chesterfield FC (4)
?,(Sat) 17 Sep 1988 (37),Blackpool FC (4),1-1,?,Mansfield Town FC (4)
?,(Sat) 17 Sep 1988 (37),Port Vale FC (4),6-1,?,Cardiff City FC (4)
?,(Sat) 17 Sep 1988 (37),Fulham FC (4),1-0,?,Bury FC (4)
?,(Sat) 17 Sep 1988 (37),Wigan Athletic FC (4),3-0,?,Reading FC (4)
?,(Sat) 17 Sep 1988 (37),Aldershot Town FC (4),2-2,?,Southend United FC (4)
?,(Sat) 17 Sep 1988 (37),Wolverhampton Wanderers FC (4),0-0,?,Notts County FC (4)
?,(Sat) 17 Sep 1988 (37),Bristol City FC (4),1-1,?,Preston North End FC (4)
?,(Sat) 17 Sep 1988 (37),Bolton Wanderers FC (4),1-1,?,Bristol Rovers FC (4)
?,(Sat) 17 Sep 1988 (37),Sheffield United FC (4),6-1,?,Chester FC (4)
?,(Sat) 17 Sep 1988 (37),Swansea City AFC (4),1-1,?,Brentford FC (4)
?,(Sat) 17 Sep 1988 (37),Huddersfield Town AFC (4),1-1,?,Gillingham FC (4)
?,(Mon) 19 Sep 1988 (38),Port Vale FC (5),5-0,?,Chesterfield FC (5)
?,(Tue) 20 Sep 1988 (38),Wolverhampton Wanderers FC (5),1-0,?,Aldershot Town FC (5)
?,(Tue) 20 Sep 1988 (38),Mansfield Town FC (5),2-1,?,Gillingham FC (5)
?,(Tue) 20 Sep 1988 (38),Sheffield United FC (5),4-0,?,Northampton Town FC (5)
?,(Tue) 20 Sep 1988 (38),Preston North End FC (5),3-3,?,Chester FC (5)
?,(Tue) 20 Sep 1988 (38),Bolton Wanderers FC (5),3-2,?,Fulham FC (5)
?,(Tue) 20 Sep 1988 (38),Blackpool FC (5),2-2,?,Bristol City FC (5)
?,(Tue) 20 Sep 1988 (38),Huddersfield Town AFC (5),3-1,?,Notts County FC (5)
?,(Wed) 21 Sep 1988 (38),Bristol Rovers FC (5),1-2,?,Brentford FC (5)
?,(Wed) 21 Sep 1988 (38),Reading FC (5),4-0,?,Southend United FC (5)
?,(Fri) 23 Sep 1988 (38),Southend United FC (6),0-0,?,Cardiff City FC (5)
?,(Sat) 24 Sep 1988 (38),Chesterfield FC (6),0-2,?,Blackpool FC (6)
?,(Sat) 24 Sep 1988 (38),Gillingham FC (6),0-1,?,Reading FC (6)
?,(Sat) 24 Sep 1988 (38),Brentford FC (6),1-4,?,Sheffield United FC (6)
?,(Sat) 24 Sep 1988 (38),Notts County FC (6),0-0,?,Preston North End FC (6)
?,(Sat) 24 Sep 1988 (38),Bury FC (5),0-1,?,Mansfield Town FC (6)
?,(Sat) 24 Sep 1988 (38),Aldershot Town FC (6),0-3,?,Bolton Wanderers FC (6)
?,(Sat) 24 Sep 1988 (38),Bristol City FC (6),0-1,?,Port Vale FC (6)
?,(Sat) 24 Sep 1988 (38),Swansea City AFC (5),2-5,?,Wolverhampton Wanderers FC (6)
?,(Sat) 24 Sep 1988 (38),Fulham FC (6),1-1,?,Wigan Athletic FC (5)
?,(Sat) 24 Sep 1988 (38),Northampton Town FC (6),1-2,?,Bristol Rovers FC (6)
?,(Sat) 24 Sep 1988 (38),Chester FC (6),3-0,?,Huddersfield Town AFC (6)
?,(Fri) 30 Sep 1988 (39),Wigan Athletic FC (6),2-1,?,Blackpool FC (7)
