Matchday,Date,Team 1,FT,Team 2
1,Fri Aug 11 2000,Wrexham AFC,0-2,Bristol City FC
1,Fri Aug 11 2000,Swindon Town FC,0-0,Colchester United FC
1,Fri Aug 11 2000,Swansea City FC,0-0,Wigan Athletic FC
1,Fri Aug 11 2000,Stoke City FC,0-0,Wycombe Wanderers FC
1,Fri Aug 11 2000,Rotherham United FC,2-3,Walsall FC
1,Fri Aug 11 2000,Oxford United FC,0-1,Peterborough United FC
1,Fri Aug 11 2000,Oldham Athletic AFC,4-1,Port Vale FC
1,Fri Aug 11 2000,Northampton Town FC,1-1,Brentford FC
1,Fri Aug 11 2000,Millwall FC,2-0,Reading FC
1,Fri Aug 11 2000,Luton Town FC,0-1,Notts County FC
1,Fri Aug 11 2000,Cambridge United FC,0-1,Bury FC
1,Fri Aug 11 2000,Bristol Rovers FC,1-1,AFC Bournemouth
2,Thu Aug 17 2000,Colchester United FC,0-1,Rotherham United FC
2,Fri Aug 18 2000,Bristol City FC,1-2,Stoke City FC
2,Fri Aug 18 2000,Wigan Athletic FC,2-1,Luton Town FC
2,Fri Aug 18 2000,Walsall FC,3-2,Oldham Athletic AFC
2,Fri Aug 18 2000,Reading FC,2-0,Swindon Town FC
2,Fri Aug 18 2000,Port Vale FC,3-0,Oxford United FC
2,Fri Aug 18 2000,Notts County FC,3-4,Millwall FC
2,Fri Aug 18 2000,Bury FC,1-4,Wrexham AFC
2,Fri Aug 18 2000,AFC Bournemouth,1-1,Cambridge United FC
2,Fri Aug 18 2000,Brentford FC,0-0,Swansea City FC
2,Fri Aug 18 2000,Wycombe Wanderers FC,1-0,Northampton Town FC
2,Sat Aug 19 2000,Peterborough United FC,2-2,Bristol Rovers FC
3,Fri Aug 25 2000,Rotherham United FC,1-2,Bury FC
3,Fri Aug 25 2000,Swindon Town FC,1-4,Walsall FC
3,Fri Aug 25 2000,Swansea City FC,0-2,Colchester United FC
3,Fri Aug 25 2000,Stoke City FC,0-1,Notts County FC
3,Fri Aug 25 2000,Wrexham AFC,1-3,Wigan Athletic FC
3,Fri Aug 25 2000,Oxford United FC,0-1,Brentford FC
3,Fri Aug 25 2000,Oldham Athletic AFC,1-4,Peterborough United FC
3,Fri Aug 25 2000,Northampton Town FC,2-0,Reading FC
3,Fri Aug 25 2000,Millwall FC,1-2,Wycombe Wanderers FC
3,Fri Aug 25 2000,Luton Town FC,1-0,AFC Bournemouth
3,Fri Aug 25 2000,Cambridge United FC,1-0,Bristol City FC
4,Sun Aug 27 2000,Bury FC,1-0,Northampton Town FC
4,Sun Aug 27 2000,Wycombe Wanderers FC,1-1,Luton Town FC
4,Sun Aug 27 2000,Port Vale FC,3-0,Swindon Town FC
4,Sun Aug 27 2000,Brentford FC,2-6,Bristol Rovers FC
4,Sun Aug 27 2000,Notts County FC,0-1,Cambridge United FC
4,Sun Aug 27 2000,Peterborough United FC,0-2,Swansea City FC
4,Sun Aug 27 2000,Bristol City FC,0-1,Rotherham United FC
4,Mon Aug 28 2000,Reading FC,3-3,Stoke City FC
4,Mon Aug 28 2000,Walsall FC,3-2,Oxford United FC
4,Mon Aug 28 2000,Colchester United FC,1-1,Oldham Athletic AFC
5,Fri Sep 1 2000,Rotherham United FC,1-1,Luton Town FC
5,Fri Sep 1 2000,Oldham Athletic AFC,0-1,Notts County FC
5,Fri Sep 1 2000,Brentford FC,0-0,Wycombe Wanderers FC
5,Fri Sep 1 2000,Port Vale FC,0-1,Reading FC
5,Fri Sep 1 2000,Colchester United FC,3-1,AFC Bournemouth
5,Fri Sep 1 2000,Oxford United FC,1-1,Cambridge United FC
5,Fri Sep 1 2000,Peterborough United FC,1-1,Bury FC
5,Fri Sep 1 2000,Walsall FC,2-0,Wigan Athletic FC
6,Thu Sep 7 2000,Wycombe Wanderers FC,3-1,Oxford United FC
6,Fri Sep 8 2000,Notts County FC,1-1,Bristol Rovers FC
6,Fri Sep 8 2000,Bury FC,2-0,Walsall FC
6,Fri Sep 8 2000,Cambridge United FC,6-1,Rotherham United FC
6,Fri Sep 8 2000,Luton Town FC,0-2,Northampton Town FC
