Round,Date,Team 1,FT,Team 2
1,Sat Aug 19 2000,Leeds United FC,2-0,Everton FC
1,Sat Aug 19 2000,Derby County FC,2-2,Southampton FC
1,Sat Aug 19 2000,Tottenham Hotspur FC,3-1,Ipswich Town FC
1,Sat Aug 19 2000,Sunderland AFC,1-0,Arsenal FC
1,Sat Aug 19 2000,Coventry City FC,1-3,Middlesbrough FC
1,Sat Aug 19 2000,Leicester City FC,0-0,Aston Villa FC
1,Sat Aug 19 2000,Charlton Athletic FC,4-0,Manchester City FC
1,Sat Aug 19 2000,Chelsea FC,4-2,West Ham United FC
1,Sat Aug 19 2000,Liverpool FC,1-0,Bradford City AFC
1,Sun Aug 20 2000,Manchester United FC,2-0,Newcastle United FC
2,Mon Aug 21 2000,Arsenal FC,2-0,Liverpool FC
2,Tue Aug 22 2000,Ipswich Town FC,1-1,Manchester United FC
2,Tue Aug 22 2000,Middlesbrough FC,1-1,Tottenham Hotspur FC
2,Tue Aug 22 2000,Bradford City AFC,2-0,Chelsea FC
2,Wed Aug 23 2000,Manchester City FC,4-2,Sunderland AFC
2,Wed Aug 23 2000,West Ham United FC,0-1,Leicester City FC
2,Wed Aug 23 2000,Everton FC,3-0,Charlton Athletic FC
2,Wed Aug 23 2000,Southampton FC,1-2,Coventry City FC
2,Wed Aug 23 2000,Newcastle United FC,3-2,Derby County FC
3,Sat Aug 26 2000,Bradford City AFC,0-0,Leicester City FC
3,Sat Aug 26 2000,Manchester City FC,1-2,Coventry City FC
3,Sat Aug 26 2000,Middlesbrough FC,1-2,Leeds United FC
3,Sat Aug 26 2000,Southampton FC,3-3,Liverpool FC
3,Sat Aug 26 2000,West Ham United FC,2-2,Manchester United FC
3,Sat Aug 26 2000,Ipswich Town FC,1-0,Sunderland AFC
3,Sat Aug 26 2000,Newcastle United FC,2-0,Tottenham Hotspur FC
3,Sat Aug 26 2000,Everton FC,2-2,Derby County FC
3,Sat Aug 26 2000,Arsenal FC,5-3,Charlton Athletic FC
3,Sun Aug 27 2000,Aston Villa FC,1-1,Chelsea FC
4,Tue Sep 5 2000,Sunderland AFC,1-1,West Ham United FC
4,Tue Sep 5 2000,Leeds United FC,1-2,Manchester City FC
4,Tue Sep 5 2000,Tottenham Hotspur FC,3-2,Everton FC
4,Tue Sep 5 2000,Manchester United FC,6-0,Bradford City AFC
4,Wed Sep 6 2000,Charlton Athletic FC,1-1,Southampton FC
4,Wed Sep 6 2000,Derby County FC,3-3,Middlesbrough FC
4,Wed Sep 6 2000,Chelsea FC,2-2,Arsenal FC
4,Wed Sep 6 2000,Leicester City FC,2-1,Ipswich Town FC
4,Wed Sep 6 2000,Liverpool FC,3-1,Aston Villa FC
4,Wed Sep 6 2000,Coventry City FC,0-2,Newcastle United FC
5,Sat Sep 9 2000,Manchester United FC,3-0,Sunderland AFC
5,Sat Sep 9 2000,Leicester City FC,1-0,Southampton FC
5,Sat Sep 9 2000,Liverpool FC,3-2,Manchester City FC
5,Sat Sep 9 2000,Bradford City AFC,1-1,Arsenal FC
5,Sat Sep 9 2000,Newcastle United FC,0-0,Chelsea FC
5,Sat Sep 9 2000,Middlesbrough FC,1-2,Everton FC
5,Sat Sep 9 2000,Ipswich Town FC,1-2,Aston Villa FC
