Date,Team 1,Team 2,FT
-,Manchester City,Charlton Athletic,1-5
-,Manchester United,Charlton Athletic,3-1
-,Newcastle United,Charlton Athletic,3-1
-,Portsmouth,Charlton Athletic,2-0
-,Preston North End,Charlton Athletic,1-2
-,Sheffield United,Charlton Athletic,5-0
-,Sheffield Wednesday,Charlton Athletic,2-2
-,Sunderland,Charlton Athletic,1-2
-,Tottenham Hotspur,Charlton Athletic,1-4
-,West Bromwich Albion,Charlton Athletic,2-1
-,Wolverhampton Wanderers,Charlton Athletic,2-1
-,Arsenal,Chelsea,1-0
-,Aston Villa,Chelsea,3-2
-,Blackpool,Chelsea,1-0
-,Bolton Wanderers,Chelsea,2-5
-,Burnley,Chelsea,1-1
-,Cardiff City,Chelsea,0-1
-,Charlton Athletic,Chelsea,0-2
-,Everton,Chelsea,1-1
-,Huddersfield Town,Chelsea,1-0
-,Leicester City,Chelsea,1-1
-,Manchester City,Chelsea,1-1
-,Manchester United,Chelsea,2-1
-,Newcastle United,Chelsea,1-3
-,Portsmouth,Chelsea,0-0
-,Preston North End,Chelsea,1-2
-,Sheffield United,Chelsea,1-2
-,Sheffield Wednesday,Chelsea,1-1
-,Sunderland,Chelsea,3-3
-,Tottenham Hotspur,Chelsea,2-4
-,West Bromwich Albion,Chelsea,2-4
-,Wolverhampton Wanderers,Chelsea,3-4
-,Arsenal,Everton,2-0
-,Aston Villa,Everton,0-2
-,Blackpool,Everton,4-0
-,Bolton Wanderers,Everton,2-0
-,Burnley,Everton,0-2
-,Cardiff City,Everton,4-3
-,Charlton Athletic,Everton,5-0
-,Chelsea,Everton,0-2
-,Huddersfield Town,Everton,2-1
-,Leicester City,Everton,2-2
-,Manchester City,Everton,1-0
-,Manchester United,Everton,1-2
-,Newcastle United,Everton,4-0
-,Portsmouth,Everton,5-0
-,Preston North End,Everton,0-0
-,Sheffield United,Everton,2-5
-,Sheffield Wednesday,Everton,2-2
-,Sunderland,Everton,3-0
-,Tottenham Hotspur,Everton,1-3
-,West Bromwich Albion,Everton,3-3
-,Wolverhampton Wanderers,Everton,1-3
-,Arsenal,Huddersfield Town,3-5
-,Aston Villa,Huddersfield Town,0-0
-,Blackpool,Huddersfield Town,1-1
-,Bolton Wanderers,Huddersfield Town,1-0
-,Burnley,Huddersfield Town,1-1
-,Cardiff City,Huddersfield Town,1-1
-,Charlton Athletic,Huddersfield Town,2-1
-,Chelsea,Huddersfield Town,4-1
-,Everton,Huddersfield Town,4-0
