Round,Date,Team 1,FT,HT,Team 2
?,(Mon) 2 Sep 1895 (35),Arsenal FC (1),3-1,?,Grimsby Town FC (1)
?,(Sat) 7 Sep 1895 (35),Rotherham Town FC (1899-1925) (1),0-2,?,Port Vale FC (1)
?,(Sat) 7 Sep 1895 (35),Burton Wanderers FC (1871-1901) (1),3-0,?,Darwen FC (1870-2009) (1)
?,(Sat) 7 Sep 1895 (35),Newcastle United FC (1),3-0,?,Loughborough FC (1886-1900) (1)
?,(Sat) 7 Sep 1895 (35),Manchester United FC (1),5-0,?,Crewe Alexandra FC (1)
?,(Sat) 7 Sep 1895 (35),Grimsby Town FC (2),4-2,?,Lincoln City FC (1)
?,(Sat) 7 Sep 1895 (35),Notts County FC (1),2-3,?,Liverpool FC (1)
?,(Sat) 7 Sep 1895 (35),Arsenal FC (2),0-1,?,Manchester City FC (1)
?,(Sat) 7 Sep 1895 (35),Leicester City FC (1),2-1,?,Burton Swifts FC (1871-1901) (1)
?,(Mon) 9 Sep 1895 (36),Manchester City FC (2),2-0,?,Rotherham Town FC (1899-1925) (2)
?,(Sat) 14 Sep 1895 (36),Burton Swifts FC (1871-1901) (2),2-0,?,Rotherham Town FC (1899-1925) (3)
?,(Sat) 14 Sep 1895 (36),Port Vale FC (2),0-4,?,Notts County FC (2)
?,(Sat) 14 Sep 1895 (36),Crewe Alexandra FC (2),0-1,?,Burton Wanderers FC (1871-1901) (2)
?,(Sat) 14 Sep 1895 (36),Manchester City FC (3),2-0,?,Leicester City FC (2)
?,(Sat) 14 Sep 1895 (36),Darwen FC (1870-2009) (2),3-3,?,Grimsby Town FC (3)
?,(Sat) 14 Sep 1895 (36),Loughborough FC (1886-1900) (2),3-3,?,Manchester United FC (2)
?,(Sat) 14 Sep 1895 (36),Lincoln City FC (2),1-1,?,Arsenal FC (3)
?,(Sat) 14 Sep 1895 (36),Liverpool FC (2),5-1,?,Newcastle United FC (2)
?,(Sat) 21 Sep 1895 (37),Rotherham Town FC (1899-1925) (4),4-0,?,Crewe Alexandra FC (3)
?,(Sat) 21 Sep 1895 (37),Darwen FC (1870-2009) (3),4-1,?,Leicester City FC (3)
?,(Sat) 21 Sep 1895 (37),Loughborough FC (1886-1900) (3),2-4,?,Liverpool FC (3)
?,(Sat) 21 Sep 1895 (37),Newcastle United FC (3),5-1,?,Notts County FC (3)
?,(Sat) 21 Sep 1895 (37),Grimsby Town FC (4),5-0,?,Manchester City FC (4)
?,(Sat) 21 Sep 1895 (37),Arsenal FC (4),4-0,?,Lincoln City FC (3)
?,(Sat) 21 Sep 1895 (37),Manchester United FC (3),5-0,?,Burton Swifts FC (1871-1901) (3)
?,(Sat) 21 Sep 1895 (37),Burton Wanderers FC (1871-1901) (3),2-1,?,Port Vale FC (3)
?,(Mon) 23 Sep 1895 (38),Rotherham Town FC (1899-1925) (5),1-4,?,Burton Swifts FC (1871-1901) (4)
?,(Sat) 28 Sep 1895 (38),Manchester City FC (5),1-0,?,Arsenal FC (5)
?,(Sat) 28 Sep 1895 (38),Crewe Alexandra FC (4),0-2,?,Manchester United FC (4)
?,(Sat) 28 Sep 1895 (38),Burton Swifts FC (1871-1901) (5),1-2,?,Loughborough FC (1886-1900) (4)
?,(Sat) 28 Sep 1895 (38),Notts County FC (4),4-1,?,Darwen FC (1870-2009) (4)
?,(Sat) 28 Sep 1895 (38),Leicester City FC (4),1-3,?,Burton Wanderers FC (1871-1901) (4)
?,(Sat) 28 Sep 1895 (38),Liverpool FC (4),5-1,?,Port Vale FC (4)
?,(Sat) 28 Sep 1895 (38),Lincoln City FC (4),2-5,?,Grimsby Town FC (5)
?,(Sat) 28 Sep 1895 (38),Rotherham Town FC (1899-1925) (6),1-1,?,Newcastle United FC (4)
?,(Mon) 30 Sep 1895 (39),Liverpool FC (5),4-1,?,Burton Wanderers FC (1871-1901) (5)
?,(Mon) 30 Sep 1895 (39),Burton Swifts FC (1871-1901) (6),4-0,?,Lincoln City FC (5)
?,(Thu) 3 Oct 1895 (39),Notts County FC (5),5-3,?,Grimsby Town FC (6)
?,(Sat) 5 Oct 1895 (39),Crewe Alexandra FC (5),5-1,?,Notts County FC (6)
?,(Sat) 5 Oct 1895 (39),Port Vale FC (5),3-3,?,Darwen FC (1870-2009) (5)
?,(Sat) 5 Oct 1895 (39),Burton Wanderers FC (1871-1901) (6),2-1,?,Grimsby Town FC (7)
?,(Sat) 5 Oct 1895 (39),Lincoln City FC (6),1-2,?,Burton Swifts FC (1871-1901) (7)
?,(Sat) 5 Oct 1895 (39),Manchester United FC (5),1-1,?,Manchester City FC (6)
?,(Sat) 5 Oct 1895 (39),Arsenal FC (6),5-0,?,Rotherham Town FC (1899-1925) (7)
?,(Sat) 5 Oct 1895 (39),Leicester City FC (5),5-0,?,Loughborough FC (1886-1900) (5)
?,(Sat) 5 Oct 1895 (39),Newcastle United FC (5),1-0,?,Liverpool FC (6)
?,(Mon) 7 Oct 1895 (40),Liverpool FC (7),6-1,?,Crewe Alexandra FC (6)
?,(Sat) 12 Oct 1895 (40),Liverpool FC (8),7-1,?,Manchester United FC (6)
?,(Sat) 12 Oct 1895 (40),Arsenal FC (7),3-0,?,Burton Wanderers FC (1871-1901) (7)
?,(Sat) 12 Oct 1895 (40),Manchester City FC (7),4-1,?,Darwen FC (1870-2009) (6)
?,(Sat) 19 Oct 1895 (41),Burton Wanderers FC (1871-1901) (8),0-0,?,Leicester City FC (6)
?,(Sat) 19 Oct 1895 (41),Grimsby Town FC (8),1-0,?,Liverpool FC (9)
?,(Sat) 19 Oct 1895 (41),Manchester United FC (7),2-1,?,Newcastle United FC (6)
?,(Sat) 19 Oct 1895 (41),Notts County FC (7),2-0,?,Lincoln City FC (7)
?,(Sat) 19 Oct 1895 (41),Crewe Alexandra FC (7),0-2,?,Manchester City FC (8)
?,(Sat) 19 Oct 1895 (41),Darwen FC (1870-2009) (7),8-2,?,Port Vale FC (6)
?,(Sat) 19 Oct 1895 (41),Arsenal FC (8),5-0,?,Burton Swifts FC (1871-1901) (8)
?,(Mon) 21 Oct 1895 (42),Port Vale FC (7),5-4,?,Liverpool FC (10)
?,(Sat) 26 Oct 1895 (42),Newcastle United FC (7),2-1,?,Manchester United FC (8)
?,(Sat) 26 Oct 1895 (42),Leicester City FC (7),2-3,?,Darwen FC (1870-2009) (8)
?,(Sat) 26 Oct 1895 (42),Burton Swifts FC (1871-1901) (9),0-2,?,Burton Wanderers FC (1871-1901) (9)
?,(Sat) 26 Oct 1895 (42),Manchester City FC (9),2-1,?,Grimsby Town FC (9)
?,(Sat) 26 Oct 1895 (42),Port Vale FC (8),2-1,?,Crewe Alexandra FC (8)
?,(Sat) 26 Oct 1895 (42),Loughborough FC (1886-1900) (6),3-0,?,Lincoln City FC (8)
?,(Sat) 26 Oct 1895 (42),Rotherham Town FC (1899-1925) (8),3-0,?,Arsenal FC (9)
?,(Sat) 26 Oct 1895 (42),Liverpool FC (11),3-0,?,Notts County FC (8)
?,(Sat) 2 Nov 1895 (43),Notts County FC (9),3-4,?,Arsenal FC (10)
?,(Sat) 2 Nov 1895 (43),Manchester United FC (9),5-2,?,Liverpool FC (12)
?,(Sat) 2 Nov 1895 (43),Darwen FC (1870-2009) (9),2-3,?,Manchester City FC (10)
?,(Mon) 4 Nov 1895 (44),Rotherham Town FC (1899-1925) (9),2-3,?,Manchester City FC (11)
?,(Sat) 9 Nov 1895 (44),Liverpool FC (13),3-1,?,Leicester City FC (8)
?,(Sat) 9 Nov 1895 (44),Darwen FC (1870-2009) (10),4-4,?,Newcastle United FC (8)
?,(Sat) 9 Nov 1895 (44),Lincoln City FC (9),4-1,?,Loughborough FC (1886-1900) (7)
?,(Sat) 9 Nov 1895 (44),Burton Swifts FC (1871-1901) (10),2-1,?,Grimsby Town FC (10)
?,(Sat) 9 Nov 1895 (44),Arsenal FC (11),2-1,?,Manchester United FC (10)
?,(Sat) 9 Nov 1895 (44),Notts County FC (10),1-4,?,Burton Wanderers FC (1871-1901) (10)
?,(Sat) 9 Nov 1895 (44),Crewe Alexandra FC (9),3-2,?,Rotherham Town FC (1899-1925) (10)
?,(Fri) 15 Nov 1895 (45),Loughborough FC (1886-1900) (8),1-1,?,Burton Wanderers FC (1871-1901) (11)
?,(Sat) 16 Nov 1895 (45),Manchester United FC (11),5-5,?,Lincoln City FC (10)
?,(Sat) 16 Nov 1895 (45),Burton Wanderers FC (1871-1901) (12),4-1,?,Manchester City FC (12)
?,(Sat) 16 Nov 1895 (45),Port Vale FC (9),1-4,?,Grimsby Town FC (11)
?,(Sat) 16 Nov 1895 (45),Arsenal FC (12),0-2,?,Liverpool FC (14)
?,(Sat) 16 Nov 1895 (45),Crewe Alexandra FC (10),1-3,?,Burton Swifts FC (1871-1901) (11)
?,(Sat) 16 Nov 1895 (45),Rotherham Town FC (1899-1925) (11),1-0,?,Notts County FC (11)
?,(Sat) 16 Nov 1895 (45),Newcastle United FC (9),7-2,?,Darwen FC (1870-2009) (11)
?,(Sat) 16 Nov 1895 (45),Loughborough FC (1886-1900) (9),1-4,?,Leicester City FC (9)
?,(Sat) 23 Nov 1895 (46),Liverpool FC (15),0-0,?,Darwen FC (1870-2009) (12)
?,(Sat) 23 Nov 1895 (46),Notts County FC (12),0-2,?,Manchester United FC (12)
?,(Sat) 23 Nov 1895 (46),Manchester City FC (13),1-1,?,Burton Wanderers FC (1871-1901) (13)
?,(Sat) 30 Nov 1895 (47),Notts County FC (13),0-0,?,Rotherham Town FC (1899-1925) (12)
?,(Sat) 30 Nov 1895 (47),Manchester United FC (13),5-1,?,Arsenal FC (13)
?,(Sat) 30 Nov 1895 (47),Burton Swifts FC (1871-1901) (12),1-4,?,Manchester City FC (14)
?,(Sat) 30 Nov 1895 (47),Darwen FC (1870-2009) (13),6-1,?,Crewe Alexandra FC (11)
?,(Sat) 30 Nov 1895 (47),Lincoln City FC (11),1-2,?,Burton Wanderers FC (1871-1901) (14)
?,(Sat) 30 Nov 1895 (47),Grimsby Town FC (12),2-0,?,Loughborough FC (1886-1900) (10)
?,(Sat) 30 Nov 1895 (47),Leicester City FC (10),2-0,?,Liverpool FC (16)
?,(Sat) 7 Dec 1895 (48),Notts County FC (14),7-2,?,Port Vale FC (10)
?,(Sat) 7 Dec 1895 (48),Crewe Alexandra FC (12),3-1,?,Darwen FC (1870-2009) (14)
?,(Sat) 7 Dec 1895 (48),Liverpool FC (17),1-0,?,Loughborough FC (1886-1900) (11)
?,(Sat) 7 Dec 1895 (48),Arsenal FC (14),1-1,?,Leicester City FC (11)
?,(Sat) 7 Dec 1895 (48),Burton Swifts FC (1871-1901) (13),3-1,?,Newcastle United FC (10)
?,(Sat) 7 Dec 1895 (48),Manchester City FC (15),2-1,?,Manchester United FC (14)
?,(Sat) 7 Dec 1895 (48),Rotherham Town FC (1899-1925) (13),1-6,?,Burton Wanderers FC (1871-1901) (15)
?,(Sat) 14 Dec 1895 (49),Manchester United FC (15),3-0,?,Notts County FC (15)
?,(Sat) 14 Dec 1895 (49),Darwen FC (1870-2009) (15),0-4,?,Liverpool FC (18)
?,(Sat) 14 Dec 1895 (49),Burton Wanderers FC (1871-1901) (16),4-1,?,Arsenal FC (15)
?,(Sat) 21 Dec 1895 (50),Newcastle United FC (11),6-1,?,Rotherham Town FC (1899-1925) (14)
?,(Sat) 21 Dec 1895 (50),Leicester City FC (12),4-1,?,Crewe Alexandra FC (13)
?,(Sat) 21 Dec 1895 (50),Lincoln City FC (12),0-1,?,Liverpool FC (19)
?,(Sat) 21 Dec 1895 (50),Burton Swifts FC (1871-1901) (14),3-2,?,Arsenal FC (16)
?,(Sat) 21 Dec 1895 (50),Loughborough FC (1886-1900) (12),0-1,?,Grimsby Town FC (13)
?,(Sat) 21 Dec 1895 (50),Darwen FC (1870-2009) (16),3-0,?,Manchester United FC (16)
?,(Mon) 23 Dec 1895 (51),Crewe Alexandra FC (14),0-1,?,Arsenal FC (17)
?,(Wed) 25 Dec 1895 (51),Notts County FC (16),2-0,?,Loughborough FC (1886-1900) (13)
?,(Wed) 25 Dec 1895 (51),Arsenal FC (18),2-1,?,Port Vale FC (11)
?,(Wed) 25 Dec 1895 (51),Newcastle United FC (12),6-0,?,Crewe Alexandra FC (15)
?,(Thu) 26 Dec 1895 (51),Lincoln City FC (13),6-2,?,Crewe Alexandra FC (16)
?,(Thu) 26 Dec 1895 (51),Loughborough FC (1886-1900) (14),2-2,?,Burton Swifts FC (1871-1901) (15)
?,(Thu) 26 Dec 1895 (51),Grimsby Town FC (14),2-1,?,Newcastle United FC (13)
?,(Thu) 26 Dec 1895 (51),Rotherham Town FC (1899-1925) (15),3-0,?,Darwen FC (1870-2009) (17)
?,(Sat) 28 Dec 1895 (51),Loughborough FC (1886-1900) (15),1-3,?,Notts County FC (17)
?,(Sat) 28 Dec 1895 (51),Burton Wanderers FC (1871-1901) (17),4-0,?,Crewe Alexandra FC (17)
?,(Sat) 28 Dec 1895 (51),Lincoln City FC (14),4-0,?,Newcastle United FC (14)
?,(Sat) 28 Dec 1895 (51),Grimsby Town FC (15),3-0,?,Burton Swifts FC (1871-1901) (16)
?,(Wed) 1 Jan 1896 (0),Manchester United FC (17),3-2,?,Grimsby Town FC (16)
?,(Wed) 1 Jan 1896 (0),Newcastle United FC (15),1-0,?,Leicester City FC (13)
?,(Wed) 1 Jan 1896 (0),Darwen FC (1870-2009) (18),2-0,?,Notts County FC (18)
?,(Wed) 1 Jan 1896 (0),Liverpool FC (20),3-1,?,Manchester City FC (16)
?,(Thu) 2 Jan 1896 (0),Newcastle United FC (16),5-0,?,Lincoln City FC (15)
?,(Sat) 4 Jan 1896 (0),Darwen FC (1870-2009) (19),3-0,?,Burton Wanderers FC (1871-1901) (18)
?,(Sat) 4 Jan 1896 (0),Arsenal FC (19),5-0,?,Loughborough FC (1886-1900) (16)
?,(Sat) 4 Jan 1896 (0),Rotherham Town FC (1899-1925) (16),0-5,?,Liverpool FC (21)
?,(Sat) 4 Jan 1896 (0),Leicester City FC (14),3-0,?,Manchester United FC (18)
?,(Sat) 4 Jan 1896 (0),Grimsby Town FC (17),6-1,?,Port Vale FC (12)
?,(Sat) 4 Jan 1896 (0),Burton Swifts FC (1871-1901) (17),1-1,?,Crewe Alexandra FC (18)
?,(Sat) 4 Jan 1896 (0),Manchester City FC (17),5-2,?,Newcastle United FC (17)
?,(Sat) 11 Jan 1896 (1),Leicester City FC (15),2-1,?,Notts County FC (19)
?,(Sat) 11 Jan 1896 (1),Lincoln City FC (16),1-2,?,Manchester City FC (18)
?,(Sat) 11 Jan 1896 (1),Newcastle United FC (18),1-5,?,Grimsby Town FC (18)
?,(Sat) 11 Jan 1896 (1),Liverpool FC (22),3-0,?,Arsenal FC (20)
?,(Sat) 11 Jan 1896 (1),Manchester United FC (19),3-0,?,Rotherham Town FC (1899-1925) (17)
?,(Sat) 11 Jan 1896 (1),Port Vale FC (13),1-0,?,Burton Swifts FC (1871-1901) (18)
?,(Mon) 13 Jan 1896 (2),Darwen FC (1870-2009) (20),10-2,?,Rotherham Town FC (1899-1925) (18)
?,(Sat) 18 Jan 1896 (2),Port Vale FC (14),2-2,?,Burton Wanderers FC (1871-1901) (19)
?,(Sat) 18 Jan 1896 (2),Rotherham Town FC (1899-1925) (19),2-0,?,Leicester City FC (16)
?,(Sat) 18 Jan 1896 (2),Burton Swifts FC (1871-1901) (19),0-0,?,Notts County FC (20)
?,(Sat) 18 Jan 1896 (2),Newcastle United FC (19),3-1,?,Arsenal FC (21)
?,(Mon) 20 Jan 1896 (3),Burton Wanderers FC (1871-1901) (20),4-0,?,Loughborough FC (1886-1900) (17)
?,(Sat) 25 Jan 1896 (3),Leicester City FC (17),1-0,?,Arsenal FC (22)
?,(Sat) 25 Jan 1896 (3),Burton Wanderers FC (1871-1901) (21),2-1,?,Burton Swifts FC (1871-1901) (20)
?,(Sat) 25 Jan 1896 (3),Grimsby Town FC (19),5-0,?,Darwen FC (1870-2009) (21)
?,(Sat) 25 Jan 1896 (3),Port Vale FC (15),4-0,?,Rotherham Town FC (1899-1925) (20)
?,(Sat) 25 Jan 1896 (3),Liverpool FC (23),6-1,?,Lincoln City FC (17)
?,(Sat) 25 Jan 1896 (3),Crewe Alexandra FC (19),3-0,?,Newcastle United FC (20)
?,(Sat) 1 Feb 1896 (4),Loughborough FC (1886-1900) (18),2-4,?,Manchester City FC (19)
?,(Sat) 1 Feb 1896 (4),Lincoln City FC (18),5-0,?,Rotherham Town FC (1899-1925) (21)
?,(Mon) 3 Feb 1896 (5),Manchester United FC (20),2-0,?,Leicester City FC (18)
?,(Sat) 8 Feb 1896 (5),Notts County FC (21),1-2,?,Leicester City FC (19)
