Matchday,Date,Team 1,FT,Team 2
1,Sat Aug 16 2008,Arsenal FC,1-0,West Bromwich Albion FC
1,Sat Aug 16 2008,West Ham United FC,2-1,Wigan Athletic FC
1,Sat Aug 16 2008,Middlesbrough FC,2-1,Tottenham Hotspur FC
1,Sat Aug 16 2008,Hull City AFC,2-1,Fulham FC
1,Sat Aug 16 2008,Sunderland AFC,0-1,Liverpool FC
1,Sat Aug 16 2008,Bolton Wanderers FC,3-1,Stoke City FC
1,Sat Aug 16 2008,Everton FC,2-3,Blackburn Rovers FC
1,Sun Aug 17 2008,Chelsea FC,4-0,Portsmouth FC
1,Sun Aug 17 2008,Manchester United FC,1-1,Newcastle United FC
1,Sun Aug 17 2008,Aston Villa FC,4-2,Manchester City FC
2,Sat Aug 23 2008,West Bromwich Albion FC,1-2,Everton FC
2,Sat Aug 23 2008,Tottenham Hotspur FC,1-2,Sunderland AFC
2,Sat Aug 23 2008,Fulham FC,1-0,Arsenal FC
2,Sat Aug 23 2008,Newcastle United FC,1-0,Bolton Wanderers FC
2,Sat Aug 23 2008,Liverpool FC,2-1,Middlesbrough FC
2,Sat Aug 23 2008,Blackburn Rovers FC,1-1,Hull City AFC
2,Sat Aug 23 2008,Stoke City FC,3-2,Aston Villa FC
2,Sun Aug 24 2008,Wigan Athletic FC,0-1,Chelsea FC
2,Sun Aug 24 2008,Manchester City FC,3-0,West Ham United FC
2,Mon Aug 25 2008,Portsmouth FC,0-1,Manchester United FC
3,Sat Aug 30 2008,Middlesbrough FC,2-1,Stoke City FC
3,Sat Aug 30 2008,West Ham United FC,4-1,Blackburn Rovers FC
3,Sat Aug 30 2008,Hull City AFC,0-5,Wigan Athletic FC
3,Sat Aug 30 2008,Everton FC,0-3,Portsmouth FC
3,Sat Aug 30 2008,Arsenal FC,3-0,Newcastle United FC
3,Sat Aug 30 2008,Bolton Wanderers FC,0-0,West Bromwich Albion FC
3,Sun Aug 31 2008,Chelsea FC,1-1,Tottenham Hotspur FC
3,Sun Aug 31 2008,Sunderland AFC,0-3,Manchester City FC
3,Sun Aug 31 2008,Aston Villa FC,0-0,Liverpool FC
4,Sat Sep 13 2008,Wigan Athletic FC,1-1,Sunderland AFC
4,Sat Sep 13 2008,Liverpool FC,2-1,Manchester United FC
4,Sat Sep 13 2008,Blackburn Rovers FC,0-4,Arsenal FC
4,Sat Sep 13 2008,West Bromwich Albion FC,3-2,West Ham United FC
4,Sat Sep 13 2008,Portsmouth FC,2-1,Middlesbrough FC
4,Sat Sep 13 2008,Newcastle United FC,1-2,Hull City AFC
4,Sat Sep 13 2008,Fulham FC,2-1,Bolton Wanderers FC
4,Sat Sep 13 2008,Manchester City FC,1-3,Chelsea FC
4,Sun Sep 14 2008,Stoke City FC,2-3,Everton FC
4,Mon Sep 15 2008,Tottenham Hotspur FC,1-2,Aston Villa FC
5,Sat Sep 20 2008,Sunderland AFC,2-0,Middlesbrough FC
5,Sat Sep 20 2008,Liverpool FC,0-0,Stoke City FC
5,Sat Sep 20 2008,West Ham United FC,3-1,Newcastle United FC
5,Sat Sep 20 2008,Bolton Wanderers FC,1-3,Arsenal FC
5,Sat Sep 20 2008,Blackburn Rovers FC,1-0,Fulham FC
5,Sun Sep 21 2008,Manchester City FC,6-0,Portsmouth FC
5,Sun Sep 21 2008,West Bromwich Albion FC,1-2,Aston Villa FC
5,Sun Sep 21 2008,Chelsea FC,1-1,Manchester United FC
5,Sun Sep 21 2008,Tottenham Hotspur FC,0-0,Wigan Athletic FC
5,Sun Sep 21 2008,Hull City AFC,2-2,Everton FC
6,Sat Sep 27 2008,Aston Villa FC,2-1,Sunderland AFC
6,Sat Sep 27 2008,Everton FC,0-2,Liverpool FC
6,Sat Sep 27 2008,Stoke City FC,0-2,Chelsea FC
6,Sat Sep 27 2008,Newcastle United FC,1-2,Blackburn Rovers FC
6,Sat Sep 27 2008,Middlesbrough FC,0-1,West Bromwich Albion FC
6,Sat Sep 27 2008,Manchester United FC,2-0,Bolton Wanderers FC
6,Sat Sep 27 2008,Fulham FC,1-2,West Ham United FC
6,Sat Sep 27 2008,Arsenal FC,1-2,Hull City AFC
6,Sun Sep 28 2008,Wigan Athletic FC,2-1,Manchester City FC
6,Sun Sep 28 2008,Portsmouth FC,2-0,Tottenham Hotspur FC
7,Sat Oct 4 2008,Wigan Athletic FC,0-1,Middlesbrough FC
7,Sat Oct 4 2008,Blackburn Rovers FC,0-2,Manchester United FC
7,Sat Oct 4 2008,West Bromwich Albion FC,1-0,Fulham FC
7,Sat Oct 4 2008,Sunderland AFC,1-1,Arsenal FC
7,Sun Oct 5 2008,Everton FC,2-2,Newcastle United FC
7,Sun Oct 5 2008,West Ham United FC,1-3,Bolton Wanderers FC
7,Sun Oct 5 2008,Tottenham Hotspur FC,0-1,Hull City AFC
7,Sun Oct 5 2008,Portsmouth FC,2-1,Stoke City FC
7,Sun Oct 5 2008,Manchester City FC,2-3,Liverpool FC
7,Sun Oct 5 2008,Chelsea FC,2-0,Aston Villa FC
8,Sat Oct 18 2008,Bolton Wanderers FC,0-0,Blackburn Rovers FC
8,Sat Oct 18 2008,Middlesbrough FC,0-5,Chelsea FC
8,Sat Oct 18 2008,Liverpool FC,3-2,Wigan Athletic FC
8,Sat Oct 18 2008,Fulham FC,0-0,Sunderland AFC
8,Sat Oct 18 2008,Arsenal FC,3-1,Everton FC
8,Sat Oct 18 2008,Aston Villa FC,0-0,Portsmouth FC
8,Sat Oct 18 2008,Manchester United FC,4-0,West Bromwich Albion FC
8,Sun Oct 19 2008,Stoke City FC,2-1,Tottenham Hotspur FC
8,Sun Oct 19 2008,Hull City AFC,1-0,West Ham United FC
8,Mon Oct 20 2008,Newcastle United FC,2-2,Manchester City FC
