Matchday,Date,Team 1,FT,Team 2
1,Sat Aug 9 2008,Wycombe Wanderers FC,1-1,Morecambe FC
1,Sat Aug 9 2008,Shrewsbury Town FC,4-0,Macclesfield Town FC
1,Sat Aug 9 2008,Rotherham United FC,1-0,Lincoln City FC
1,Sat Aug 9 2008,Luton Town FC,1-3,Port Vale FC
1,Sat Aug 9 2008,Grimsby Town FC,0-0,Rochdale AFC
1,Sat Aug 9 2008,Darlington FC,1-1,Exeter City FC
1,Sat Aug 9 2008,Dagenham & Redbridge FC,6-0,Chester FC
1,Sat Aug 9 2008,Bury FC,1-0,Brentford FC
1,Sat Aug 9 2008,Bradford City AFC,2-1,Notts County FC
1,Sat Aug 9 2008,AFC Bournemouth,1-1,Gillingham FC
1,Sat Aug 9 2008,Barnet FC,1-3,Chesterfield FC
1,Sat Aug 9 2008,Accrington Stanley FC,0-1,Aldershot Town FC
2,Sat Aug 16 2008,Rochdale AFC,3-1,Barnet FC
2,Sat Aug 16 2008,Port Vale FC,0-2,Accrington Stanley FC
2,Sat Aug 16 2008,Notts County FC,0-0,Darlington FC
2,Sat Aug 16 2008,Morecambe FC,1-3,Rotherham United FC
2,Sat Aug 16 2008,Macclesfield Town FC,0-2,Bradford City AFC
2,Sat Aug 16 2008,Lincoln City FC,1-3,Dagenham & Redbridge FC
2,Sat Aug 16 2008,Gillingham FC,0-1,Luton Town FC
2,Sat Aug 16 2008,Exeter City FC,0-1,Shrewsbury Town FC
2,Sat Aug 16 2008,Chesterfield FC,1-3,Bury FC
2,Sat Aug 16 2008,Chester FC,0-2,Wycombe Wanderers FC
2,Sat Aug 16 2008,Brentford FC,4-0,Grimsby Town FC
2,Sat Aug 16 2008,Aldershot Town FC,1-1,AFC Bournemouth
3,Sat Aug 23 2008,Grimsby Town FC,0-1,Chesterfield FC
3,Sat Aug 23 2008,Wycombe Wanderers FC,1-0,Lincoln City FC
3,Sat Aug 23 2008,Shrewsbury Town FC,1-0,Aldershot Town FC
3,Sat Aug 23 2008,Rotherham United FC,3-1,Chester FC
3,Sat Aug 23 2008,Luton Town FC,1-1,Notts County FC
3,Sat Aug 23 2008,Darlington FC,1-2,Gillingham FC
3,Sat Aug 23 2008,Dagenham & Redbridge FC,1-1,Port Vale FC
3,Sat Aug 23 2008,Bury FC,2-1,Morecambe FC
3,Sat Aug 23 2008,Bradford City AFC,2-0,Rochdale AFC
3,Sat Aug 23 2008,AFC Bournemouth,0-1,Exeter City FC
3,Sat Aug 23 2008,Barnet FC,0-1,Brentford FC
3,Sat Aug 23 2008,Accrington Stanley FC,2-0,Macclesfield Town FC
4,Sat Aug 30 2008,Rochdale AFC,1-1,Bury FC
4,Sat Aug 30 2008,Port Vale FC,3-1,AFC Bournemouth
4,Sat Aug 30 2008,Notts County FC,2-2,Shrewsbury Town FC
